,ALGEN FP Equity_DX_SI_QTY,ALGEN FP Equity_DX_SHORT_INTEREST_VALUE,ALGEN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALGEN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALGEN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALGEN FP Equity_DX_SI_MV,ALGEN FP Equity_DX_DSS,ALGEN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALGEN FP Equity_DX_SUPPLY_SI_QTY,ALGEN FP Equity_DX_BROKER_SI_QTY,ALGEN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALGEN FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALGEN FP Equity_DX_BROKER_SI_MV_INC_x,ALGEN FP Equity_DX_BROKER_SI_QTY_ADD,ALGEN FP Equity_DX_SUPPLY_SI_MV_DEC,ALGEN FP Equity_DX_BROKER_SI_QTY_INC,ALGEN FP Equity_DX_SUPPLY_SI_QTY_DEC,ALGEN FP Equity_DX_BROKER_SI_MV_INC_y,ALGEN FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALGEN FP Equity_DX_BROKER_SI_MV_ADD,ALGEN FP Equity_DX_SUPPLY_SI_QTY_ADD,ALGEN FP Equity_DX_BROKER_SI_QTY_DEC,ALGEN FP Equity_DX_SUPPLY_SI_MV,ALGEN FP Equity_DX_BROKER_SI_MV_DEC,ALGEN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALGEN FP Equity_DX_UTILIZATION_QUANTITY,ALGEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALGEN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALGEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALGEN FP Equity_DX_ACTIVE_UTILIZATION_MV,ALGEN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALGEN FP Equity_DX_BROKER_SI_CON_RATIO,ALGEN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALGEN FP Equity_DX_DEMAND_SUPPLY_RATIO,ALGEN FP Equity_PX_LAST
2007-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96
2007-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.01
2007-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45
2007-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2007-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96
2007-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.81
2007-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02
2007-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2007-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2007-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07
2007-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2007-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09
2007-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2007-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68
2007-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2007-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83
2007-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25
2007-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.39
2007-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2007-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2007-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71
2007-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2007-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67
2007-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45
