,GOLD FP Equity_PX_LAST
2019-05-28,45.773
2019-05-29,46.075
2019-05-30,46.267
2019-05-31,46.695
2019-06-03,47.081
2019-06-04,47.032
2019-06-05,47.241
2019-06-06,47.352
2019-06-07,47.395
2019-06-10,46.958
2019-06-11,46.872
2019-06-12,47.168
2019-06-13,47.522
2019-06-14,48.11
2019-06-17,47.734
2019-06-18,48.184
2019-06-19,47.965
2019-06-20,49.111
2019-06-21,49.303
2019-06-24,49.67
2019-06-25,50.17
2019-06-26,49.636
2019-06-27,49.438
2019-06-28,49.6
2019-07-01,49.204
2019-07-02,49.322
2019-07-03,50.283
2019-07-04,50.162
2019-07-05,49.5
2019-07-08,49.812
2019-07-09,49.867
2019-07-10,50.03
2019-07-11,50.156
2019-07-12,50.083
2019-07-15,50.175
2019-07-16,50.25
2019-07-17,50.688
2019-07-18,50.768
2019-07-19,50.936
2019-07-22,50.868
2019-07-23,50.94
2019-07-24,51.083
2019-07-25,50.882
2019-07-26,50.994
2019-07-29,50.98
2019-07-30,51.24
2019-07-31,51.312
2019-08-01,51.193
2019-08-02,52.015
2019-08-05,52.217
2019-08-06,52.622
2019-08-07,53.605
2019-08-08,53.407
2019-08-09,53.618
2019-08-12,53.631
2019-08-13,53.7
2019-08-14,54.396
2019-08-15,54.665
2019-08-16,54.615
2019-08-19,54.07
2019-08-20,54.215
2019-08-21,54.191
2019-08-22,54.135
2019-08-23,54.771
2019-08-26,55.273
2019-08-27,55.597
2019-08-28,55.471
2019-08-29,55.587
2019-08-30,55.606
2019-09-02,55.651
2019-09-03,56.468
2019-09-04,56.111
2019-09-05,55.054
2019-09-06,55.069
2019-09-09,54.293
2019-09-10,54.203
2019-09-11,54.339
2019-09-12,54.525
2019-09-13,53.94
2019-09-16,54.61
2019-09-17,54.403
2019-09-18,54.563
2019-09-19,54.193
2019-09-20,54.59
2019-09-23,55.396
2019-09-24,55.447
2019-09-25,55.281
2019-09-26,55.196
2019-09-27,54.468
2019-09-30,53.826
2019-10-01,54.266
2019-10-02,54.818
2019-10-03,54.934
2019-10-04,54.777
2019-10-07,54.564
2019-10-08,54.905
2019-10-09,54.876
2019-10-10,54.279
2019-10-11,53.493
2019-10-14,54.115
2019-10-15,53.643
2019-10-16,53.758
2019-10-17,53.712
2019-10-18,53.525
2019-10-21,53.252
2019-10-22,53.237
2019-10-23,53.703
2019-10-24,54.054
2019-10-25,54.355
2019-10-28,53.714
2019-10-29,53.556
2019-10-30,53.695
2019-10-31,54.19
2019-11-01,54.07
2019-11-04,54.006
2019-11-05,53.51
2019-11-06,53.74
2019-11-07,53.038
2019-11-08,53.188
2019-11-11,52.693
2019-11-12,52.694
2019-11-13,53.136
2019-11-14,53.405
2019-11-15,53.033
2019-11-18,53.093
2019-11-19,53.125
2019-11-20,53.008
2019-11-21,52.99
2019-11-22,53.096
2019-11-25,52.904
2019-11-26,53.006
2019-11-27,52.829
2019-11-28,52.866
2019-11-29,53.107
2019-12-02,52.775
2019-12-03,53.351
2019-12-04,53.103
2019-12-05,53.22
2019-12-06,52.78
2019-12-09,52.74
2019-12-10,52.707
2019-12-11,53.03
2019-12-12,52.739
2019-12-13,53.022
2019-12-16,52.885
2019-12-17,52.898
2019-12-18,53.0
2019-12-19,53.094
2019-12-20,53.257
2019-12-23,53.42
2019-12-24,53.495
2019-12-27,54.147
2019-12-30,53.997
2019-12-31,54.135
2020-01-02,54.6
2020-01-03,55.395
2020-01-06,55.781
2020-01-07,56.308
2020-01-08,56.603
2020-01-09,55.787
2020-01-10,56.087
2020-01-13,55.664
2020-01-14,55.404
2020-01-15,55.535
2020-01-16,55.651
2020-01-17,56.105
2020-01-20,56.285
2020-01-21,56.076
2020-01-22,56.089
2020-01-23,56.699
2020-01-24,56.994
2020-01-27,57.395
2020-01-28,56.952
2020-01-29,57.048
2020-01-30,57.335
2020-01-31,57.2
2020-02-03,56.968
2020-02-04,56.444
2020-02-05,56.623
2020-02-06,56.895
2020-02-07,57.12
2020-02-10,57.642
2020-02-11,57.287
2020-02-12,57.515
2020-02-13,57.986
2020-02-14,58.274
2020-02-17,58.322
2020-02-18,59.178
2020-02-19,59.41
2020-02-20,60.07
2020-02-21,60.35
2020-02-24,61.528
2020-02-25,60.486
2020-02-26,60.083
2020-02-27,60.097
2020-02-28,57.692
2020-03-02,57.093
2020-03-03,58.594
2020-03-04,58.911
2020-03-05,59.261
2020-03-06,58.85
2020-03-09,58.136
2020-03-10,58.308
2020-03-11,58.4
2020-03-12,56.789
2020-03-13,55.116
2020-03-16,54.049
2020-03-17,55.862
2020-03-18,54.935
2020-03-19,54.29
2020-03-20,55.542
2020-03-23,57.561
2020-03-24,60.52
2020-03-25,59.867
2020-03-26,59.355
2020-03-27,58.85
2020-03-30,58.55
2020-03-31,58.537
2020-04-01,57.893
2020-04-02,59.279
2020-04-03,59.817
2020-04-06,60.82
2020-04-07,60.691
2020-04-08,60.609
2020-04-09,61.402
2020-04-14,63.197
2020-04-15,62.944
2020-04-16,63.606
2020-04-17,62.152
2020-04-20,62.191
2020-04-21,61.771
2020-04-22,63.042
2020-04-23,63.925
2020-04-24,63.315
2020-04-27,63.178
2020-04-28,62.746
2020-04-29,62.739
2020-04-30,62.117
2020-05-04,62.361
2020-05-05,62.585
2020-05-06,62.517
2020-05-07,63.024
2020-05-08,63.011
2020-05-11,62.689
2020-05-12,62.736
2020-05-13,63.223
2020-05-14,64.077
2020-05-15,64.403
2020-05-18,63.679
2020-05-19,63.546
2020-05-20,63.562
2020-05-21,62.776
2020-05-22,63.502
2020-05-25,63.428
2020-05-26,62.359
2020-05-27,61.857
2020-05-28,62.158
2020-05-29,62.248
2020-06-01,62.528
2020-06-02,61.94
2020-06-03,60.322
2020-06-04,60.39
2020-06-05,59.266
2020-06-08,59.81
2020-06-09,60.404
2020-06-10,60.374
2020-06-11,61.175
2020-06-12,61.504
2020-06-15,61.028
2020-06-16,61.217
2020-06-17,61.43
2020-06-18,61.322
2020-06-19,62.122
2020-06-22,62.371
2020-06-23,62.254
2020-06-24,62.562
2020-06-25,62.614
2020-06-26,62.812
2020-06-29,62.9
2020-06-30,63.338
2020-07-01,62.487
2020-07-02,63.158
2020-07-03,63.047
2020-07-06,62.998
2020-07-07,63.408
2020-07-08,63.806
2020-07-09,63.652
2020-07-10,63.47
2020-07-13,63.468
2020-07-14,63.361
