,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_y,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity
,DX_SI_QTY,DX_SHORT_INTEREST_VALUE,DX_SHORT_INTEREST_PCT_FREE_FLOAT,DX_SHORT_INT_RATIO_DAYS_TO_COVER,DX_SHORT_INTEREST_PCT_SHARES_OUT,DX_SI_MV,DX_DSS,DX_BROKER_SHORT_INTEREST_VALUE,DX_SUPPLY_SI_QTY,DX_BROKER_SI_QTY,DX_SUPPLY_SIDE_SHORT_INT_VAL,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_MV_NEW,DX_BROKER_SI_QTY_ADD,DX_BROKER_SI_QTY_NEW,DX_SUPPLY_SI_MV_DEC,DX_BROKER_SI_QTY_INC,DX_SUPPLY_SI_QTY_DEC,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_ADD,DX_SUPPLY_SI_QTY_ADD,DX_BROKER_SI_QTY_DEC,DX_SUPPLY_SI_MV,DX_BROKER_SI_MV_DEC,DX_SUPPLY_SI_MV_RMV,DX_BROKER_SI_MV_RMV,DX_ACTIVE_UTILIZATION_QUANTITY,DX_UTILIZATION_QUANTITY,DX_ACTIVE_AVAIL_SUPPLY_QTY,DX_ACTIVE_AVAILABILITY_VALUE,DX_SUPPLY_SI_QTY_MV_RMV,DX_ACTIVE_AVAIL_SUPPLY_MV,DX_ACTIVE_UTILIZATION_MV,DX_BROKER_SI_MARKET_SHARE_2,DX_BROKER_SI_CON_RATIO,DX_BROKER_SI_MARKET_SHARE_1,DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,703.0,347469.49,,0.41,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,716.0,358801.65,,0.42,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1121.0,562715.36,,0.66,0.0,,0.0,,0.0
2006-01-25,32.0,16858.18,0.01,0.08,0.0,0.02,0.0,16858.18,32.0,32.0,16858.18,,,,,,32.0,,,,,,,,,0.02,32.0,,0.02,,,,4.39,4.39,696.0,366665.37,,0.43,4.39,,1.0,100.0,0.044
2006-02-01,35.0,17928.95,0.01,0.08,0.0,0.02,0.0,17928.95,36.0,35.0,18441.2,,,4.0,0.0,,,,,3.0,,,,0.0,4.0,,,,0.02,,,,4.83,4.83,701.0,359091.18,,0.42,4.83,,1.0,100.0,0.0476
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.02,,36.0,,,,,,,35.0,0.0,0.02,,,0.0,0.0,726.0,383713.72,,0.45,0.0,,0.0,,0.0
2006-02-15,383.0,196029.86,0.11,1.24,0.0,0.23,0.0,0.0,383.0,0.0,196029.86,,383.0,,,0.23,,,,,,,383.0,,,,,,0.23,,,,34.2,34.2,736.0,376704.9,,0.44,34.2,,1.0,100.0,0.3423
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.23,,0.0,0.0,689.0,362977.64,383.0,0.42,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,666.0,370543.27,,0.43,0.0,,0.0,,0.0
