,GOV10 FP Equity_DX_SI_QTY,GOV10 FP Equity_DX_SHORT_INTEREST_VALUE,GOV10 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GOV10 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GOV10 FP Equity_DX_SI_MV,GOV10 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GOV10 FP Equity_DX_SUPPLY_SI_QTY,GOV10 FP Equity_DX_BROKER_SI_QTY,GOV10 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GOV10 FP Equity_DX_SUPPLY_SI_MV,GOV10 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GOV10 FP Equity_DX_UTILIZATION_QUANTITY,GOV10 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GOV10 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GOV10 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GOV10 FP Equity_DX_ACTIVE_UTILIZATION_MV,GOV10 FP Equity_DX_BROKER_SI_CON_RATIO,GOV10 FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-08-12,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17657.9,0.02,0.0,0.0,0.0
2024-08-13,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17788.12,0.02,0.0,0.0,0.0
2024-08-14,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17788.63,0.02,0.0,0.0,0.0
2024-08-15,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17630.36,0.02,0.0,0.0,0.0
2024-08-16,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17643.96,0.02,0.0,0.0,0.0
2024-08-19,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17674.56,0.02,0.0,0.0,0.0
2024-08-20,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17762.11,0.02,0.0,0.0,0.0
2024-08-21,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17790.5,0.02,0.0,0.0,0.0
2024-08-22,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17692.41,0.02,0.0,0.0,0.0
2024-08-23,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17746.64,0.02,0.0,0.0,0.0
2024-08-26,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17689.86,0.02,0.0,0.0,0.0
2024-08-27,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17546.55,0.02,0.0,0.0,0.0
2024-08-28,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17614.21,0.02,0.0,0.0,0.0
2024-08-29,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17543.15,0.02,0.0,0.0,0.0
2024-08-30,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17527.34,0.02,0.0,0.0,0.0
2024-09-02,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17458.15,0.02,0.0,0.0,0.0
2024-09-03,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17606.22,0.02,0.0,0.0,0.0
2024-09-04,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17757.01,0.02,0.0,0.0,0.0
2024-09-05,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17783.87,0.02,0.0,0.0,0.0
2024-09-06,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17837.08,0.02,0.0,0.0,0.0
2024-09-09,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17823.48,0.02,0.0,0.0,0.0
2024-09-10,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17858.33,0.02,0.0,0.0,0.0
2024-10-02,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17920.72,0.02,0.0,0.0,0.0
2024-10-03,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17835.55,0.02,0.0,0.0,0.0
2024-10-04,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17749.53,0.02,0.0,0.0,0.0
2024-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,9298.62,0.01,0.0,0.0,0.0
2025-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,17738.14,0.02,0.0,0.0,0.0
