,MEDTE FP Equity_PX_LAST
2022-03-17,8.5695
2022-03-18,8.7203
2022-03-21,8.6932
2022-03-22,8.7881
2022-03-23,8.73
2022-03-24,8.7317
2022-03-25,8.6804
2022-03-28,8.7275
2022-03-29,8.8978
2022-03-30,8.9586
2022-03-31,8.9388
2022-04-01,8.9455
2022-04-04,9.1386
2022-04-05,9.2145
2022-04-06,9.0422
2022-04-07,9.0952
2022-04-08,9.1651
2022-04-11,8.9442
2022-04-12,8.9239
2022-04-13,8.8694
2022-04-14,8.9374
2022-04-19,8.8365
2022-04-20,8.9006
2022-04-21,8.8421
2022-04-22,8.572
2022-04-25,8.4382
2022-04-26,8.405
2022-04-27,8.3809
2022-04-28,8.3526
2022-04-29,8.4484
2022-05-02,8.2989
2022-05-03,8.3745
2022-05-04,8.2044
2022-05-05,8.258
2022-05-06,8.0199
2022-05-09,7.7253
2022-05-10,7.6698
2022-05-11,7.8349
2022-05-12,7.7711
2022-05-13,8.0796
2022-05-16,8.1165
2022-05-17,8.1317
2022-05-18,8.0362
2022-05-19,7.9847
2022-05-20,8.0651
2022-05-23,8.0547
2022-05-24,7.9164
2022-05-25,7.9409
2022-05-26,7.9468
2022-05-27,8.1371
2022-05-30,8.2505
2022-05-31,8.1482
2022-06-01,8.0205
2022-06-02,8.0275
2022-06-03,8.0333
2022-06-06,8.0964
2022-06-07,8.1114
2022-06-08,8.2304
2022-06-09,8.1191
2022-06-10,7.9223
2022-06-13,7.6826
2022-06-14,7.6137
2022-06-15,7.6831
2022-06-16,7.4131
2022-06-17,7.5928
2022-06-20,7.5665
2022-06-21,7.6802
2022-06-22,7.7049
2022-06-23,7.8423
2022-06-24,8.0569
2022-06-27,8.1593
2022-06-28,8.146
2022-06-29,8.0795
2022-06-30,8.0827
2022-07-01,8.1795
2022-07-04,8.2708
2022-07-05,8.3729
2022-07-06,8.5816
2022-07-07,8.6444
2022-07-08,8.6952
2022-07-11,8.6745
2022-07-12,8.5882
2022-07-13,8.543
2022-07-14,8.5102
2022-07-15,8.6104
2022-07-18,8.5512
2022-07-19,8.5307
2022-07-20,8.6279
2022-07-21,8.7828
2022-07-22,8.7475
2022-07-25,8.6457
2022-07-26,8.7193
2022-07-27,8.7236
2022-07-28,8.8081
2022-07-29,8.7766
2022-08-01,8.7753
2022-08-02,8.757
2022-08-03,8.9092
2022-08-04,8.9181
2022-08-05,8.9019
2022-08-08,8.9571
2022-08-09,8.842
2022-08-10,8.7741
