,MLAZR FP Equity_DX_SI_QTY,MLAZR FP Equity_DX_SHORT_INTEREST_VALUE,MLAZR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLAZR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLAZR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLAZR FP Equity_DX_SI_MV,MLAZR FP Equity_DX_DSS,MLAZR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLAZR FP Equity_DX_SUPPLY_SI_QTY,MLAZR FP Equity_DX_BROKER_SI_QTY,MLAZR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLAZR FP Equity_DX_BROKER_SI_QTY_ADD,MLAZR FP Equity_DX_SUPPLY_SI_MV_DEC,MLAZR FP Equity_DX_SUPPLY_SI_QTY_DEC,MLAZR FP Equity_DX_BROKER_SI_MV_ADD,MLAZR FP Equity_DX_SUPPLY_SI_QTY_ADD,MLAZR FP Equity_DX_BROKER_SI_QTY_DEC,MLAZR FP Equity_DX_SUPPLY_SI_MV,MLAZR FP Equity_DX_BROKER_SI_MV_DEC,MLAZR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLAZR FP Equity_DX_UTILIZATION_QUANTITY,MLAZR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLAZR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLAZR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLAZR FP Equity_DX_ACTIVE_UTILIZATION_MV,MLAZR FP Equity_DX_BROKER_SI_CON_RATIO,MLAZR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MLAZR FP Equity_DX_DEMAND_SUPPLY_RATIO
2023-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,150.0,0.0,0.0,0.0,,0.0
2024-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,624.0,0.0,0.0,0.0,,0.0
2024-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,606.0,0.0,0.0,0.0,,0.0
2024-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,600.0,0.0,0.0,0.0,,0.0
2024-02-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,618.0,0.0,0.0,0.0,,0.0
2024-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,672.0,0.0,0.0,0.0,,0.0
2024-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,579.0,0.0,0.0,0.0,,0.0
2024-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,579.0,0.0,0.0,0.0,,0.0
2024-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,594.0,0.0,0.0,0.0,,0.0
2024-02-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,588.0,0.0,0.0,0.0,,0.0
