,SMCP FP Equity_DX_SI_QTY,SMCP FP Equity_DX_SHORT_INTEREST_VALUE,SMCP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SMCP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SMCP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SMCP FP Equity_DX_SI_MV,SMCP FP Equity_DX_DSS,SMCP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SMCP FP Equity_DX_SUPPLY_SI_QTY,SMCP FP Equity_DX_BROKER_SI_QTY,SMCP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SMCP FP Equity_DX_BROKER_SI_MV_NEW_x,SMCP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SMCP FP Equity_DX_SUPPLY_SI_QTY_INC_x,SMCP FP Equity_DX_BROKER_SI_MV_INC_x,SMCP FP Equity_DX_SUPPLY_SI_MV_NEW,SMCP FP Equity_DX_BROKER_SI_QTY_ADD,SMCP FP Equity_DX_BROKER_SI_QTY_NEW,SMCP FP Equity_DX_SUPPLY_SI_MV_DEC,SMCP FP Equity_DX_BROKER_SI_QTY_INC,SMCP FP Equity_DX_SUPPLY_SI_QTY_DEC,SMCP FP Equity_DX_BROKER_SI_MV_NEW_y,SMCP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SMCP FP Equity_DX_BROKER_SI_MV_INC_y,SMCP FP Equity_DX_SUPPLY_SI_QTY_INC_y,SMCP FP Equity_DX_BROKER_SI_MV_ADD,SMCP FP Equity_DX_SUPPLY_SI_QTY_ADD,SMCP FP Equity_DX_BROKER_SI_QTY_DEC,SMCP FP Equity_DX_SUPPLY_SI_MV,SMCP FP Equity_DX_BROKER_SI_MV_DEC,SMCP FP Equity_DX_SUPPLY_SI_MV_RMV,SMCP FP Equity_DX_BROKER_SI_MV_RMV,SMCP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SMCP FP Equity_DX_UTILIZATION_QUANTITY,SMCP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SMCP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SMCP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SMCP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SMCP FP Equity_DX_ACTIVE_UTILIZATION_MV,SMCP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SMCP FP Equity_DX_BROKER_SI_CON_RATIO,SMCP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SMCP FP Equity_DX_DEMAND_SUPPLY_RATIO,SMCP FP Equity_PX_LAST
2017-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
2017-10-20,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,439761.0,9234981.0,,9.6,0.0,,0.0,,0.0,21.0
2017-10-23,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3115548.0,67451614.2,,65.84,0.0,,0.0,,0.0,21.65
2017-10-24,3691902.0,80483463.6,5.05,15.14,5.05,80.48,0.0,80483463.6,0.0,3691902.0,0.0,,,,,,3691902.0,,,,,,,,,80.48,,,0.0,,,,0.0,0.0,3651568.0,79604182.4,,78.69,0.0,,1.0,100.0,1.011,21.8
2017-10-25,3691902.0,79708164.18,5.05,14.31,5.05,79.71,0.0,79708164.18,0.0,3691902.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3801122.0,82066223.98,,82.63,0.0,,1.0,100.0,0.9713,21.59
2017-10-26,3691902.0,80114273.4,5.05,13.79,5.05,80.11,0.0,80114273.4,0.0,3691902.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4155958.0,90184288.6,,89.84,0.0,,1.0,100.0,0.8883,21.7
2017-10-27,3706902.0,80550980.46,5.07,13.39,5.07,80.56,0.0,80550980.46,15000.0,3706902.0,325950.0,,,,,,15000.0,,,,,,,,,0.33,15000.0,,0.33,,,,100.0,0.34,0.0,0.0,,0.0,100.0,0.41,0.9918,99.59,0.8317,21.73
2017-10-30,3700927.0,80310115.9,5.06,12.96,5.06,80.31,0.0,80310115.9,9025.0,3700927.0,195842.5,,,,,,,,0.13,,5975.0,,,,,,,5975.0,0.2,0.14,,,100.0,0.19,0.0,0.0,,0.0,100.0,0.24,0.9952,99.76,0.7939,21.7
2017-10-31,3700927.0,80088060.28,5.06,12.74,5.06,80.09,0.0,80088060.28,9025.0,3700927.0,195301.0,,,,,,,,,,,,,,,,,,0.2,,,,100.0,0.19,0.0,0.0,,0.0,100.0,0.24,0.9951,99.76,0.7939,21.64
2017-11-01,3707870.0,78643922.7,5.07,12.6,5.07,78.66,0.0,78643922.7,9025.0,3707870.0,191420.25,,,,0.16,,,,,6943.0,,,,0.16,,,,,0.19,,,,100.0,0.19,0.0,0.0,,0.0,100.0,0.45,0.991,99.55,0.794,21.21
