,VRLA FP Equity_DX_SI_QTY,VRLA FP Equity_DX_SHORT_INTEREST_VALUE,VRLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VRLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VRLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VRLA FP Equity_DX_SI_MV,VRLA FP Equity_DX_DSS,VRLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VRLA FP Equity_DX_SUPPLY_SI_QTY,VRLA FP Equity_DX_BROKER_SI_QTY,VRLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VRLA FP Equity_DX_BROKER_SI_MV_NEW_x,VRLA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VRLA FP Equity_DX_SUPPLY_SI_QTY_INC_x,VRLA FP Equity_DX_BROKER_SI_MV_INC_x,VRLA FP Equity_DX_SUPPLY_SI_MV_NEW,VRLA FP Equity_DX_BROKER_SI_QTY_ADD,VRLA FP Equity_DX_BROKER_SI_QTY_NEW,VRLA FP Equity_DX_SUPPLY_SI_MV_DEC,VRLA FP Equity_DX_BROKER_SI_QTY_INC,VRLA FP Equity_DX_SUPPLY_SI_QTY_DEC,VRLA FP Equity_DX_BROKER_SI_MV_NEW_y,VRLA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VRLA FP Equity_DX_BROKER_SI_MV_INC_y,VRLA FP Equity_DX_SUPPLY_SI_QTY_INC_y,VRLA FP Equity_DX_BROKER_SI_MV_ADD,VRLA FP Equity_DX_SUPPLY_SI_QTY_ADD,VRLA FP Equity_DX_BROKER_SI_QTY_DEC,VRLA FP Equity_DX_SUPPLY_SI_MV,VRLA FP Equity_DX_BROKER_SI_MV_DEC,VRLA FP Equity_DX_SUPPLY_SI_MV_RMV,VRLA FP Equity_DX_BROKER_SI_MV_RMV,VRLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VRLA FP Equity_DX_UTILIZATION_QUANTITY,VRLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VRLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VRLA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VRLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VRLA FP Equity_DX_ACTIVE_UTILIZATION_MV,VRLA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VRLA FP Equity_DX_BROKER_SI_CON_RATIO,VRLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VRLA FP Equity_DX_DEMAND_SUPPLY_RATIO,VRLA FP Equity_PX_LAST
2019-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
2019-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1
2019-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7
2019-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5
2019-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.18
2019-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1
2019-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.16
2019-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.15
2019-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5
2019-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5
2019-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
2019-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
2019-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1
2019-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
2019-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.47
2019-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.59
2019-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.73
2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9
2019-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.54
2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.05
2019-10-31,139000.0,3614000.0,0.12,1.94,0.12,3.64,0.0,1742000.0,77000.0,67000.0,2002000.0,,,,,,67000.0,,,,,,,,,1.77,77000.0,,2.0,,,,0.91,0.91,8351899.0,217149374.0,,217.4,0.91,8.59,0.6651,80.71,0.0165,26.0
2019-11-01,99000.0,2565090.0,0.08,1.38,0.08,2.57,0.0,699570.0,77000.0,27000.0,1995070.0,,,,,,10000.0,,,,,,,,,0.26,,50000.0,2.0,1.33,,,0.85,0.85,9027444.0,233901074.04,,234.88,0.84,12.13,0.4299,62.63,0.0109,25.91
2019-11-04,109000.0,2864520.0,0.09,1.51,0.09,2.83,0.0,840960.0,82000.0,32000.0,2154960.0,,,5000.0,0.13,,,,,5000.0,,,,0.13,5000.0,,,,2.13,,,,0.9,0.9,9013854.0,236884083.12,,234.37,0.9,13.77,0.3756,56.89,0.012,26.28
2019-11-05,109000.0,2823100.0,0.09,1.49,0.09,2.88,0.0,828800.0,82000.0,32000.0,2123800.0,,,,,,,,,,,,,,,,,,2.17,,,,0.9,0.9,9013854.0,233458818.6,,237.71,0.9,13.81,0.3769,57.0,0.012,25.9
2019-11-06,147000.0,3749970.0,0.12,2.01,0.12,3.81,0.0,1785700.0,82000.0,70000.0,2091820.0,,,,,,50000.0,,,,,,,,,1.3,,12000.0,2.13,0.32,,,0.9,0.9,9053854.0,230963815.54,,234.77,0.9,10.2,0.6028,76.22,0.0161,25.51
2019-11-07,135000.0,3523500.0,0.11,1.83,0.11,3.45,0.0,1827000.0,70000.0,70000.0,1827000.0,,,,,,,,0.31,,12000.0,,,,,,,,1.79,,,,0.77,0.77,9060476.0,236478423.6,,232.45,0.77,11.11,0.5739,74.01,0.0148,26.1
2019-11-08,135000.0,3685500.0,0.11,1.82,0.11,3.52,0.0,1911000.0,70000.0,70000.0,1911000.0,,,,,,,,,,,,,,,,,,1.84,,,,0.77,0.77,9062351.0,247402182.3,,238.33,0.76,11.13,0.5754,74.14,0.0148,27.3
2019-11-11,135000.0,3672000.0,0.11,1.76,0.11,3.68,0.0,1904000.0,70000.0,70000.0,1904000.0,,,,,,,,,,,,,,,,,,1.91,,,,0.77,0.77,9064984.0,246567564.8,,247.37,0.77,11.12,0.5749,74.08,0.0148,27.2
