,ISRG FP Equity_PX_LAST
2025-06-19,4.844
2025-06-20,4.876
2025-06-23,4.873
2025-06-24,4.979
2025-06-25,5.004
2025-06-26,4.996
2025-06-27,4.982
2025-06-30,4.967
2025-07-01,4.971
2025-07-02,4.987
2025-07-03,5.031
2025-07-04,4.977
2025-07-07,4.987
2025-07-08,5.002
2025-07-09,4.992
2025-07-10,5.006
2025-07-11,5.003
2025-07-14,5.008
2025-07-15,5.083
2025-07-16,5.059
2025-07-17,5.148
2025-07-18,5.135
2025-07-21,5.138
2025-07-22,5.095
2025-07-23,5.142
2025-07-24,5.131
2025-07-25,5.11
2025-07-28,5.14
2025-07-29,5.189
2025-07-30,5.188
2025-07-31,5.176
2025-08-01,5.067
2025-08-04,5.11
2025-08-05,5.146
2025-08-06,5.142
2025-08-07,5.209
2025-08-08,5.187
2025-08-11,5.217
2025-08-12,5.223
2025-08-13,5.27
2025-08-14,5.233
2025-08-15,5.213
2025-08-18,5.252
2025-08-19,5.238
2025-08-20,5.205
2025-08-21,5.237
2025-08-22,5.271
2025-08-25,5.286
2025-08-26,5.272
2025-08-27,5.235
2025-08-28,5.211
2025-08-29,5.167
