,ATO FP Equity_DX_SI_QTY,ATO FP Equity_DX_SHORT_INTEREST_VALUE,ATO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ATO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ATO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ATO FP Equity_DX_SI_MV,ATO FP Equity_DX_DSS,ATO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ATO FP Equity_DX_SUPPLY_SI_QTY,ATO FP Equity_DX_BROKER_SI_QTY,ATO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ATO FP Equity_DX_BROKER_SI_MV_NEW_x,ATO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ATO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ATO FP Equity_DX_BROKER_SI_MV_INC_x,ATO FP Equity_DX_SUPPLY_SI_MV_NEW,ATO FP Equity_DX_BROKER_SI_QTY_ADD,ATO FP Equity_DX_BROKER_SI_QTY_NEW,ATO FP Equity_DX_SUPPLY_SI_MV_DEC,ATO FP Equity_DX_BROKER_SI_QTY_INC,ATO FP Equity_DX_SUPPLY_SI_QTY_DEC,ATO FP Equity_DX_BROKER_SI_MV_NEW_y,ATO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ATO FP Equity_DX_BROKER_SI_MV_INC_y,ATO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ATO FP Equity_DX_BROKER_SI_MV_ADD,ATO FP Equity_DX_SUPPLY_SI_QTY_ADD,ATO FP Equity_DX_BROKER_SI_QTY_DEC,ATO FP Equity_DX_SUPPLY_SI_MV,ATO FP Equity_DX_BROKER_SI_MV_DEC,ATO FP Equity_DX_SUPPLY_SI_MV_RMV,ATO FP Equity_DX_BROKER_SI_MV_RMV,ATO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ATO FP Equity_DX_UTILIZATION_QUANTITY,ATO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ATO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ATO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ATO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ATO FP Equity_DX_ACTIVE_UTILIZATION_MV,ATO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ATO FP Equity_DX_BROKER_SI_CON_RATIO,ATO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ATO FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-07-05,2095980.0,97840435.72,3.1,5.33,3.1,113.5,1.0,73195193.74,1126730.0,1568019.0,52595804.41,,8000.0,3057.0,1.43,0.41,,,0.03,26475.0,914.0,,8000.0,1.43,3057.0,,,9394.0,58.5,0.46,,,12.33,12.33,8009448.0,373881373.95,,422.15,12.17,18.98,0.2457,38.66,0.2294
2006-07-06,2062410.0,96179644.34,3.06,5.25,3.06,111.24,1.0,73495087.56,1085581.0,1575978.0,50625624.63,,,395.0,0.06,,,,0.02,10166.0,1.0,,,0.06,395.0,,,2207.0,56.58,0.18,2.22,,11.99,11.99,7969469.0,371652917.72,41544.0,418.96,11.9,19.21,0.241,37.6,0.2278
2006-07-07,2073427.0,91604290.38,3.07,5.26,3.07,109.95,1.0,70105793.57,1081578.0,1586817.0,47784264.98,,,7162.0,0.18,,,,0.63,10839.0,11164.0,,,0.18,7162.0,,,,55.39,,,,11.91,11.91,8002732.0,353561801.76,,413.44,11.81,18.65,0.243,38.04,0.2282
2006-07-10,2066808.0,90973669.96,3.06,4.91,3.06,108.33,1.0,69568618.4,1056639.0,1580512.0,46509558.53,,,1573.0,0.22,,,,1.81,9964.0,31797.0,,,0.22,1573.0,,5284.0,16269.0,52.62,0.88,,,11.4,11.4,8216068.0,361642619.26,,416.32,11.22,18.91,0.2468,38.62,0.2229
2006-07-11,2021930.0,88207936.38,3.0,4.75,3.0,105.55,1.0,67088776.96,1050295.0,1537830.0,45819763.56,,,455.0,,,,,0.4,,6800.0,,,,455.0,,,42682.0,52.05,2.31,,,11.48,11.48,8100643.0,353395519.33,,407.72,11.32,18.95,0.2538,39.63,0.221
2006-07-12,2027541.0,86535844.76,3.0,4.79,3.0,104.67,1.0,65438640.37,1052630.0,1533232.0,44926453.41,,8000.0,3940.0,0.08,0.38,,,0.69,5945.0,11708.0,,8000.0,0.08,3940.0,,2103.0,10542.0,51.56,0.86,,,11.62,11.62,8003701.0,341599517.45,,395.29,11.54,18.76,0.252,39.44,0.2239
2006-07-13,2189706.0,91526229.42,3.24,5.03,3.24,110.81,1.0,62822258.03,1206258.0,1502982.0,50419666.59,,,119526.0,0.37,,6000.0,,0.34,8000.0,2104.0,,,0.37,119526.0,0.28,44206.0,44251.0,57.57,2.49,0.38,,13.35,13.35,7830179.0,327289033.11,8000.0,380.26,13.15,16.92,0.2239,37.43,0.2423
2006-07-14,2176831.0,91027652.13,3.22,4.86,3.22,109.68,1.0,62598517.12,1196758.0,1496978.0,50044340.1,,,3886.0,,,,,0.7,,13386.0,,,,3886.0,,,6003.0,56.52,0.39,,,13.24,13.24,7841499.0,327904758.4,,378.25,13.0,16.74,0.226,37.81,0.2408
2006-07-17,2181578.0,87874585.86,3.23,4.99,3.23,108.76,1.0,60482782.94,1202553.0,1501548.0,48439178.82,,,5794.0,1.52,,,,,37060.0,,,,1.52,5794.0,,,32491.0,56.13,1.84,,,13.16,13.16,7936722.0,319693432.39,,378.48,12.91,16.89,0.2239,38.13,0.2387
2006-07-18,2107100.0,69914749.74,3.12,4.66,3.12,99.31,1.0,47379179.66,1220861.0,1427920.0,40508846.89,,,14138.0,0.0,,,,0.78,18473.0,973.0,,,0.0,14138.0,,5143.0,92101.0,52.63,4.09,,,13.42,13.42,7874978.0,261296149.26,,350.19,13.06,17.82,0.2466,41.84,0.2317
2006-07-19,2013115.0,65698254.22,2.98,3.42,2.98,90.48,1.0,45525636.61,1008962.0,1394989.0,32927598.26,,,27100.0,0.26,,,,11.21,16565.0,249035.0,,,0.26,27100.0,,10036.0,49496.0,39.23,3.12,,,12.52,12.52,7046719.0,229970536.34,,285.11,12.1,16.11,0.2644,45.05,0.2499
2006-07-20,2120513.0,69800777.47,3.14,3.39,3.14,93.28,1.0,46158126.84,1110694.0,1402261.0,36560636.38,,,101732.0,0.02,,,,,7272.0,,,,0.02,101732.0,,,,41.7,,,,14.69,14.69,6449939.0,212312189.0,,255.25,14.04,15.37,0.253,43.7,0.2805
2006-07-21,1787623.0,56535489.71,2.65,2.64,2.65,80.97,1.0,43798406.38,791391.0,1384883.0,25028586.98,,,2800.0,0.06,,,,11.42,989.0,322102.0,,,0.06,2800.0,,,18367.0,30.05,0.41,,,11.23,11.23,6257419.0,197897569.85,,247.62,10.82,17.86,0.3065,50.35,0.2536
2006-07-24,1795664.0,57769210.78,2.66,2.55,2.66,80.05,1.0,44934421.6,774217.0,1396715.0,24907724.98,,,6952.0,0.0,,,,1.04,19841.0,24126.0,,,0.0,6952.0,,,8009.0,29.0,0.57,,,10.98,10.98,6275568.0,201894458.29,,245.12,10.58,17.36,0.3099,50.81,0.2547
2006-07-25,1682706.0,54563490.95,2.49,2.34,2.49,76.5,1.0,44823065.42,668304.0,1382317.0,21670451.79,,,,,,,,3.55,,105913.0,,,,,,,14398.0,25.65,0.37,,,9.61,9.61,6285080.0,203800251.33,,248.76,9.35,18.48,0.3382,53.17,0.242
2006-07-26,1681743.0,54608704.63,2.49,2.28,2.49,79.92,1.0,36734414.59,739107.0,1131282.0,23999907.15,,,,,,5201.0,,6.6,,186747.0,,,,,0.25,257550.0,256237.0,30.92,8.5,,,9.92,9.92,6710864.0,217911767.73,,274.73,10.12,20.63,0.3364,50.89,0.2257
2006-07-27,1762740.0,58104110.26,2.61,2.37,2.61,83.15,1.0,40687809.14,732401.0,1234371.0,24141681.96,,,5974.0,0.02,,100000.0,,0.88,3089.0,24825.0,,,0.02,5974.0,4.04,12146.0,,30.62,,,,10.8,10.8,6047203.0,199330218.79,,243.87,11.16,19.88,0.3139,48.91,0.26
2006-07-28,1845583.0,60566374.69,2.73,2.43,2.73,85.6,1.0,40980244.24,805121.0,1248753.0,26421602.37,,,98320.0,0.43,,,,0.91,14382.0,25600.0,,,0.43,98320.0,,,,33.16,,,,12.33,12.33,5722791.0,187804452.03,,231.45,12.53,19.38,0.2993,47.49,0.2827
2006-07-31,1862748.0,61519146.22,2.76,2.4,2.76,86.17,1.0,42169962.74,808682.0,1276871.0,26707545.09,,,10206.0,1.11,,,,0.75,28249.0,20613.0,,,1.11,10206.0,,13969.0,131.0,33.21,0.06,,,12.45,12.45,5684947.0,187751153.52,,229.55,12.64,19.25,0.303,47.95,0.2869
2006-08-01,1814562.0,58608123.32,2.69,2.31,2.69,84.57,1.0,39737695.3,806494.0,1230316.0,26048765.38,,,,0.65,,,,0.0,18600.0,2188.0,,,0.65,,,,65155.0,33.27,2.31,,,12.61,12.61,5591086.0,180585208.88,,225.6,12.85,19.64,0.3131,48.63,0.2836
2006-08-02,1764755.0,56502097.29,2.61,2.19,2.61,82.65,1.0,37843186.98,803156.0,1181973.0,25714616.73,,,880.0,0.46,,,,0.39,9770.0,9203.0,,,0.46,880.0,,4984.0,58113.0,32.88,2.06,,,11.45,11.45,6210804.0,198851088.01,,253.0,11.5,19.93,0.3058,47.66,0.2516
2006-08-03,1761998.0,55196492.38,2.61,2.17,2.61,82.31,1.0,36874619.33,803953.0,1177122.0,25184696.94,,,1657.0,,,,,0.08,,1360.0,,,,1657.0,,500.0,4851.0,32.79,0.27,,,12.79,12.79,5480148.0,171671561.11,,218.23,13.06,20.08,0.3076,47.85,0.2804
2006-08-04,1918457.0,60324457.83,2.84,2.32,2.84,86.45,1.0,41539374.8,926116.0,1321048.0,29121030.91,,,22164.0,3.84,,15675.0,,,128251.0,,,,3.84,22164.0,0.54,100000.0,,35.96,,,,14.38,14.38,5515221.0,173422034.81,,214.55,14.35,18.98,0.2849,46.19,0.2978
2006-08-07,2070529.0,64183957.64,3.07,2.46,3.07,90.88,1.0,45363550.51,1030928.0,1463396.0,31957552.43,,,96328.0,4.35,,,,0.41,142348.0,11936.0,,,4.35,96328.0,,20420.0,,39.23,,,,15.87,15.87,5463907.0,169374674.5,,209.75,15.76,18.08,0.2672,44.4,0.3188
2006-08-08,2063385.0,64112560.72,3.06,2.46,3.06,90.21,1.0,45205463.19,1030310.0,1454883.0,32013323.95,,,1482.0,,,,,0.13,,2100.0,,,,1482.0,,,8513.0,38.84,0.38,,,15.83,15.83,5479505.0,170256688.4,,209.34,15.65,18.16,0.2697,44.73,0.317
2006-08-09,2163311.0,67079755.95,3.2,2.58,3.2,93.05,1.0,49261338.7,999087.0,1588670.0,30979601.24,,,2789.0,4.42,,,,1.58,133787.0,34012.0,,,4.42,2789.0,,,,37.25,,,,15.51,15.51,5442612.0,168764031.02,,205.11,15.37,15.88,0.2658,45.17,0.3358
2006-08-10,2165291.0,66117598.44,3.21,2.57,3.21,93.1,1.0,48417532.62,1005746.0,1585630.0,30710657.44,,,5685.0,0.94,,,,0.01,27616.0,125.0,,,0.94,5685.0,,1099.0,30656.0,37.52,1.06,,,16.02,16.02,5271589.0,160969035.87,,198.62,15.89,15.88,0.2646,45.15,0.3449
2006-08-11,2186778.0,67211047.29,3.24,2.61,3.24,93.05,1.0,48744266.67,1070791.0,1585943.0,32910969.72,,,58912.0,0.0,,,,,6313.0,,,,0.0,58912.0,,6133.0,6000.0,37.87,0.31,,,16.18,16.18,5547024.0,170488861.88,,199.51,15.95,15.95,0.2642,45.17,0.3304
2006-08-14,2162629.0,66999630.01,3.2,2.58,3.2,92.43,1.0,48133442.75,978923.0,1553662.0,30327660.83,,,10757.0,2.86,,,,3.36,84833.0,102625.0,,,2.86,10757.0,,,117114.0,34.85,3.79,,,14.19,14.19,5917347.0,183323195.81,,214.67,13.97,15.98,0.2617,44.89,0.3136
2006-08-15,2134173.0,70037013.55,3.16,2.53,3.16,91.72,1.0,49886038.03,983998.0,1520131.0,32291796.99,,,40509.0,0.29,,,,1.39,7004.0,42139.0,,,0.29,40509.0,,6705.0,40535.0,35.25,1.38,,,14.46,14.46,5820011.0,190994914.31,,216.96,13.98,16.16,0.258,44.31,0.3137
2006-08-16,2156991.0,72668223.61,3.19,2.54,3.19,94.52,1.0,50744664.74,1014002.0,1506240.0,34161349.81,,,37015.0,0.81,,,,0.0,10969.0,7011.0,,,0.81,37015.0,,,24860.0,38.14,0.78,,,14.74,14.74,5863174.0,197528148.84,,226.04,14.44,16.55,0.2485,43.0,0.3136
2006-08-17,2039518.0,70267992.85,3.02,2.33,3.02,91.46,1.0,48362557.16,899053.0,1403716.0,30975284.25,,,,,,,,3.94,,115942.0,,,,,,994.0,102524.0,34.92,3.19,,,13.54,13.54,5741333.0,197807494.82,,226.99,13.33,17.22,0.2656,44.43,0.3071
2006-08-18,2124491.0,72133382.49,3.15,2.37,3.15,95.27,1.0,50581724.3,889386.0,1489746.0,30197548.74,,,,1.83,,50000.0,,0.33,42735.0,9667.0,,,1.83,,1.87,,6705.0,34.95,0.23,,,13.4,13.4,5748817.0,195191043.66,,227.09,13.34,16.64,0.25,42.83,0.32
2006-08-21,2183395.0,73736399.15,3.23,2.5,3.23,97.27,1.0,50052959.18,946811.0,1482109.0,31975173.44,,,1843.0,1.26,,,,0.35,33408.0,9115.0,,,1.26,1843.0,,64697.0,41044.0,36.82,1.61,,,13.63,13.63,5999707.0,202618761.22,,235.2,13.54,16.32,0.2343,41.18,0.3143
2006-08-22,2047380.0,70185239.27,3.03,2.34,3.03,88.87,1.0,45936403.31,946360.0,1340015.0,32441707.47,,,6079.0,0.24,,,,0.24,13425.0,6531.0,,,0.24,6079.0,,,155519.0,36.58,8.59,,,13.59,13.59,6016749.0,206257249.86,,235.5,13.44,17.77,0.2112,36.71,0.294
2006-08-23,2108158.0,75450021.44,3.12,2.4,3.12,86.55,1.0,48575757.39,989891.0,1357261.0,35427751.23,,,43531.0,0.27,,,,,24153.0,,,,0.27,43531.0,,,6907.0,34.23,0.26,,,13.32,13.32,6443008.0,230592342.56,,243.39,12.33,17.4,0.2131,37.69,0.2836
2006-08-24,2135800.0,78225553.63,3.16,2.39,3.16,88.55,1.0,50697689.03,1004984.0,1384204.0,36808422.97,,,700.0,1.55,,,,,33885.0,,,,1.55,700.0,,14393.0,6942.0,35.62,0.11,,,13.57,13.57,6399840.0,234399769.23,,245.99,12.65,17.76,0.2073,36.72,0.2884
2006-08-25,2146396.0,78457545.86,3.18,2.38,3.18,89.26,1.0,50856148.79,1008759.0,1391293.0,36873324.17,,,3775.0,0.37,,,,,7088.0,,,,0.37,3775.0,,,,36.14,,,,13.63,13.63,6390942.0,233609094.05,,246.47,12.79,18.03,0.2058,36.42,0.2901
2006-08-28,2157896.0,80035280.06,3.2,2.37,3.2,90.45,1.0,51616638.84,1019367.0,1391678.0,37807810.63,,,11115.0,0.16,,6789.0,,0.02,4000.0,507.0,,,0.16,11115.0,0.27,,10404.0,37.13,0.29,,,13.87,13.87,6331768.0,234842098.59,,247.17,13.06,17.75,0.2023,35.94,0.2935
2006-08-29,2270311.0,84782571.38,3.36,2.52,3.36,95.34,1.0,55754344.15,1032812.0,1492992.0,38569366.54,,,170.0,3.71,,11115.0,,0.15,90200.0,3619.0,,,3.71,170.0,0.45,16894.0,,37.95,,,,14.06,14.06,6314497.0,235808791.24,,247.73,13.28,17.09,0.2025,36.51,0.309
