,ATO FP Equity_DX_SI_QTY,ATO FP Equity_DX_SHORT_INTEREST_VALUE,ATO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ATO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ATO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ATO FP Equity_DX_SI_MV,ATO FP Equity_DX_DSS,ATO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ATO FP Equity_DX_SUPPLY_SI_QTY,ATO FP Equity_DX_BROKER_SI_QTY,ATO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ATO FP Equity_DX_BROKER_SI_MV_NEW_x,ATO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ATO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ATO FP Equity_DX_BROKER_SI_MV_INC_x,ATO FP Equity_DX_SUPPLY_SI_MV_NEW,ATO FP Equity_DX_BROKER_SI_QTY_ADD,ATO FP Equity_DX_BROKER_SI_QTY_NEW,ATO FP Equity_DX_SUPPLY_SI_MV_DEC,ATO FP Equity_DX_BROKER_SI_QTY_INC,ATO FP Equity_DX_SUPPLY_SI_QTY_DEC,ATO FP Equity_DX_BROKER_SI_MV_NEW_y,ATO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ATO FP Equity_DX_BROKER_SI_MV_INC_y,ATO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ATO FP Equity_DX_BROKER_SI_MV_ADD,ATO FP Equity_DX_SUPPLY_SI_QTY_ADD,ATO FP Equity_DX_BROKER_SI_QTY_DEC,ATO FP Equity_DX_SUPPLY_SI_MV,ATO FP Equity_DX_BROKER_SI_MV_DEC,ATO FP Equity_DX_SUPPLY_SI_MV_RMV,ATO FP Equity_DX_BROKER_SI_MV_RMV,ATO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ATO FP Equity_DX_UTILIZATION_QUANTITY,ATO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ATO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ATO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ATO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ATO FP Equity_DX_ACTIVE_UTILIZATION_MV,ATO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ATO FP Equity_DX_BROKER_SI_CON_RATIO,ATO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ATO FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,1952097.0,104965587.02,2.9,5.41,2.9,109.68,1.0,67138933.87,1258300.0,1248616.0,67659649.16,27.87,,4307.0,1.03,,,473931.0,0.39,17046.0,19488.0,27.87,,1.03,4307.0,,239911.0,44186.0,69.4,1.19,,,12.5,12.5,8805874.0,473497850.57,,506.68,12.05,22.08,0.1849,26.5,0.194
2006-01-11,2225716.0,122510888.96,3.31,5.29,3.31,131.47,1.0,81679338.57,1437960.0,1483909.0,79150151.19,,,125528.0,17.5,,145794.0,,0.0,268324.0,17100.0,,,17.5,125528.0,9.18,71232.0,178825.0,83.66,9.01,,,14.16,14.16,8714810.0,479692431.67,,522.96,13.79,13.95,0.1943,34.84,0.2192
2006-01-18,2665410.0,146228522.91,3.96,6.32,3.96,156.28,1.0,103885391.42,1531158.0,1893592.0,84001700.56,,,142928.0,23.43,,2870.0,,3.46,414655.0,57497.0,,,23.43,142928.0,0.17,7767.0,7842.0,89.03,0.51,,,14.67,14.67,8906308.0,488613858.06,,531.59,14.35,16.82,0.1739,30.48,0.2554
2006-01-25,2365813.0,129146970.05,3.51,5.3,3.51,138.36,1.0,79353329.59,1510276.0,1453655.0,82444203.89,,,32016.0,1.76,,,,7.98,19521.0,128850.0,,,1.76,32016.0,,75952.0,459458.0,87.21,27.77,,,14.35,14.35,9013311.0,492026126.22,,535.95,13.99,19.36,0.208,36.26,0.2248
2006-02-01,2627023.0,148898776.38,3.9,5.65,3.9,160.17,1.0,91689669.4,1767498.0,1617682.0,100181189.68,,276232.0,94722.0,12.56,17.24,31001.0,,4.61,170374.0,97163.0,,276232.0,12.56,94722.0,2.0,98135.0,37348.0,106.32,0.78,6.73,,16.75,16.75,8785473.0,497957642.42,114703.0,541.78,16.4,16.91,0.1977,36.8,0.2489
2006-02-08,3038641.0,164494717.25,4.51,6.34,4.51,179.37,1.0,115622537.79,1727588.0,2135846.0,93521774.9,,,106263.0,21.33,,310334.0,,9.38,404691.0,146173.0,,,21.33,106263.0,18.45,,196861.0,100.93,12.62,,,16.28,16.28,8881693.0,480804273.61,,530.76,15.98,11.69,0.222,42.08,0.2864
2006-02-15,3038233.0,169167902.86,4.51,6.21,4.51,182.72,1.0,121663263.21,1744471.0,2185056.0,97131622.45,70.93,30766.0,117878.0,14.01,1.85,,1156301.0,6.92,225159.0,131761.0,70.93,30766.0,14.01,117878.0,,,124756.0,103.73,7.33,,72.06,16.59,16.59,8768512.0,488228120.18,,534.45,16.25,14.22,0.2204,40.63,0.289
2006-02-22,2829634.0,156395639.55,4.2,6.63,4.2,168.64,1.0,119323475.84,1507106.0,2158895.0,83298690.48,,,25438.0,1.16,,12500.0,,17.19,23430.0,278056.0,,,1.16,25438.0,0.76,45539.0,62090.0,88.59,3.84,1.83,,16.46,16.46,7648341.0,422728586.86,30286.0,464.07,16.03,14.71,0.2263,41.69,0.3091
2006-03-01,2680732.0,143657400.61,3.98,6.19,3.98,154.66,1.0,110700781.0,1476892.0,2065742.0,79144974.47,,71836.0,1576.0,,4.15,,,7.19,,93913.0,,71836.0,,1576.0,,137.0,93153.0,83.56,8.03,0.53,,14.76,14.76,8526428.0,456921647.9,9850.0,499.7,14.33,15.43,0.2434,43.92,0.268
2006-03-08,2734117.0,142665769.61,4.06,6.95,4.06,155.03,1.0,110759419.05,1507894.0,2122648.0,78681657.73,,,49877.0,2.06,,30000.0,,4.75,61682.0,77813.0,,,2.06,49877.0,1.76,58939.0,34776.0,84.31,2.11,,,15.14,15.14,8448496.0,440841113.92,,488.05,14.73,15.42,0.2445,44.12,0.2746
2006-03-15,2698331.0,148770500.45,4.01,7.68,4.01,158.79,1.0,115184249.06,1431480.0,2089159.0,78923599.8,,,1544.0,,,,,3.18,,77958.0,,,,1544.0,,,33489.0,82.57,0.86,,,14.4,14.4,8511836.0,469293834.39,,509.68,13.94,15.3,0.2545,45.47,0.2714
2006-03-22,2672068.0,150480287.64,3.97,7.24,3.97,161.15,1.0,113730523.81,1484600.0,2019505.0,83606792.58,,30174.0,40419.0,1.73,1.83,,,0.8,9937.0,17474.0,,30174.0,1.73,40419.0,,,79591.0,88.08,3.82,,,14.49,14.49,8762132.0,493448573.8,,538.71,14.05,15.41,0.2615,46.09,0.2608
2006-03-29,2642918.0,145715345.34,3.92,6.88,3.92,156.66,1.0,111522561.88,1437495.0,2022745.0,79255232.42,,,27735.0,1.04,,,,3.23,25169.0,48521.0,,,1.04,27735.0,,3855.0,21929.0,83.9,2.4,1.83,,14.34,14.34,8587117.0,473444397.1,30174.0,519.38,13.91,15.7,0.2639,46.29,0.2636
2006-04-05,2372974.0,131155755.96,3.52,5.98,3.52,140.53,1.0,98350484.5,1368536.0,1779435.0,75639839.98,,,2319.0,2.33,,16000.0,,4.27,37160.0,71278.0,,,2.33,2319.0,0.96,,223859.0,79.77,13.4,,4.38,13.73,13.73,8595352.0,475070476.66,,520.35,13.29,17.56,0.2501,43.43,0.2382
2006-04-12,2413120.0,135787678.68,3.58,5.75,3.58,149.6,1.0,106503621.2,1369524.0,1892705.0,77063919.27,,,111433.0,8.23,,2847.0,,0.0,117031.0,73610.0,,,8.23,111433.0,0.18,27150.0,6608.0,85.31,0.0,3.8,,15.06,15.06,7724615.0,434668619.7,63984.0,481.1,15.06,17.1,0.2566,44.67,0.2653
2006-04-19,2416828.0,136216033.3,3.59,5.71,3.59,152.96,1.0,106400860.1,1371880.0,1887829.0,77321204.39,,28914.0,20122.0,3.19,1.83,,,2.46,25000.0,46680.0,,28914.0,3.19,20122.0,,,29876.0,85.78,0.23,,,15.04,15.04,7751604.0,436891971.04,,483.57,15.07,16.32,0.2675,46.13,0.2649
2006-04-26,2313701.0,124619609.16,3.43,5.61,3.43,138.01,1.0,97647611.23,1352218.0,1812936.0,72832608.3,,,33714.0,0.0,,,,1.84,22700.0,24461.0,,,0.0,33714.0,,,97594.0,80.71,11.73,1.83,,15.12,15.12,7591878.0,408910602.18,28914.0,452.37,15.14,17.6,0.2457,43.0,0.2587
2006-05-03,2649667.0,140186139.92,3.92,5.95,3.92,154.91,1.0,107653154.11,1383624.0,2034759.0,73203503.56,,20718.0,2805.0,16.91,1.2,,,10.72,295254.0,166483.0,,20718.0,16.91,2805.0,,174365.0,73431.0,80.85,5.79,,,15.01,15.01,7836218.0,414591400.74,,457.44,15.02,21.02,0.2256,37.6,0.2874
2006-05-10,2302098.0,121588005.89,3.41,5.27,3.41,134.24,1.0,97357160.55,1107022.0,1843321.0,58468665.3,,,65792.0,13.0,,,,20.28,223000.0,342394.0,,,13.0,65792.0,,,414438.0,64.27,24.2,,,12.55,12.55,7716344.0,407547758.48,,448.31,12.54,24.27,0.2105,32.34,0.2609
2006-05-17,2278196.0,115872925.45,3.37,5.3,3.37,130.57,1.0,92122087.45,1076544.0,1811227.0,54754859.84,,,16644.0,0.0,,,,3.47,319.0,56233.0,,,0.0,16644.0,,9111.0,32413.0,61.2,2.7,,,14.48,14.48,6357497.0,323353116.21,,360.64,14.51,23.44,0.2119,33.09,0.3065
2006-05-24,2349265.0,113294334.49,3.48,5.06,3.48,129.62,1.0,84477657.82,1187279.0,1751724.0,57257050.25,,33160.0,162010.0,0.42,1.83,,,5.98,8783.0,85298.0,,33160.0,0.42,162010.0,,863.0,68285.0,64.13,5.14,,,13.81,13.81,7412525.0,357472267.61,,401.42,13.77,22.36,0.2181,33.95,0.2732
2006-05-31,2292202.0,111896877.78,3.4,5.1,3.4,127.31,1.0,86627155.96,1256622.0,1774553.0,61343667.94,,153783.0,4000.0,1.47,8.52,,,6.07,23397.0,115758.0,,153783.0,1.47,4000.0,,60478.0,568.0,68.61,0.02,1.83,,13.07,13.07,8360635.0,408135475.3,33160.0,455.77,13.08,23.03,0.2202,33.45,0.2383
2006-06-07,2158708.0,100768581.43,3.2,4.52,3.2,117.67,1.0,76794738.51,1206805.0,1645130.0,56333708.83,,,11129.0,0.57,,120000.0,,5.38,11571.0,79774.0,,,0.57,11129.0,6.16,18829.0,260994.0,63.9,15.43,,,12.42,12.42,8507677.0,397138724.9,,449.63,12.44,19.45,0.2239,35.85,0.2222
2006-06-14,2115807.0,95457733.99,3.13,4.83,3.13,112.83,1.0,72308430.31,1192362.0,1602706.0,53795159.3,,,1201.0,0.05,,,,1.49,1336.0,15644.0,,,0.05,1201.0,,,43760.0,60.94,2.87,,,12.63,12.63,8247850.0,372113841.82,,424.01,12.57,19.56,0.2347,37.29,0.2241
2006-06-21,2147633.0,103375310.96,3.18,4.87,3.18,118.28,1.0,77175059.04,1163610.0,1603320.0,56009823.65,,33279.0,6760.0,1.31,1.83,,,3.5,10258.0,68792.0,,33279.0,1.31,6760.0,,,9644.0,62.35,0.47,,,12.53,12.53,8121781.0,390938133.48,,437.26,12.48,19.91,0.236,37.12,0.2313
2006-06-28,2055835.0,94845143.51,3.05,4.74,3.05,110.78,1.0,72036977.2,1074830.0,1561452.0,49586861.59,,,5000.0,0.16,,,,3.96,3486.0,63815.0,,,0.16,5000.0,,3315.0,45354.0,55.48,3.11,1.83,,11.69,11.69,8117309.0,374488875.35,33279.0,424.05,11.57,19.15,0.2421,37.98,0.2237
2006-07-03,2067624.0,96516776.43,3.06,5.09,3.06,112.05,1.0,72251696.72,1111750.0,1547807.0,51896537.38,,33442.0,,0.19,1.8,,,0.59,1746.0,15974.0,,33442.0,0.19,,,27452.0,15391.0,57.98,0.82,0.41,,12.14,12.14,8043397.0,375466114.72,8000.0,422.77,12.06,19.13,0.2504,39.16,0.2258
2006-07-04,2070983.0,95826386.6,3.07,5.19,3.07,112.02,1.0,71763355.16,1116587.0,1550937.0,51665560.53,,,4836.0,0.12,,,,,3130.0,,,,0.12,4836.0,,,,58.14,,,,12.13,12.13,8087107.0,374198263.26,,424.5,12.05,18.97,0.2502,39.18,0.225
