,NRAM FP Equity_PX_LAST
2016-11-17,51.8504
2016-11-18,52.1503
2016-11-21,52.3273
2016-11-22,52.3652
2016-11-23,52.7127
2016-11-24,52.8924
2016-11-25,52.7866
2016-11-28,52.7468
2016-11-29,52.6892
2016-11-30,52.921
2016-12-01,52.3903
2016-12-02,52.15
2016-12-05,52.13
2016-12-06,52.05
2016-12-07,52.21
2016-12-08,53.52
2016-12-09,54.11
2016-12-12,54.02
2016-12-13,53.97
2016-12-14,53.87
2016-12-15,55.18
2016-12-16,54.81
2016-12-19,54.81
2016-12-20,55.34
2016-12-21,55.07
2016-12-22,54.67
2016-12-23,54.75
2016-12-27,54.92
2016-12-28,55.09
2016-12-29,54.31
2016-12-30,53.91
2017-01-02,54.59
2017-01-03,54.76
2017-01-04,54.9
2017-01-05,54.22
2017-01-06,54.68
2017-01-09,54.55
2017-01-10,54.58
2017-01-11,54.72
2017-01-12,53.79
2017-01-13,54.47
2017-01-16,54.41
2017-01-17,53.82
2017-01-18,53.96
2017-01-19,54.16
2017-01-20,54.07
2017-01-23,53.47
2017-01-24,53.7
2017-01-25,54.27
2017-01-26,54.74
2017-01-27,54.5
2017-01-30,53.96
2017-01-31,53.39
2017-02-01,53.81
2017-02-02,53.68
2017-02-03,54.13
2017-02-06,54.31
2017-02-07,54.55
2017-02-08,54.453
2017-02-09,55.06
2017-02-10,55.258
2017-02-13,55.81
2017-02-14,55.99
2017-02-15,56.29
2017-02-16,55.9
2017-02-17,56.06
2017-02-20,56.41
2017-02-21,56.91
2017-02-22,56.98
2017-02-23,56.715
2017-02-24,56.636
2017-02-27,56.59
2017-02-28,56.58
2017-03-01,57.442
2017-03-02,57.465
2017-03-03,57.14
2017-03-06,56.78
2017-03-07,56.81
2017-03-08,56.97
2017-03-09,56.71
2017-03-10,56.355
2017-03-13,56.38
2017-03-14,56.315
2017-03-15,56.67
2017-03-16,56.33
2017-03-17,56.25
2017-03-20,56.12
2017-03-21,55.283
2017-03-22,55.091
2017-03-23,55.51
2017-03-24,55.224
2017-03-27,54.573
2017-03-28,55.019
2017-03-29,55.733
2017-03-30,56.133
2017-03-31,56.277
2017-04-03,56.034
2017-04-04,56.177
2017-04-05,56.498
2017-04-06,56.324
2017-04-07,56.433
2017-04-10,56.554
2017-04-11,56.066
2017-04-12,56.215
2017-04-13,56.146
2017-04-18,55.629
2017-04-19,55.782
2017-04-20,55.448
2017-04-21,55.869
2017-04-24,55.465
2017-04-25,55.464
2017-04-26,56.008
2017-04-27,55.747
2017-04-28,55.553
2017-05-02,55.578
2017-05-03,55.422
2017-05-04,55.359
2017-05-05,55.225
2017-05-08,55.656
2017-05-09,55.939
2017-05-10,56.005
2017-05-11,55.778
2017-05-12,55.557
2017-05-15,55.569
2017-05-16,55.027
2017-05-17,54.058
2017-05-18,54.025
2017-05-19,54.069
2017-05-22,54.073
2017-05-23,54.223
2017-05-24,54.574
2017-05-25,54.675
2017-05-26,54.878
2017-05-29,54.892
2017-05-30,54.783
2017-05-31,54.359
2017-06-01,54.778
2017-06-02,54.831
