,AEME FP Equity_DX_SI_QTY,AEME FP Equity_DX_SHORT_INTEREST_VALUE,AEME FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AEME FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AEME FP Equity_DX_SI_MV,AEME FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AEME FP Equity_DX_SUPPLY_SI_QTY,AEME FP Equity_DX_BROKER_SI_QTY,AEME FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AEME FP Equity_DX_SUPPLY_SI_QTY_INC_x,AEME FP Equity_DX_BROKER_SI_MV_INC_x,AEME FP Equity_DX_BROKER_SI_QTY_ADD,AEME FP Equity_DX_SUPPLY_SI_MV_DEC,AEME FP Equity_DX_BROKER_SI_QTY_INC,AEME FP Equity_DX_SUPPLY_SI_QTY_DEC,AEME FP Equity_DX_BROKER_SI_MV_INC_y,AEME FP Equity_DX_SUPPLY_SI_QTY_INC_y,AEME FP Equity_DX_BROKER_SI_MV_ADD,AEME FP Equity_DX_SUPPLY_SI_QTY_ADD,AEME FP Equity_DX_BROKER_SI_QTY_DEC,AEME FP Equity_DX_SUPPLY_SI_MV,AEME FP Equity_DX_BROKER_SI_MV_DEC,AEME FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AEME FP Equity_DX_UTILIZATION_QUANTITY,AEME FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AEME FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AEME FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AEME FP Equity_DX_ACTIVE_UTILIZATION_MV,AEME FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AEME FP Equity_DX_BROKER_SI_CON_RATIO,AEME FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AEME FP Equity_DX_DEMAND_SUPPLY_RATIO,AEME FP Equity_PX_LAST
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.081
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.393
2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.612
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.911
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.851
2017-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.605
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.961
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.346
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.469
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.542
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.443
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.376
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.149
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.45
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.595
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.605
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.34
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.135
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.911
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.705
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.67
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.925
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.875
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.215
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.64
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.221
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.527
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.883
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.242
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.095
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.13
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.535
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.507
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.018
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.055
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.187
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.567
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.856
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.717
2017-07-18,10000.0,513270.0,1.59,0.1,0.52,513270.0,0.0,10000.0,0.0,,,10000.0,,,,,,0.52,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,51.327
2017-07-19,10000.0,520150.0,1.59,0.1,0.51,520150.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,52.015
2017-07-20,10000.0,514430.0,1.11,0.1,0.52,514430.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,51.443
2017-07-21,10000.0,512650.0,0.99,0.1,0.51,512650.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,51.265
2017-07-24,10000.0,514600.0,0.73,0.1,0.51,514600.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,51.46
2017-07-25,10000.0,514900.0,0.72,0.1,0.51,514900.0,0.0,10000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,51.49
2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.585
2017-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.86
2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.931
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.913
2017-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.125
2017-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.79
2017-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.547
2017-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.285
2017-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471
2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1
2017-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.24
2017-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.522
2017-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
2017-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.814
2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.835
2017-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.416
2017-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.155
2017-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.23
2017-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.057
2017-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.78
2017-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.715
2017-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.865
2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.877
2017-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.47
2017-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.915
2017-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.527
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.816
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.211
2017-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.668
2017-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.558
2017-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.481
2017-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.563
2017-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.265
2017-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.137
2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.284
2017-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.222
2017-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.424
2017-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.234
2017-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.677
2017-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.464
2017-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.484
2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.602
2017-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.138
2017-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.835
2017-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.013
2017-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.742
2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.564
2017-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.069
2017-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.548
2017-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.122
2017-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.211
2017-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.822
2017-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.445
2017-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.285
2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.596
2017-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.595
2017-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.827
2017-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.161
2017-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.398
2017-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.258
2017-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.323
2017-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.466
2017-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.029
2017-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.827
2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.85
2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.217
2017-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.877
2017-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.59
2017-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.302
2017-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.568
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.129
2017-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.791
2017-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.948
2017-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.336
2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.317
2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.427
2017-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.867
2017-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.579
2017-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.549
2017-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.772
2017-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.337
2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.343
2017-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.706
2017-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.03
2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.072
2017-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.634
2017-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.373
2017-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.046
2017-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.349
2017-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.828
2017-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.191
2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.51
