,ALDAR FP Equity_DX_SI_QTY,ALDAR FP Equity_DX_SHORT_INTEREST_VALUE,ALDAR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALDAR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALDAR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALDAR FP Equity_DX_SI_MV,ALDAR FP Equity_DX_DSS,ALDAR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALDAR FP Equity_DX_SUPPLY_SI_QTY,ALDAR FP Equity_DX_BROKER_SI_QTY,ALDAR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALDAR FP Equity_DX_BROKER_SI_MV_NEW_x,ALDAR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALDAR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALDAR FP Equity_DX_BROKER_SI_MV_INC_x,ALDAR FP Equity_DX_SUPPLY_SI_MV_NEW,ALDAR FP Equity_DX_BROKER_SI_QTY_ADD,ALDAR FP Equity_DX_BROKER_SI_QTY_NEW,ALDAR FP Equity_DX_SUPPLY_SI_MV_DEC,ALDAR FP Equity_DX_BROKER_SI_QTY_INC,ALDAR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALDAR FP Equity_DX_BROKER_SI_MV_NEW_y,ALDAR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALDAR FP Equity_DX_BROKER_SI_MV_INC_y,ALDAR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALDAR FP Equity_DX_BROKER_SI_MV_ADD,ALDAR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALDAR FP Equity_DX_BROKER_SI_QTY_DEC,ALDAR FP Equity_DX_SUPPLY_SI_MV,ALDAR FP Equity_DX_BROKER_SI_MV_DEC,ALDAR FP Equity_DX_SUPPLY_SI_MV_RMV,ALDAR FP Equity_DX_BROKER_SI_MV_RMV,ALDAR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALDAR FP Equity_DX_UTILIZATION_QUANTITY,ALDAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALDAR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALDAR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALDAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALDAR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALDAR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALDAR FP Equity_DX_BROKER_SI_CON_RATIO,ALDAR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALDAR FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,4627.0,101217.07,0.18,0.89,0.06,0.14,0.0,101217.07,0.0,4627.0,0.0,,,,0.0,,,,,133.0,,,,0.0,,,,,0.0,,,,0.0,0.0,76126.0,1665279.97,,2.32,0.0,,1.0,100.0,0.0608
2006-01-11,14209.0,326326.83,0.54,2.13,0.18,0.45,0.0,326326.83,0.0,14209.0,0.0,,,,0.31,,,,,9582.0,,,,0.31,,,,,0.0,,,,0.0,0.0,70285.0,1614179.82,,2.25,0.0,,1.0,100.0,0.2022
2006-01-18,999.0,22936.07,0.04,0.16,0.01,0.03,0.0,22936.07,0.0,999.0,0.0,,,,,,,,,,,,,,,,,13209.0,0.0,0.42,,,0.0,0.0,70883.0,1627404.89,,2.27,0.0,,1.0,100.0,0.0141
2006-01-25,913.0,20961.59,0.03,0.16,0.01,0.03,0.0,20961.59,0.0,913.0,0.0,,,,,,,,,,,,,,,,,86.0,0.0,0.0,,,0.0,0.0,71025.0,1630665.07,,2.24,0.0,,1.0,100.0,0.0129
2006-02-01,408.0,9077.39,0.02,0.15,0.01,0.01,0.0,9077.39,0.0,408.0,0.0,,,,,,,,,,,,,,,,,505.0,0.0,0.02,,,0.0,0.0,69889.0,1554926.29,,2.17,0.0,,1.0,100.0,0.0058
2006-02-08,13841.0,307246.31,0.53,5.51,0.18,0.43,0.0,307246.31,0.0,13841.0,0.0,,,,0.42,,,,,13433.0,,,,0.42,,,,,0.0,,,,0.0,0.0,69974.0,1553302.02,,2.17,0.0,,1.0,100.0,0.1978
2006-02-15,315.0,6994.72,0.01,0.13,0.0,0.01,0.0,6994.72,0.0,315.0,0.0,,,,,,,,,,,,,,,,,13525.0,0.0,0.42,,,0.0,0.0,69474.0,1542701.49,,2.12,0.0,,1.0,100.0,0.0045
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,315.0,0.0,0.01,,,0.0,0.0,69382.0,1555597.1,,2.15,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,67383.0,1591056.22,,2.16,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,68045.0,1595943.65,,2.31,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,68072.0,1656179.84,,2.29,0.0,,0.0,,0.0
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,67352.0,1696668.12,,2.37,0.0,,0.0,,0.0
2006-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,67122.0,1686056.87,,2.36,0.0,,0.0,,0.0
2006-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,67424.0,1702836.96,,2.37,0.0,,0.0,,0.0
2006-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69518.0,1686371.51,,2.37,0.0,,0.0,,0.0
2006-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69646.0,1711469.72,,2.36,0.0,,0.0,,0.0
2006-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69606.0,1748453.18,,2.4,0.0,,0.0,,0.0
2006-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69537.0,1746719.95,,2.44,0.0,,0.0,,0.0
2006-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69567.0,1822365.25,,2.54,0.0,,0.0,,0.0
2006-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69407.0,1793267.43,,2.5,0.0,,0.0,,0.0
2006-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69250.0,1761378.85,,2.41,0.0,,0.0,,0.0
2006-05-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,89731.0,2299058.43,,3.2,0.0,,0.0,,0.0
2006-06-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,90160.0,2361168.89,,3.26,0.0,,0.0,,0.0
2006-06-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,89510.0,2261275.65,,3.17,0.0,,0.0,,0.0
2006-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,89947.0,2288454.11,,3.17,0.0,,0.0,,0.0
2006-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109773.0,2792872.17,,3.9,0.0,,0.0,,0.0
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109998.0,2774123.76,,3.86,0.0,,0.0,,0.0
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110021.0,2775493.43,,3.87,0.0,,0.0,,0.0
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109732.0,2768202.84,,3.87,0.0,,0.0,,0.0
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109785.0,2769539.87,,3.85,0.0,,0.0,,0.0
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110009.0,2774401.18,,3.86,0.0,,0.0,,0.0
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109850.0,2771179.62,,3.87,0.0,,0.0,,0.0
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109992.0,2798444.02,,3.86,0.0,,0.0,,0.0
2006-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109802.0,2797550.21,,3.9,0.0,,0.0,,0.0
2006-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110071.0,2804403.83,,3.91,0.0,,0.0,,0.0
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109637.0,2832689.22,,3.93,0.0,,0.0,,0.0
2006-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109285.0,2800064.65,,3.95,0.0,,0.0,,0.0
2006-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110023.0,2834766.01,,3.93,0.0,,0.0,,0.0
2006-07-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110156.0,2838192.79,,3.93,0.0,,0.0,,0.0
2006-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110037.0,2866715.88,,3.94,0.0,,0.0,,0.0
2006-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,109904.0,2823812.21,,3.95,0.0,,0.0,,0.0
2006-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110046.0,2730316.08,,3.95,0.0,,0.0,,0.0
2006-07-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,111526.0,2852680.33,,3.86,0.0,,0.0,,0.0
