,MLORQ FP Equity_DX_SI_QTY,MLORQ FP Equity_DX_SHORT_INTEREST_VALUE,MLORQ FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLORQ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLORQ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLORQ FP Equity_DX_SI_MV,MLORQ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLORQ FP Equity_DX_SUPPLY_SI_QTY,MLORQ FP Equity_DX_BROKER_SI_QTY,MLORQ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLORQ FP Equity_DX_SUPPLY_SI_MV,MLORQ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLORQ FP Equity_DX_UTILIZATION_QUANTITY,MLORQ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLORQ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLORQ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLORQ FP Equity_DX_ACTIVE_UTILIZATION_MV,MLORQ FP Equity_DX_BROKER_SI_CON_RATIO,MLORQ FP Equity_DX_DEMAND_SUPPLY_RATIO
2025-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,159.0,0.0,0.0,0.0,0.0
2025-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,159.0,0.0,0.0,0.0,0.0
2025-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,159.0,0.0,0.0,0.0,0.0
2025-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,159.0,0.0,0.0,0.0,0.0
2025-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,159.0,0.0,0.0,0.0,0.0
2025-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,159.0,0.0,0.0,0.0,0.0
2025-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,159.0,0.0,0.0,0.0,0.0
2025-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,159.0,0.0,0.0,0.0,0.0
2025-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-07-15,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-08-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-08-07,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-08-08,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-08-11,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-08-19,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-08-20,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-08-21,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-08-22,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-08-25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-08-26,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
2025-08-27,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.0,0.0,0.0
