,IPH FP Equity_DX_SI_QTY,IPH FP Equity_DX_SHORT_INTEREST_VALUE,IPH FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,IPH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,IPH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,IPH FP Equity_DX_SI_MV,IPH FP Equity_DX_DSS,IPH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,IPH FP Equity_DX_SUPPLY_SI_QTY,IPH FP Equity_DX_BROKER_SI_QTY,IPH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,IPH FP Equity_DX_BROKER_SI_MV_NEW_x,IPH FP Equity_DX_SUPPLY_SI_QTY_NEW_x,IPH FP Equity_DX_SUPPLY_SI_QTY_INC_x,IPH FP Equity_DX_BROKER_SI_MV_INC_x,IPH FP Equity_DX_SUPPLY_SI_MV_NEW,IPH FP Equity_DX_BROKER_SI_QTY_ADD,IPH FP Equity_DX_BROKER_SI_QTY_NEW,IPH FP Equity_DX_SUPPLY_SI_MV_DEC,IPH FP Equity_DX_BROKER_SI_QTY_INC,IPH FP Equity_DX_SUPPLY_SI_QTY_DEC,IPH FP Equity_DX_BROKER_SI_MV_NEW_y,IPH FP Equity_DX_SUPPLY_SI_QTY_NEW_y,IPH FP Equity_DX_BROKER_SI_MV_INC_y,IPH FP Equity_DX_SUPPLY_SI_QTY_INC_y,IPH FP Equity_DX_BROKER_SI_MV_ADD,IPH FP Equity_DX_SUPPLY_SI_QTY_ADD,IPH FP Equity_DX_BROKER_SI_QTY_DEC,IPH FP Equity_DX_SUPPLY_SI_MV,IPH FP Equity_DX_BROKER_SI_MV_DEC,IPH FP Equity_DX_SUPPLY_SI_MV_RMV,IPH FP Equity_DX_BROKER_SI_MV_RMV,IPH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,IPH FP Equity_DX_UTILIZATION_QUANTITY,IPH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,IPH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,IPH FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,IPH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,IPH FP Equity_DX_ACTIVE_UTILIZATION_MV,IPH FP Equity_DX_BROKER_SI_MARKET_SHARE_2,IPH FP Equity_DX_BROKER_SI_CON_RATIO,IPH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,IPH FP Equity_DX_DEMAND_SUPPLY_RATIO,IPH FP Equity_PX_LAST
2006-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83
2006-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77
2006-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2006-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2006-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,103000.0,557230.0,,0.52,0.0,,0.0,,0.0,5.41
2006-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,704900.0,,0.72,0.0,,0.0,,0.0,5.3
2006-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,700910.0,,0.71,0.0,,0.0,,0.0,5.27
2006-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,718200.0,,0.72,0.0,,0.0,,0.0,5.4
2006-11-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,699580.0,,0.72,0.0,,0.0,,0.0,5.26
2006-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,698250.0,,0.7,0.0,,0.0,,0.0,5.25
2006-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,688940.0,,0.7,0.0,,0.0,,0.0,5.18
2006-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,707560.0,,0.69,0.0,,0.0,,0.0,5.32
2006-11-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,698250.0,,0.69,0.0,,0.0,,0.0,5.25
2006-11-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,704900.0,,0.69,0.0,,0.0,,0.0,5.3
2006-11-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,698250.0,,0.7,0.0,,0.0,,0.0,5.25
2006-11-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,698250.0,,0.7,0.0,,0.0,,0.0,5.25
2006-11-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,688940.0,,0.7,0.0,,0.0,,0.0,5.18
2006-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,679630.0,,0.68,0.0,,0.0,,0.0,5.11
2006-11-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,667660.0,,0.68,0.0,,0.0,,0.0,5.02
2006-11-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,133000.0,663670.0,,0.67,0.0,,0.0,,0.0,4.99
2006-11-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,164000.0,820000.0,,0.82,0.0,,0.0,,0.0,5.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,164000.0,820000.0,,0.82,0.0,,0.0,,0.0,5.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,164000.0,788840.0,,0.79,0.0,,0.0,,0.0,4.81
2006-12-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,164000.0,847880.0,,0.81,0.0,,0.0,,0.0,5.17
2006-12-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,164000.0,869200.0,,0.85,0.0,,0.0,,0.0,5.3
2006-12-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,777000.0,,0.78,0.0,,0.0,,0.0,5.25
2006-12-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,757760.0,,0.78,0.0,,0.0,,0.0,5.12
2006-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,769600.0,,0.77,0.0,,0.0,,0.0,5.2
2006-12-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,772560.0,,0.77,0.0,,0.0,,0.0,5.22
2006-12-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,784400.0,,0.78,0.0,,0.0,,0.0,5.3
2006-12-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,777000.0,,0.78,0.0,,0.0,,0.0,5.25
2006-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,777000.0,,0.78,0.0,,0.0,,0.0,5.25
2006-12-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,818440.0,,0.8,0.0,,0.0,,0.0,5.53
2006-12-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,919080.0,,0.82,0.0,,0.0,,0.0,6.21
2006-12-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,926480.0,,0.92,0.0,,0.0,,0.0,6.26
2006-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,923520.0,,0.93,0.0,,0.0,,0.0,6.24
2006-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,939800.0,,0.93,0.0,,0.0,,0.0,6.35
2006-12-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148000.0,917600.0,,0.92,0.0,,0.0,,0.0,6.2
2006-12-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,103000.0,638600.0,,0.64,0.0,,0.0,,0.0,
2006-12-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,140313.0,869940.6,,0.87,0.0,,0.0,,0.0,
2006-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,140313.0,868537.47,,0.87,0.0,,0.0,,0.0,6.19
2006-12-28,7687.0,48581.84,0.03,0.17,0.03,0.05,0.0,0.0,7687.0,0.0,48581.84,,,,,,,,,,,,,,,,7687.0,,0.05,,,,100.0,5.75,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0575,6.32
2006-12-29,7687.0,48043.75,0.03,0.17,0.03,0.05,0.0,48043.75,7687.0,7687.0,48043.75,,,,,,7687.0,,,,,,,,,0.05,,,0.05,,,,100.0,5.75,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0575,6.25
2007-01-01,7687.0,48043.75,0.03,0.17,0.03,0.05,0.0,48043.75,0.0,7687.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.05,,0.0,0.0,0.0,0.0,7687.0,0.0,0.0,,1.0,100.0,0.0867,
2007-01-02,7687.0,47428.79,0.03,0.17,0.03,0.05,0.0,47428.79,7687.0,7687.0,47428.79,,7687.0,,,0.05,,,,,,,7687.0,,,,,,0.05,,,,100.0,5.75,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0575,6.17
2007-01-03,7687.0,51579.77,0.03,0.17,0.03,0.05,0.0,51579.77,0.0,7687.0,0.0,,,,,,,,0.05,,7687.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0575,6.71
2007-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,7687.0,0.0,0.05,,,0.0,0.0,133683.0,1041390.57,,0.9,0.0,,0.0,,0.0,7.79
