,ERTH FP Equity_DX_SI_QTY,ERTH FP Equity_DX_SHORT_INTEREST_VALUE,ERTH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ERTH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ERTH FP Equity_DX_SI_MV,ERTH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ERTH FP Equity_DX_SUPPLY_SI_QTY,ERTH FP Equity_DX_BROKER_SI_QTY,ERTH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ERTH FP Equity_DX_BROKER_SI_MV_INC_x,ERTH FP Equity_DX_BROKER_SI_QTY_ADD,ERTH FP Equity_DX_SUPPLY_SI_MV_DEC,ERTH FP Equity_DX_BROKER_SI_QTY_INC,ERTH FP Equity_DX_SUPPLY_SI_QTY_DEC,ERTH FP Equity_DX_BROKER_SI_MV_INC_y,ERTH FP Equity_DX_BROKER_SI_MV_ADD,ERTH FP Equity_DX_SUPPLY_SI_QTY_ADD,ERTH FP Equity_DX_BROKER_SI_QTY_DEC,ERTH FP Equity_DX_SUPPLY_SI_MV,ERTH FP Equity_DX_BROKER_SI_MV_DEC,ERTH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ERTH FP Equity_DX_UTILIZATION_QUANTITY,ERTH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ERTH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ERTH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ERTH FP Equity_DX_ACTIVE_UTILIZATION_MV,ERTH FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ERTH FP Equity_DX_BROKER_SI_CON_RATIO,ERTH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ERTH FP Equity_DX_DEMAND_SUPPLY_RATIO,ERTH FP Equity_PX_LAST
2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.202
2021-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.234
2021-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.256
2021-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.219
2021-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.229
2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.232
2021-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.259
2021-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.294
2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.327
2021-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.377
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.417
2021-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.376
2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.423
2021-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.416
2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.446
2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.428
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.441
2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.454
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.497
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.505
2021-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.528
2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.543
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.489
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.497
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.506
2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.493
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.507
2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.51
2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.506
2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.522
2021-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.545
2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.555
2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.527
2021-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.527
2021-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.413
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.406
2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.403
2021-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.44
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.354
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.331
2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.347
2021-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.313
2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.333
2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.255
2021-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.269
2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.347
2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.297
2021-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.289
2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.312
2021-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.263
2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.252
2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.216
2021-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.261
2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.279
2021-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.284
2021-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.186
2021-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.131
2021-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.135
2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.105
2021-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.121
2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.086
2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.122
2021-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.117
2021-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.074
2021-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.061
2021-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.075
2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.022
2021-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.995
2021-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.976
2021-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.049
2021-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14
2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.108
2021-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.115
2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.053
2021-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.063
2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.048
2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.056
2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.068
2021-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.078
2021-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.176
2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.142
2021-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.072
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.052
2021-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.128
2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.156
2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.202
2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.306
2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.244
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.356
2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.255
2021-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.242
2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26
2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.234
2021-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.224
2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.212
2021-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.293
2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.368
2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.296
2021-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.184
2021-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2021-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.193
2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.309
2021-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.302
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.375
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.353
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.416
2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.436
2021-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.452
2021-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.455
2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.345
2021-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.394
2021-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.409
2021-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.469
2021-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.447
2021-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.444
2021-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39
2021-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.436
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2021-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.281
2021-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.186
2021-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.191
2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.177
2021-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.181
2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.082
2021-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.068
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.073
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.009
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.01
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.971
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.931
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.945
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.936
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.039
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.982
2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.946
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.927
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.913
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.941
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.985
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.014
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.978
2022-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.942
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.957
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.939
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.878
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.835
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.858
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.707
2022-02-04,17600.0,170033.6,13.63,0.34,0.17,170033.6,0.0,17600.0,0.0,,17600.0,,,,,0.17,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.661
2022-02-07,17600.0,169065.6,5.34,0.34,0.17,169065.6,0.0,17600.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.606
2022-02-08,17600.0,167675.2,5.24,0.34,0.17,167675.2,0.0,17600.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.527
2022-02-09,17600.0,168643.2,4.68,0.34,0.17,168643.2,0.0,17600.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.582
2022-02-10,17600.0,166654.4,4.64,0.34,0.17,166654.4,0.0,17600.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.469
2022-02-11,17600.0,166372.8,4.64,0.34,0.17,166372.8,0.0,17600.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.453
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.457
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.401
2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.459
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.509
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.528
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.492
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.47
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.493
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.573
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.595
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.912
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.769
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.754
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.889
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.821
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.694
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.441
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.473
2022-03-14,191100.0,1781625.3,19.71,3.7,1.81,1781625.3,0.0,191100.0,0.0,,191100.0,,,,,1.81,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.323
2022-03-15,191100.0,1786211.7,18.3,3.61,1.78,1786211.7,0.0,191100.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.347
2022-03-16,191100.0,1779332.1,15.76,3.47,1.79,1779332.1,0.0,191100.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.311
2022-03-17,191100.0,1781625.3,15.87,3.36,1.77,1781625.3,0.0,191100.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.323
2022-03-18,191100.0,1786020.6,16.14,3.36,1.78,1786020.6,0.0,191100.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.346
2022-03-21,191100.0,1762133.1,19.26,3.36,1.78,1762133.1,0.0,191100.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.221
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.182
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.199
2022-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.171
2022-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.144
2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.142
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.086
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.068
2022-03-31,58800.0,540313.2,5.6,1.0,0.53,540313.2,0.0,58800.0,0.0,,58800.0,,,,,0.53,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.189
2022-04-01,58800.0,536844.0,5.65,1.0,0.54,536844.0,0.0,58800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.13
