,ERTH FP Equity_DX_SI_QTY,ERTH FP Equity_DX_SHORT_INTEREST_VALUE,ERTH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ERTH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ERTH FP Equity_DX_SI_MV,ERTH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ERTH FP Equity_DX_SUPPLY_SI_QTY,ERTH FP Equity_DX_BROKER_SI_QTY,ERTH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ERTH FP Equity_DX_BROKER_SI_MV_INC_x,ERTH FP Equity_DX_BROKER_SI_QTY_ADD,ERTH FP Equity_DX_SUPPLY_SI_MV_DEC,ERTH FP Equity_DX_BROKER_SI_QTY_INC,ERTH FP Equity_DX_SUPPLY_SI_QTY_DEC,ERTH FP Equity_DX_BROKER_SI_MV_INC_y,ERTH FP Equity_DX_BROKER_SI_MV_ADD,ERTH FP Equity_DX_SUPPLY_SI_QTY_ADD,ERTH FP Equity_DX_BROKER_SI_QTY_DEC,ERTH FP Equity_DX_SUPPLY_SI_MV,ERTH FP Equity_DX_BROKER_SI_MV_DEC,ERTH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ERTH FP Equity_DX_UTILIZATION_QUANTITY,ERTH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ERTH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ERTH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ERTH FP Equity_DX_ACTIVE_UTILIZATION_MV,ERTH FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ERTH FP Equity_DX_BROKER_SI_CON_RATIO,ERTH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ERTH FP Equity_DX_DEMAND_SUPPLY_RATIO,ERTH FP Equity_PX_LAST
2022-04-04,58800.0,538843.2,5.61,1.0,0.54,538843.2,0.0,58800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.164
2022-04-05,58800.0,529317.6,5.47,1.0,0.54,529317.6,0.0,58800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,9.002
2022-04-06,58800.0,525672.0,5.48,1.0,0.53,525672.0,0.0,58800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.94
2022-04-07,109000.0,971735.0,10.1,1.85,0.97,971735.0,0.0,109000.0,0.0,0.44,,,50200.0,,0.44,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.915
2022-04-08,109000.0,967811.0,9.98,1.8,0.97,967811.0,0.0,109000.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.879
2022-04-11,50200.0,441860.4,4.42,0.83,0.45,441860.4,0.0,50200.0,0.0,,,,,,,,,58800.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.802
2022-04-12,50200.0,441609.4,4.05,0.83,0.44,441609.4,0.0,50200.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.797
2022-04-13,50200.0,443466.8,4.05,0.83,0.44,443466.8,0.0,50200.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.834
2022-04-14,50200.0,437944.8,4.08,0.83,0.44,437944.8,0.0,50200.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.724
2022-04-15,50200.0,437944.8,3.8,0.83,0.44,437944.8,0.0,50200.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,
2022-04-18,50200.0,437944.8,3.8,0.83,0.44,437944.8,0.0,50200.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,
2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.637
2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.712
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.645
2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.612
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.724
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.733
2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.705
2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.59
2022-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.541
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49
2022-05-03,28600.0,243471.8,3.56,0.47,0.24,243471.8,0.0,28600.0,0.0,,28600.0,,,,,0.24,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.513
2022-05-04,28600.0,242899.8,3.6,0.47,0.24,242899.8,0.0,28600.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.493
2022-05-05,28600.0,240840.6,3.49,0.47,0.24,240840.6,0.0,28600.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.421
2022-05-06,28600.0,238009.2,3.48,0.47,0.24,238009.2,0.0,28600.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.322
2022-05-09,28600.0,238581.2,3.18,0.47,0.24,238581.2,0.0,28600.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.342
2022-05-10,78400.0,662323.2,9.38,1.3,0.65,662323.2,0.0,78400.0,0.0,0.42,,,49800.0,,0.42,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.448
2022-05-11,78400.0,664283.2,9.47,1.3,0.66,664283.2,0.0,78400.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.473
2022-05-12,78400.0,673926.4,9.41,1.3,0.67,673926.4,0.0,78400.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.596
2022-05-13,78400.0,666243.2,9.46,1.3,0.67,666243.2,0.0,78400.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.498
2022-05-16,78400.0,668752.0,9.48,1.3,0.67,668752.0,0.0,78400.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.53
2022-05-17,78400.0,659736.0,9.37,1.3,0.67,659736.0,0.0,78400.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.415
2022-05-18,70400.0,595443.2,8.61,1.16,0.59,595443.2,0.0,70400.0,0.0,,,,,,,,,8000.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.458
2022-05-19,70400.0,600793.6,8.78,1.16,0.59,600793.6,0.0,70400.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.534
2022-05-20,70400.0,596640.0,8.68,1.16,0.6,596640.0,0.0,70400.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.475
2022-05-23,70400.0,590233.6,8.86,1.16,0.6,590233.6,0.0,70400.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.384
2022-05-24,70400.0,593612.8,9.45,1.16,0.59,593612.8,0.0,70400.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,8.432
