,ALCWE FP Equity_DX_SI_QTY,ALCWE FP Equity_DX_SHORT_INTEREST_VALUE,ALCWE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCWE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCWE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCWE FP Equity_DX_SI_MV,ALCWE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCWE FP Equity_DX_SUPPLY_SI_QTY,ALCWE FP Equity_DX_BROKER_SI_QTY,ALCWE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCWE FP Equity_DX_SUPPLY_SI_MV,ALCWE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCWE FP Equity_DX_UTILIZATION_QUANTITY,ALCWE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCWE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCWE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCWE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCWE FP Equity_DX_BROKER_SI_CON_RATIO,ALCWE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALCWE FP Equity_PX_LAST
2022-07-12,,,,,,,,,,,,,,,,,,,,11.38
2022-07-13,,,,,,,,,,,,,,,,,,,,10.7
2022-07-14,,,,,,,,,,,,,,,,,,,,10.9
2022-07-15,,,,,,,,,,,,,,,,,,,,10.778
2022-07-18,,,,,,,,,,,,,,,,,,,,9.95
2022-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4858.0,46636.8,0.05,0.0,0.0,0.0,9.6
2022-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4858.0,44693.6,0.05,0.0,0.0,0.0,9.2
2022-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4522.0,40698.0,0.04,0.0,0.0,0.0,9.0
2022-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3406.0,30245.28,0.03,0.0,0.0,0.0,8.88
2022-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459.0,21688.38,0.02,0.0,0.0,0.0,8.82
2022-07-26,,,,,,,,,,,,,,,,,,,,8.89
2022-07-27,,,,,,,,,,,,,,,,,,,,8.89
2022-07-28,,,,,,,,,,,,,,,,,,,,8.884
2022-07-29,,,,,,,,,,,,,,,,,,,,9.0
2022-08-01,,,,,,,,,,,,,,,,,,,,9.0
2022-08-02,,,,,,,,,,,,,,,,,,,,9.0
2022-08-03,,,,,,,,,,,,,,,,,,,,9.699
2022-08-04,,,,,,,,,,,,,,,,,,,,9.499
2022-08-05,,,,,,,,,,,,,,,,,,,,9.1
2022-08-08,,,,,,,,,,,,,,,,,,,,9.2
2022-08-09,,,,,,,,,,,,,,,,,,,,9.26
2022-08-10,,,,,,,,,,,,,,,,,,,,9.346
2022-08-11,,,,,,,,,,,,,,,,,,,,9.499
2022-08-12,,,,,,,,,,,,,,,,,,,,9.793
2022-08-15,,,,,,,,,,,,,,,,,,,,9.787
2022-08-16,,,,,,,,,,,,,,,,,,,,9.698
2022-08-17,,,,,,,,,,,,,,,,,,,,9.2
2022-08-18,,,,,,,,,,,,,,,,,,,,9.399
2022-08-19,,,,,,,,,,,,,,,,,,,,9.377
2022-08-22,,,,,,,,,,,,,,,,,,,,9.11
2022-08-23,,,,,,,,,,,,,,,,,,,,9.02
2022-08-24,,,,,,,,,,,,,,,,,,,,9.0
2022-08-25,,,,,,,,,,,,,,,,,,,,9.29
2022-08-26,,,,,,,,,,,,,,,,,,,,9.03
2022-08-29,,,,,,,,,,,,,,,,,,,,8.9
2022-08-30,,,,,,,,,,,,,,,,,,,,8.861
2022-08-31,,,,,,,,,,,,,,,,,,,,8.999
2022-09-01,,,,,,,,,,,,,,,,,,,,8.899
2022-09-02,,,,,,,,,,,,,,,,,,,,9.1
2022-09-05,,,,,,,,,,,,,,,,,,,,9.039
2022-09-06,,,,,,,,,,,,,,,,,,,,8.8
2022-09-07,,,,,,,,,,,,,,,,,,,,8.949
2022-09-08,,,,,,,,,,,,,,,,,,,,8.58
2022-09-09,,,,,,,,,,,,,,,,,,,,8.25
2022-09-12,,,,,,,,,,,,,,,,,,,,8.4
2022-09-13,,,,,,,,,,,,,,,,,,,,8.299
2022-09-14,,,,,,,,,,,,,,,,,,,,8.1
2022-09-15,,,,,,,,,,,,,,,,,,,,8.199
2022-09-16,,,,,,,,,,,,,,,,,,,,7.999
2022-09-19,,,,,,,,,,,,,,,,,,,,7.949
2022-09-20,,,,,,,,,,,,,,,,,,,,7.64
2022-09-21,,,,,,,,,,,,,,,,,,,,7.611
2022-09-22,,,,,,,,,,,,,,,,,,,,7.299
2022-09-23,,,,,,,,,,,,,,,,,,,,7.2
2022-09-26,,,,,,,,,,,,,,,,,,,,6.8
2022-09-27,,,,,,,,,,,,,,,,,,,,6.8
2022-09-28,,,,,,,,,,,,,,,,,,,,6.4
2022-09-29,,,,,,,,,,,,,,,,,,,,6.199
2022-09-30,,,,,,,,,,,,,,,,,,,,6.19
2022-10-03,,,,,,,,,,,,,,,,,,,,5.7
2022-10-04,,,,,,,,,,,,,,,,,,,,5.771
2022-10-05,,,,,,,,,,,,,,,,,,,,6.101
2022-10-06,,,,,,,,,,,,,,,,,,,,6.499
2022-10-07,,,,,,,,,,,,,,,,,,,,6.21
2022-10-10,,,,,,,,,,,,,,,,,,,,6.329
2022-10-11,,,,,,,,,,,,,,,,,,,,6.15
2022-10-12,,,,,,,,,,,,,,,,,,,,5.88
2022-10-13,,,,,,,,,,,,,,,,,,,,5.997
2022-10-14,,,,,,,,,,,,,,,,,,,,5.9
2022-10-17,,,,,,,,,,,,,,,,,,,,6.06
2022-10-18,,,,,,,,,,,,,,,,,,,,6.1
2022-10-19,,,,,,,,,,,,,,,,,,,,5.9
2022-10-20,,,,,,,,,,,,,,,,,,,,6.099
2022-10-21,,,,,,,,,,,,,,,,,,,,5.9
2022-10-24,,,,,,,,,,,,,,,,,,,,6.099
2022-10-25,,,,,,,,,,,,,,,,,,,,6.099
2022-10-26,,,,,,,,,,,,,,,,,,,,5.91
2022-10-27,,,,,,,,,,,,,,,,,,,,6.03
2022-10-28,,,,,,,,,,,,,,,,,,,,5.8
2022-10-31,,,,,,,,,,,,,,,,,,,,6.049
2022-11-01,,,,,,,,,,,,,,,,,,,,6.15
2022-11-02,,,,,,,,,,,,,,,,,,,,5.921
2022-11-03,,,,,,,,,,,,,,,,,,,,6.0
2022-11-04,,,,,,,,,,,,,,,,,,,,6.0
2022-11-07,,,,,,,,,,,,,,,,,,,,6.58
2022-11-08,,,,,,,,,,,,,,,,,,,,6.3
2022-11-09,,,,,,,,,,,,,,,,,,,,6.25
2022-11-10,,,,,,,,,,,,,,,,,,,,6.204
2022-11-11,,,,,,,,,,,,,,,,,,,,6.5
2022-11-14,,,,,,,,,,,,,,,,,,,,6.58
2022-11-15,,,,,,,,,,,,,,,,,,,,6.579
2022-11-16,,,,,,,,,,,,,,,,,,,,6.579
2022-11-17,,,,,,,,,,,,,,,,,,,,6.3
2022-11-18,,,,,,,,,,,,,,,,,,,,6.3
2022-11-21,,,,,,,,,,,,,,,,,,,,6.85
2022-11-22,,,,,,,,,,,,,,,,,,,,7.299
2022-11-23,,,,,,,,,,,,,,,,,,,,7.369
2022-11-24,,,,,,,,,,,,,,,,,,,,7.399
2022-11-25,,,,,,,,,,,,,,,,,,,,7.398
2022-11-28,,,,,,,,,,,,,,,,,,,,7.111
2022-11-29,,,,,,,,,,,,,,,,,,,,7.5
2022-11-30,,,,,,,,,,,,,,,,,,,,7.3
2022-12-01,,,,,,,,,,,,,,,,,,,,8.4
2022-12-02,,,,,,,,,,,,,,,,,,,,8.441
2022-12-05,,,,,,,,,,,,,,,,,,,,8.92
2022-12-06,,,,,,,,,,,,,,,,,,,,9.501
2022-12-07,,,,,,,,,,,,,,,,,,,,9.399
2022-12-08,,,,,,,,,,,,,,,,,,,,9.097
2022-12-09,,,,,,,,,,,,,,,,,,,,8.9
2022-12-12,,,,,,,,,,,,,,,,,,,,8.949
2022-12-13,,,,,,,,,,,,,,,,,,,,8.9
2022-12-14,,,,,,,,,,,,,,,,,,,,8.9
2022-12-15,,,,,,,,,,,,,,,,,,,,8.949
2022-12-16,,,,,,,,,,,,,,,,,,,,8.949
2022-12-19,,,,,,,,,,,,,,,,,,,,8.75
2022-12-20,,,,,,,,,,,,,,,,,,,,8.8
2022-12-21,,,,,,,,,,,,,,,,,,,,8.76
2022-12-22,,,,,,,,,,,,,,,,,,,,8.75
2022-12-23,,,,,,,,,,,,,,,,,,,,8.299
2022-12-27,,,,,,,,,,,,,,,,,,,,8.419
