,ELLE FP Equity_PX_LAST
2017-11-06,8.603
2017-11-07,8.536
2017-11-08,8.535
2017-11-09,8.461
2017-11-10,8.436
2017-11-13,8.418
2017-11-14,8.331
2017-11-15,8.299
2017-11-16,8.361
2017-11-17,8.336
2017-11-20,8.384
2017-11-21,8.411
2017-11-22,8.39
2017-11-23,8.352
2017-11-24,8.315
2017-11-27,8.308
2017-11-28,8.368
2017-11-29,8.445
2017-11-30,8.422
2017-12-01,8.361
2017-12-04,8.511
2017-12-05,8.487
2017-12-06,8.467
2017-12-07,8.487
2017-12-08,8.544
2017-12-11,8.531
2017-12-12,8.603
2017-12-13,8.584
2017-12-14,8.559
2017-12-15,8.58
2017-12-18,8.639
2017-12-19,8.607
2017-12-20,8.552
2017-12-21,8.569
2017-12-22,8.569
2017-12-27,8.57
2017-12-28,8.528
2017-12-29,8.49
2018-01-02,8.495
2018-01-03,8.536
2018-01-04,8.568
2018-01-05,8.646
2018-01-08,8.687
2018-01-09,8.739
2018-01-10,8.687
2018-01-11,8.654
2018-01-12,8.703
2018-01-15,8.648
2018-01-16,8.662
2018-01-17,8.642
2018-01-18,8.64
2018-01-19,8.67
2018-01-22,8.688
2018-01-23,8.705
2018-01-24,8.642
2018-01-25,8.587
2018-01-26,8.659
2018-01-29,8.674
2018-01-30,8.569
2018-01-31,8.559
2018-02-01,8.672
2018-02-02,8.422
2018-02-05,8.316
2018-02-06,8.046
2018-02-07,8.282
2018-02-08,8.148
2018-02-09,7.991
2018-02-12,8.101
2018-02-13,8.079
2018-02-14,8.166
2018-02-15,8.165
2018-02-16,8.274
2018-02-19,8.254
2018-02-20,8.28
2018-02-21,8.309
2018-02-22,8.293
2018-02-23,8.315
2018-02-26,8.379
2018-02-27,8.409
2018-02-28,8.341
2018-03-01,8.27
2018-03-02,8.089
2018-03-05,8.179
2018-03-06,8.172
2018-03-07,8.19
2018-03-08,8.244
2018-03-09,8.33
2018-03-12,8.359
2018-03-13,8.283
2018-03-14,8.263
2018-03-15,8.278
2018-03-16,8.307
2018-03-19,8.196
2018-03-20,8.231
2018-03-21,8.232
2018-03-22,8.093
2018-03-23,7.982
2018-03-26,7.901
2018-03-27,8.006
2018-03-28,7.995
2018-03-29,8.048
2018-04-03,7.988
2018-04-04,8.003
2018-04-06,8.121
2018-04-09,8.122
2018-04-10,8.164
2018-04-11,8.114
2018-04-12,8.112
2018-04-13,8.183
2018-04-16,8.187
2018-04-17,8.278
2018-04-18,8.283
2018-04-19,8.259
2018-04-20,8.266
2018-04-23,8.319
2018-04-24,8.339
2018-04-25,8.264
2018-04-26,8.369
2018-04-27,8.41
2018-04-30,8.446
2018-05-02,8.443
2018-05-03,8.355
2018-05-04,8.459
2018-05-07,8.502
2018-05-08,8.518
2018-05-09,8.555
2018-05-10,8.595
2018-05-11,8.59
2018-05-14,8.585
2018-05-15,8.581
2018-05-16,8.618
2018-05-17,8.658
2018-05-18,8.634
2018-05-21,8.679
2018-05-22,8.697
2018-05-23,8.673
2018-05-24,8.639
2018-05-25,8.672
2018-05-28,8.673
2018-05-29,8.608
2018-05-30,8.616
2018-05-31,8.579
2018-06-01,8.63
2018-06-04,8.665
2018-06-05,8.663
2018-06-06,8.658
2018-06-07,8.663
2018-06-08,8.661
2018-06-11,8.705
2018-06-12,8.702
2018-06-13,8.709
2018-06-14,8.796
2018-06-15,8.732
2018-06-18,8.745
2018-06-19,8.709
2018-06-20,8.737
2018-06-21,8.695
2018-06-22,8.737
2018-06-25,8.572
2018-06-26,8.61
2018-06-27,8.669
2018-06-28,8.607
2018-06-29,8.641
2018-07-02,8.564
2018-07-03,8.658
2018-07-04,8.667
2018-07-05,8.676
2018-07-06,8.707
2018-07-09,8.767
2018-07-10,8.793
2018-07-11,8.731
2018-07-12,8.781
2018-07-13,8.799
2018-07-16,8.741
2018-07-17,8.758
2018-07-18,8.804
2018-07-19,8.795
2018-07-20,8.737
2018-07-23,8.721
2018-07-24,8.77
2018-07-25,8.781
2018-07-26,8.852
2018-07-27,8.864
2018-07-30,8.816
2018-07-31,8.852
2018-08-01,8.844
2018-08-02,8.804
2018-08-03,8.894
2018-08-06,8.922
2018-08-07,8.968
2018-08-08,8.955
2018-08-09,8.995
2018-08-10,8.987
2018-08-13,8.959
2018-08-14,9.002
2018-08-15,8.936
2018-08-16,9.001
2018-08-17,9.012
2018-08-20,9.059
2018-08-21,9.038
2018-08-22,8.999
2018-08-23,8.963
2018-08-24,8.968
2018-08-27,8.999
2018-08-28,8.975
2018-08-29,9.008
2018-08-30,8.996
2018-08-31,8.981
2018-09-03,8.996
2018-09-04,8.978
2018-09-05,8.908
2018-09-06,8.889
2018-09-07,8.908
2018-09-10,8.927
2018-09-11,8.923
2018-09-12,8.924
2018-09-13,8.901
2018-09-14,8.938
2018-09-17,8.937
2018-09-18,8.952
2018-09-19,8.973
2018-09-20,8.982
2018-09-21,9.016
2018-09-24,8.951
2018-09-25,8.951
2018-09-26,8.96
2018-09-27,9.003
2018-09-28,8.983
2018-10-01,8.999
2018-10-02,8.951
2018-10-03,9.005
2018-10-04,8.939
2018-10-05,8.867
2018-10-08,8.834
2018-10-09,8.84
2018-10-10,8.678
2018-10-11,8.455
2018-10-12,8.458
2018-10-15,8.463
2018-10-16,8.57
2018-10-17,8.57
2018-10-18,8.554
2018-10-19,8.563
2018-10-22,8.512
2018-10-23,8.364
2018-10-24,8.385
2018-10-25,8.383
2018-10-26,8.299
2018-10-29,8.355
2018-10-30,8.363
2018-10-31,8.528
2018-11-01,8.564
2018-11-02,8.552
2018-11-05,8.587
2018-11-06,8.61
2018-11-07,8.703
2018-11-08,8.788
2018-11-09,8.744
2018-11-12,8.682
2018-11-13,8.714
2018-11-14,8.643
2018-11-15,8.594
2018-11-16,8.569
2018-11-19,8.554
2018-11-20,8.41
2018-11-21,8.498
2018-11-22,8.423
2018-11-23,8.502
2018-11-26,8.593
2018-11-27,8.623
2018-11-28,8.652
2018-11-29,8.663
2018-11-30,8.68
2018-12-03,8.762
2018-12-04,8.715
2018-12-05,8.603
2018-12-06,8.363
2018-12-07,8.427
2018-12-10,8.256
2018-12-11,8.418
2018-12-12,8.511
2018-12-13,8.463
2018-12-14,8.426
2018-12-17,8.325
2018-12-18,8.219
2018-12-19,8.221
2018-12-20,8.055
2018-12-21,8.032
2018-12-24,7.844
2018-12-27,7.895
2018-12-28,8.023
2018-12-31,8.093
2019-01-02,8.093
2019-01-03,7.987
2019-01-04,8.174
2019-01-07,8.2
2019-01-08,8.26
2019-01-09,8.312
2019-01-10,8.332
2019-01-11,8.381
2019-01-14,8.342
2019-01-15,8.4
2019-01-16,8.46
2019-01-17,8.475
2019-01-18,8.616
2019-01-21,8.586
2019-01-22,8.561
2019-01-23,8.524
2019-01-24,8.566
2019-01-25,8.599
2019-01-28,8.605
2019-01-29,8.567
2019-01-30,8.592
2019-01-31,8.636
2019-02-01,8.659
2019-02-04,8.701
2019-02-05,8.811
2019-02-06,8.819
2019-02-07,8.703
2019-02-08,8.692
2019-02-11,8.776
2019-02-12,8.839
2019-02-13,8.889
2019-02-14,8.858
2019-02-15,8.962
2019-02-18,8.969
2019-02-19,8.953
2019-02-20,8.96
2019-02-21,8.957
2019-02-22,9.009
2019-02-25,9.032
2019-02-26,9.029
2019-02-27,8.996
2019-02-28,8.993
2019-03-01,9.039
2019-03-04,9.043
2019-03-05,9.063
2019-03-06,9.037
2019-03-07,9.036
2019-03-08,8.959
2019-03-11,9.053
2019-03-12,9.047
2019-03-13,9.094
2019-03-14,9.129
2019-03-15,9.185
2019-03-18,9.183
2019-03-19,9.231
2019-03-20,9.122
2019-03-21,9.142
2019-03-22,9.068
2019-03-25,9.027
2019-03-26,9.105
2019-03-27,9.085
2019-03-28,9.108
2019-03-29,9.159
2019-04-01,9.261
2019-04-02,9.294
2019-04-03,9.363
2019-04-04,9.339
2019-04-05,9.365
2019-04-08,9.341
2019-04-09,9.296
2019-04-10,9.32
2019-04-11,9.335
2019-04-12,9.36
2019-04-15,9.364
2019-04-16,9.386
2019-04-17,9.371
2019-04-18,9.417
2019-04-23,9.475
2019-04-24,9.481
2019-04-25,9.474
2019-04-26,9.479
2019-04-29,9.51
2019-04-30,9.469
2019-05-02,9.429
2019-05-03,9.465
2019-05-06,9.392
2019-05-07,9.326
2019-05-08,9.303
2019-05-09,9.152
2019-05-10,9.169
2019-05-13,9.116
2019-05-14,9.216
2019-05-15,9.232
