,PAR FP Equity_DX_SI_QTY,PAR FP Equity_DX_SHORT_INTEREST_VALUE,PAR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PAR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PAR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PAR FP Equity_DX_SI_MV,PAR FP Equity_DX_DSS,PAR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PAR FP Equity_DX_SUPPLY_SI_QTY,PAR FP Equity_DX_BROKER_SI_QTY,PAR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PAR FP Equity_DX_SUPPLY_SI_QTY_INC_x,PAR FP Equity_DX_BROKER_SI_MV_INC_x,PAR FP Equity_DX_BROKER_SI_QTY_ADD,PAR FP Equity_DX_SUPPLY_SI_MV_DEC,PAR FP Equity_DX_BROKER_SI_QTY_INC,PAR FP Equity_DX_SUPPLY_SI_QTY_DEC,PAR FP Equity_DX_BROKER_SI_MV_INC_y,PAR FP Equity_DX_SUPPLY_SI_QTY_INC_y,PAR FP Equity_DX_BROKER_SI_MV_ADD,PAR FP Equity_DX_SUPPLY_SI_QTY_ADD,PAR FP Equity_DX_BROKER_SI_QTY_DEC,PAR FP Equity_DX_SUPPLY_SI_MV,PAR FP Equity_DX_BROKER_SI_MV_DEC,PAR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PAR FP Equity_DX_UTILIZATION_QUANTITY,PAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PAR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PAR FP Equity_DX_ACTIVE_UTILIZATION_MV,PAR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PAR FP Equity_DX_BROKER_SI_CON_RATIO,PAR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PAR FP Equity_DX_DEMAND_SUPPLY_RATIO,PAR FP Equity_PX_LAST
2006-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8
2006-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
2006-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,74.05
2006-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.25
2006-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1
2006-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.05
2006-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.45
2006-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,74.5
2006-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8
2006-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
2006-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,73.9
2006-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9
2006-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9
2006-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.85
2006-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
2006-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,73.5
2006-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5
2006-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5
2006-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8
2006-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,71.3
2006-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.6
2006-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.65
2006-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.65
2006-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.75
2006-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,72.5
2006-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5
2006-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0
2006-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1
2006-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0
2006-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,70.5
2006-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3
2006-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2
2006-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1
2006-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9
2006-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.03,0.0,,0.0,,0.0,
2006-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8
2006-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8
2006-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75
2006-05-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.03,0.0,,0.0,,0.0,70.5
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.05
2006-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1
2006-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2006-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.65
