,ALEMV FP Equity_DX_SI_QTY,ALEMV FP Equity_DX_SHORT_INTEREST_VALUE,ALEMV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALEMV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALEMV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALEMV FP Equity_DX_SI_MV,ALEMV FP Equity_DX_DSS,ALEMV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALEMV FP Equity_DX_SUPPLY_SI_QTY,ALEMV FP Equity_DX_BROKER_SI_QTY,ALEMV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALEMV FP Equity_DX_BROKER_SI_QTY_ADD,ALEMV FP Equity_DX_SUPPLY_SI_MV_DEC,ALEMV FP Equity_DX_SUPPLY_SI_QTY_DEC,ALEMV FP Equity_DX_BROKER_SI_MV_ADD,ALEMV FP Equity_DX_SUPPLY_SI_QTY_ADD,ALEMV FP Equity_DX_BROKER_SI_QTY_DEC,ALEMV FP Equity_DX_SUPPLY_SI_MV,ALEMV FP Equity_DX_BROKER_SI_MV_DEC,ALEMV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALEMV FP Equity_DX_UTILIZATION_QUANTITY,ALEMV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALEMV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALEMV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALEMV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALEMV FP Equity_DX_BROKER_SI_CON_RATIO,ALEMV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALEMV FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,249900.0,3371151.0,3.54,0.0,0.0,,0.0
2008-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,249900.0,3348660.0,3.38,0.0,0.0,,0.0
2008-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,249900.0,3248700.0,3.34,0.0,0.0,,0.0
2008-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,249900.0,3246201.0,3.33,0.0,0.0,,0.0
2008-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,249900.0,3246201.0,3.23,0.0,0.0,,0.0
2008-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,249900.0,3348660.0,3.34,0.0,0.0,,0.0
2008-01-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,249900.0,3346161.0,3.33,0.0,0.0,,0.0
2008-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,249900.0,3273690.0,3.37,0.0,0.0,,0.0
2008-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,249900.0,3246201.0,3.38,0.0,0.0,,0.0
2008-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,249900.0,3123750.0,3.26,0.0,0.0,,0.0
