,PCEU FP Equity_DX_SI_QTY,PCEU FP Equity_DX_SHORT_INTEREST_VALUE,PCEU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PCEU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PCEU FP Equity_DX_SI_MV,PCEU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PCEU FP Equity_DX_SUPPLY_SI_QTY,PCEU FP Equity_DX_BROKER_SI_QTY,PCEU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PCEU FP Equity_DX_BROKER_SI_QTY_ADD,PCEU FP Equity_DX_BROKER_SI_MV_ADD,PCEU FP Equity_DX_BROKER_SI_QTY_DEC,PCEU FP Equity_DX_SUPPLY_SI_MV,PCEU FP Equity_DX_BROKER_SI_MV_DEC,PCEU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PCEU FP Equity_DX_UTILIZATION_QUANTITY,PCEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PCEU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PCEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PCEU FP Equity_DX_ACTIVE_UTILIZATION_MV,PCEU FP Equity_DX_BROKER_SI_CON_RATIO,PCEU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PCEU FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-10-06,8000.0,193440.0,1.31,0.12,0.2,193440.0,0.0,8000.0,0.0,8000.0,0.2,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-07,8000.0,196680.0,0.59,0.12,0.19,196680.0,0.0,8000.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-08,8000.0,196200.0,0.57,0.12,0.2,196200.0,0.0,8000.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-11,8000.0,196320.0,0.58,0.12,0.2,196320.0,0.0,8000.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-12,8000.0,196440.0,0.57,0.13,0.2,196440.0,0.0,8000.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-13,8000.0,197520.0,0.57,0.13,0.2,197520.0,0.0,8000.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-14,1000.0,24955.0,0.08,0.02,0.02,24955.0,0.0,1000.0,0.0,,,7000.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-15,1000.0,25155.0,0.08,0.02,0.02,25155.0,0.0,1000.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-18,1000.0,25025.0,0.08,0.02,0.03,25025.0,0.0,1000.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-19,1000.0,25120.0,0.08,0.02,0.03,25120.0,0.0,1000.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
