,SCR FP Equity_DX_SI_QTY,SCR FP Equity_DX_SHORT_INTEREST_VALUE,SCR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SCR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SCR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SCR FP Equity_DX_SI_MV,SCR FP Equity_DX_DSS,SCR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SCR FP Equity_DX_SUPPLY_SI_QTY,SCR FP Equity_DX_BROKER_SI_QTY,SCR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SCR FP Equity_DX_BROKER_SI_MV_NEW_x,SCR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SCR FP Equity_DX_SUPPLY_SI_QTY_INC_x,SCR FP Equity_DX_BROKER_SI_MV_INC_x,SCR FP Equity_DX_SUPPLY_SI_MV_NEW,SCR FP Equity_DX_BROKER_SI_QTY_ADD,SCR FP Equity_DX_BROKER_SI_QTY_NEW,SCR FP Equity_DX_SUPPLY_SI_MV_DEC,SCR FP Equity_DX_BROKER_SI_QTY_INC,SCR FP Equity_DX_SUPPLY_SI_QTY_DEC,SCR FP Equity_DX_BROKER_SI_MV_NEW_y,SCR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SCR FP Equity_DX_BROKER_SI_MV_INC_y,SCR FP Equity_DX_SUPPLY_SI_QTY_INC_y,SCR FP Equity_DX_BROKER_SI_MV_ADD,SCR FP Equity_DX_SUPPLY_SI_QTY_ADD,SCR FP Equity_DX_BROKER_SI_QTY_DEC,SCR FP Equity_DX_SUPPLY_SI_MV,SCR FP Equity_DX_BROKER_SI_MV_DEC,SCR FP Equity_DX_SUPPLY_SI_MV_RMV,SCR FP Equity_DX_BROKER_SI_MV_RMV,SCR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SCR FP Equity_DX_UTILIZATION_QUANTITY,SCR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SCR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SCR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SCR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SCR FP Equity_DX_ACTIVE_UTILIZATION_MV,SCR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SCR FP Equity_DX_BROKER_SI_CON_RATIO,SCR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SCR FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-01-05,84664.0,1109773.08,0.07,0.01,0.07,1.93,0.0,0.0,84664.0,0.0,1109773.08,,,,,,,,,,,,,,,,84664.0,,1.93,,,,100.0,15.46,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1546
2007-01-08,981949.0,13085973.65,0.83,0.09,0.83,22.63,0.0,1476446.35,871159.0,110790.0,11609527.3,,,756049.0,,,110790.0,,,,,,,,756049.0,2.56,30446.0,,20.07,,,,49.23,49.23,898502.0,11973914.63,,20.77,49.14,9.91,0.744,85.62,0.5549
2007-01-09,2498723.0,33443026.52,2.11,0.25,2.11,44.29,1.0,16637548.44,1267518.0,1243088.0,16964520.71,,,268661.0,0.05,,1130198.0,,,2100.0,,,,0.05,268661.0,18.58,127697.0,,23.36,,,,42.62,42.62,1706148.0,22835165.33,,39.16,37.36,41.2,0.3734,44.46,0.8403
2007-01-10,1160379.0,15303648.81,0.98,0.12,0.98,26.85,0.0,1840849.67,1062899.0,139580.0,14018034.64,,,,,,1542.0,,0.0,,254344.0,,,,,0.04,49726.0,1105050.0,24.6,18.0,,,23.69,23.69,3424280.0,45161088.36,,77.74,24.04,8.67,0.5591,73.67,0.2586
2007-01-11,1153030.0,15193462.98,0.97,0.13,0.97,26.52,0.0,1971092.99,1055327.0,149586.0,13906031.68,,,,,,10229.0,,0.29,,7572.0,,,,,0.25,,223.0,24.26,0.01,,,22.84,22.84,3564206.0,46965501.25,,80.02,23.26,8.65,0.5567,73.49,0.2496
2007-01-12,1212975.0,15669411.2,1.02,0.15,1.02,27.5,1.0,1993815.42,1110516.0,154342.0,14345828.93,,,12095.0,0.0,,4400.0,,,356.0,,,,0.0,12095.0,0.1,43093.0,,25.18,,,,23.48,23.48,3619549.0,46757931.23,,82.34,23.42,8.64,0.5552,73.42,0.2564
2007-01-15,1184681.0,15433367.77,1.0,0.16,1.0,26.77,1.0,1802425.32,1106108.0,138356.0,14409762.25,,,10000.0,0.0,,,,1.16,114.0,48973.0,,,0.0,10000.0,,34565.0,16100.0,24.97,0.37,,,22.96,22.96,3710589.0,48339497.86,,82.27,23.28,11.01,0.5426,72.23,0.246
2007-01-16,1263529.0,16220733.16,1.07,0.2,1.07,28.47,1.0,2186494.38,1152992.0,170319.0,14801698.71,,,10194.0,0.32,,18241.0,,0.2,14176.0,8688.0,,,0.32,10194.0,0.41,45378.0,454.0,25.97,0.01,,,23.9,23.9,3672189.0,47142248.33,,81.11,24.25,10.31,0.5318,71.6,0.2619
2007-01-17,1487097.0,19150691.78,1.26,0.24,1.26,32.49,1.0,4847526.22,1170458.0,376422.0,15073045.27,,,11044.0,4.62,,,,0.36,223745.0,16100.0,,,4.62,11044.0,,22522.0,17642.0,25.76,0.4,,,19.7,19.7,4769840.0,61425539.63,,105.09,19.69,13.56,0.4258,62.69,0.2503
2007-01-18,1614401.0,20446539.14,1.36,0.28,1.36,35.14,1.0,4736922.17,1300170.0,374014.0,16466774.23,,107009.0,22702.0,0.01,2.35,,,,1.0,,,107009.0,0.01,22702.0,,,2409.0,28.49,0.08,,,20.15,20.15,5153154.0,65265175.72,,111.4,20.36,12.53,0.4489,64.86,0.2502
2007-01-19,1662128.0,21175285.37,1.4,0.3,1.4,36.15,1.0,5575092.07,1286442.0,437610.0,16389096.66,,,16.0,,,64000.0,,0.31,,13744.0,,,,16.0,1.43,,404.0,28.13,0.01,,,19.37,19.37,5356334.0,68238968.95,,115.48,19.59,12.17,0.4141,62.14,0.2502
2007-01-22,1686724.0,20314763.81,1.42,0.32,1.42,36.07,1.0,5289832.86,1309437.0,439212.0,15770750.51,,,20861.0,0.03,,,,,1602.0,,,,0.03,20861.0,,2134.0,,28.08,,,,19.33,19.33,5465826.0,65829954.53,,114.48,19.69,12.26,0.4169,62.37,0.249
2007-01-23,2152199.0,25326730.57,1.82,0.45,1.82,44.96,1.0,5616730.55,1736827.0,477295.0,20438699.89,,,,0.94,,,,1.4,44900.0,43954.0,,,0.94,,,471344.0,6816.0,36.19,0.17,,,26.05,26.05,4930120.0,58016856.67,,99.58,26.66,15.28,0.4044,60.75,0.3228
2007-01-24,2249335.0,27168428.06,1.9,0.5,1.9,47.06,1.0,7351739.78,1692592.0,608667.0,20443848.51,,,,2.74,,,,0.85,132010.0,44235.0,,,2.74,,,,639.0,35.36,0.01,,,25.56,25.56,4928555.0,59529190.62,,99.56,26.21,21.61,0.3698,55.91,0.3397
2007-01-25,2285292.0,27458146.32,1.93,0.54,1.93,47.96,1.0,6833645.61,1768464.0,568752.0,21248375.82,,,33993.0,,,,,0.05,,2141.0,,,,33993.0,,44020.0,39915.0,37.11,0.86,,,24.38,24.38,5484207.0,65893618.07,,112.01,24.88,21.25,0.373,56.24,0.3151
2007-01-26,2628312.0,31216776.1,2.22,0.68,2.22,54.85,1.0,7044236.53,2087143.0,593093.0,24789247.14,,,2968.0,1.08,,,,0.97,50115.0,46189.0,,,1.08,2968.0,,361900.0,25774.0,43.5,0.58,,,24.16,24.16,6552993.0,77830681.93,,136.48,24.17,20.3,0.2964,47.18,0.3042
2007-01-29,2644184.0,31785499.07,2.23,0.76,2.23,55.02,1.0,7501204.39,2072095.0,624013.0,24908468.43,,,,0.73,,,,0.32,35120.0,15049.0,,,0.73,,,,4200.0,43.02,0.09,,,25.79,25.79,5963504.0,71686747.53,,123.98,25.76,21.78,0.2943,46.46,0.3291
2007-01-30,1940845.0,23096300.39,1.64,0.61,1.64,40.52,1.0,8240051.97,1298194.0,692434.0,15448672.4,,,5663.0,1.63,,,,17.55,75377.0,843118.0,,,1.63,5663.0,,63554.0,6956.0,27.02,0.16,,,15.71,15.71,6963074.0,82861459.19,,144.92,15.71,23.36,0.2009,32.3,0.2349
2007-01-31,2155607.0,25912358.7,1.82,0.74,1.82,45.17,1.0,11399850.11,1281215.0,948335.0,15401370.78,,,,,,255901.0,,0.31,,16979.0,,,,,5.53,,,26.61,,,,16.64,16.64,6418594.0,77157343.66,,133.81,16.59,19.92,0.1774,27.92,0.28
2007-02-01,2143752.0,26164413.12,1.81,0.82,1.81,45.36,1.0,11439394.18,1280421.0,937274.0,15627490.5,,,,,,,,0.0,,795.0,,,,,,1.0,11061.0,26.96,0.25,,,16.59,16.59,6438831.0,78585691.95,,135.79,16.57,20.15,0.1786,27.85,0.2777
2007-02-02,2257898.0,27661453.57,1.91,0.97,1.91,48.32,1.0,12848137.28,1283097.0,1048744.0,15719190.19,,,2676.0,2.72,,,,,121270.0,,,,2.72,2676.0,,,9800.0,27.35,0.2,,,16.56,16.56,6464892.0,79201234.91,,137.63,16.58,20.81,0.1859,28.24,0.2914
2007-02-05,2240507.0,27061799.71,1.89,1.08,1.89,47.86,1.0,12406428.52,1287294.0,1027156.0,15548486.3,,,4197.0,,,,,,,,,,,4197.0,,,21588.0,27.34,0.48,,,15.44,15.44,7051035.0,85165409.86,,148.54,15.55,19.85,0.1856,28.62,0.2687
2007-02-06,2241738.0,27128242.86,1.89,1.14,1.89,47.45,1.0,12486936.55,1283826.0,1031856.0,15536134.7,,,1.0,0.1,,,,0.15,4700.0,3469.0,,,0.1,1.0,,,,26.98,,,,15.56,15.56,6968772.0,84332129.48,,145.45,15.65,19.61,0.1848,28.82,0.2716
2007-02-07,2240848.0,27310800.58,1.89,1.51,1.89,47.53,1.0,12575959.39,1282936.0,1031856.0,15636049.05,,,,,,,,0.0,,890.0,,,,,,,,27.08,,,,15.53,15.53,6978332.0,85049871.12,,146.22,15.62,19.61,0.1848,28.78,0.2712
2007-02-08,2192566.0,26634077.84,1.85,1.74,1.85,46.65,1.0,11915381.53,1285614.0,980896.0,15616927.09,,,2678.0,,,,,,,,,,,2678.0,,,50960.0,27.23,1.08,,,15.56,15.56,6974260.0,84719449.15,,146.31,15.69,19.79,0.1816,28.04,0.2654
2007-02-09,2185131.0,27310413.78,1.85,1.8,1.85,46.84,1.0,12259528.44,1278179.0,980896.0,15975059.34,,,,,,,,0.03,,7435.0,,,,,,,,27.35,,,,15.61,15.61,6909818.0,86360949.87,,146.57,15.73,19.68,0.1806,27.87,0.2669
2007-02-12,2194764.0,26635530.98,1.85,2.01,1.85,47.33,1.0,11904098.03,1287811.0,980896.0,15628801.0,,,14654.0,,,,,0.1,,5022.0,,,,14654.0,,,,27.71,,,,15.47,15.47,7037233.0,85403459.14,,149.47,15.64,20.15,0.1806,27.43,0.2636
