,RIO FP Equity_DX_SI_QTY,RIO FP Equity_DX_SHORT_INTEREST_VALUE,RIO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RIO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RIO FP Equity_DX_SI_MV,RIO FP Equity_DX_DSS,RIO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RIO FP Equity_DX_SUPPLY_SI_QTY,RIO FP Equity_DX_BROKER_SI_QTY,RIO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RIO FP Equity_DX_BROKER_SI_MV_NEW_x,RIO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RIO FP Equity_DX_SUPPLY_SI_QTY_INC_x,RIO FP Equity_DX_BROKER_SI_MV_INC_x,RIO FP Equity_DX_SUPPLY_SI_MV_NEW,RIO FP Equity_DX_BROKER_SI_QTY_ADD,RIO FP Equity_DX_BROKER_SI_QTY_NEW,RIO FP Equity_DX_SUPPLY_SI_MV_DEC,RIO FP Equity_DX_BROKER_SI_QTY_INC,RIO FP Equity_DX_SUPPLY_SI_QTY_DEC,RIO FP Equity_DX_BROKER_SI_MV_NEW_y,RIO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RIO FP Equity_DX_BROKER_SI_MV_INC_y,RIO FP Equity_DX_SUPPLY_SI_QTY_INC_y,RIO FP Equity_DX_BROKER_SI_MV_ADD,RIO FP Equity_DX_SUPPLY_SI_QTY_ADD,RIO FP Equity_DX_BROKER_SI_QTY_DEC,RIO FP Equity_DX_SUPPLY_SI_MV,RIO FP Equity_DX_BROKER_SI_MV_DEC,RIO FP Equity_DX_SUPPLY_SI_MV_RMV,RIO FP Equity_DX_BROKER_SI_MV_RMV,RIO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RIO FP Equity_DX_UTILIZATION_QUANTITY,RIO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RIO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RIO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RIO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RIO FP Equity_DX_ACTIVE_UTILIZATION_MV,RIO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RIO FP Equity_DX_BROKER_SI_CON_RATIO,RIO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RIO FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-02-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2007-02-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2007-02-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2007-02-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2007-02-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2007-02-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2007-02-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2007-02-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2007-02-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2007-02-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2007-02-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
