,ANX FP Equity_DX_SI_QTY,ANX FP Equity_DX_SHORT_INTEREST_VALUE,ANX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ANX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ANX FP Equity_DX_SI_MV,ANX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ANX FP Equity_DX_SUPPLY_SI_QTY,ANX FP Equity_DX_BROKER_SI_QTY,ANX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ANX FP Equity_DX_BROKER_SI_MV_NEW_x,ANX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ANX FP Equity_DX_BROKER_SI_MV_INC_x,ANX FP Equity_DX_BROKER_SI_QTY_ADD,ANX FP Equity_DX_BROKER_SI_QTY_NEW,ANX FP Equity_DX_SUPPLY_SI_MV_DEC,ANX FP Equity_DX_BROKER_SI_QTY_INC,ANX FP Equity_DX_SUPPLY_SI_QTY_DEC,ANX FP Equity_DX_BROKER_SI_MV_NEW_y,ANX FP Equity_DX_BROKER_SI_MV_INC_y,ANX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ANX FP Equity_DX_BROKER_SI_MV_ADD,ANX FP Equity_DX_SUPPLY_SI_QTY_ADD,ANX FP Equity_DX_BROKER_SI_QTY_DEC,ANX FP Equity_DX_SUPPLY_SI_MV,ANX FP Equity_DX_BROKER_SI_MV_DEC,ANX FP Equity_DX_BROKER_SI_MV_RMV,ANX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ANX FP Equity_DX_UTILIZATION_QUANTITY,ANX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ANX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ANX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ANX FP Equity_DX_ACTIVE_UTILIZATION_MV,ANX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ANX FP Equity_DX_BROKER_SI_CON_RATIO,ANX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ANX FP Equity_DX_DEMAND_SUPPLY_RATIO,ANX FP Equity_PX_LAST
2010-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.76
2010-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.02
2010-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.99
2010-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08
2010-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.12
2010-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.11
2010-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.87
2010-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.57
2010-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.49
2010-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.55
2010-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.15
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.97
2010-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.34
2010-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.23
2010-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.27
2010-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2010-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.48
2010-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.64
2010-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.78
2010-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96
2010-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02
2010-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.13
2010-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.78
2010-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.62
2010-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47
2010-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.52
2010-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.84
2010-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99
