,EAPI FP Equity_DX_SI_QTY,EAPI FP Equity_DX_SHORT_INTEREST_VALUE,EAPI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EAPI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EAPI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EAPI FP Equity_DX_SI_MV,EAPI FP Equity_DX_DSS,EAPI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EAPI FP Equity_DX_SUPPLY_SI_QTY,EAPI FP Equity_DX_BROKER_SI_QTY,EAPI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EAPI FP Equity_DX_BROKER_SI_MV_NEW_x,EAPI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EAPI FP Equity_DX_SUPPLY_SI_QTY_INC_x,EAPI FP Equity_DX_BROKER_SI_MV_INC_x,EAPI FP Equity_DX_SUPPLY_SI_MV_NEW,EAPI FP Equity_DX_BROKER_SI_QTY_ADD,EAPI FP Equity_DX_BROKER_SI_QTY_NEW,EAPI FP Equity_DX_SUPPLY_SI_MV_DEC,EAPI FP Equity_DX_BROKER_SI_QTY_INC,EAPI FP Equity_DX_SUPPLY_SI_QTY_DEC,EAPI FP Equity_DX_BROKER_SI_MV_NEW_y,EAPI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EAPI FP Equity_DX_BROKER_SI_MV_INC_y,EAPI FP Equity_DX_SUPPLY_SI_QTY_INC_y,EAPI FP Equity_DX_BROKER_SI_MV_ADD,EAPI FP Equity_DX_SUPPLY_SI_QTY_ADD,EAPI FP Equity_DX_BROKER_SI_QTY_DEC,EAPI FP Equity_DX_SUPPLY_SI_MV,EAPI FP Equity_DX_BROKER_SI_MV_DEC,EAPI FP Equity_DX_SUPPLY_SI_MV_RMV,EAPI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EAPI FP Equity_DX_UTILIZATION_QUANTITY,EAPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EAPI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EAPI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EAPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EAPI FP Equity_DX_ACTIVE_UTILIZATION_MV,EAPI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EAPI FP Equity_DX_BROKER_SI_CON_RATIO,EAPI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EAPI FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-05-20,6486667.0,84767764.36,6.9,7.15,6.9,86.67,2.0,69113659.43,3930634.0,5288771.0,51365525.11,,,141942.0,5.7,,,,6.94,461946.0,506339.0,,,5.7,141942.0,,370403.0,313945.0,51.93,4.65,,28.28,28.28,9968996.0,130274839.73,,131.5,28.31,20.83,0.181,34.18,0.4667
2022-05-23,6021219.0,79287411.79,6.4,6.52,6.4,79.17,2.0,64663254.85,3658103.0,4910636.0,48169900.3,,,160901.0,0.21,,,,7.32,73481.0,544002.0,,,0.21,160901.0,,110570.0,451616.0,47.64,6.35,,25.99,25.99,10418324.0,137188490.43,,135.83,25.96,20.38,0.2051,37.85,0.4278
2022-05-24,6172249.0,81226796.84,6.56,6.54,6.56,81.8,2.0,66301843.44,3646561.0,5038134.0,47988742.76,,,39806.0,2.89,,,,0.94,193738.0,72484.0,,,2.89,39806.0,,21136.0,66240.0,47.89,0.72,,25.94,25.94,10411521.0,137015616.36,,136.87,25.92,23.4,0.2109,37.07,0.4391
2022-05-25,6332343.0,83903544.75,9.62,6.6,6.73,84.57,2.0,69214409.25,3705663.0,5223729.0,49100034.75,,,104421.0,3.08,,12006.0,,1.2,218574.0,91634.0,,,3.08,104421.0,0.16,46315.0,44985.0,48.92,0.33,,26.96,26.96,10037636.0,132998677.0,,132.31,26.99,23.49,0.1989,35.09,0.4608
2022-05-26,5730402.0,76283111.42,8.71,5.81,6.09,76.57,2.0,62001465.34,3462161.0,4657562.0,46088287.23,,,20445.0,0.28,,,,3.54,24666.0,268622.0,,,0.28,20445.0,,4675.0,590833.0,45.86,7.82,,25.33,25.33,10208593.0,135896790.02,,135.15,25.34,24.57,0.2092,36.09,0.4192
2022-05-27,5602866.0,74977552.81,8.51,5.61,5.96,75.31,2.0,60880164.47,3316038.0,4549407.0,44375220.52,,,42786.0,0.41,,,,2.46,29317.0,189258.0,,,0.41,42786.0,,349.0,137472.0,44.2,1.65,,24.14,24.14,10420015.0,139440640.73,,138.72,24.17,23.02,0.2078,36.85,0.4079
2022-05-30,5578286.0,76801841.65,8.48,5.51,5.93,74.9,2.0,62546303.0,3371549.0,4542875.0,46419486.63,,,82360.0,0.12,,,,0.69,8800.0,51644.0,,,0.12,82360.0,,24795.0,15332.0,45.12,0.2,,24.56,24.56,10357935.0,142608049.08,,138.77,24.54,23.08,0.2088,36.95,0.4063
2022-05-31,5708724.0,77296122.96,8.67,5.54,6.07,79.22,2.0,63276658.02,3348223.0,4673313.0,45334939.42,,,15075.0,10.31,,,,0.76,731023.0,58218.0,,,10.31,15075.0,,19817.0,600585.0,46.09,7.04,,24.56,24.56,10282940.0,139231007.6,,141.36,24.59,26.58,0.2148,35.56,0.4188
2022-06-01,5468202.0,74979985.82,8.31,5.15,5.82,75.13,2.0,61965419.28,3067600.0,4519065.0,42062931.2,,,19141.0,,,,,4.22,,301304.0,,,,19141.0,,1540.0,154248.0,41.69,2.05,,22.54,22.54,10543274.0,144569373.09,,143.09,22.56,27.45,0.2275,36.76,0.4018
2022-06-02,5552594.0,77214372.16,8.44,5.15,5.91,76.63,2.0,62897269.09,3098981.0,4523031.0,43094429.79,,,75380.0,1.01,,,,1.22,74288.0,89555.0,,,1.01,75380.0,,45556.0,70322.0,42.42,0.81,,22.23,22.23,10844212.0,150799612.07,,148.65,22.2,27.03,0.2196,35.99,0.3982
2022-06-03,5301037.0,76271320.36,10.75,4.85,5.64,74.45,2.0,61297728.76,2822999.0,4260337.0,40617309.61,,,104269.0,0.71,,,,5.71,11548.0,419763.0,,,0.71,104269.0,,39512.0,274242.0,39.35,3.41,,20.31,20.31,11074051.0,159333445.79,,154.38,20.31,23.71,0.2196,38.09,0.3815
2022-06-06,4840623.0,70334252.19,9.82,4.35,5.15,70.11,2.0,55913895.57,2756767.0,3848169.0,40055824.51,,,30828.0,1.89,,,,1.96,65000.0,149405.0,,,1.89,30828.0,,52345.0,477168.0,39.71,6.01,,19.96,19.96,11051465.0,160577786.45,,159.09,19.97,27.19,0.2069,33.35,0.3506
2022-06-07,4880691.0,70281950.4,9.9,4.27,5.19,71.24,2.0,55852761.6,2790200.0,3878664.0,40178880.0,,,38888.0,0.98,,,,0.17,47385.0,9855.0,,,0.98,38888.0,,4400.0,16890.0,40.53,0.14,,20.29,20.29,10962354.0,157857897.6,,159.16,20.3,27.13,0.2062,33.12,0.3549
2022-06-08,4624590.0,65641430.46,9.38,3.96,4.92,66.75,1.0,51175941.82,2847577.0,3605463.0,40418507.94,,,71153.0,0.61,,,,0.21,42861.0,13776.0,,,0.61,71153.0,,,316062.0,40.92,5.09,,20.84,20.84,10817052.0,153537236.09,,155.53,20.83,28.14,0.1878,28.79,0.3384
2022-06-09,4472868.0,64910260.42,9.07,3.77,4.76,64.3,1.0,51560265.28,2717310.0,3552940.0,39433602.72,,,13699.0,0.16,,,,2.11,10000.0,144012.0,,,0.16,13699.0,,46.0,62523.0,38.82,1.0,,19.99,19.99,10872651.0,157783911.31,,154.88,20.04,28.83,0.1953,29.72,0.3291
2022-06-10,4280365.0,62852879.66,8.68,3.51,4.55,62.76,1.0,49439324.66,2719036.0,3366884.0,39926324.62,,,14845.0,,,,,0.13,,13153.0,,,,14845.0,,34.0,186056.0,39.67,2.02,,19.72,19.72,11065704.0,162488797.54,,161.12,19.76,26.04,0.1903,31.1,0.3105
2022-06-13,4213206.0,62102656.44,8.54,3.38,4.48,62.51,1.0,48663726.76,2701071.0,3301474.0,39813786.54,,,15283.0,0.29,,13173.0,,0.85,15000.0,58893.0,,,0.29,15283.0,0.19,25645.0,93583.0,39.81,1.2,,19.47,19.47,11175035.0,164720015.9,,164.53,19.48,26.01,0.1932,31.6,0.3036
2022-06-14,3990176.0,55463446.4,8.09,3.16,4.24,58.82,1.0,44122158.4,2575429.0,3174256.0,35798463.1,,,23742.0,0.42,,,,2.22,28272.0,149656.0,,,0.42,23742.0,,272.0,155490.0,37.59,2.39,,18.15,18.15,11617715.0,161486238.5,,170.67,18.05,24.45,0.1935,32.56,0.2811
2022-06-15,3862581.0,55188557.33,7.83,2.98,4.11,54.59,1.0,44388858.22,2453110.0,3106723.0,35050035.68,,,4028.0,0.0,,,,1.93,10433.0,126347.0,,,0.0,4028.0,,,77966.0,34.17,2.22,,17.14,17.14,11857813.0,169424432.14,,164.98,17.16,25.07,0.2025,33.3,0.2699
2022-06-16,3982765.0,55774641.06,8.08,3.05,4.24,57.06,1.0,45516472.99,2462561.0,3250248.0,34485704.24,,,2703.0,0.35,,158187.0,,0.83,15369.0,60458.0,,,0.35,2703.0,2.21,67206.0,30031.0,34.93,0.0,,17.02,17.02,12007875.0,168158281.5,,170.66,16.99,23.55,0.1874,32.26,0.2752
2022-06-17,4695207.0,65732898.0,9.52,3.54,4.99,66.78,1.0,52654252.0,2696244.0,3761018.0,37747416.0,,,145370.0,6.54,,43688.0,,0.19,467104.0,12057.0,,,6.54,145370.0,0.63,100370.0,22.0,37.76,0.05,,18.72,18.72,11704027.0,163856378.0,,163.85,18.73,26.65,0.1706,27.38,0.3261
2022-06-20,4346865.0,63151254.72,8.82,4.18,4.62,62.14,1.0,52309356.99,2632289.0,3600589.0,38241894.59,,,88532.0,0.01,,,,3.21,1000.0,227551.0,,,0.01,88532.0,,75064.0,161429.0,36.94,2.17,,17.67,17.67,12261046.0,178128476.29,,171.8,17.7,28.55,0.1904,29.33,0.2919
2022-06-21,3505094.0,51854360.64,7.11,3.74,3.73,51.35,1.0,39868039.93,2367335.0,2694879.0,35022353.99,,,77113.0,1.07,,19952.0,,5.88,77113.0,424980.0,,,1.07,77113.0,0.3,82913.0,1002775.0,34.42,13.67,,15.99,15.99,12441128.0,184054047.63,,180.77,15.99,17.39,0.1553,28.98,0.2367
2022-06-22,3408391.0,49496654.1,6.91,3.89,3.62,50.68,1.0,37308324.98,2382984.0,2569090.0,34605693.65,,,30022.0,0.5,,,,0.51,27246.0,35520.0,,,0.5,30022.0,,21147.0,153035.0,35.12,1.88,,16.14,16.14,12381813.0,179808688.39,,182.79,16.12,14.96,0.1546,29.61,0.2308
2022-06-23,3345968.0,48509844.06,6.79,4.18,3.56,49.19,1.0,36539497.87,2298738.0,2520313.0,33327103.52,,,6918.0,0.17,,,,1.55,31556.0,105322.0,,,0.17,6918.0,,14158.0,80333.0,33.48,1.26,,15.57,15.57,12469730.0,180786145.54,,181.33,15.58,13.11,0.1573,30.67,0.2266
2022-06-24,3358041.0,48006554.14,6.81,4.72,3.57,49.01,1.0,36098286.35,2238272.0,2525062.0,31998336.51,,,16170.0,0.05,,,,1.24,8831.0,85033.0,,,0.05,16170.0,,8397.0,4082.0,32.37,0.13,,15.16,15.16,12529279.0,179118572.58,,181.3,15.15,13.15,0.1563,30.48,0.2274
2022-06-27,3275951.0,47665087.05,6.64,5.04,3.48,47.4,1.0,35567053.05,2196586.0,2444471.0,31960326.3,,,23266.0,0.05,,,,1.0,3000.0,64952.0,,,0.05,23266.0,,,83591.0,31.46,1.63,,14.87,14.87,12579883.0,183037297.65,,179.83,14.89,13.01,0.1542,30.34,0.2217
2022-06-28,2657048.0,39988572.4,5.39,4.18,2.83,39.15,1.0,27466551.0,1977208.0,1825020.0,29756980.4,,,8990.0,,,,,3.25,,228368.0,,,,8990.0,,,619451.0,28.99,8.66,,13.55,13.55,12610212.0,189783690.6,,184.19,13.6,15.66,0.1165,18.06,0.1821
2022-06-29,2735245.0,43539629.91,5.55,4.33,2.91,41.63,1.0,30137326.55,1863264.0,1893286.0,29659436.35,,32107.0,16981.0,3.21,0.49,,,2.34,206669.0,164032.0,,32107.0,3.21,16981.0,,1000.0,138403.0,28.35,1.75,,12.75,12.75,12754946.0,203033230.43,,192.84,12.82,14.08,0.1284,25.1,0.1871
2022-06-30,2734178.0,41160315.61,5.55,4.44,2.91,42.73,1.0,28498561.81,1897441.0,1893089.0,28564076.81,,,48946.0,0.3,,,,0.01,6614.0,14769.0,,,0.3,48946.0,,,6811.0,29.97,0.0,,13.03,13.03,12663749.0,190640077.45,,201.13,12.97,13.69,0.132,25.9,0.1878
2022-07-01,2126115.0,33575608.08,4.31,3.52,2.26,32.76,1.0,20279407.34,1584646.0,1284157.0,25024729.63,,,43640.0,0.19,,,,5.62,11000.0,356541.0,,,0.19,43640.0,,106.0,619932.0,24.07,10.1,,10.07,10.07,14144044.0,223362742.85,,214.55,10.09,15.02,0.1161,18.44,0.1352
2022-07-04,2135087.0,33730104.43,4.33,3.56,2.27,33.33,1.0,20428851.94,1583159.0,1293129.0,25010745.88,,,12026.0,0.14,,,,0.48,8972.0,35862.0,,,0.14,12026.0,,22349.0,,24.89,,,10.05,10.05,14176243.0,223956286.91,,223.37,10.03,14.8,0.1148,18.15,0.1355
2022-07-05,1536113.0,25192253.2,3.12,2.61,1.63,24.22,1.0,14303686.4,1312044.0,872176.0,21517521.6,,,4009.0,0.06,,,,4.32,3798.0,275689.0,,,0.06,4009.0,,565.0,424751.0,20.95,6.67,,8.32,8.32,14456032.0,237078924.8,,229.49,8.37,19.75,0.1402,25.19,0.0974
2022-07-06,1306998.0,21562853.0,2.65,2.23,1.39,20.83,1.0,14668371.8,1086685.0,889100.0,17928129.13,,,7516.0,0.22,,12490.0,,3.75,12694.0,243875.0,,,0.22,7516.0,0.16,11000.0,8260.0,17.81,0.06,,6.9,6.9,14662174.0,241896546.65,,240.46,6.9,22.67,0.1707,29.49,0.083
2022-07-07,1203736.0,20232394.69,2.44,2.11,1.28,19.27,1.0,12929890.16,972286.0,769270.0,16342183.09,,,480.0,0.33,,,,1.88,17949.0,114879.0,,,0.33,480.0,,,137779.0,16.06,2.28,,6.17,6.17,14791426.0,248614288.21,,244.09,6.17,15.02,0.1657,32.06,0.0764
2022-07-08,1193737.0,19627423.75,2.42,2.09,1.27,19.35,1.0,12467491.78,951432.0,758271.0,15643444.94,,,14116.0,0.0,,,,0.57,1.0,35450.0,,,0.0,14116.0,,480.0,11000.0,15.95,0.21,,6.0,6.0,14905499.0,245076214.56,,249.77,6.0,15.19,0.1689,32.72,0.0753
2022-07-11,1336550.0,22373847.0,2.71,2.37,1.42,21.8,1.0,14574195.54,1053771.0,870621.0,17640126.54,,,27103.0,1.7,,12490.0,,0.34,99861.0,18754.0,,,1.7,27103.0,0.16,93990.0,1.0,17.5,0.0,,6.67,6.67,14736343.0,246686381.82,,243.38,6.71,13.85,0.1469,29.89,0.0846
2022-07-12,1359422.0,21530525.64,2.76,2.47,1.45,22.05,1.0,13814505.44,1072261.0,872238.0,16982469.72,,,27455.0,0.25,,,,0.17,14299.0,10430.0,,,0.25,27455.0,,1465.0,12682.0,17.85,0.17,,6.78,6.78,14739385.0,233442379.63,,245.98,6.77,13.74,0.1438,29.58,0.086
2022-07-13,1301070.0,20866560.66,2.64,2.43,1.38,20.7,1.0,13660446.69,1051261.0,851755.0,16860123.92,,,7.0,,,12491.0,,0.35,,21007.0,,,,7.0,0.16,,32974.0,16.68,0.6,,6.68,6.68,14683405.0,235492449.39,,232.67,6.69,14.53,0.1567,31.45,0.0827
2022-07-14,1077050.0,17538682.2,2.18,2.03,1.15,17.1,1.0,10980692.02,839491.0,674324.0,13670271.44,,,354.0,,,,,3.33,,212124.0,,,,354.0,,,177431.0,13.55,2.98,,5.34,5.34,14882458.0,242345946.07,,239.43,5.36,16.65,0.1971,38.45,0.0685
2022-07-15,1066174.0,17075842.78,2.16,2.03,1.13,16.74,1.0,10625783.17,825842.0,663448.0,13226685.47,,,,0.06,,,,0.31,4000.0,18993.0,,,0.06,,,5344.0,14876.0,13.33,0.25,,5.25,5.25,14917344.0,238916181.5,,241.99,5.22,16.86,0.1986,38.54,0.0677
2022-07-18,1094822.0,17591599.9,2.22,2.14,1.16,17.12,1.0,11142659.89,848268.0,693469.0,13629970.22,,,100.0,0.49,,,,0.3,30021.0,17325.0,,,0.49,100.0,,39651.0,,13.55,,,5.4,5.4,14872699.0,238974527.53,,237.78,5.39,16.45,0.1895,37.34,0.0696
2022-07-19,1086069.0,17014356.95,2.2,2.22,1.16,16.83,1.0,10969521.19,848741.0,700212.0,13296376.51,,,1400.0,0.16,,22704.0,,0.17,10000.0,10927.0,,,0.16,1400.0,0.36,10000.0,25961.0,13.54,0.44,,5.43,5.43,14793821.0,231759999.79,,237.04,5.41,16.46,0.1916,37.78,0.0694
2022-07-20,1073109.0,16749085.27,2.18,2.27,1.14,16.49,1.0,9750223.95,865656.0,624694.0,13511158.85,,,6454.0,,,,,0.47,,28918.0,,,,6454.0,,39379.0,75518.0,13.61,1.26,,5.57,5.57,14688102.0,229251896.02,,230.66,5.57,16.71,0.2003,38.76,0.069
2022-07-21,1050508.0,16755602.6,2.13,2.28,1.12,16.16,1.0,9599778.65,779792.0,601867.0,12437682.4,,,,0.43,,,,1.37,26865.0,85878.0,,,0.43,,,14.0,49692.0,12.2,0.75,,5.03,5.03,14733620.0,235001239.0,,230.24,5.03,17.18,0.207,39.38,0.0677
2022-07-22,1761059.0,29022252.32,3.57,4.0,1.87,27.85,1.0,21627940.0,1481915.0,1312375.0,24421959.2,,,651189.0,11.42,,,,0.1,710508.0,6908.0,,,11.42,651189.0,,57842.0,,23.75,,,9.56,9.56,14021947.0,231081686.56,,223.91,9.59,22.36,0.2729,45.4,0.1136
2022-07-25,1751433.0,27388909.25,3.55,4.16,1.86,28.03,1.0,20636186.28,1488054.0,1319618.0,23270188.45,,,6612.0,0.12,,12446.0,,0.0,6649.0,622.0,,,0.12,6612.0,0.16,149.0,11852.0,24.33,0.0,,9.59,9.59,14036631.0,219504835.58,,230.53,9.55,22.24,0.2816,46.53,0.1128
2022-07-26,1754672.0,27920340.86,3.56,4.2,1.87,27.39,1.0,20955053.81,1485974.0,1316934.0,23644818.29,,,6071.0,0.0,,,,0.21,9762.0,11852.0,,,0.0,6071.0,,3701.0,12446.0,23.41,0.16,,9.58,9.58,14029217.0,223232900.9,,220.32,9.6,22.96,0.2795,45.92,0.1131
2022-07-27,1793876.0,29060791.2,3.64,4.55,1.91,28.22,1.0,22201889.4,1490307.0,1370487.0,24142973.4,,,11268.0,1.5,,,,0.68,83541.0,44335.0,,,1.5,11268.0,,37400.0,29988.0,23.74,0.5,,9.63,9.63,13990200.0,226641240.0,,222.44,9.64,22.13,0.2871,47.19,0.1159
2022-07-28,1833037.0,30769359.08,3.72,4.72,1.95,29.33,1.0,23662351.33,1529468.0,1409648.0,25673649.85,,,4464.0,0.88,,,,,39161.0,,,,0.88,4464.0,,34697.0,,24.89,,,9.87,9.87,13972000.0,234533992.0,,226.3,9.91,21.29,0.2929,48.19,0.1182
2022-07-29,1922573.0,31733989.94,3.9,5.01,2.04,31.48,1.0,24745696.16,1619004.0,1499194.0,26723280.02,,,41858.0,1.5,,,,0.0,89546.0,10.0,,,1.5,41858.0,,47688.0,,26.99,,,10.42,10.42,13924446.0,229836905.68,,232.71,10.39,20.06,0.2741,46.4,0.1237
2022-08-01,1926243.0,30423081.94,3.91,5.52,2.05,31.1,1.0,23592019.0,1646532.0,1493733.0,26005326.41,,,14028.0,0.31,,,,,18397.0,,,,0.31,14028.0,,13500.0,23858.0,26.92,0.42,,10.53,10.53,13985232.0,220882754.21,,229.75,10.49,20.23,0.2741,46.19,0.1232
2022-08-02,2076378.0,33072548.78,4.21,6.0,2.21,32.76,1.0,26272997.08,1803316.0,1649485.0,28723217.25,,,628.0,2.44,,5232.0,,0.11,157169.0,5682.0,,,2.44,628.0,0.09,161838.0,6649.0,28.63,0.11,,11.43,11.43,13966961.0,222465754.81,,221.39,11.45,19.26,0.2385,41.94,0.1317
2022-08-03,2008472.0,33268330.21,4.07,5.88,2.14,31.93,1.0,26640013.71,1754372.0,1608308.0,29059417.81,,,24285.0,0.37,,1312.0,,1.14,17127.0,73229.0,,,0.37,24285.0,0.0,,59616.0,28.12,0.87,,11.1,11.1,14054564.0,232799798.1,,224.64,11.12,19.74,0.2557,44.15,0.127
2022-08-04,2007033.0,32614286.25,4.07,5.86,2.13,32.52,1.0,25927313.75,1747435.0,1595527.0,28395818.75,,,201.0,0.01,,,,0.1,1270.0,7138.0,,,0.01,201.0,,,14051.0,28.67,0.14,,10.97,10.97,14183376.0,230479860.0,,233.85,10.92,19.25,0.26,44.94,0.126
2022-08-05,2146466.0,35584113.35,4.35,6.46,2.28,34.57,1.0,28447665.64,1867892.0,1715989.0,30965913.58,,,7068.0,2.01,,,,0.27,120462.0,16098.0,,,2.01,7068.0,,129487.0,,30.44,,,11.73,11.73,14051158.0,232940097.32,,228.79,11.74,18.01,0.2353,41.53,0.1348
2022-08-08,2126756.0,35695472.7,4.31,6.45,2.26,34.74,1.0,28686541.44,1860643.0,1709160.0,31229032.11,,,22282.0,0.08,,,,0.48,2107.0,29531.0,,,0.08,22282.0,,,8936.0,30.87,0.1,,11.68,11.68,14065453.0,236074563.15,,233.09,11.7,17.91,0.2385,42.1,0.1335
2022-08-09,2130849.0,34575155.87,4.32,6.5,2.27,34.86,1.0,27858143.56,1868366.0,1716883.0,30316106.72,,,15160.0,0.21,,,,0.11,12153.0,7437.0,,,0.21,15160.0,,,4430.0,31.22,0.04,,11.7,11.7,14106453.0,228891306.38,,236.16,11.68,17.82,0.2398,42.48,0.1334
