,EAPI FP Equity_DX_SI_QTY,EAPI FP Equity_DX_SHORT_INTEREST_VALUE,EAPI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EAPI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EAPI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EAPI FP Equity_DX_SI_MV,EAPI FP Equity_DX_DSS,EAPI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EAPI FP Equity_DX_SUPPLY_SI_QTY,EAPI FP Equity_DX_BROKER_SI_QTY,EAPI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EAPI FP Equity_DX_BROKER_SI_MV_NEW_x,EAPI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EAPI FP Equity_DX_SUPPLY_SI_QTY_INC_x,EAPI FP Equity_DX_BROKER_SI_MV_INC_x,EAPI FP Equity_DX_SUPPLY_SI_MV_NEW,EAPI FP Equity_DX_BROKER_SI_QTY_ADD,EAPI FP Equity_DX_BROKER_SI_QTY_NEW,EAPI FP Equity_DX_SUPPLY_SI_MV_DEC,EAPI FP Equity_DX_BROKER_SI_QTY_INC,EAPI FP Equity_DX_SUPPLY_SI_QTY_DEC,EAPI FP Equity_DX_BROKER_SI_MV_NEW_y,EAPI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EAPI FP Equity_DX_BROKER_SI_MV_INC_y,EAPI FP Equity_DX_SUPPLY_SI_QTY_INC_y,EAPI FP Equity_DX_BROKER_SI_MV_ADD,EAPI FP Equity_DX_SUPPLY_SI_QTY_ADD,EAPI FP Equity_DX_BROKER_SI_QTY_DEC,EAPI FP Equity_DX_SUPPLY_SI_MV,EAPI FP Equity_DX_BROKER_SI_MV_DEC,EAPI FP Equity_DX_SUPPLY_SI_MV_RMV,EAPI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EAPI FP Equity_DX_UTILIZATION_QUANTITY,EAPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EAPI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EAPI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EAPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EAPI FP Equity_DX_ACTIVE_UTILIZATION_MV,EAPI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EAPI FP Equity_DX_BROKER_SI_CON_RATIO,EAPI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EAPI FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-05-06,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,682489.0,9223156.35,,9.24,0.0,,0.0,,0.0
2022-05-09,5556.0,76683.91,0.01,0.02,0.01,0.08,0.0,76683.91,0.0,5556.0,0.0,,,,,,5556.0,,,,,,,,,0.08,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.98,0.5,50.02,0.0029
2022-05-10,2046952.0,29680804.0,2.18,4.46,2.18,28.48,1.0,15631087.0,1142049.0,1078006.0,16559710.5,,,,,,1073840.0,,,,,,,,,14.84,1142049.0,1390.0,16.0,0.02,,13.09,13.09,7582518.0,109946511.0,,104.64,13.26,23.78,0.2406,40.44,0.2346
2022-05-11,7457160.0,102252577.92,7.93,14.0,7.93,94.55,2.0,56874263.38,4994248.0,4147773.0,68481128.58,,66631.0,59179.0,9.36,0.97,2459934.0,,0.35,609833.0,37783.0,,66631.0,9.36,59179.0,22.51,3764172.0,,72.15,,,25.33,25.33,14721916.0,201866912.19,,211.86,25.4,23.33,0.1636,24.91,0.3782
2022-05-12,8288437.0,110087020.23,8.81,13.41,8.81,107.65,2.0,91425796.95,7448557.0,6883436.0,98931734.07,,,1062831.0,36.37,,410000.0,,7.52,2463702.0,506641.0,,,36.37,1062831.0,5.46,1898119.0,138039.0,103.01,0.33,,49.19,49.19,7695365.0,102209837.93,,105.75,49.35,13.8,0.1433,28.16,0.5473
2022-05-13,9755114.0,126523828.58,10.37,13.45,10.37,125.8,3.0,101233431.03,7978748.0,7805199.0,103484361.56,,,320206.0,15.9,,869.0,,12.04,1200214.0,854113.0,,,15.9,320206.0,0.01,1064098.0,279320.0,105.81,3.87,,52.62,52.62,7183501.0,93170007.97,,94.99,52.69,14.26,0.1127,22.96,0.6434
2022-05-16,9089708.0,118293459.91,9.67,11.43,9.67,115.47,2.0,93933776.63,6610454.0,7217902.0,86028448.36,,,247054.0,6.84,,,,25.29,537493.0,1868808.0,,,6.84,247054.0,,253460.0,1124790.0,85.64,15.69,,42.73,42.73,8861036.0,115317522.5,,114.86,42.71,12.77,0.1205,25.58,0.5875
2022-05-17,8412880.0,109956341.6,8.95,10.27,8.95,109.76,2.0,84380599.64,6276813.0,6456052.0,82037945.91,,,367550.0,7.62,,13938.0,,14.6,455856.0,1125646.0,,,7.62,367550.0,0.18,424455.0,1231644.0,81.26,14.67,,41.98,41.98,8675192.0,113384759.44,,112.59,41.92,11.66,0.1085,23.35,0.5627
2022-05-18,7847570.0,105942195.0,8.35,9.27,8.35,104.69,2.0,81799186.5,4615011.0,6059199.0,62302648.5,,,198334.0,6.46,,,,24.39,465299.0,1908177.0,,,6.46,198334.0,,48041.0,862152.0,60.74,9.92,,32.29,32.29,9676476.0,130632426.0,,127.19,32.32,16.21,0.1114,22.82,0.5491
2022-05-19,6574823.0,86787663.6,6.99,7.47,6.99,89.26,2.0,67858164.0,3924628.0,5140770.0,51805089.6,,,33809.0,1.54,,,,9.63,104025.0,739836.0,,,1.54,33809.0,,15644.0,1022454.0,52.73,12.88,,27.59,27.59,10301318.0,135977397.6,,138.42,27.59,20.87,0.1408,26.8,0.4622
