,IQEC FP Equity_DX_SI_QTY,IQEC FP Equity_DX_SHORT_INTEREST_VALUE,IQEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,IQEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,IQEC FP Equity_DX_SI_MV,IQEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,IQEC FP Equity_DX_SUPPLY_SI_QTY,IQEC FP Equity_DX_BROKER_SI_QTY,IQEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,IQEC FP Equity_DX_SUPPLY_SI_MV,IQEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,IQEC FP Equity_DX_UTILIZATION_QUANTITY,IQEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,IQEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,IQEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,IQEC FP Equity_DX_ACTIVE_UTILIZATION_MV,IQEC FP Equity_DX_BROKER_SI_CON_RATIO,IQEC FP Equity_DX_DEMAND_SUPPLY_RATIO,IQEC FP Equity_PX_LAST
2017-06-29,,,,,,,,,,,,,,,,,,,24.98
2017-07-03,,,,,,,,,,,,,,,,,,,24.99
2017-07-04,,,,,,,,,,,,,,,,,,,25.01
2017-07-05,,,,,,,,,,,,,,,,,,,25.03
2017-07-06,,,,,,,,,,,,,,,,,,,24.935
2017-07-07,,,,,,,,,,,,,,,,,,,24.965
2017-07-10,,,,,,,,,,,,,,,,,,,24.995
2017-07-11,,,,,,,,,,,,,,,,,,,24.975
2017-07-12,,,,,,,,,,,,,,,,,,,25.025
2017-07-13,,,,,,,,,,,,,,,,,,,25.005
2017-07-14,,,,,,,,,,,,,,,,,,,25.025
2017-07-17,,,,,,,,,,,,,,,,,,,25.055
2017-07-18,,,,,,,,,,,,,,,,,,,25.08
2017-07-19,,,,,,,,,,,,,,,,,,,25.1
2017-07-20,,,,,,,,,,,,,,,,,,,25.115
2017-07-21,,,,,,,,,,,,,,,,,,,25.14
2017-07-24,,,,,,,,,,,,,,,,,,,25.15
2017-07-25,,,,,,,,,,,,,,,,,,,25.1
2017-07-26,,,,,,,,,,,,,,,,,,,25.125
2017-07-27,,,,,,,,,,,,,,,,,,,25.16
2017-07-28,,,,,,,,,,,,,,,,,,,25.16
2017-07-31,,,,,,,,,,,,,,,,,,,25.16
2017-08-01,,,,,,,,,,,,,,,,,,,25.225
2017-08-02,,,,,,,,,,,,,,,,,,,25.23
2017-08-03,,,,,,,,,,,,,,,,,,,25.25
2017-08-04,,,,,,,,,,,,,,,,,,,25.225
2017-08-07,,,,,,,,,,,,,,,,,,,25.25
2017-08-08,,,,,,,,,,,,,,,,,,,25.225
2017-08-09,,,,,,,,,,,,,,,,,,,25.265
2017-08-10,,,,,,,,,,,,,,,,,,,25.255
2017-08-11,,,,,,,,,,,,,,,,,,,25.275
2017-08-14,,,,,,,,,,,,,,,,,,,25.26
2017-08-15,,,,,,,,,,,,,,,,,,,25.24
2017-08-16,,,,,,,,,,,,,,,,,,,25.24
2017-08-17,,,,,,,,,,,,,,,,,,,25.25
2017-08-18,,,,,,,,,,,,,,,,,,,25.245
2017-08-21,,,,,,,,,,,,,,,,,,,25.26
2017-08-22,,,,,,,,,,,,,,,,,,,25.255
2017-08-23,,,,,,,,,,,,,,,,,,,25.265
2017-08-24,,,,,,,,,,,,,,,,,,,25.265
2017-08-25,,,,,,,,,,,,,,,,,,,25.265
2017-08-28,,,,,,,,,,,,,,,,,,,25.285
2017-08-29,,,,,,,,,,,,,,,,,,,25.3
2017-08-30,,,,,,,,,,,,,,,,,,,25.28
2017-08-31,,,,,,,,,,,,,,,,,,,25.28
2017-09-01,,,,,,,,,,,,,,,,,,,25.265
2017-09-04,,,,,,,,,,,,,,,,,,,25.275
2017-09-05,,,,,,,,,,,,,,,,,,,25.31
2017-09-06,,,,,,,,,,,,,,,,,,,25.275
2017-09-07,,,,,,,,,,,,,,,,,,,25.315
2017-09-08,,,,,,,,,,,,,,,,,,,25.29
2017-09-11,,,,,,,,,,,,,,,,,,,25.28
2017-09-12,,,,,,,,,,,,,,,,,,,25.225
2017-09-13,,,,,,,,,,,,,,,,,,,25.24
2017-09-14,,,,,,,,,,,,,,,,,,,25.225
2017-09-15,,,,,,,,,,,,,,,,,,,25.205
2017-09-18,,,,,,,,,,,,,,,,,,,25.2
2017-09-19,,,,,,,,,,,,,,,,,,,25.21
2017-09-20,,,,,,,,,,,,,,,,,,,25.225
2017-09-21,,,,,,,,,,,,,,,,,,,25.2
2017-09-22,,,,,,,,,,,,,,,,,,,25.21
2017-09-25,,,,,,,,,,,,,,,,,,,25.27
2017-09-26,,,,,,,,,,,,,,,,,,,25.245
2017-09-27,,,,,,,,,,,,,,,,,,,25.205
2017-09-28,,,,,,,,,,,,,,,,,,,25.195
2017-09-29,,,,,,,,,,,,,,,,,,,25.21
2017-10-02,,,,,,,,,,,,,,,,,,,25.23
2017-10-03,,,,,,,,,,,,,,,,,,,25.22
2017-10-04,,,,,,,,,,,,,,,,,,,25.225
2017-10-05,,,,,,,,,,,,,,,,,,,25.215
2017-10-06,,,,,,,,,,,,,,,,,,,25.225
2017-10-09,,,,,,,,,,,,,,,,,,,25.245
2017-10-10,,,,,,,,,,,,,,,,,,,25.245
2017-10-11,,,,,,,,,,,,,,,,,,,25.225
2017-10-12,,,,,,,,,,,,,,,,,,,25.265
2017-10-13,,,,,,,,,,,,,,,,,,,25.315
2017-10-16,,,,,,,,,,,,,,,,,,,25.355
2017-10-17,,,,,,,,,,,,,,,,,,,25.36
2017-10-18,,,,,,,,,,,,,,,,,,,25.33
2017-10-19,,,,,,,,,,,,,,,,,,,25.34
2017-10-20,,,,,,,,,,,,,,,,,,,25.285
2017-10-23,,,,,,,,,,,,,,,,,,,25.32
2017-10-24,,,,,,,,,,,,,,,,,,,25.28
2017-10-25,,,,,,,,,,,,,,,,,,,25.28
2017-10-26,,,,,,,,,,,,,,,,,,,25.34
2017-10-27,,,,,,,,,,,,,,,,,,,25.41
2017-10-30,,,,,,,,,,,,,,,,,,,25.435
2017-10-31,,,,,,,,,,,,,,,,,,,25.445
2017-11-01,,,,,,,,,,,,,,,,,,,25.46
2017-11-02,,,,,,,,,,,,,,,,,,,25.465
2017-11-03,,,,,,,,,,,,,,,,,,,25.475
2017-11-06,,,,,,,,,,,,,,,,,,,25.505
2017-11-07,,,,,,,,,,,,,,,,,,,25.51
2017-11-08,,,,,,,,,,,,,,,,,,,25.5
2017-11-09,,,,,,,,,,,,,,,,,,,25.415
2017-11-10,,,,,,,,,,,,,,,,,,,25.38
2017-11-13,,,,,,,,,,,,,,,,,,,25.375
2017-11-14,,,,,,,,,,,,,,,,,,,25.38
2017-11-15,,,,,,,,,,,,,,,,,,,25.365
2017-11-16,,,,,,,,,,,,,,,,,,,25.38
2017-11-17,,,,,,,,,,,,,,,,,,,25.39
