,TRACT FP Equity_DX_SI_QTY,TRACT FP Equity_DX_SHORT_INTEREST_VALUE,TRACT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,TRACT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,TRACT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,TRACT FP Equity_DX_SI_MV,TRACT FP Equity_DX_DSS,TRACT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,TRACT FP Equity_DX_SUPPLY_SI_QTY,TRACT FP Equity_DX_BROKER_SI_QTY,TRACT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,TRACT FP Equity_DX_SUPPLY_SI_QTY_INC_x,TRACT FP Equity_DX_BROKER_SI_MV_INC_x,TRACT FP Equity_DX_BROKER_SI_QTY_ADD,TRACT FP Equity_DX_SUPPLY_SI_MV_DEC,TRACT FP Equity_DX_BROKER_SI_QTY_INC,TRACT FP Equity_DX_SUPPLY_SI_QTY_DEC,TRACT FP Equity_DX_BROKER_SI_MV_INC_y,TRACT FP Equity_DX_SUPPLY_SI_QTY_INC_y,TRACT FP Equity_DX_BROKER_SI_MV_ADD,TRACT FP Equity_DX_SUPPLY_SI_QTY_ADD,TRACT FP Equity_DX_BROKER_SI_QTY_DEC,TRACT FP Equity_DX_SUPPLY_SI_MV,TRACT FP Equity_DX_BROKER_SI_MV_DEC,TRACT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,TRACT FP Equity_DX_UTILIZATION_QUANTITY,TRACT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,TRACT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,TRACT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,TRACT FP Equity_DX_ACTIVE_UTILIZATION_MV,TRACT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,TRACT FP Equity_DX_BROKER_SI_CON_RATIO,TRACT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,TRACT FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-04-19,17004.0,13161.1,0.2,0.16,0.02,0.01,0.0,6580.55,8502.0,8502.0,6580.55,,,,,,,,,,,,0.01,,100.0,2.73,0.0,0.0,0.0,100.0,35.47,0.3994,50.35,0.0546
2024-04-22,17004.0,12787.01,0.2,0.18,0.02,0.01,0.0,6393.5,8502.0,8502.0,6393.5,,,,,,,,,,,,0.01,,100.0,2.73,0.0,0.0,0.0,100.0,35.54,0.399,50.24,0.0546
2024-04-23,17004.0,12991.06,0.2,0.21,0.02,0.01,0.0,6495.53,8502.0,8502.0,6495.53,,,,,,,,,,,,0.01,,100.0,2.73,0.0,0.0,0.0,100.0,35.14,0.4013,50.8,0.0546
2024-04-24,17004.0,13025.06,0.2,0.22,0.02,0.01,0.0,6512.53,8502.0,8502.0,6512.53,,,,,,,,,,,,0.01,,100.0,2.74,0.0,0.0,0.0,100.0,35.26,0.4006,50.63,0.0548
2024-04-25,17004.0,13127.09,0.2,0.25,0.02,0.01,0.0,6563.54,8502.0,8502.0,6563.54,,,,,,,,,,,,0.01,,100.0,2.73,0.0,0.0,0.0,100.0,35.22,0.4009,50.7,0.0546
2024-04-26,17004.0,13195.1,0.2,0.28,0.02,0.01,0.0,6597.55,8502.0,8502.0,6597.55,,,,,,,,,,,,0.01,,100.0,2.73,0.0,0.0,0.0,100.0,35.24,0.4007,50.66,0.0546
2024-04-29,17004.0,13127.09,0.2,0.31,0.02,0.01,0.0,6563.54,8502.0,8502.0,6563.54,,,,,,,,,,,,0.01,,100.0,3.43,0.0,0.0,0.0,100.0,35.33,0.4002,50.54,0.0686
2024-04-30,17004.0,13059.07,0.2,0.32,0.02,0.01,0.0,6529.54,8502.0,8502.0,6529.54,,,,,,,,,,,,0.01,,100.0,3.43,0.0,0.0,0.0,100.0,35.33,0.4002,50.54,0.0686
2024-05-01,17004.0,13059.07,0.2,0.32,0.02,0.01,0.0,6529.54,8502.0,8502.0,6529.54,,,,,,,,,,,,0.01,,100.0,2.73,0.0,0.0,0.0,100.0,35.3,0.4004,50.58,0.0546
2024-05-02,17004.0,13535.18,0.2,0.32,0.02,0.01,0.0,6767.59,8502.0,8502.0,6767.59,,,,,,,,,,,,0.01,,100.0,2.73,0.0,0.0,0.0,100.0,34.96,0.4024,51.05,0.0546
2024-05-03,17004.0,11222.64,0.2,0.37,0.02,0.01,0.0,5611.32,8502.0,8502.0,5611.32,,,,,,,,,,,,0.01,,100.0,2.73,0.0,0.0,0.0,100.0,36.88,0.3917,48.37,0.0546
2024-05-06,17004.0,12582.96,0.2,0.41,0.02,0.01,0.0,6291.48,8502.0,8502.0,6291.48,,,,,,,,,,,,0.01,,100.0,3.43,0.0,0.0,0.0,100.0,34.24,0.4071,52.07,0.0686
2024-05-07,17004.0,12344.9,0.2,0.43,0.02,0.01,0.0,6172.45,8502.0,8502.0,6172.45,,,,,,,,,,,,0.01,,100.0,3.43,0.0,0.0,0.0,100.0,35.46,0.3995,50.36,0.0686
2024-05-08,17004.0,13229.11,0.2,0.55,0.02,0.01,0.0,6614.56,8502.0,8502.0,6614.56,,,,,,,,,,,,0.01,,100.0,3.47,0.0,0.0,0.0,100.0,34.66,0.4043,51.48,0.0695
2024-05-09,17004.0,13603.2,0.2,0.77,0.02,0.01,0.0,6801.6,8502.0,8502.0,6801.6,,,,,,,,,,,,0.01,,100.0,3.47,0.0,0.0,0.0,100.0,35.04,0.402,50.95,0.0695
2024-05-10,17004.0,13909.27,0.2,0.93,0.02,0.01,0.0,6954.64,8502.0,8502.0,6954.64,,,,,,,,,,,,0.01,,100.0,3.47,0.0,0.0,0.0,100.0,35.09,0.4017,50.88,0.0695
2024-05-13,17004.0,13467.17,0.2,1.21,0.02,0.01,0.0,6733.58,8502.0,8502.0,6733.58,,,,,,,,,,,,0.01,,100.0,3.47,0.0,0.0,0.0,100.0,35.57,0.3988,50.2,0.0695
2024-05-14,17004.0,13467.17,0.2,1.37,0.02,0.01,0.0,6733.58,8502.0,8502.0,6733.58,,,,,,,,,,,,0.01,,100.0,3.47,0.0,0.0,0.0,100.0,35.29,0.4005,50.6,0.0695
2024-05-15,17004.0,13433.16,0.2,1.51,0.02,0.01,0.0,6716.58,8502.0,8502.0,6716.58,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.31,0.4003,50.57,0.0708
2024-05-16,17004.0,14113.32,0.2,1.73,0.02,0.01,0.0,7056.66,8502.0,8502.0,7056.66,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,34.84,0.4032,51.22,0.0708
2024-05-17,17004.0,13977.29,0.2,1.68,0.02,0.01,0.0,6988.64,8502.0,8502.0,6988.64,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.37,0.4,50.48,0.0708
2024-05-20,17004.0,13773.24,0.2,1.73,0.02,0.01,0.0,6886.62,8502.0,8502.0,6886.62,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.27,0.4006,50.62,0.0708
2024-05-21,17004.0,13773.24,0.2,1.78,0.02,0.01,0.0,6886.62,8502.0,8502.0,6886.62,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.29,0.4005,50.6,0.0708
2024-05-22,17004.0,13807.25,0.2,1.85,0.02,0.01,0.0,6903.62,8502.0,8502.0,6903.62,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.26,0.4006,50.63,0.0708
