,ALAGP FP Equity_DX_SI_QTY,ALAGP FP Equity_DX_SHORT_INTEREST_VALUE,ALAGP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAGP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAGP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAGP FP Equity_DX_SI_MV,ALAGP FP Equity_DX_DSS,ALAGP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAGP FP Equity_DX_SUPPLY_SI_QTY,ALAGP FP Equity_DX_BROKER_SI_QTY,ALAGP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAGP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALAGP FP Equity_DX_BROKER_SI_MV_INC_x,ALAGP FP Equity_DX_BROKER_SI_QTY_ADD,ALAGP FP Equity_DX_SUPPLY_SI_MV_DEC,ALAGP FP Equity_DX_BROKER_SI_QTY_INC,ALAGP FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAGP FP Equity_DX_BROKER_SI_MV_INC_y,ALAGP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALAGP FP Equity_DX_BROKER_SI_MV_ADD,ALAGP FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAGP FP Equity_DX_BROKER_SI_QTY_DEC,ALAGP FP Equity_DX_SUPPLY_SI_MV,ALAGP FP Equity_DX_BROKER_SI_MV_DEC,ALAGP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAGP FP Equity_DX_UTILIZATION_QUANTITY,ALAGP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAGP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAGP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAGP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAGP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALAGP FP Equity_DX_BROKER_SI_CON_RATIO,ALAGP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAGP FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-04-28,1000.0,8880.0,0.04,0.11,0.03,0.01,0.0,8880.0,0.0,1000.0,0.0,,,1000.0,,,,,,0.01,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-04-29,1000.0,8900.0,0.04,0.11,0.03,0.01,0.0,8900.0,0.0,1000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-04-30,1000.0,8840.0,0.04,0.13,0.03,0.01,0.0,8840.0,0.0,1000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-05-03,19.0,169.86,0.0,0.0,0.0,0.0,0.0,169.86,0.0,19.0,0.0,,,,,,,,,,,981.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-05-04,19.0,169.86,0.0,0.0,0.0,0.0,0.0,169.86,0.0,19.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-05-05,19.0,166.82,0.0,0.0,0.0,0.0,0.0,166.82,0.0,19.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-13,1.0,7.98,0.0,0.0,0.0,0.0,0.0,7.98,0.0,1.0,0.0,,,1.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-14,1.0,7.85,0.0,0.0,0.0,0.0,0.0,7.85,0.0,1.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-15,1.0,7.6,0.0,0.0,0.0,0.0,0.0,7.6,0.0,1.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-16,1.0,7.61,0.0,0.0,0.0,0.0,0.0,7.61,0.0,1.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-17,1.0,7.58,0.0,0.0,0.0,0.0,0.0,7.58,0.0,1.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-20,1.0,7.8,0.0,0.0,0.0,0.0,0.0,7.8,0.0,1.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-21,1.0,8.09,0.0,0.0,0.0,0.0,0.0,8.09,0.0,1.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-22,2301.0,17602.65,0.09,1.18,0.07,0.02,0.0,17602.65,2300.0,2301.0,17595.0,,0.02,,,2300.0,,0.02,,,2300.0,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-06-23,2300.0,17549.0,0.09,1.19,0.07,0.02,0.0,17549.0,2300.0,2300.0,17549.0,,,,,,,,,,,1.0,0.02,0.0,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-06-24,2300.0,17940.0,0.09,1.2,0.07,0.02,0.0,17940.0,2300.0,2300.0,17940.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-06-27,2300.0,17710.0,0.09,1.2,0.07,0.02,0.0,17710.0,2300.0,2300.0,17710.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-06-28,2300.0,18722.0,0.09,1.24,0.07,0.02,0.0,18722.0,2300.0,2300.0,18722.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-06-29,2300.0,18814.0,0.09,1.11,0.07,0.02,0.0,18814.0,2300.0,2300.0,18814.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-06-30,2300.0,18676.0,0.09,1.09,0.07,0.02,0.0,18676.0,2300.0,2300.0,18676.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-01,2300.0,18952.0,0.09,1.06,0.07,0.02,0.0,18952.0,2300.0,2300.0,18952.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-04,2300.0,20286.0,0.09,1.07,0.07,0.02,0.0,20286.0,2300.0,2300.0,20286.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-05,2300.0,19688.0,0.09,1.04,0.07,0.02,0.0,19688.0,2300.0,2300.0,19688.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-06,2300.0,19780.0,0.09,1.07,0.07,0.02,0.0,19780.0,2300.0,2300.0,19780.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-07,2300.0,20056.0,0.09,1.08,0.07,0.02,0.0,20056.0,2300.0,2300.0,20056.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-08,2300.0,19550.0,0.09,1.11,0.07,0.02,0.0,19550.0,2300.0,2300.0,19550.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-11,2300.0,19780.0,0.09,1.13,0.07,0.02,0.0,19780.0,2300.0,2300.0,19780.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-12,2300.0,19895.0,0.09,1.17,0.07,0.02,0.0,19895.0,2300.0,2300.0,19895.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
