,S500 FP Equity_PX_LAST
2016-11-17,51.8676
2016-11-18,52.1514
2016-11-21,52.3062
2016-11-22,52.3253
2016-11-23,52.6973
2016-11-24,52.8957
2016-11-25,52.786
2016-11-28,52.7346
2016-11-29,52.7253
2016-11-30,52.9092
2016-12-01,52.3547
2016-12-02,52.12
2016-12-05,52.11
2016-12-06,52.02
2016-12-07,52.17
2016-12-08,53.49
2016-12-09,54.09
2016-12-12,54.03
2016-12-13,53.99
2016-12-14,53.9
2016-12-15,55.28
2016-12-16,54.87
2016-12-19,54.9
2016-12-20,55.42
2016-12-21,55.16
2016-12-22,54.74
2016-12-23,54.83
2016-12-27,55.02
2016-12-28,55.17
2016-12-29,54.38
2016-12-30,53.98
2017-01-03,54.78
2017-01-04,54.87
2017-01-05,54.17
2017-01-06,54.65
2017-01-09,54.53
2017-01-10,54.55
2017-01-11,54.69
2017-01-12,53.73
2017-01-13,54.39
2017-01-16,54.35
2017-01-17,53.73
2017-01-18,53.89
2017-01-19,54.14
2017-01-20,54.04
2017-01-23,53.42
2017-01-24,53.62
2017-01-25,54.16
2017-01-26,54.67
2017-01-27,54.44
2017-01-30,53.89
2017-01-31,53.3
2017-02-01,53.72
2017-02-02,53.56
2017-02-03,54.01
2017-02-06,54.22
2017-02-07,54.481
2017-02-08,54.399
2017-02-09,54.966
2017-02-10,55.123
2017-02-13,55.693
2017-02-14,55.888
2017-02-15,56.206
2017-02-16,55.806
2017-02-17,55.988
2017-02-20,56.331
2017-02-21,56.842
2017-02-22,56.917
2017-02-23,56.669
2017-02-24,56.607
2017-02-27,56.617
2017-02-28,56.645
2017-03-01,57.581
2017-03-02,57.571
2017-03-03,57.26
2017-03-06,56.876
2017-03-07,56.908
2017-03-08,57.079
2017-03-09,56.839
2017-03-10,56.476
2017-03-13,56.493
2017-03-14,56.42
2017-03-15,56.791
2017-03-16,56.361
2017-03-17,56.32
2017-03-20,56.214
2017-03-21,55.365
2017-03-22,55.208
2017-03-23,55.594
2017-03-24,55.266
2017-03-27,54.6
2017-03-28,55.034
2017-03-29,55.733
2017-03-30,56.138
2017-03-31,56.31
2017-04-03,56.055
2017-04-04,56.201
2017-04-05,56.558
2017-04-06,56.347
2017-04-07,56.444
2017-04-10,56.53
2017-04-11,56.045
2017-04-12,56.188
2017-04-13,56.134
2017-04-18,55.612
2017-04-19,55.792
2017-04-20,55.455
2017-04-21,55.918
2017-04-24,55.529
2017-04-25,55.541
2017-04-26,56.089
2017-04-27,55.864
2017-04-28,55.659
2017-05-02,55.707
2017-05-03,55.567
2017-05-04,55.549
2017-05-05,55.349
2017-05-08,55.816
2017-05-09,56.105
2017-05-10,56.158
2017-05-11,55.927
2017-05-12,55.72
2017-05-15,55.712
2017-05-16,55.167
2017-05-17,54.229
2017-05-18,54.19
2017-05-19,54.226
2017-05-22,54.207
2017-05-23,54.359
2017-05-24,54.717
2017-05-25,54.842
2017-05-26,55.051
2017-05-29,55.056
2017-05-30,54.941
2017-05-31,54.538
2017-06-01,54.913
2017-06-02,55.002
2017-06-05,55.171
2017-06-06,55.009
2017-06-07,55.071
2017-06-08,55.283
