,YIEL FP Equity_DX_DSS,YIEL FP Equity_PX_LAST
2011-01-20,,101.4
2011-01-21,,101.32
2011-01-24,,101.35
2011-01-25,,101.45
2011-01-26,,101.59
2011-01-27,,101.53
2011-01-28,,101.51
2011-01-31,,101.62
2011-02-01,,101.82
2011-02-02,,101.78
2011-02-03,,101.82
2011-02-04,,101.95
2011-02-07,,102.3
2011-02-08,,102.37
2011-02-09,,102.08
2011-02-10,,102.19
2011-02-11,,102.12
2011-02-14,,102.18
2011-02-15,,102.17
2011-02-16,,102.39
2011-02-17,,102.44
2011-02-18,,102.51
2011-02-21,,102.72
2011-02-22,,102.62
2011-02-23,,102.6
2011-02-24,,102.51
2011-02-25,,102.54
2011-02-28,,102.58
2011-03-01,,102.71
2011-03-02,,102.58
2011-03-03,,102.54
2011-03-04,,102.66
2011-03-07,,102.59
2011-03-08,,102.54
2011-03-09,,102.37
2011-03-10,,102.27
2011-03-11,,102.09
2011-03-14,,102.06
2011-03-15,,101.41
2011-03-16,,101.45
2011-03-17,,101.36
2011-03-18,,101.42
2011-03-21,,101.86
2011-03-22,,101.62
2011-03-23,,101.87
2011-03-24,,102.13
2011-03-25,,102.14
2011-03-28,,102.15
2011-03-29,,101.78
2011-03-30,,102.2
2011-03-31,,102.14
2011-04-01,,102.1
2011-04-04,,102.44
2011-04-05,,102.41
2011-04-06,,102.58
2011-04-07,,102.71
2011-04-08,,102.78
2011-04-11,,102.86
2011-04-12,,102.84
2011-04-13,,102.42
2011-04-14,,102.79
2011-04-15,,102.67
2011-04-18,,102.65
2011-04-19,,102.65
2011-04-20,,102.76
2011-04-21,,102.79
2011-04-26,,103.11
2011-04-27,,103.15
2011-04-28,,103.22
2011-04-29,,103.36
2011-05-02,,103.48
2011-05-03,,103.72
2011-05-04,,103.63
2011-05-05,,103.66
2011-05-06,,103.6
2011-05-09,,103.77
2011-05-10,,103.8
2011-05-11,,103.91
2011-05-12,,103.95
2011-05-13,,103.98
2011-05-16,,104.01
2011-05-17,,104.27
2011-05-18,,103.96
2011-05-19,,104.0
2011-05-20,,103.95
2011-05-23,,103.88
2011-05-24,,103.83
2011-05-25,,103.97
2011-05-26,,104.05
2011-05-27,,103.82
2011-05-30,,103.89
2011-05-31,,103.86
2011-06-01,,103.93
2011-06-02,,103.92
2011-06-03,,103.9
2011-06-06,,103.47
2011-06-07,,103.46
2011-06-08,,103.25
2011-06-09,,103.13
2011-06-10,,103.1
2011-06-13,,102.9
2011-06-14,,102.82
2011-06-15,,102.71
2011-06-16,,102.29
2011-06-17,,102.32
2011-06-20,,102.19
2011-06-21,,102.16
2011-06-22,,102.38
2011-06-23,,102.21
2011-06-24,,102.25
2011-06-27,,102.02
2011-06-28,,102.05
2011-06-29,,102.42
2011-06-30,,102.82
2011-07-01,,103.07
2011-07-04,,103.19
2011-07-05,,103.14
2011-07-06,,103.05
2011-07-07,,102.93
2011-07-08,,102.9
2011-07-11,,102.44
2011-07-12,,101.84
2011-07-13,,102.31
2011-07-14,,102.33
2011-07-15,,102.21
2011-07-18,,102.06
2011-07-19,,102.01
2011-07-20,,102.15
2011-07-21,,102.35
2011-07-22,,102.72
2011-07-25,,102.7
2011-07-26,,102.78
2011-07-27,,102.63
2011-07-28,,102.44
2011-07-29,,102.47
2011-08-01,,102.6
2011-08-02,,102.33
2011-08-03,,101.97
2011-08-04,,101.38
2011-08-05,,100.27
2011-08-08,,99.33
2011-08-09,,97.9
2011-08-10,,98.12
2011-08-11,,96.82
2011-08-12,,96.87
2011-08-15,,97.58
2011-08-16,,97.36
2011-08-17,,98.21
2011-08-18,,97.81
2011-08-19,,97.33
2011-08-22,,97.0
2011-08-23,,96.35
2011-08-24,,96.13
2011-08-25,,96.29
2011-08-26,,96.22
2011-08-29,,96.62
2011-08-30,,96.96
2011-08-31,,98.03
2011-09-01,,98.37
2011-09-02,,97.93
2011-09-05,,97.16
2011-09-06,,96.57
2011-09-07,,96.71
2011-09-08,,96.95
2011-09-09,,96.74
2011-09-12,,95.47
2011-09-13,,95.26
2011-09-14,,95.43
2011-09-15,,95.64
2011-09-16,,96.1
2011-09-19,,95.77
2011-09-20,,95.71
2011-09-21,,95.74
2011-09-22,,94.84
2011-09-23,,94.33
2011-09-26,,94.42
2011-09-27,,94.74
2011-09-28,,94.65
2011-09-29,,94.71
2011-09-30,,94.76
2011-10-03,,94.28
2011-10-04,,93.14
2011-10-05,,92.86
2011-10-06,,93.3
2011-10-07,,93.86
2011-10-10,,94.24
2011-10-11,,95.01
2011-10-12,,96.06
2011-10-13,,96.65
2011-10-14,,97.23
2011-10-17,,97.9
2011-10-18,,97.81
2011-10-19,,98.22
2011-10-20,,98.29
2011-10-21,,98.72
2011-10-24,,99.14
2011-10-25,,99.61
2011-10-26,,99.91
2011-10-27,,101.33
2011-10-28,,101.8
2011-10-31,,101.33
2011-11-01,,100.15
2011-11-02,,100.33
2011-11-03,,100.42
2011-11-04,,100.66
2011-11-07,,100.27
2011-11-08,,100.42
2011-11-09,,100.63
2011-11-10,,99.77
2011-11-11,,99.92
2011-11-14,,100.14
2011-11-15,,99.65
2011-11-16,,99.37
2011-11-17,,99.24
2011-11-18,,99.02
2011-11-21,,98.74
2011-11-22,,98.41
2011-11-23,,97.78
2011-11-24,,97.29
2011-11-25,,96.95
2011-11-28,,96.93
2011-11-29,,96.75
2011-11-30,,97.03
2011-12-01,,97.34
2011-12-02,,97.7
2011-12-05,,98.31
2011-12-06,,98.78
2011-12-07,,99.2
2011-12-08,,99.15
2011-12-09,,99.01
2011-12-12,,98.81
2011-12-13,,98.65
2011-12-14,,98.32
2011-12-15,,98.4
2011-12-16,,98.51
2011-12-19,,98.58
2011-12-20,,98.8
2011-12-21,,99.16
2011-12-22,,99.23
2011-12-23,,99.22
2011-12-27,,99.31
2011-12-28,,99.56
2011-12-29,,99.67
2011-12-30,,99.66
2012-01-02,,100.27
2012-01-03,,100.26
2012-01-04,,100.5
2012-01-05,,100.45
2012-01-06,,100.51
2012-01-09,,100.74
2012-01-10,,100.85
2012-01-11,,100.88
2012-01-12,,101.09
2012-01-13,,101.49
2012-01-16,,101.47
2012-01-17,,101.72
2012-01-18,,102.1
2012-01-19,,102.68
2012-01-20,,102.85
2012-01-23,,103.5
2012-01-24,,103.34
2012-01-25,,103.63
2012-01-26,,103.89
2012-01-27,,104.44
2012-01-30,,104.4
2012-01-31,,104.44
2012-02-01,,105.06
2012-02-02,,105.6
2012-02-03,,105.96
2012-02-06,,105.88
2012-02-07,,105.86
2012-02-08,,106.01
2012-02-09,,105.96
2012-02-10,,105.69
2012-02-13,,105.8
2012-02-14,,105.82
2012-02-15,,106.04
2012-02-16,,105.5
2012-02-17,,105.92
2012-02-20,,106.26
2012-02-21,,106.31
2012-02-22,,106.63
2012-02-23,,106.78
2012-02-24,,107.24
2012-02-27,,107.33
2012-02-28,,107.58
2012-02-29,,108.06
2012-03-01,,108.36
2012-03-02,,108.55
2012-03-05,,108.59
2012-03-06,,107.89
2012-03-07,,107.76
2012-03-08,,108.17
2012-03-09,,108.39
2012-03-12,,108.55
2012-03-13,,108.75
2012-03-14,,108.94
2012-03-15,,108.99
2012-03-16,,109.03
2012-03-19,,109.42
2012-03-20,,109.02
2012-03-21,,109.18
2012-03-22,,108.67
2012-03-23,,108.46
2012-03-26,,108.5
2012-03-27,,108.7
2012-03-28,,108.87
2012-03-29,,108.59
2012-03-30,,108.52
2012-04-02,,108.48
2012-04-03,,108.62
2012-04-04,,108.29
2012-04-05,,107.8
2012-04-10,,106.86
2012-04-11,,106.76
2012-04-12,,106.98
2012-04-13,,106.97
2012-04-16,,106.76
2012-04-17,,106.96
2012-04-18,,106.94
2012-04-19,,106.96
2012-04-20,,106.95
2012-04-23,,106.77
2012-04-24,,106.91
2012-04-25,,107.32
2012-04-26,,107.5
2012-04-27,,107.51
2012-04-30,,108.03
2012-05-02,,108.49
2012-05-03,,108.84
2012-05-04,,108.82
2012-05-07,,109.02
2012-05-08,,108.73
2012-05-09,,108.15
2012-05-10,,108.31
2012-05-11,,108.22
2012-05-14,,107.61
2012-05-15,,107.54
2012-05-16,,106.83
2012-05-17,,106.45
2012-05-18,,106.17
2012-05-21,,105.73
2012-05-22,,106.08
2012-05-23,,106.01
2012-05-24,,105.9
2012-05-25,,106.15
2012-05-28,,105.98
2012-05-29,,106.23
2012-05-30,,106.04
2012-05-31,,105.86
2012-06-01,,105.44
2012-06-04,,105.53
2012-06-05,,105.82
2012-06-06,,105.76
2012-06-07,,106.21
2012-06-08,,106.43
2012-06-11,,106.76
2012-06-12,,106.64
2012-06-13,,106.29
2012-06-14,,106.27
2012-06-15,,106.65
2012-06-18,,106.91
2012-06-19,,106.98
2012-06-20,,107.19
2012-06-21,,107.32
2012-06-22,,107.49
2012-06-25,,107.61
2012-06-26,,107.56
2012-06-27,,107.66
2012-06-28,,107.91
