,CBOT FP Equity_DX_SI_QTY,CBOT FP Equity_DX_SHORT_INTEREST_VALUE,CBOT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CBOT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CBOT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CBOT FP Equity_DX_SI_MV,CBOT FP Equity_DX_DSS,CBOT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CBOT FP Equity_DX_SUPPLY_SI_QTY,CBOT FP Equity_DX_BROKER_SI_QTY,CBOT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CBOT FP Equity_DX_BROKER_SI_MV_NEW_x,CBOT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CBOT FP Equity_DX_SUPPLY_SI_QTY_INC_x,CBOT FP Equity_DX_BROKER_SI_MV_INC_x,CBOT FP Equity_DX_SUPPLY_SI_MV_NEW,CBOT FP Equity_DX_BROKER_SI_QTY_ADD,CBOT FP Equity_DX_BROKER_SI_QTY_NEW,CBOT FP Equity_DX_SUPPLY_SI_MV_DEC,CBOT FP Equity_DX_BROKER_SI_QTY_INC,CBOT FP Equity_DX_SUPPLY_SI_QTY_DEC,CBOT FP Equity_DX_BROKER_SI_MV_NEW_y,CBOT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CBOT FP Equity_DX_BROKER_SI_MV_INC_y,CBOT FP Equity_DX_SUPPLY_SI_QTY_INC_y,CBOT FP Equity_DX_BROKER_SI_MV_ADD,CBOT FP Equity_DX_SUPPLY_SI_QTY_ADD,CBOT FP Equity_DX_BROKER_SI_QTY_DEC,CBOT FP Equity_DX_SUPPLY_SI_MV,CBOT FP Equity_DX_BROKER_SI_MV_DEC,CBOT FP Equity_DX_SUPPLY_SI_MV_RMV,CBOT FP Equity_DX_BROKER_SI_MV_RMV,CBOT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CBOT FP Equity_DX_UTILIZATION_QUANTITY,CBOT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CBOT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CBOT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CBOT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CBOT FP Equity_DX_ACTIVE_UTILIZATION_MV,CBOT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CBOT FP Equity_DX_BROKER_SI_CON_RATIO,CBOT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CBOT FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,2539.0,7043.31,0.01,0.05,0.01,0.02,0.0,4577.18,954.0,1650.0,2646.44,0.01,,622.0,,,,1410.0,,,,0.01,,,622.0,,,,0.01,,,,1.76,1.76,53359.0,148020.45,,0.26,2.12,38.82,0.4644,55.75,0.0467
2006-01-11,2606.0,7416.94,0.01,0.05,0.01,0.02,0.0,4696.07,1020.0,1650.0,2903.02,,,67.0,,,,,0.0,,1.0,,,,67.0,,,,0.01,,,,1.87,1.87,53463.0,152161.13,,0.27,2.28,38.73,0.4648,55.85,0.0478
2006-01-18,2639.0,7453.82,0.01,0.07,0.01,0.02,0.0,4660.4,1056.0,1650.0,2982.66,,,36.0,,,,,,,,,,,36.0,,,,0.01,,,,1.9,1.9,54383.0,153604.0,,0.27,2.27,40.07,0.4588,54.33,0.0476
2006-01-25,2624.0,7033.32,0.01,0.06,0.01,0.02,0.0,4422.63,1038.0,1650.0,2782.23,,,,,,,,0.0,,18.0,,,,,,,,0.01,,,,1.87,1.87,54429.0,145890.36,,0.26,2.29,39.33,0.462,55.16,0.0473
2006-02-01,2595.0,7067.77,0.01,0.07,0.01,0.02,0.0,4493.96,1010.0,1650.0,2750.85,,,0.0,,,,,0.0,,29.0,,,,0.0,,,,0.01,,,,1.83,1.83,54174.0,147548.91,,0.26,2.23,39.04,0.4634,55.49,0.047
2006-02-08,2604.0,7411.25,0.01,0.07,0.01,0.02,0.0,4696.07,1017.0,1650.0,2894.49,,,9.0,,,,,0.0,,1.0,,,,9.0,,,,0.01,,,,1.82,1.82,54817.0,156014.75,,0.28,2.24,40.02,0.459,54.37,0.0466
2006-02-15,2606.0,7247.95,0.01,0.08,0.01,0.02,0.0,4589.07,1021.0,1650.0,2839.66,0.01,,3.0,,,,1410.0,,,,0.01,,,3.0,,,,0.01,,,0.01,1.85,1.85,54279.0,150963.67,,0.26,2.25,39.16,0.4628,55.36,0.0471
2006-02-22,2630.0,7087.3,0.01,0.09,0.01,0.02,0.0,4446.4,1044.0,1650.0,2813.36,,,24.0,,,,,0.0,,1.0,,,,24.0,,,,0.01,,,,1.87,1.87,54771.0,147596.34,,0.26,2.29,39.85,0.4597,54.57,0.0471
2006-03-01,2620.0,6890.45,0.01,0.1,0.01,0.01,0.0,4339.4,1034.0,1650.0,2719.36,,,1.0,,,,,0.0,,10.0,,,,1.0,,,,0.01,,,,3.7,1.87,26908.0,70766.48,,0.0,0.0,39.33,0.462,55.16,0.0473
2006-03-08,2599.0,6554.32,0.01,0.1,0.01,0.01,0.0,4161.07,1014.0,1650.0,2557.17,,,1.0,,,,,0.0,,21.0,,,,1.0,,,,0.01,,,,4.01,1.92,24255.0,61167.77,,0.0,0.0,38.64,0.4618,55.6,0.0492
2006-03-15,2603.0,7108.32,0.01,0.08,0.01,0.02,0.0,4505.85,953.0,1650.0,2602.47,,,,,,,,0.0,,61.0,,,,,,,,0.01,,,,3.64,2.16,25234.0,68909.42,,0.0,0.0,41.59,0.4598,53.31,0.0589
2006-03-22,240.0,627.73,0.0,0.01,0.0,0.0,0.0,627.73,0.0,240.0,0.0,,,,,,,,0.01,,953.0,,,,,,,1410.0,0.0,0.01,,,0.0,0.0,41178.0,107702.35,,0.0,0.0,42.04,0.5127,57.96,0.0056
2006-03-29,240.0,631.19,0.0,0.01,0.0,0.0,0.0,631.19,0.0,240.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40995.0,107814.47,,0.0,0.0,41.81,0.5134,58.19,0.0056
