,MLMAD FP Equity_DX_SI_QTY,MLMAD FP Equity_DX_SHORT_INTEREST_VALUE,MLMAD FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLMAD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLMAD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLMAD FP Equity_DX_SI_MV,MLMAD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLMAD FP Equity_DX_SUPPLY_SI_QTY,MLMAD FP Equity_DX_BROKER_SI_QTY,MLMAD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLMAD FP Equity_DX_SUPPLY_SI_MV,MLMAD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLMAD FP Equity_DX_UTILIZATION_QUANTITY,MLMAD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLMAD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLMAD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLMAD FP Equity_DX_ACTIVE_UTILIZATION_MV,MLMAD FP Equity_DX_BROKER_SI_CON_RATIO,MLMAD FP Equity_DX_DEMAND_SUPPLY_RATIO,MLMAD FP Equity_PX_LAST
2006-12-29,,,,,,,,,,,,,,,,,,,,9.6
2007-01-02,,,,,,,,,,,,,,,,,,,,9.6
2007-01-03,,,,,,,,,,,,,,,,,,,,9.9
2007-01-04,,,,,,,,,,,,,,,,,,,,9.9
2007-01-05,,,,,,,,,,,,,,,,,,,,9.8
2007-01-08,,,,,,,,,,,,,,,,,,,,9.65
2007-01-09,,,,,,,,,,,,,,,,,,,,9.65
2007-01-10,,,,,,,,,,,,,,,,,,,,9.65
2007-01-11,,,,,,,,,,,,,,,,,,,,9.65
2007-01-12,,,,,,,,,,,,,,,,,,,,9.45
2007-01-15,,,,,,,,,,,,,,,,,,,,9.39
2007-01-16,,,,,,,,,,,,,,,,,,,,9.25
2007-01-17,,,,,,,,,,,,,,,,,,,,9.25
2007-01-18,,,,,,,,,,,,,,,,,,,,9.25
2007-01-19,,,,,,,,,,,,,,,,,,,,9.0
2007-01-22,,,,,,,,,,,,,,,,,,,,9.0
2007-01-23,,,,,,,,,,,,,,,,,,,,9.0
2007-01-24,,,,,,,,,,,,,,,,,,,,9.24
2007-01-25,,,,,,,,,,,,,,,,,,,,9.24
2007-01-26,,,,,,,,,,,,,,,,,,,,9.25
2007-01-29,,,,,,,,,,,,,,,,,,,,9.25
2007-01-30,,,,,,,,,,,,,,,,,,,,9.25
2007-01-31,,,,,,,,,,,,,,,,,,,,9.25
2007-02-01,,,,,,,,,,,,,,,,,,,,9.25
2007-02-02,,,,,,,,,,,,,,,,,,,,9.25
2007-02-05,,,,,,,,,,,,,,,,,,,,9.25
2007-02-06,,,,,,,,,,,,,,,,,,,,9.25
2007-02-07,,,,,,,,,,,,,,,,,,,,9.5
2007-02-08,,,,,,,,,,,,,,,,,,,,9.5
2007-02-09,,,,,,,,,,,,,,,,,,,,9.5
2007-02-12,,,,,,,,,,,,,,,,,,,,9.5
2007-02-13,,,,,,,,,,,,,,,,,,,,9.5
2007-02-14,,,,,,,,,,,,,,,,,,,,9.49
2007-02-15,,,,,,,,,,,,,,,,,,,,9.4
2007-02-16,,,,,,,,,,,,,,,,,,,,9.4
2007-02-19,,,,,,,,,,,,,,,,,,,,9.2
2007-02-20,,,,,,,,,,,,,,,,,,,,9.2
2007-02-21,,,,,,,,,,,,,,,,,,,,9.1
2007-02-22,,,,,,,,,,,,,,,,,,,,9.1
2007-02-23,,,,,,,,,,,,,,,,,,,,9.23
2007-02-26,,,,,,,,,,,,,,,,,,,,9.3
2007-02-27,,,,,,,,,,,,,,,,,,,,9.3
2007-02-28,,,,,,,,,,,,,,,,,,,,9.3
2007-03-01,,,,,,,,,,,,,,,,,,,,9.3
2007-03-02,,,,,,,,,,,,,,,,,,,,9.3
2007-03-05,,,,,,,,,,,,,,,,,,,,9.3
2007-03-06,,,,,,,,,,,,,,,,,,,,9.3
2007-03-07,,,,,,,,,,,,,,,,,,,,9.3
2007-03-08,,,,,,,,,,,,,,,,,,,,9.3
2007-03-09,,,,,,,,,,,,,,,,,,,,9.3
2007-03-12,,,,,,,,,,,,,,,,,,,,9.3
2007-03-13,,,,,,,,,,,,,,,,,,,,9.3
2007-03-14,,,,,,,,,,,,,,,,,,,,9.3
2007-03-15,,,,,,,,,,,,,,,,,,,,9.19
2007-03-16,,,,,,,,,,,,,,,,,,,,9.19
2007-03-19,,,,,,,,,,,,,,,,,,,,9.19
2007-03-20,,,,,,,,,,,,,,,,,,,,9.3
2007-03-21,,,,,,,,,,,,,,,,,,,,9.25
2007-03-22,,,,,,,,,,,,,,,,,,,,9.25
2007-03-23,,,,,,,,,,,,,,,,,,,,9.25
2007-03-26,,,,,,,,,,,,,,,,,,,,9.3
2007-03-27,,,,,,,,,,,,,,,,,,,,9.3
2007-03-28,,,,,,,,,,,,,,,,,,,,9.29
2007-03-29,,,,,,,,,,,,,,,,,,,,9.29
2007-03-30,,,,,,,,,,,,,,,,,,,,9.29
2007-04-02,,,,,,,,,,,,,,,,,,,,9.3
2007-04-03,,,,,,,,,,,,,,,,,,,,9.3
2007-04-04,,,,,,,,,,,,,,,,,,,,9.0
2007-04-05,,,,,,,,,,,,,,,,,,,,9.0
2007-04-10,,,,,,,,,,,,,,,,,,,,9.0
2007-04-11,,,,,,,,,,,,,,,,,,,,9.0
2007-04-12,,,,,,,,,,,,,,,,,,,,9.0
2007-04-13,,,,,,,,,,,,,,,,,,,,9.0
2007-04-16,,,,,,,,,,,,,,,,,,,,9.0
2007-04-17,,,,,,,,,,,,,,,,,,,,9.0
2007-04-18,,,,,,,,,,,,,,,,,,,,9.0
2007-04-19,,,,,,,,,,,,,,,,,,,,9.0
2007-04-20,,,,,,,,,,,,,,,,,,,,9.0
2007-04-23,,,,,,,,,,,,,,,,,,,,9.0
2007-04-24,,,,,,,,,,,,,,,,,,,,9.0
2007-04-25,,,,,,,,,,,,,,,,,,,,9.0
2007-04-26,,,,,,,,,,,,,,,,,,,,9.0
2007-04-27,,,,,,,,,,,,,,,,,,,,9.0
2007-04-30,,,,,,,,,,,,,,,,,,,,9.0
2007-05-02,,,,,,,,,,,,,,,,,,,,9.0
2007-05-03,,,,,,,,,,,,,,,,,,,,8.9
2007-05-04,,,,,,,,,,,,,,,,,,,,8.9
2007-05-07,,,,,,,,,,,,,,,,,,,,8.9
2007-05-09,,,,,,,,,,,,,,,,,,,,8.72
2007-05-10,,,,,,,,,,,,,,,,,,,,8.54
2007-05-11,,,,,,,,,,,,,,,,,,,,8.0
2007-05-14,,,,,,,,,,,,,,,,,,,,8.0
2007-05-15,,,,,,,,,,,,,,,,,,,,8.8
2007-05-16,,,,,,,,,,,,,,,,,,,,8.8
2007-05-17,,,,,,,,,,,,,,,,,,,,8.9
2007-05-18,,,,,,,,,,,,,,,,,,,,8.9
2007-05-21,,,,,,,,,,,,,,,,,,,,8.9
2007-05-22,,,,,,,,,,,,,,,,,,,,8.9
2007-05-23,,,,,,,,,,,,,,,,,,,,8.9
2007-05-24,,,,,,,,,,,,,,,,,,,,8.85
2007-05-25,,,,,,,,,,,,,,,,,,,,8.85
2007-05-28,,,,,,,,,,,,,,,,,,,,8.9
2007-05-29,,,,,,,,,,,,,,,,,,,,8.8
2007-05-30,,,,,,,,,,,,,,,,,,,,8.8
2007-05-31,,,,,,,,,,,,,,,,,,,,8.8
2007-06-01,,,,,,,,,,,,,,,,,,,,8.9
2007-06-04,,,,,,,,,,,,,,,,,,,,8.9
2007-06-05,,,,,,,,,,,,,,,,,,,,8.9
2007-06-06,,,,,,,,,,,,,,,,,,,,8.9
2007-06-07,,,,,,,,,,,,,,,,,,,,8.9
2007-06-08,,,,,,,,,,,,,,,,,,,,8.9
2007-06-11,,,,,,,,,,,,,,,,,,,,8.9
2007-06-12,,,,,,,,,,,,,,,,,,,,8.9
2007-06-13,,,,,,,,,,,,,,,,,,,,8.9
2007-06-14,,,,,,,,,,,,,,,,,,,,8.9
2007-06-15,,,,,,,,,,,,,,,,,,,,8.8
2007-06-18,,,,,,,,,,,,,,,,,,,,8.9
2007-06-19,,,,,,,,,,,,,,,,,,,,8.9
2007-06-20,,,,,,,,,,,,,,,,,,,,8.89
2007-06-21,,,,,,,,,,,,,,,,,,,,8.9
2007-06-22,,,,,,,,,,,,,,,,,,,,8.9
2007-06-25,,,,,,,,,,,,,,,,,,,,8.9
2007-06-26,,,,,,,,,,,,,,,,,,,,8.9
2007-06-27,,,,,,,,,,,,,,,,,,,,8.9
2007-06-28,,,,,,,,,,,,,,,,,,,,8.9
2007-06-29,,,,,,,,,,,,,,,,,,,,9.5
2007-07-02,,,,,,,,,,,,,,,,,,,,9.58
2007-07-03,,,,,,,,,,,,,,,,,,,,9.5
2007-07-04,,,,,,,,,,,,,,,,,,,,9.49
2007-07-05,,,,,,,,,,,,,,,,,,,,9.49
2007-07-06,,,,,,,,,,,,,,,,,,,,9.49
2007-07-09,,,,,,,,,,,,,,,,,,,,9.49
2007-07-10,,,,,,,,,,,,,,,,,,,,9.49
2007-07-11,,,,,,,,,,,,,,,,,,,,9.5
2007-07-12,,,,,,,,,,,,,,,,,,,,9.5
2007-07-13,,,,,,,,,,,,,,,,,,,,9.5
2007-07-16,,,,,,,,,,,,,,,,,,,,9.5
2007-07-17,,,,,,,,,,,,,,,,,,,,9.5
2007-07-18,,,,,,,,,,,,,,,,,,,,9.5
2007-07-19,,,,,,,,,,,,,,,,,,,,9.5
2007-07-20,,,,,,,,,,,,,,,,,,,,9.5
2007-07-23,,,,,,,,,,,,,,,,,,,,9.5
2007-07-24,,,,,,,,,,,,,,,,,,,,9.5
2007-07-25,,,,,,,,,,,,,,,,,,,,9.5
2007-07-26,,,,,,,,,,,,,,,,,,,,9.5
2007-07-27,,,,,,,,,,,,,,,,,,,,9.5
2007-07-30,,,,,,,,,,,,,,,,,,,,9.5
2007-07-31,,,,,,,,,,,,,,,,,,,,9.5
2007-08-01,,,,,,,,,,,,,,,,,,,,9.5
2007-08-02,,,,,,,,,,,,,,,,,,,,9.5
2007-08-03,,,,,,,,,,,,,,,,,,,,9.5
2007-08-06,,,,,,,,,,,,,,,,,,,,9.5
2007-08-07,,,,,,,,,,,,,,,,,,,,9.5
2007-08-08,,,,,,,,,,,,,,,,,,,,9.5
2007-08-09,,,,,,,,,,,,,,,,,,,,9.5
2007-08-10,,,,,,,,,,,,,,,,,,,,9.1
2007-08-13,,,,,,,,,,,,,,,,,,,,9.3
2007-08-14,,,,,,,,,,,,,,,,,,,,9.5
2007-08-15,,,,,,,,,,,,,,,,,,,,9.5
2007-08-16,,,,,,,,,,,,,,,,,,,,9.5
2007-08-17,,,,,,,,,,,,,,,,,,,,9.5
2007-08-20,,,,,,,,,,,,,,,,,,,,9.5
2007-08-21,,,,,,,,,,,,,,,,,,,,9.5
2007-08-22,,,,,,,,,,,,,,,,,,,,9.5
2007-08-23,,,,,,,,,,,,,,,,,,,,9.5
2007-08-24,,,,,,,,,,,,,,,,,,,,9.5
2007-08-27,,,,,,,,,,,,,,,,,,,,9.5
2007-08-28,,,,,,,,,,,,,,,,,,,,9.5
2007-08-29,,,,,,,,,,,,,,,,,,,,9.5
2007-08-30,,,,,,,,,,,,,,,,,,,,9.5
2007-08-31,,,,,,,,,,,,,,,,,,,,9.5
2007-09-03,,,,,,,,,,,,,,,,,,,,9.5
2007-09-04,,,,,,,,,,,,,,,,,,,,9.5
2007-09-05,,,,,,,,,,,,,,,,,,,,9.5
2007-09-06,,,,,,,,,,,,,,,,,,,,9.5
2007-09-07,,,,,,,,,,,,,,,,,,,,9.5
2007-09-10,,,,,,,,,,,,,,,,,,,,9.39
2007-09-11,,,,,,,,,,,,,,,,,,,,9.39
2007-09-12,,,,,,,,,,,,,,,,,,,,9.39
2007-09-13,,,,,,,,,,,,,,,,,,,,9.39
2007-09-14,,,,,,,,,,,,,,,,,,,,9.39
2007-09-17,,,,,,,,,,,,,,,,,,,,9.39
2007-09-18,,,,,,,,,,,,,,,,,,,,9.39
2007-09-19,,,,,,,,,,,,,,,,,,,,9.39
2007-09-20,,,,,,,,,,,,,,,,,,,,9.2
2007-09-21,,,,,,,,,,,,,,,,,,,,9.19
2007-09-24,,,,,,,,,,,,,,,,,,,,9.2
2007-09-25,,,,,,,,,,,,,,,,,,,,9.2
2007-09-26,,,,,,,,,,,,,,,,,,,,9.2
2007-09-27,,,,,,,,,,,,,,,,,,,,9.2
2007-09-28,,,,,,,,,,,,,,,,,,,,9.2
2007-10-01,,,,,,,,,,,,,,,,,,,,9.2
2007-10-02,,,,,,,,,,,,,,,,,,,,9.2
2007-10-03,,,,,,,,,,,,,,,,,,,,9.2
2007-10-04,,,,,,,,,,,,,,,,,,,,9.2
2007-10-05,,,,,,,,,,,,,,,,,,,,9.2
2007-10-08,,,,,,,,,,,,,,,,,,,,9.2
2007-10-09,,,,,,,,,,,,,,,,,,,,9.2
2007-10-10,,,,,,,,,,,,,,,,,,,,9.2
2007-10-11,,,,,,,,,,,,,,,,,,,,9.2
2007-10-12,,,,,,,,,,,,,,,,,,,,9.05
2007-10-15,,,,,,,,,,,,,,,,,,,,9.1
2007-10-16,,,,,,,,,,,,,,,,,,,,9.0
2007-10-17,,,,,,,,,,,,,,,,,,,,9.0
2007-10-18,,,,,,,,,,,,,,,,,,,,8.9
2007-10-19,,,,,,,,,,,,,,,,,,,,9.0
2007-10-22,,,,,,,,,,,,,,,,,,,,9.0
2007-10-23,,,,,,,,,,,,,,,,,,,,9.0
2007-10-24,,,,,,,,,,,,,,,,,,,,9.0
2007-11-01,,,,,,,,,,,,,,,,,,,,9.0
2007-11-23,,,,,,,,,,,,,,,,,,,,8.7
2007-11-27,,,,,,,,,,,,,,,,,,,,8.0
2007-11-28,,,,,,,,,,,,,,,,,,,,8.0
2007-11-29,,,,,,,,,,,,,,,,,,,,8.2
2007-11-30,,,,,,,,,,,,,,,,,,,,8.3
2007-12-03,,,,,,,,,,,,,,,,,,,,8.3
2007-12-04,,,,,,,,,,,,,,,,,,,,8.4
2007-12-05,,,,,,,,,,,,,,,,,,,,8.4
2007-12-06,,,,,,,,,,,,,,,,,,,,8.4
2007-12-07,,,,,,,,,,,,,,,,,,,,8.4
2007-12-10,,,,,,,,,,,,,,,,,,,,8.45
2007-12-11,,,,,,,,,,,,,,,,,,,,8.45
2007-12-12,,,,,,,,,,,,,,,,,,,,8.45
2007-12-13,,,,,,,,,,,,,,,,,,,,8.45
2007-12-14,,,,,,,,,,,,,,,,,,,,8.45
2007-12-17,,,,,,,,,,,,,,,,,,,,8.45
2007-12-18,,,,,,,,,,,,,,,,,,,,8.5
2007-12-19,,,,,,,,,,,,,,,,,,,,8.5
2007-12-20,,,,,,,,,,,,,,,,,,,,8.5
2007-12-21,,,,,,,,,,,,,,,,,,,,8.5
2007-12-24,,,,,,,,,,,,,,,,,,,,8.5
2007-12-28,,,,,,,,,,,,,,,,,,,,9.01
2007-12-31,,,,,,,,,,,,,,,,,,,,8.99
2008-01-02,,,,,,,,,,,,,,,,,,,,9.2
2008-01-04,,,,,,,,,,,,,,,,,,,,9.2
2008-01-07,,,,,,,,,,,,,,,,,,,,9.2
2008-01-08,,,,,,,,,,,,,,,,,,,,9.2
2008-01-09,,,,,,,,,,,,,,,,,,,,9.2
2008-01-10,,,,,,,,,,,,,,,,,,,,9.2
2008-01-11,,,,,,,,,,,,,,,,,,,,9.2
2008-01-14,,,,,,,,,,,,,,,,,,,,9.2
2008-01-15,,,,,,,,,,,,,,,,,,,,9.2
2008-01-16,,,,,,,,,,,,,,,,,,,,9.19
2008-01-17,,,,,,,,,,,,,,,,,,,,9.19
2008-01-18,,,,,,,,,,,,,,,,,,,,9.19
2008-01-21,,,,,,,,,,,,,,,,,,,,9.19
2008-01-22,,,,,,,,,,,,,,,,,,,,9.19
2008-01-23,,,,,,,,,,,,,,,,,,,,9.19
2008-01-24,,,,,,,,,,,,,,,,,,,,9.19
2008-01-25,,,,,,,,,,,,,,,,,,,,9.19
2008-01-28,,,,,,,,,,,,,,,,,,,,9.19
2008-01-29,,,,,,,,,,,,,,,,,,,,9.19
2008-01-30,,,,,,,,,,,,,,,,,,,,9.19
2008-01-31,,,,,,,,,,,,,,,,,,,,9.19
2008-02-01,,,,,,,,,,,,,,,,,,,,9.19
2008-02-04,,,,,,,,,,,,,,,,,,,,9.19
2008-02-05,,,,,,,,,,,,,,,,,,,,9.19
2008-02-06,,,,,,,,,,,,,,,,,,,,9.19
2008-02-07,,,,,,,,,,,,,,,,,,,,9.19
2008-02-08,,,,,,,,,,,,,,,,,,,,9.19
2008-02-11,,,,,,,,,,,,,,,,,,,,9.19
2008-02-12,,,,,,,,,,,,,,,,,,,,9.19
2008-02-13,,,,,,,,,,,,,,,,,,,,9.19
2008-02-14,,,,,,,,,,,,,,,,,,,,9.19
2008-02-15,,,,,,,,,,,,,,,,,,,,9.19
2008-02-18,,,,,,,,,,,,,,,,,,,,9.19
2008-02-19,,,,,,,,,,,,,,,,,,,,9.19
2008-02-20,,,,,,,,,,,,,,,,,,,,9.19
2008-02-21,,,,,,,,,,,,,,,,,,,,9.4
2008-02-22,,,,,,,,,,,,,,,,,,,,9.4
2008-02-25,,,,,,,,,,,,,,,,,,,,9.4
2008-02-26,,,,,,,,,,,,,,,,,,,,9.4
2008-02-27,,,,,,,,,,,,,,,,,,,,9.4
2008-02-28,,,,,,,,,,,,,,,,,,,,9.4
2008-02-29,,,,,,,,,,,,,,,,,,,,9.4
2008-03-03,,,,,,,,,,,,,,,,,,,,9.4
2008-03-04,,,,,,,,,,,,,,,,,,,,9.39
2008-03-05,,,,,,,,,,,,,,,,,,,,9.39
2008-03-06,,,,,,,,,,,,,,,,,,,,9.39
2008-03-07,,,,,,,,,,,,,,,,,,,,9.39
2008-03-10,,,,,,,,,,,,,,,,,,,,9.39
2008-03-11,,,,,,,,,,,,,,,,,,,,9.4
2008-03-12,,,,,,,,,,,,,,,,,,,,9.35
2008-03-14,,,,,,,,,,,,,,,,,,,,9.25
2008-03-17,,,,,,,,,,,,,,,,,,,,8.99
2008-03-18,,,,,,,,,,,,,,,,,,,,8.99
2008-03-19,,,,,,,,,,,,,,,,,,,,8.99
2008-03-20,,,,,,,,,,,,,,,,,,,,8.99
2008-03-25,,,,,,,,,,,,,,,,,,,,8.99
2008-03-26,,,,,,,,,,,,,,,,,,,,9.1
2008-03-27,,,,,,,,,,,,,,,,,,,,9.04
2008-03-28,,,,,,,,,,,,,,,,,,,,9.0
2008-03-31,,,,,,,,,,,,,,,,,,,,9.0
2008-04-01,,,,,,,,,,,,,,,,,,,,9.0
2008-04-02,,,,,,,,,,,,,,,,,,,,9.0
2008-04-03,,,,,,,,,,,,,,,,,,,,9.0
2008-04-04,,,,,,,,,,,,,,,,,,,,9.0
2008-04-07,,,,,,,,,,,,,,,,,,,,9.0
2008-04-08,,,,,,,,,,,,,,,,,,,,9.0
2008-04-09,,,,,,,,,,,,,,,,,,,,9.0
2008-04-10,,,,,,,,,,,,,,,,,,,,9.0
2008-04-11,,,,,,,,,,,,,,,,,,,,9.0
2008-04-14,,,,,,,,,,,,,,,,,,,,9.0
2008-04-15,,,,,,,,,,,,,,,,,,,,9.0
2008-04-16,,,,,,,,,,,,,,,,,,,,9.0
2008-04-17,,,,,,,,,,,,,,,,,,,,9.0
2008-04-18,,,,,,,,,,,,,,,,,,,,9.0
2008-04-21,,,,,,,,,,,,,,,,,,,,9.0
2008-04-22,,,,,,,,,,,,,,,,,,,,9.0
2008-04-23,,,,,,,,,,,,,,,,,,,,9.0
2008-04-24,,,,,,,,,,,,,,,,,,,,9.0
2008-04-25,,,,,,,,,,,,,,,,,,,,9.0
2008-04-28,,,,,,,,,,,,,,,,,,,,8.99
2008-04-29,,,,,,,,,,,,,,,,,,,,8.99
2008-04-30,,,,,,,,,,,,,,,,,,,,8.99
2008-05-02,,,,,,,,,,,,,,,,,,,,8.99
2008-05-05,,,,,,,,,,,,,,,,,,,,8.99
2008-05-06,,,,,,,,,,,,,,,,,,,,8.99
2008-05-07,,,,,,,,,,,,,,,,,,,,8.98
2008-05-08,,,,,,,,,,,,,,,,,,,,8.98
2008-05-09,,,,,,,,,,,,,,,,,,,,8.98
2008-05-12,,,,,,,,,,,,,,,,,,,,8.98
2008-05-13,,,,,,,,,,,,,,,,,,,,8.98
2008-05-14,,,,,,,,,,,,,,,,,,,,8.98
2008-05-15,,,,,,,,,,,,,,,,,,,,8.98
2008-05-16,,,,,,,,,,,,,,,,,,,,8.98
2008-05-19,,,,,,,,,,,,,,,,,,,,8.98
2008-05-20,,,,,,,,,,,,,,,,,,,,8.98
2008-05-21,,,,,,,,,,,,,,,,,,,,8.98
2008-05-22,,,,,,,,,,,,,,,,,,,,8.98
2008-05-23,,,,,,,,,,,,,,,,,,,,8.98
2008-05-26,,,,,,,,,,,,,,,,,,,,8.98
2008-05-27,,,,,,,,,,,,,,,,,,,,8.98
2008-05-28,,,,,,,,,,,,,,,,,,,,8.98
2008-05-29,,,,,,,,,,,,,,,,,,,,8.98
2008-05-30,,,,,,,,,,,,,,,,,,,,8.98
2008-06-02,,,,,,,,,,,,,,,,,,,,8.98
2008-06-03,,,,,,,,,,,,,,,,,,,,8.98
2008-06-04,,,,,,,,,,,,,,,,,,,,8.98
2008-06-05,,,,,,,,,,,,,,,,,,,,8.98
2008-06-06,,,,,,,,,,,,,,,,,,,,8.98
2008-06-09,,,,,,,,,,,,,,,,,,,,8.98
2008-06-10,,,,,,,,,,,,,,,,,,,,8.98
2008-06-11,,,,,,,,,,,,,,,,,,,,8.98
2008-06-12,,,,,,,,,,,,,,,,,,,,8.7
2008-06-13,,,,,,,,,,,,,,,,,,,,8.7
2008-06-16,,,,,,,,,,,,,,,,,,,,8.7
2008-06-17,,,,,,,,,,,,,,,,,,,,8.7
2008-06-18,,,,,,,,,,,,,,,,,,,,8.7
2008-06-19,,,,,,,,,,,,,,,,,,,,8.7
2008-06-20,,,,,,,,,,,,,,,,,,,,8.7
2008-06-23,,,,,,,,,,,,,,,,,,,,8.7
2008-06-24,,,,,,,,,,,,,,,,,,,,8.7
2008-06-25,,,,,,,,,,,,,,,,,,,,8.7
2008-06-26,,,,,,,,,,,,,,,,,,,,8.7
2008-06-27,,,,,,,,,,,,,,,,,,,,8.7
2008-06-30,,,,,,,,,,,,,,,,,,,,8.7
2008-07-01,,,,,,,,,,,,,,,,,,,,8.7
2008-07-02,,,,,,,,,,,,,,,,,,,,8.7
2008-07-03,,,,,,,,,,,,,,,,,,,,8.7
2008-07-04,,,,,,,,,,,,,,,,,,,,8.7
2008-07-07,,,,,,,,,,,,,,,,,,,,8.7
2008-07-08,,,,,,,,,,,,,,,,,,,,8.7
2008-07-09,,,,,,,,,,,,,,,,,,,,8.7
2008-07-10,,,,,,,,,,,,,,,,,,,,8.7
2008-07-11,,,,,,,,,,,,,,,,,,,,8.7
2008-07-14,,,,,,,,,,,,,,,,,,,,8.7
2008-07-15,,,,,,,,,,,,,,,,,,,,8.7
2008-07-16,,,,,,,,,,,,,,,,,,,,8.7
2008-07-17,,,,,,,,,,,,,,,,,,,,8.7
2008-07-18,,,,,,,,,,,,,,,,,,,,8.7
2008-07-21,,,,,,,,,,,,,,,,,,,,8.7
2008-07-22,,,,,,,,,,,,,,,,,,,,8.7
2008-07-23,,,,,,,,,,,,,,,,,,,,8.7
2008-07-24,,,,,,,,,,,,,,,,,,,,8.7
2008-07-25,,,,,,,,,,,,,,,,,,,,8.7
2008-07-28,,,,,,,,,,,,,,,,,,,,8.7
2008-07-29,,,,,,,,,,,,,,,,,,,,8.7
2008-07-30,,,,,,,,,,,,,,,,,,,,8.7
2008-07-31,,,,,,,,,,,,,,,,,,,,8.7
2008-08-01,,,,,,,,,,,,,,,,,,,,8.7
2008-08-04,,,,,,,,,,,,,,,,,,,,8.7
2008-08-05,,,,,,,,,,,,,,,,,,,,8.68
2008-08-06,,,,,,,,,,,,,,,,,,,,8.68
2008-08-07,,,,,,,,,,,,,,,,,,,,8.68
2008-08-08,,,,,,,,,,,,,,,,,,,,8.68
2008-08-11,,,,,,,,,,,,,,,,,,,,8.68
