,MLSHD FP Equity_PX_LAST
2014-06-16,2.98
2014-06-17,2.98
2014-06-26,3.1
2014-06-27,3.26
2014-06-30,3.4
2014-07-01,3.55
2014-07-03,3.49
2014-08-15,3.47
2014-08-20,3.47
2014-08-28,3.47
2014-09-03,3.4
2014-09-09,3.3
2014-09-15,3.3
2014-09-22,3.3
2014-09-26,3.3
2014-10-02,3.3
2014-10-08,3.3
2014-10-14,3.3
2014-10-20,3.3
2014-10-24,3.3
2014-10-30,3.3
2014-11-05,3.3
2014-11-11,3.3
2014-11-17,3.3
2014-11-21,3.3
2014-11-27,3.3
2014-12-03,3.0
2014-12-09,3.0
2014-12-15,3.0
2014-12-19,3.0
2014-12-23,2.7
2014-12-29,2.45
2015-01-07,2.21
2015-01-13,2.3
2015-01-19,2.51
2015-01-23,2.51
2015-01-30,2.51
2015-02-05,2.7
2015-02-11,2.7
2015-02-17,2.7
2015-02-23,2.7
2015-02-27,2.7
2015-03-05,2.7
2015-03-12,2.7
2015-03-18,2.7
2015-03-24,2.7
2015-03-30,2.7
2015-04-02,2.7
2015-04-08,2.7
2015-04-14,2.7
2015-04-20,2.7
2015-04-24,2.69
2015-04-30,2.69
2015-05-06,2.95
2015-05-12,2.94
2015-05-18,2.95
2015-05-22,2.7
2015-05-28,2.7
2015-06-03,2.7
2015-06-09,2.7
2015-06-15,2.7
2015-06-19,2.9
2015-06-25,2.9
2015-07-01,2.9
2015-07-07,2.9
2015-07-27,2.7
2015-10-20,2.95
2015-10-21,3.15
2015-10-22,3.3
2015-10-23,3.35
2015-10-26,3.5
2015-10-27,3.6
2015-10-29,3.8
2015-10-30,4.0
2015-11-02,4.3
2015-11-03,4.7
2015-11-05,5.0
2015-11-06,5.4
2015-11-09,5.7
2015-11-10,6.0
2015-11-11,6.5
2015-11-12,6.75
2015-11-16,7.0
2015-11-17,7.5
2015-11-18,8.0
2015-11-19,8.8
2015-11-20,9.0
2015-11-24,9.7
2015-11-25,10.3
2015-11-26,10.51
2015-11-27,11.1
2015-11-30,11.9
2015-12-01,13.0
2015-12-02,13.0
2015-12-03,13.1
2015-12-04,13.75
2015-12-07,14.2
2015-12-11,14.65
2015-12-14,16.0
2015-12-16,14.0
2015-12-17,14.5
2015-12-18,15.9
2015-12-21,17.4
2015-12-22,19.05
2015-12-24,21.0
2015-12-28,20.0
2016-01-07,20.5
2016-01-08,20.5
2016-01-11,22.0
2016-01-15,22.0
2016-01-20,22.0
2016-01-26,22.0
2016-02-10,21.99
2016-02-11,21.5
2016-02-18,20.0
2016-02-19,20.0
2016-02-22,21.0
2016-02-23,20.99
2016-02-25,20.99
2016-02-29,20.99
2016-03-01,19.8
2016-03-07,17.4
2016-03-08,17.4
2016-03-09,17.4
2016-03-10,17.4
2016-03-11,17.4
2016-03-16,17.39
2016-03-21,15.66
2016-04-07,15.0
2016-04-20,19.0
2016-04-26,12.48
2016-05-13,17.51
2022-11-28,17.5
2022-11-29,17.5
2022-11-30,17.5
2022-12-01,17.5
2022-12-02,17.5
2022-12-05,17.5
2022-12-06,17.5
2022-12-07,17.5
2022-12-08,17.5
2022-12-09,17.5
2022-12-12,17.5
2022-12-13,17.5
2022-12-14,17.5
2022-12-15,17.5
2022-12-16,17.5
2022-12-19,17.5
2022-12-20,17.5
2022-12-21,17.5
2022-12-22,17.5
2022-12-23,17.5
2022-12-27,17.5
2022-12-28,17.5
2022-12-29,17.5
2022-12-30,17.5
