,PROAC FP Equity_DX_SI_QTY,PROAC FP Equity_DX_SHORT_INTEREST_VALUE,PROAC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PROAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PROAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PROAC FP Equity_DX_SI_MV,PROAC FP Equity_DX_DSS,PROAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PROAC FP Equity_DX_SUPPLY_SI_QTY,PROAC FP Equity_DX_BROKER_SI_QTY,PROAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PROAC FP Equity_DX_BROKER_SI_MV_NEW_x,PROAC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PROAC FP Equity_DX_SUPPLY_SI_QTY_INC_x,PROAC FP Equity_DX_BROKER_SI_MV_INC_x,PROAC FP Equity_DX_SUPPLY_SI_MV_NEW,PROAC FP Equity_DX_BROKER_SI_QTY_ADD,PROAC FP Equity_DX_BROKER_SI_QTY_NEW,PROAC FP Equity_DX_SUPPLY_SI_MV_DEC,PROAC FP Equity_DX_BROKER_SI_QTY_INC,PROAC FP Equity_DX_SUPPLY_SI_QTY_DEC,PROAC FP Equity_DX_BROKER_SI_MV_NEW_y,PROAC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PROAC FP Equity_DX_BROKER_SI_MV_INC_y,PROAC FP Equity_DX_SUPPLY_SI_QTY_INC_y,PROAC FP Equity_DX_BROKER_SI_MV_ADD,PROAC FP Equity_DX_SUPPLY_SI_QTY_ADD,PROAC FP Equity_DX_BROKER_SI_QTY_DEC,PROAC FP Equity_DX_SUPPLY_SI_MV,PROAC FP Equity_DX_BROKER_SI_MV_DEC,PROAC FP Equity_DX_SUPPLY_SI_MV_RMV,PROAC FP Equity_DX_BROKER_SI_MV_RMV,PROAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PROAC FP Equity_DX_UTILIZATION_QUANTITY,PROAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PROAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PROAC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PROAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PROAC FP Equity_DX_ACTIVE_UTILIZATION_MV,PROAC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PROAC FP Equity_DX_BROKER_SI_CON_RATIO,PROAC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PROAC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,72534.0,217602.0,0.55,1.59,0.18,0.22,0.0,217602.0,0.0,72534.0,0.0,,,,0.02,,,,,11045.0,,,,0.02,,,,,0.0,,,,0.0,0.0,213710.0,641130.0,,0.64,0.0,17.23,0.7147,82.77,0.3394
2006-01-11,74003.0,212388.61,0.56,1.0,0.18,0.22,0.0,212388.61,0.0,74003.0,0.0,,,,0.0,,,,,1469.0,,,,0.0,,,,,0.0,,,,0.0,0.0,223606.0,641749.22,,0.64,0.0,16.89,0.7192,83.11,0.331
2006-01-18,75473.0,215098.05,0.57,0.88,0.18,0.22,0.0,215098.05,0.0,75473.0,0.0,,,,0.0,,,,,1469.0,,,,0.0,,,,,0.0,,,,0.0,0.0,224050.0,638542.5,,0.64,0.0,16.56,0.7236,83.44,0.3369
2006-01-25,61783.0,177317.21,0.46,0.74,0.15,0.18,0.0,177317.21,0.0,61783.0,0.0,,,,,,,,,,,,,,,,,13689.0,0.0,0.05,,,0.0,0.0,223887.0,642555.69,,0.64,0.0,,1.0,100.0,0.276
2006-02-01,62674.0,170473.28,0.47,0.85,0.15,0.17,0.0,170473.28,0.0,62674.0,0.0,,,,0.0,,,,,891.0,,,,0.0,,,,,0.0,,,,0.0,0.0,224027.0,609353.44,,0.61,0.0,,1.0,100.0,0.2798
2006-02-08,95765.0,250904.3,0.72,1.2,0.23,0.28,0.0,249460.68,551.0,95214.0,1443.62,,,,0.07,,12500.0,,,20040.0,,,,0.07,,0.04,551.0,,0.0,,,,0.26,0.26,212346.0,556346.52,,0.56,0.29,13.13,0.7719,86.87,0.4498
2006-02-15,70359.0,188562.12,0.53,0.85,0.17,0.21,0.0,187077.4,554.0,69805.0,1484.72,,,3.0,,,,,,,,,,,3.0,,,25409.0,0.0,0.08,,,0.26,0.26,212489.0,569470.52,,0.57,0.29,17.91,0.706,82.09,0.3303
2006-02-22,67916.0,175223.28,0.51,1.08,0.16,0.2,0.0,175223.28,0.0,67916.0,0.0,,,,,,,,0.0,,554.0,,,,,,,1889.0,0.0,0.01,,,0.0,0.0,212788.0,548993.04,,0.55,0.0,18.41,0.6996,81.59,0.3192
2006-03-01,71944.0,180579.44,0.54,1.31,0.17,0.21,0.0,180579.44,0.0,71944.0,0.0,,,,0.01,,,,,4028.0,,,,0.01,,,,,0.0,,,,0.0,0.0,212584.0,533585.84,,0.54,0.0,17.37,0.7129,82.63,0.3384
2006-03-08,76190.0,207998.7,0.57,1.09,0.18,0.23,0.0,207998.7,0.0,76190.0,0.0,,,,0.01,,,,,4246.0,,,,0.01,,,,,0.0,,,,0.0,0.0,212978.0,581429.94,,0.58,0.0,16.41,0.7257,83.59,0.3577
