,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_y,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity
,DX_SI_QTY,DX_SHORT_INTEREST_VALUE,DX_SHORT_INTEREST_PCT_FREE_FLOAT,DX_SHORT_INT_RATIO_DAYS_TO_COVER,DX_SHORT_INTEREST_PCT_SHARES_OUT,DX_SI_MV,DX_DSS,DX_BROKER_SHORT_INTEREST_VALUE,DX_SUPPLY_SI_QTY,DX_BROKER_SI_QTY,DX_SUPPLY_SIDE_SHORT_INT_VAL,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_MV_NEW,DX_BROKER_SI_QTY_ADD,DX_BROKER_SI_QTY_NEW,DX_SUPPLY_SI_MV_DEC,DX_BROKER_SI_QTY_INC,DX_SUPPLY_SI_QTY_DEC,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_ADD,DX_SUPPLY_SI_QTY_ADD,DX_BROKER_SI_QTY_DEC,DX_SUPPLY_SI_MV,DX_BROKER_SI_MV_DEC,DX_SUPPLY_SI_MV_RMV,DX_BROKER_SI_MV_RMV,DX_ACTIVE_UTILIZATION_QUANTITY,DX_UTILIZATION_QUANTITY,DX_ACTIVE_AVAIL_SUPPLY_QTY,DX_ACTIVE_AVAILABILITY_VALUE,DX_SUPPLY_SI_QTY_MV_RMV,DX_ACTIVE_AVAIL_SUPPLY_MV,DX_ACTIVE_UTILIZATION_MV,DX_BROKER_SI_MARKET_SHARE_2,DX_BROKER_SI_CON_RATIO,DX_BROKER_SI_MARKET_SHARE_1,DX_DEMAND_SUPPLY_RATIO
2006-01-04,672094.0,40522868.91,1.18,4.83,0.37,47.42,0.0,32184947.4,400040.0,533805.0,24119793.48,,,24228.0,0.0,,,,55.65,37130.0,721896.0,,,0.0,24228.0,,,618000.0,28.77,50.17,,,8.07,8.07,4554241.0,274590921.82,,332.12,7.97,15.93,0.4374,62.84,0.1357
2006-01-11,595792.0,36501750.62,1.05,4.28,0.33,43.41,0.0,28017767.25,416122.0,457314.0,25494101.08,,,11326.0,0.23,,15000.0,,0.0,2400.0,244.0,,,0.23,11326.0,1.24,5000.0,93891.0,31.04,5.86,,,7.17,7.17,5389709.0,330205531.18,,408.39,7.06,18.09,0.3583,55.08,0.1026
2006-01-18,681503.0,40745542.79,1.2,5.68,0.38,49.22,0.0,32480362.26,415489.0,543261.0,24841159.65,,,202.0,6.15,,,,0.32,88347.0,835.0,,,6.15,202.0,,,2400.0,30.56,0.21,,,6.47,6.47,6003201.0,358917984.51,,445.25,6.42,15.69,0.4155,61.17,0.1062
2006-01-25,892259.0,51610774.21,1.57,7.11,0.49,64.7,0.0,27616185.42,464824.0,477435.0,26886729.65,,275118.0,82007.0,,20.48,,,1.35,,15824.0,,275118.0,,82007.0,,,65826.0,34.39,5.0,21.2,,7.81,7.81,5485913.0,317320662.68,291965.0,404.21,7.84,12.68,0.5857,74.88,0.1499
2006-02-01,852626.0,51308267.9,1.52,6.09,0.47,63.42,0.0,26982114.63,454245.0,448381.0,27334991.14,,,2273.0,,,,,0.76,,12852.0,,,,2273.0,,,29054.0,34.72,1.48,,,7.64,7.64,5493544.0,330583664.22,,417.34,7.68,13.45,0.6078,76.47,0.1434
2006-02-08,731548.0,43794534.58,1.3,4.97,0.4,55.65,0.0,20171881.83,453596.0,336953.0,27154780.97,,,8000.0,,,36000.0,,0.56,,9649.0,,,,8000.0,2.68,1000.0,147428.0,34.84,10.63,,,7.82,7.82,5343213.0,319874466.85,,408.59,7.86,15.62,0.4868,67.11,0.1262
2006-02-15,1279063.0,77019618.05,2.28,8.58,0.7,97.8,0.0,29779291.55,843519.0,494544.0,50793050.22,,293315.0,,12.14,22.44,,,0.02,157592.0,665.0,,293315.0,12.14,,,97273.0,,64.87,,,,13.95,13.95,5203750.0,313347221.69,,401.17,13.92,35.78,0.3824,49.46,0.2115
2006-02-22,982292.0,60372083.24,1.75,6.68,0.54,75.22,0.0,30312895.93,548082.0,493210.0,33685352.34,,,,,,,,0.12,,2122.0,,,,,,,1334.0,42.4,0.02,22.44,,9.57,9.57,5176514.0,318150747.52,293315.0,400.08,9.58,14.75,0.4695,65.62,0.1716
2006-03-01,1120035.0,68619985.26,2.0,7.2,0.62,88.88,0.0,33376820.62,634250.0,544786.0,38857915.73,,,4318.0,2.61,,40999.0,,0.11,33017.0,7150.0,,,2.61,4318.0,4.57,88999.0,22441.0,49.61,0.79,,,10.68,10.68,5301785.0,324818785.6,,417.4,10.62,15.56,0.3342,54.0,0.1887
