,GLO FP Equity_DX_SI_QTY,GLO FP Equity_DX_SHORT_INTEREST_VALUE,GLO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GLO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GLO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GLO FP Equity_DX_SI_MV,GLO FP Equity_DX_DSS,GLO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GLO FP Equity_DX_SUPPLY_SI_QTY,GLO FP Equity_DX_BROKER_SI_QTY,GLO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GLO FP Equity_DX_BROKER_SI_MV_NEW_x,GLO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GLO FP Equity_DX_SUPPLY_SI_QTY_INC_x,GLO FP Equity_DX_BROKER_SI_MV_INC_x,GLO FP Equity_DX_SUPPLY_SI_MV_NEW,GLO FP Equity_DX_BROKER_SI_QTY_ADD,GLO FP Equity_DX_BROKER_SI_QTY_NEW,GLO FP Equity_DX_SUPPLY_SI_MV_DEC,GLO FP Equity_DX_BROKER_SI_QTY_INC,GLO FP Equity_DX_SUPPLY_SI_QTY_DEC,GLO FP Equity_DX_BROKER_SI_MV_NEW_y,GLO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GLO FP Equity_DX_BROKER_SI_MV_INC_y,GLO FP Equity_DX_SUPPLY_SI_QTY_INC_y,GLO FP Equity_DX_BROKER_SI_MV_ADD,GLO FP Equity_DX_SUPPLY_SI_QTY_ADD,GLO FP Equity_DX_BROKER_SI_QTY_DEC,GLO FP Equity_DX_SUPPLY_SI_MV,GLO FP Equity_DX_BROKER_SI_MV_DEC,GLO FP Equity_DX_SUPPLY_SI_MV_RMV,GLO FP Equity_DX_BROKER_SI_MV_RMV,GLO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GLO FP Equity_DX_UTILIZATION_QUANTITY,GLO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GLO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GLO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GLO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GLO FP Equity_DX_ACTIVE_UTILIZATION_MV,GLO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GLO FP Equity_DX_BROKER_SI_CON_RATIO,GLO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GLO FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,52057.0,1003701.67,0.71,2.99,0.34,1.86,0.0,906121.44,40754.0,46996.0,785770.55,0.09,,1.0,,,,3111.0,0.43,,13096.0,0.09,,,1.0,,,81855.0,1.46,2.81,,,5.99,5.99,639114.0,12322642.24,,22.89,5.99,6.72,0.7796,87.87,0.0766
2006-01-11,43885.0,867241.68,0.6,2.66,0.29,1.64,0.0,867241.68,35210.0,43885.0,695809.04,,,,,,,,0.15,,5545.0,,,,,,,3111.0,1.31,0.09,,,5.35,5.35,622303.0,12297757.81,,23.22,5.35,7.1,0.868,92.9,0.0667
2006-01-18,43885.0,881406.63,0.6,2.83,0.29,1.67,0.0,881406.63,35204.0,43885.0,707053.41,,,,,,,,0.0,,6.0,,,,,,,,1.34,,,,5.42,5.42,614540.0,12342705.51,,23.4,5.42,7.1,0.8681,92.9,0.0675
2006-01-25,57009.0,1126594.08,0.77,3.42,0.37,2.12,0.0,946288.44,44875.0,47885.0,886805.76,,,3154.0,,,4000.0,,,,,,,,3154.0,0.12,6517.0,,1.67,,,,6.75,6.75,619655.0,12245428.86,,23.05,6.75,6.39,0.686,82.18,0.0858
2006-02-01,57068.0,1122121.22,0.77,3.4,0.37,2.09,0.0,941556.99,45163.0,47885.0,888034.64,,,289.0,,,,,,,,,,,289.0,,,,1.65,,,,6.62,6.62,637294.0,12531035.25,,23.32,6.62,6.5,0.6833,82.0,0.0836
2006-02-08,60992.0,1236241.04,0.83,3.43,0.4,2.17,0.0,1047598.34,45777.0,51685.0,927849.65,,,613.0,,,3800.0,,,,,,,,613.0,0.12,,,1.63,,,,6.56,6.56,652446.0,13224365.86,,23.21,6.56,6.38,0.6029,76.76,0.0874
2006-02-15,85497.0,1779675.19,1.16,4.48,0.56,3.18,0.0,1654947.84,67485.0,79505.0,1404743.79,0.13,,25033.0,1.18,,,4000.0,,30000.0,,0.13,,1.18,25033.0,,,2180.0,2.51,0.07,0.12,0.12,9.9,9.9,613844.0,12777558.69,3324.0,22.86,9.9,4.14,0.7627,87.07,0.1255
2006-02-22,85602.0,1761561.15,1.16,4.78,0.56,3.18,0.0,1636094.01,68666.0,79505.0,1413043.6,,,1181.0,,,,,,,,,,,1181.0,,,,2.55,,,,10.39,10.39,592478.0,12192311.24,,22.0,10.39,4.1,0.7611,86.98,0.1295
2006-03-01,78193.0,1630213.09,1.06,5.36,0.51,2.96,0.0,1574172.11,64745.0,75505.0,1349841.38,,,,,,,,0.1,,3921.0,,,,,,,4000.0,2.45,0.13,,,9.93,9.93,587154.0,12241327.72,,22.22,9.93,4.17,0.8261,90.72,0.1199
2006-03-08,78200.0,1615420.51,1.21,6.42,0.51,2.96,0.0,1559748.41,64926.0,75505.0,1341212.18,,,181.0,,,,,,,,,,,181.0,,,,2.46,,,,9.9,9.9,590948.0,12207538.64,,22.39,9.9,4.15,0.8264,90.73,0.1192
2006-03-15,78111.0,1562643.02,1.21,7.0,0.51,2.9,0.0,1510508.91,62766.0,75505.0,1255659.92,,,,,,,,0.13,,2160.0,,,,,,,,2.33,,,,9.56,9.56,593585.0,11874914.63,,22.01,9.56,4.25,0.826,90.71,0.119
2006-03-22,78081.0,1773949.89,1.21,7.33,0.51,3.11,0.0,1715424.83,62059.0,75505.0,1409940.4,,,,,,,,0.0,,706.0,,,,,,,,2.47,,,,9.86,9.86,567501.0,12893256.19,,22.59,9.86,3.96,0.8337,91.15,0.124
2006-03-29,78102.0,1875264.25,1.21,6.64,0.51,3.25,0.0,1812909.11,62552.0,75505.0,1501901.74,,,493.0,,,,,,,,,,,493.0,,,,2.6,,,,10.28,10.28,546211.0,13114772.5,,22.73,10.28,3.78,0.8376,91.37,0.1283
