,ALAQU FP Equity_DX_SI_QTY,ALAQU FP Equity_DX_SHORT_INTEREST_VALUE,ALAQU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAQU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAQU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAQU FP Equity_DX_SI_MV,ALAQU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAQU FP Equity_DX_SUPPLY_SI_QTY,ALAQU FP Equity_DX_BROKER_SI_QTY,ALAQU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAQU FP Equity_DX_SUPPLY_SI_MV,ALAQU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAQU FP Equity_DX_UTILIZATION_QUANTITY,ALAQU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAQU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAQU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAQU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAQU FP Equity_DX_BROKER_SI_CON_RATIO,ALAQU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAQU FP Equity_PX_LAST
2006-06-27,,,,,,,,,,,,,,,,,,,,5.85
2006-06-28,,,,,,,,,,,,,,,,,,,,5.69
2006-06-29,,,,,,,,,,,,,,,,,,,,5.3
2006-06-30,,,,,,,,,,,,,,,,,,,,4.66
2006-07-03,,,,,,,,,,,,,,,,,,,,4.85
2006-07-04,,,,,,,,,,,,,,,,,,,,5.7
2006-07-05,,,,,,,,,,,,,,,,,,,,5.98
2006-07-06,,,,,,,,,,,,,,,,,,,,5.99
2006-07-07,,,,,,,,,,,,,,,,,,,,5.11
2006-07-11,,,,,,,,,,,,,,,,,,,,5.12
2006-07-12,,,,,,,,,,,,,,,,,,,,5.4
2006-07-13,,,,,,,,,,,,,,,,,,,,5.4
2006-07-14,,,,,,,,,,,,,,,,,,,,5.4
2006-07-17,,,,,,,,,,,,,,,,,,,,5.2
2006-07-18,,,,,,,,,,,,,,,,,,,,5.2
2006-07-19,,,,,,,,,,,,,,,,,,,,5.11
2006-07-21,,,,,,,,,,,,,,,,,,,,5.12
2006-07-24,,,,,,,,,,,,,,,,,,,,5.1
2006-07-25,,,,,,,,,,,,,,,,,,,,5.11
2006-07-26,,,,,,,,,,,,,,,,,,,,5.11
2006-07-27,,,,,,,,,,,,,,,,,,,,5.57
2006-07-28,,,,,,,,,,,,,,,,,,,,5.56
2006-08-01,,,,,,,,,,,,,,,,,,,,5.11
2006-08-02,,,,,,,,,,,,,,,,,,,,5.1
2006-08-04,,,,,,,,,,,,,,,,,,,,5.15
2006-08-07,,,,,,,,,,,,,,,,,,,,5.1
2006-08-08,,,,,,,,,,,,,,,,,,,,5.1
2006-08-09,,,,,,,,,,,,,,,,,,,,5.1
2006-08-10,,,,,,,,,,,,,,,,,,,,5.1
2006-08-14,,,,,,,,,,,,,,,,,,,,5.1
2006-08-16,,,,,,,,,,,,,,,,,,,,5.1
2006-08-17,,,,,,,,,,,,,,,,,,,,5.1
2006-08-18,,,,,,,,,,,,,,,,,,,,5.1
2006-08-21,,,,,,,,,,,,,,,,,,,,5.11
2006-08-22,,,,,,,,,,,,,,,,,,,,5.1
2006-08-24,,,,,,,,,,,,,,,,,,,,5.1
2006-08-28,,,,,,,,,,,,,,,,,,,,5.0
2006-08-29,,,,,,,,,,,,,,,,,,,,5.1
2006-08-31,,,,,,,,,,,,,,,,,,,,5.35
2006-09-01,,,,,,,,,,,,,,,,,,,,5.49
2006-09-04,,,,,,,,,,,,,,,,,,,,5.49
2006-09-06,,,,,,,,,,,,,,,,,,,,5.3
2006-09-07,,,,,,,,,,,,,,,,,,,,5.0
2006-09-08,,,,,,,,,,,,,,,,,,,,5.01
2006-09-11,,,,,,,,,,,,,,,,,,,,5.0
2006-09-13,,,,,,,,,,,,,,,,,,,,5.0
2006-09-14,,,,,,,,,,,,,,,,,,,,5.0
2006-09-15,,,,,,,,,,,,,,,,,,,,5.1
2006-09-18,,,,,,,,,,,,,,,,,,,,5.1
2006-09-20,,,,,,,,,,,,,,,,,,,,5.19
2006-09-22,,,,,,,,,,,,,,,,,,,,5.43
2006-09-28,,,,,,,,,,,,,,,,,,,,5.15
2006-09-29,,,,,,,,,,,,,,,,,,,,5.15
2006-10-02,,,,,,,,,,,,,,,,,,,,4.5
2006-10-03,,,,,,,,,,,,,,,,,,,,5.3
2006-10-04,,,,,,,,,,,,,,,,,,,,5.1
2006-10-09,,,,,,,,,,,,,,,,,,,,4.75
2006-10-10,,,,,,,,,,,,,,,,,,,,5.0
2006-10-12,,,,,,,,,,,,,,,,,,,,5.0
2006-10-13,,,,,,,,,,,,,,,,,,,,5.0
2006-10-23,,,,,,,,,,,,,,,,,,,,5.0
2006-10-24,,,,,,,,,,,,,,,,,,,,4.9
2006-10-25,,,,,,,,,,,,,,,,,,,,4.78
2006-10-27,,,,,,,,,,,,,,,,,,,,4.62
2006-10-30,,,,,,,,,,,,,,,,,,,,4.62
2006-10-31,,,,,,,,,,,,,,,,,,,,4.64
2006-11-01,,,,,,,,,,,,,,,,,,,,4.6
2006-11-03,,,,,,,,,,,,,,,,,,,,4.6
2006-11-06,,,,,,,,,,,,,,,,,,,,4.51
2006-11-07,,,,,,,,,,,,,,,,,,,,4.6
2006-11-08,,,,,,,,,,,,,,,,,,,,4.6
2006-11-09,,,,,,,,,,,,,,,,,,,,4.5
2006-11-10,,,,,,,,,,,,,,,,,,,,4.5
2006-11-14,,,,,,,,,,,,,,,,,,,,4.5
2006-11-15,,,,,,,,,,,,,,,,,,,,4.4
2006-11-17,,,,,,,,,,,,,,,,,,,,4.41
2006-11-20,,,,,,,,,,,,,,,,,,,,4.41
2006-11-22,,,,,,,,,,,,,,,,,,,,4.35
2006-11-23,,,,,,,,,,,,,,,,,,,,4.25
2006-11-24,,,,,,,,,,,,,,,,,,,,4.16
2006-11-27,,,,,,,,,,,,,,,,,,,,4.2
2006-11-28,,,,,,,,,,,,,,,,,,,,4.2
2006-11-29,,,,,,,,,,,,,,,,,,,,4.28
2006-11-30,,,,,,,,,,,,,,,,,,,,4.28
2006-12-04,,,,,,,,,,,,,,,,,,,,4.1
2006-12-05,,,,,,,,,,,,,,,,,,,,4.15
