,EGRO FP Equity_DX_SI_QTY,EGRO FP Equity_DX_SHORT_INTEREST_VALUE,EGRO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EGRO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EGRO FP Equity_DX_SI_MV,EGRO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EGRO FP Equity_DX_SUPPLY_SI_QTY,EGRO FP Equity_DX_BROKER_SI_QTY,EGRO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EGRO FP Equity_DX_SUPPLY_SI_MV,EGRO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EGRO FP Equity_DX_UTILIZATION_QUANTITY,EGRO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EGRO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EGRO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EGRO FP Equity_DX_ACTIVE_UTILIZATION_MV,EGRO FP Equity_DX_BROKER_SI_CON_RATIO,EGRO FP Equity_DX_DEMAND_SUPPLY_RATIO,EGRO FP Equity_PX_LAST
2021-07-19,,,,,,,,,,,,,,,,,,,10.574
2021-07-20,,,,,,,,,,,,,,,,,,,10.618
2021-07-21,,,,,,,,,,,,,,,,,,,10.8
2021-07-22,,,,,,,,,,,,,,,,,,,10.876
2021-07-27,,,,,,,,,,,,,,,,,,,10.914
2021-07-28,,,,,,,,,,,,,,,,,,,11.004
2021-07-29,,,,,,,,,,,,,,,,,,,11.032
2021-07-30,,,,,,,,,,,,,,,,,,,10.996
2021-08-02,,,,,,,,,,,,,,,,,,,11.072
2021-08-03,,,,,,,,,,,,,,,,,,,11.084
2021-08-13,,,,,,,,,,,,,,,,,,,11.326
2021-08-16,,,,,,,,,,,,,,,,,,,11.27
2021-08-17,,,,,,,,,,,,,,,,,,,11.264
2021-08-18,,,,,,,,,,,,,,,,,,,11.278
2021-08-19,,,,,,,,,,,,,,,,,,,11.158
2021-08-23,,,,,,,,,,,,,,,,,,,11.24
2021-08-24,,,,,,,,,,,,,,,,,,,11.238
2021-08-25,,,,,,,,,,,,,,,,,,,11.216
2021-08-26,,,,,,,,,,,,,,,,,,,11.164
2021-08-27,,,,,,,,,,,,,,,,,,,11.24
2021-08-30,,,,,,,,,,,,,,,,,,,11.272
2021-08-31,,,,,,,,,,,,,,,,,,,11.236
2021-09-01,,,,,,,,,,,,,,,,,,,11.314
2021-09-02,,,,,,,,,,,,,,,,,,,11.374
2021-09-03,,,,,,,,,,,,,,,,,,,11.298
2021-09-06,,,,,,,,,,,,,,,,,,,11.4
2021-09-07,,,,,,,,,,,,,,,,,,,11.344
2021-09-08,,,,,,,,,,,,,,,,,,,11.24
2021-09-09,,,,,,,,,,,,,,,,,,,11.262
2021-09-10,,,,,,,,,,,,,,,,,,,11.28
2021-09-13,,,,,,,,,,,,,,,,,,,11.248
2021-09-14,,,,,,,,,,,,,,,,,,,11.258
2021-09-15,,,,,,,,,,,,,,,,,,,11.26
2021-09-16,,,,,,,,,,,,,,,,,,,11.212
2021-09-17,,,,,,,,,,,,,,,,,,,11.296
2021-09-20,,,,,,,,,,,,,,,,,,,10.966
2021-09-21,,,,,,,,,,,,,,,,,,,11.022
2021-09-22,,,,,,,,,,,,,,,,,,,11.134
2021-09-23,,,,,,,,,,,,,,,,,,,11.248
2021-09-24,,,,,,,,,,,,,,,,,,,11.106
2021-09-27,,,,,,,,,,,,,,,,,,,11.198
2021-09-28,,,,,,,,,,,,,,,,,,,10.72
2021-09-29,,,,,,,,,,,,,,,,,,,10.788
2021-09-30,,,,,,,,,,,,,,,,,,,10.758
2021-10-01,,,,,,,,,,,,,,,,,,,10.748
2021-10-04,,,,,,,,,,,,,,,,,,,10.646
2021-10-05,,,,,,,,,,,,,,,,,,,10.746
2021-10-06,,,,,,,,,,,,,,,,,,,10.658
2021-10-07,,,,,,,,,,,,,,,,,,,10.826
2021-10-08,,,,,,,,,,,,,,,,,,,10.734
2021-10-11,,,,,,,,,,,,,,,,,,,10.756
2021-10-12,,,,,,,,,,,,,,,,,,,10.76
2021-10-13,,,,,,,,,,,,,,,,,,,10.912
2021-10-28,,,,,,,,,,,,,,,,,,,11.328
2021-10-29,,,,,,,,,,,,,,,,,,,11.34
2021-11-01,,,,,,,,,,,,,,,,,,,11.404
2021-11-02,,,,,,,,,,,,,,,,,,,11.428
2021-11-03,,,,,,,,,,,,,,,,,,,11.428
2021-11-04,,,,,,,,,,,,,,,,,,,11.6
2021-11-05,,,,,,,,,,,,,,,,,,,11.554
2021-11-08,,,,,,,,,,,,,,,,,,,11.582
2021-11-09,,,,,,,,,,,,,,,,,,,11.574
2021-11-10,,,,,,,,,,,,,,,,,,,11.562
2021-11-11,,,,,,,,,,,,,,,,,,,11.594
2021-11-12,,,,,,,,,,,,,,,,,,,11.682
2021-11-15,,,,,,,,,,,,,,,,,,,11.738
2021-11-16,,,,,,,,,,,,,,,,,,,11.722
2021-11-17,,,,,,,,,,,,,,,,,,,11.708
2021-11-18,,,,,,,,,,,,,,,,,,,11.698
2021-11-19,,,,,,,,,,,,,,,,,,,11.704
2021-11-22,,,,,,,,,,,,,,,,,,,11.656
2021-11-23,,,,,,,,,,,,,,,,,,,11.396
2021-11-24,,,,,,,,,,,,,,,,,,,11.392
2021-11-25,,,,,,,,,,,,,,,,,,,11.46
2021-11-26,,,,,,,,,,,,,,,,,,,11.088
2021-11-29,,,,,,,,,,,,,,,,,,,11.17
2021-11-30,,,,,,,,,,,,,,,,,,,11.064
2021-12-01,,,,,,,,,,,,,,,,,,,11.254
2021-12-02,,,,,,,,,,,,,,,,,,,11.058
2021-12-03,,,,,,,,,,,,,,,,,,,10.994
2021-12-06,,,,,,,,,,,,,,,,,,,11.098
2021-12-07,,,,,,,,,,,,,,,,,,,11.264
2021-12-10,,,,,,,,,,,,,,,,,,,11.28
2021-12-13,,,,,,,,,,,,,,,,,,,11.208
2021-12-14,,,,,,,,,,,,,,,,,,,11.032
2021-12-15,,,,,,,,,,,,,,,,,,,11.08
2021-12-16,,,,,,,,,,,,,,,,,,,11.144
2021-12-17,,,,,,,,,,,,,,,,,,,11.116
2021-12-28,,,,,,,,,,,,,,,,,,,11.508
2021-12-29,,,,,,,,,,,,,,,,,,,11.514
2021-12-30,,,,,,,,,,,,,,,,,,,11.518
2021-12-31,,,,,,,,,,,,,,,,,,,11.486
2022-01-03,,,,,,,,,,,,,,,,,,,11.568
2022-01-04,,,,,,,,,,,,,,,,,,,11.586
2022-01-05,,,,,,,,,,,,,,,,,,,11.586
2022-01-06,,,,,,,,,,,,,,,,,,,11.38
2022-01-18,,,,,,,,,,,,,,,,,,,10.994
2022-01-19,,,,,,,,,,,,,,,,,,,11.056
2022-01-20,,,,,,,,,,,,,,,,,,,11.106
2022-01-21,,,,,,,,,,,,,,,,,,,10.892
2022-01-24,,,,,,,,,,,,,,,,,,,10.408
2022-01-25,,,,,,,,,,,,,,,,,,,10.46
2022-01-26,,,,,,,,,,,,,,,,,,,10.634
2022-01-27,,,,,,,,,,,,,,,,,,,10.462
2022-01-28,,,,,,,,,,,,,,,,,,,10.54
2022-02-03,,,,,,,,,,,,,,,,,,,10.596
2022-02-04,,,,,,,,,,,,,,,,,,,10.46
2022-02-07,,,,,,,,,,,,,,,,,,,10.454
2022-02-08,,,,,,,,,,,,,,,,,,,10.416
2022-02-09,,,,,,,,,,,,,,,,,,,10.542
2022-02-10,,,,,,,,,,,,,,,,,,,10.622
2022-02-11,,,,,,,,,,,,,,,,,,,10.508
2022-02-14,,,,,,,,,,,,,,,,,,,10.324
2022-02-15,,,,,,,,,,,,,,,,,,,10.506
2022-02-18,,,,,,,,,,,,,,,,,,,10.356
2022-02-21,,,,,,,,,,,,,,,,,,,10.22
2022-02-23,,,,,,,,,,,,,,,,,,,10.26
2022-02-25,,,,,,,,,,,,,,,,,,,10.352
2022-02-28,,,,,,,,,,,,,,,,,,,10.398
2022-03-01,,,,,,,,,,,,,,,,,,,10.228
2022-03-02,,,,,,,,,,,,,,,,,,,10.336
2022-03-03,,,,,,,,,,,,,,,,,,,10.364
2022-03-07,,,,,,,,,,,,,,,,,,,10.364
2022-03-10,,,,,,,,,,,,,,,,,,,9.813
2022-03-11,,,,,,,,,,,,,,,,,,,9.925
2022-03-14,,,,,,,,,,,,,,,,,,,9.994
2022-03-15,,,,,,,,,,,,,,,,,,,10.042
2022-03-18,,,,,,,,,,,,,,,,,,,10.59
2022-03-21,,,,,,,,,,,,,,,,,,,10.598
2022-03-22,,,,,,,,,,,,,,,,,,,10.602
2022-03-23,,,,,,,,,,,,,,,,,,,10.53
2022-03-24,,,,,,,,,,,,,,,,,,,10.54
2022-03-25,,,,,,,,,,,,,,,,,,,10.474
2022-03-28,,,,,,,,,,,,,,,,,,,10.49
2022-03-29,,,,,,,,,,,,,,,,,,,10.596
2022-03-30,,,,,,,,,,,,,,,,,,,10.552
2022-03-31,,,,,,,,,,,,,,,,,,,10.528
2022-04-01,,,,,,,,,,,,,,,,,,,10.536
2022-04-04,,,,,,,,,,,,,,,,,,,10.624
2022-04-05,,,,,,,,,,,,,,,,,,,10.632
2022-04-06,,,,,,,,,,,,,,,,,,,10.612
2022-04-08,,,,,,,,,,,,,,,,,,,10.512
2022-04-11,,,,,,,,,,,,,,,,,,,10.368
2022-04-12,,,,,,,,,,,,,,,,,,,10.396
2022-04-13,,,,,,,,,,,,,,,,,,,10.378
2022-04-14,,,,,,,,,,,,,,,,,,,10.466
2022-04-19,,,,,,,,,,,,,,,,,,,10.51
2022-04-20,,,,,,,,,,,,,,,,,,,10.518
2022-04-21,,,,,,,,,,,,,,,,,,,10.61
2022-04-22,,,,,,,,,,,,,,,,,,,10.472
2022-05-09,,,,,,,,,,,,,,,,,,,9.265
2022-05-12,,,,,,,,,,,,,,,,,,,9.407
2022-05-19,,,,,,,,,,,,,,,,,,,9.506
2022-05-27,,,,,,,,,,,,,,,,,,,9.881
2022-05-30,,,,,,,,,,,,,,,,,,,9.995
2022-05-31,,,,,,,,,,,,,,,,,,,9.876
2022-06-01,,,,,,,,,,,,,,,,,,,9.771
2022-06-02,,,,,,,,,,,,,,,,,,,9.876
2022-06-03,,,,,,,,,,,,,,,,,,,9.846
2022-06-06,,,,,,,,,,,,,,,,,,,9.932
2022-06-07,,,,,,,,,,,,,,,,,,,9.856
2022-06-08,,,,,,,,,,,,,,,,,,,9.786
2022-06-09,,,,,,,,,,,,,,,,,,,9.629
2022-06-10,,,,,,,,,,,,,,,,,,,9.38
2022-06-13,,,,,,,,,,,,,,,,,,,9.13
2022-06-14,,,,,,,,,,,,,,,,,,,8.97
2022-06-15,,,,,,,,,,,,,,,,,,,9.154
2022-06-16,,,,,,,,,,,,,,,,,,,8.878
2022-06-17,,,,,,,,,,,,,,,,,,,8.924
2022-06-20,,,,,,,,,,,,,,,,,,,8.983
2022-06-21,,,,,,,,,,,,,,,,,,,9.012
2022-06-22,,,,,,,,,,,,,,,,,,,8.926
2022-06-23,,,,,,,,,,,,,,,,,,,8.849
2022-06-24,,,,,,,,,,,,,,,,,,,9.132
2022-06-27,,,,,,,,,,,,,,,,,,,9.171
2022-06-28,,,,,,,,,,,,,,,,,,,9.18
2022-06-29,,,,,,,,,,,,,,,,,,,9.098
2022-06-30,,,,,,,,,,,,,,,,,,,8.983
2022-07-01,,,,,,,,,,,,,,,,,,,8.977
2022-07-04,,,,,,,,,,,,,,,,,,,8.981
2022-07-05,,,,,,,,,,,,,,,,,,,8.83
2022-07-06,,,,,,,,,,,,,,,,,,,8.984
2022-07-07,,,,,,,,,,,,,,,,,,,9.155
2022-07-08,,,,,,,,,,,,,,,,,,,9.226
2022-07-11,,,,,,,,,,,,,,,,,,,9.145
2022-07-12,,,,,,,,,,,,,,,,,,,9.185
2022-07-13,,,,,,,,,,,,,,,,,,,9.105
2022-07-14,,,,,,,,,,,,,,,,,,,8.989
2022-07-15,,,,,,,,,,,,,,,,,,,9.182
2022-07-18,,,,,,,,,,,,,,,,,,,9.265
2022-07-19,,,,,,,,,,,,,,,,,,,9.407
2022-07-20,,,,,,,,,,,,,,,,,,,9.423
2022-07-21,,,,,,,,,,,,,,,,,,,9.528
2022-07-22,,,,,,,,,,,,,,,,,,,9.544
2022-07-25,,,,,,,,,,,,,,,,,,,9.527
2022-07-26,,,,,,,,,,,,,,,,,,,9.483
2022-07-27,,,,,,,,,,,,,,,,,,,9.537
2022-07-28,,,,,,,,,,,,,,,,,,,9.707
2022-07-29,,,,,,,,,,,,,,,,,,,9.868
2022-08-01,,,,,,,,,,,,,,,,,,,9.841
2022-08-02,,,,,,,,,,,,,,,,,,,9.794
2022-08-03,,,,,,,,,,,,,,,,,,,9.844
2022-08-04,,,,,,,,,,,,,,,,,,,9.904
2022-08-05,,,,,,,,,,,,,,,,,,,9.829
2022-08-08,,,,,,,,,,,,,,,,,,,9.88
2022-08-09,,,,,,,,,,,,,,,,,,,9.78
2022-08-10,,,,,,,,,,,,,,,,,,,9.941
2022-08-11,,,,,,,,,,,,,,,,,,,9.979
2022-08-12,,,,,,,,,,,,,,,,,,,9.985
2022-08-15,,,,,,,,,,,,,,,,,,,10.04
2022-08-16,,,,,,,,,,,,,,,,,,,10.024
2022-08-17,,,,,,,,,,,,,,,,,,,9.911
2022-08-18,,,,,,,,,,,,,,,,,,,9.969
2022-08-19,,,,,,,,,,,,,,,,,,,9.888
2022-08-22,,,,,,,,,,,,,,,,,,,9.748
2022-08-23,,,,,,,,,,,,,,,,,,,9.699
2022-08-24,,,,,,,,,,,,,,,,,,,9.756
2022-08-25,,,,,,,,,,,,,,,,,,,9.787
2022-08-26,,,,,,,,,,,,,,,,,,,9.612
2022-08-29,,,,,,,,,,,,,,,,,,,9.501
2022-08-30,,,,,,,,,,,,,,,,,,,9.438
2022-08-31,,,,,,,,,,,,,,,,,,,9.343
2022-09-01,,,,,,,,,,,,,,,,,,,9.152
2022-09-02,,,,,,,,,,,,,,,,,,,9.359
2022-09-05,,,,,,,,,,,,,,,,,,,9.286
2022-09-07,,,,,,,,,,,,,,,,,,,9.283
2022-09-08,,,,,,,,,,,,,,,,,,,9.327
2022-09-09,,,,,,,,,,,,,,,,,,,9.528
2022-09-12,,,,,,,,,,,,,,,,,,,9.654
2022-09-13,,,,,,,,,,,,,,,,,,,9.49
2022-09-14,,,,,,,,,,,,,,,,,,,9.392
2022-09-15,,,,,,,,,,,,,,,,,,,9.277
2022-09-19,,,,,,,,,,,,,,,,,,,9.133
2022-09-20,,,,,,,,,,,,,,,,,,,9.022
2022-09-21,,,,,,,,,,,,,,,,,,,9.155
2022-09-22,,,,,,,,,,,,,,,,,,,8.847
2022-09-23,,,,,,,,,,,,,,,,,,,8.629
2022-09-26,,,,,,,,,,,,,,,,,,,8.627
2022-09-27,,,,,,,,,,,,,,,,,,,8.629
2022-09-28,,,,,,,,,,,,,,,,,,,8.669
2022-09-29,,,,,,,,,,,,,,,,,,,8.512
2022-09-30,,,,,,,,,,,,,,,,,,,8.672
2022-10-03,,,,,,,,,,,,,,,,,,,8.762
2022-10-04,,,,,,,,,,,,,,,,,,,9.089
2022-10-05,,,,,,,,,,,,,,,,,,,8.97
2022-10-06,,,,,,,,,,,,,,,,,,,8.928
2022-10-07,,,,,,,,,,,,,,,,,,,8.774
2022-10-10,,,,,,,,,,,,,,,,,,,8.774
2022-10-11,,,,,,,,,,,,,,,,,,,8.683
2022-10-12,,,,,,,,,,,,,,,,,,,8.645
2022-10-13,,,,,,,,,,,,,,,,,,,8.745
2022-10-14,,,,,,,,,,,,,,,,,,,8.723
2022-10-17,,,,,,,,,,,,,,,,,,,8.902
2022-10-18,,,,,,,,,,,,,,,,,,,8.945
2022-10-19,,,,,,,,,,,,,,,,,,,8.88
2022-10-20,,,,,,,,,,,,,,,,,,,8.951
2022-10-21,,,,,,,,,,,,,,,,,,,8.867
2022-10-24,,,,,,,,,,,,,,,,,,,8.963
2022-10-25,,,,,,,,,,,,,,,,,,,9.131
2022-10-26,,,,,,,,,,,,,,,,,,,9.246
2022-10-27,,,,,,,,,,,,,,,,,,,9.158
2022-10-28,,,,,,,,,,,,,,,,,,,9.104
2022-10-31,,,,,,,,,,,,,,,,,,,9.139
2022-11-01,,,,,,,,,,,,,,,,,,,9.181
2022-11-02,,,,,,,,,,,,,,,,,,,9.178
2022-11-03,,,,,,,,,,,,,,,,,,,9.043
2022-11-04,,,,,,,,,,,,,,,,,,,9.253
2022-11-07,,,,,,,,,,,,,,,,,,,9.28
2022-11-08,,,,,,,,,,,,,,,,,,,9.395
2022-11-09,,,,,,,,,,,,,,,,,,,9.366
2022-11-10,,,,,,,,,,,,,,,,,,,9.644
2022-11-11,,,,,,,,,,,,,,,,,,,9.663
2022-11-14,,,,,,,,,,,,,,,,,,,9.652
2022-11-15,,,,,,,,,,,,,,,,,,,9.748
2022-11-16,,,,,,,,,,,,,,,,,,,9.623
2022-11-17,,,,,,,,,,,,,,,,,,,9.58
2022-11-18,,,,,,,,,,,,,,,,,,,9.692
2022-11-21,,,,,,,,,,,,,,,,,,,9.694
2022-11-22,,,,,,,,,,,,,,,,,,,9.733
2022-11-23,,,,,,,,,,,,,,,,,,,9.824
2022-11-24,,,,,,,,,,,,,,,,,,,9.869
2022-11-25,,,,,,,,,,,,,,,,,,,9.874
2022-11-28,,,,,,,,,,,,,,,,,,,9.795
2022-11-29,,,,,,,,,,,,,,,,,,,9.795
2022-11-30,,,,,,,,,,,,,,,,,,,9.798
2022-12-01,,,,,,,,,,,,,,,,,,,9.963
2022-12-02,,,,,,,,,,,,,,,,,,,9.911
2022-12-05,,,,,,,,,,,,,,,,,,,9.933
2022-12-06,,,,,,,,,,,,,,,,,,,9.892
2022-12-07,,,,,,,,,,,,,,,,,,,9.892
2022-12-08,,,,,,,,,,,,,,,,,,,9.76
2022-12-09,,,,,,,,,,,,,,,,,,,9.775
2022-12-12,,,,,,,,,,,,,,,,,,,9.761
2022-12-13,,,,,,,,,,,,,,,,,,,9.761
2022-12-14,,,,,,,,,,,,,,,,,,,9.856
2022-12-15,,,,,,,,,,,,,,,,,,,9.79
2022-12-16,,,,,,,,,,,,,,,,,,,9.587
2022-12-19,,,,,,,,,,,,,,,,,,,9.482
2022-12-20,,,,,,,,,,,,,,,,,,,9.358
2022-12-21,,,,,,,,,,,,,,,,,,,9.468
2022-12-22,,,,,,,,,,,,,,,,,,,9.577
2022-12-23,,,,,,,,,,,,,,,,,,,9.468
2022-12-27,,,,,,,,,,,,,,,,,,,9.531
2022-12-28,,,,,,,,,,,,,,,,,,,9.531
2022-12-29,,,,,,,,,,,,,,,,,,,9.421
2022-12-30,,,,,,,,,,,,,,,,,,,9.505
2023-01-02,,,,,,,,,,,,,,,,,,,9.505
2023-01-03,,,,,,,,,,,,,,,,,,,9.614
2023-01-04,,,,,,,,,,,,,,,,,,,9.614
2023-01-05,,,,,,,,,,,,,,,,,,,9.755
2023-01-06,,,,,,,,,,,,,,,,,,,9.788
2023-01-09,,,,,,,,,,,,,,,,,,,9.93
2023-01-10,,,,,,,,,,,,,,,,,,,9.885
2023-01-11,,,,,,,,,,,,,,,,,,,9.927
2023-01-12,,,,,,,,,,,,,,,,,,,9.932
2023-01-13,,,,,,,,,,,,,,,,,,,10.002
2023-01-16,,,,,,,,,,,,,,,,,,,10.078
2023-01-17,,,,,,,,,,,,,,,,,,,10.078
2023-01-18,,,,,,,,,,,,,,,,,,,10.22
2023-01-19,,,,,,,,,,,,,,,,,,,10.22
2023-01-20,,,,,,,,,,,,,,,,,,,10.112
2023-01-23,,,,,,,,,,,,,,,,,,,10.156
2023-01-24,,,,,,,,,,,,,,,,,,,10.214
2023-01-25,,,,,,,,,,,,,,,,,,,10.174
2023-01-26,,,,,,,,,,,,,,,,,,,10.236
2023-01-27,,,,,,,,,,,,,,,,,,,10.242
2023-01-30,,,,,,,,,,,,,,,,,,,10.242
2023-01-31,,,,,,,,,,,,,,,,,,,10.242
2023-02-01,,,,,,,,,,,,,,,,,,,10.228
2023-02-02,,,,,,,,,,,,,,,,,,,10.322
2023-02-03,,,,,,,,,,,,,,,,,,,10.348
2023-02-06,,,,,,,,,,,,,,,,,,,10.348
2023-02-07,,,,,,,,,,,,,,,,,,,10.328
2023-02-08,,,,,,,,,,,,,,,,,,,10.45
2023-02-09,,,,,,,,,,,,,,,,,,,10.45
2023-02-10,,,,,,,,,,,,,,,,,,,10.29
2023-02-13,,,,,,,,,,,,,,,,,,,10.338
2023-02-14,,,,,,,,,,,,,,,,,,,10.336
2023-02-15,,,,,,,,,,,,,,,,,,,10.296
2023-02-16,,,,,,,,,,,,,,,,,,,10.466
2023-02-17,,,,,,,,,,,,,,,,,,,10.31
2023-02-20,,,,,,,,,,,,,,,,,,,10.382
2023-02-21,,,,,,,,,,,,,,,,,,,10.38
2023-02-22,,,,,,,,,,,,,,,,,,,10.336
2023-02-23,,,,,,,,,,,,,,,,,,,10.336
2023-02-24,,,,,,,,,,,,,,,,,,,10.368
2023-02-27,,,,,,,,,,,,,,,,,,,10.318
2023-02-28,,,,,,,,,,,,,,,,,,,10.294
2023-03-01,,,,,,,,,,,,,,,,,,,10.294
2023-03-02,,,,,,,,,,,,,,,,,,,10.236
2023-03-03,,,,,,,,,,,,,,,,,,,10.352
2023-03-06,,,,,,,,,,,,,,,,,,,10.412
2023-03-07,,,,,,,,,,,,,,,,,,,10.358
2023-03-08,,,,,,,,,,,,,,,,,,,10.244
2023-03-09,,,,,,,,,,,,,,,,,,,10.242
2023-03-10,,,,,,,,,,,,,,,,,,,10.092
2023-03-13,,,,,,,,,,,,,,,,,,,9.83
2023-03-14,,,,,,,,,,,,,,,,,,,9.865
2023-03-15,,,,,,,,,,,,,,,,,,,9.963
2023-03-16,,,,,,,,,,,,,,,,,,,9.861
2023-03-17,,,,,,,,,,,,,,,,,,,9.963
2023-03-20,,,,,,,,,,,,,,,,,,,9.963
2023-03-21,,,,,,,,,,,,,,,,,,,9.963
2023-03-22,,,,,,,,,,,,,,,,,,,9.963
2023-03-23,,,,,,,,,,,,,,,,,,,9.963
2023-03-24,,,,,,,,,,,,,,,,,,,9.963
2023-03-27,,,,,,,,,,,,,,,,,,,9.963
2023-03-28,,,,,,,,,,,,,,,,,,,9.963
2023-03-29,,,,,,,,,,,,,,,,,,,10.094
2023-03-30,,,,,,,,,,,,,,,,,,,10.094
2023-03-31,,,,,,,,,,,,,,,,,,,10.344
2023-04-03,,,,,,,,,,,,,,,,,,,10.344
2023-04-04,,,,,,,,,,,,,,,,,,,10.344
2023-04-05,,,,,,,,,,,,,,,,,,,10.27
2023-04-06,,,,,,,,,,,,,,,,,,,10.27
2023-04-11,,,,,,,,,,,,,,,,,,,10.332
2023-04-12,,,,,,,,,,,,,,,,,,,10.35
2023-04-13,,,,,,,,,,,,,,,,,,,10.406
2023-04-14,,,,,,,,,,,,,,,,,,,10.466
2023-04-17,,,,,,,,,,,,,,,,,,,10.466
2023-04-18,,,,,,,,,,,,,,,,,,,10.554
2023-04-19,,,,,,,,,,,,,,,,,,,10.512
2023-04-20,,,,,,,,,,,,,,,,,,,10.512
2023-04-21,,,,,,,,,,,,,,,,,,,10.518
2023-04-24,,,,,,,,,,,,,,,,,,,10.556
2023-04-25,,,,,,,,,,,,,,,,,,,10.45
2023-04-26,,,,,,,,,,,,,,,,,,,10.45
2023-04-27,,,,,,,,,,,,,,,,,,,10.282
2023-04-28,,,,,,,,,,,,,,,,,,,10.394
2023-05-02,,,,,,,,,,,,,,,,,,,10.412
2023-05-03,,,,,,,,,,,,,,,,,,,10.412
2023-05-04,,,,,,,,,,,,,,,,,,,10.334
2023-05-05,,,,,,,,,,,,,,,,,,,10.334
2023-05-08,,,,,,,,,,,,,,,,,,,10.41
2023-05-09,,,,,,,,,,,,,,,,,,,10.348
2023-05-10,,,,,,,,,,,,,,,,,,,10.386
2023-05-11,,,,,,,,,,,,,,,,,,,10.404
2023-05-12,,,,,,,,,,,,,,,,,,,10.404
2023-05-15,,,,,,,,,,,,,,,,,,,10.46
2023-05-16,,,,,,,,,,,,,,,,,,,10.412
2023-05-17,,,,,,,,,,,,,,,,,,,10.4
2023-05-18,,,,,,,,,,,,,,,,,,,10.48
2023-05-19,,,,,,,,,,,,,,,,,,,10.552
2023-05-22,,,,,,,,,,,,,,,,,,,10.55
2023-05-23,,,,,,,,,,,,,,,,,,,10.462
2023-05-24,,,,,,,,,,,,,,,,,,,10.214
2023-05-25,,,,,,,,,,,,,,,,,,,10.216
2023-05-26,,,,,,,,,,,,,,,,,,,10.328
2023-05-29,,,,,,,,,,,,,,,,,,,10.302
2023-05-30,,,,,,,,,,,,,,,,,,,10.264
2023-05-31,,,,,,,,,,,,,,,,,,,10.158
2023-06-01,,,,,,,,,,,,,,,,,,,10.252
2023-06-02,,,,,,,,,,,,,,,,,,,10.414
2023-06-05,,,,,,,,,,,,,,,,,,,10.338
2023-06-06,,,,,,,,,,,,,,,,,,,10.4
2023-06-07,,,,,,,,,,,,,,,,,,,10.386
2023-06-08,,,,,,,,,,,,,,,,,,,10.384
2023-06-09,,,,,,,,,,,,,,,,,,,10.384
2023-06-12,,,,,,,,,,,,,,,,,,,10.448
2023-06-13,,,,,,,,,,,,,,,,,,,10.524
2023-06-14,,,,,,,,,,,,,,,,,,,10.546
2023-06-15,,,,,,,,,,,,,,,,,,,10.508
2023-06-16,,,,,,,,,,,,,,,,,,,10.57
2023-06-19,,,,,,,,,,,,,,,,,,,10.434
