,ENX FP Equity_DX_SI_QTY,ENX FP Equity_DX_SHORT_INTEREST_VALUE,ENX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ENX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ENX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ENX FP Equity_DX_SI_MV,ENX FP Equity_DX_DSS,ENX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ENX FP Equity_DX_SUPPLY_SI_QTY,ENX FP Equity_DX_BROKER_SI_QTY,ENX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ENX FP Equity_DX_BROKER_SI_MV_NEW_x,ENX FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ENX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ENX FP Equity_DX_BROKER_SI_MV_INC_x,ENX FP Equity_DX_SUPPLY_SI_MV_NEW,ENX FP Equity_DX_BROKER_SI_QTY_ADD,ENX FP Equity_DX_BROKER_SI_QTY_NEW,ENX FP Equity_DX_SUPPLY_SI_MV_DEC,ENX FP Equity_DX_BROKER_SI_QTY_INC,ENX FP Equity_DX_SUPPLY_SI_QTY_DEC,ENX FP Equity_DX_BROKER_SI_MV_NEW_y,ENX FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ENX FP Equity_DX_BROKER_SI_MV_INC_y,ENX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ENX FP Equity_DX_BROKER_SI_MV_ADD,ENX FP Equity_DX_SUPPLY_SI_QTY_ADD,ENX FP Equity_DX_BROKER_SI_QTY_DEC,ENX FP Equity_DX_SUPPLY_SI_MV,ENX FP Equity_DX_BROKER_SI_MV_DEC,ENX FP Equity_DX_SUPPLY_SI_MV_RMV,ENX FP Equity_DX_BROKER_SI_MV_RMV,ENX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ENX FP Equity_DX_UTILIZATION_QUANTITY,ENX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ENX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ENX FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ENX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ENX FP Equity_DX_ACTIVE_UTILIZATION_MV,ENX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ENX FP Equity_DX_BROKER_SI_CON_RATIO,ENX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ENX FP Equity_DX_DEMAND_SUPPLY_RATIO,ENX FP Equity_PX_LAST
2014-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2014-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6
2014-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.64
2014-06-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1745345.0,30184565.33,,31.31,0.0,0.0,0.0,0.0,0.0,18.8
2014-06-25,40000.0,673742.78,0.38,0.1,0.06,0.78,0.0,673742.78,0.0,40000.0,0.0,,,,,,40000.0,,,,,,,,,0.78,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,38.18,0.528,61.82,0.0075,18.31
2014-06-26,40000.0,686253.57,0.08,0.09,0.06,0.76,0.0,686253.57,0.0,40000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,38.18,0.5279,61.82,0.0055,18.65
2014-06-27,40000.0,686253.57,0.08,0.09,0.06,0.76,0.0,686253.57,0.0,40000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,38.62,0.5259,61.38,0.0043,18.65
2014-06-30,15000.0,256241.2,0.03,0.03,0.02,0.29,0.0,256241.2,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,25000.0,0.0,0.47,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0016,18.57
2014-07-01,15000.0,260656.77,0.03,0.03,0.02,0.29,0.0,260656.77,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0016,18.89
2014-07-02,15000.0,261484.69,0.03,0.03,0.02,0.3,0.0,261484.69,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0016,18.95
2014-07-03,15000.0,262036.64,0.03,0.03,0.02,0.3,0.0,262036.64,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0016,18.99
