,ALRIB FP Equity_DX_SI_QTY,ALRIB FP Equity_DX_SHORT_INTEREST_VALUE,ALRIB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALRIB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALRIB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALRIB FP Equity_DX_SI_MV,ALRIB FP Equity_DX_DSS,ALRIB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALRIB FP Equity_DX_SUPPLY_SI_QTY,ALRIB FP Equity_DX_BROKER_SI_QTY,ALRIB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALRIB FP Equity_DX_BROKER_SI_MV_NEW_x,ALRIB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALRIB FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALRIB FP Equity_DX_BROKER_SI_MV_INC_x,ALRIB FP Equity_DX_SUPPLY_SI_MV_NEW,ALRIB FP Equity_DX_BROKER_SI_QTY_ADD,ALRIB FP Equity_DX_BROKER_SI_QTY_NEW,ALRIB FP Equity_DX_SUPPLY_SI_MV_DEC,ALRIB FP Equity_DX_BROKER_SI_QTY_INC,ALRIB FP Equity_DX_SUPPLY_SI_QTY_DEC,ALRIB FP Equity_DX_BROKER_SI_MV_NEW_y,ALRIB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALRIB FP Equity_DX_BROKER_SI_MV_INC_y,ALRIB FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALRIB FP Equity_DX_BROKER_SI_MV_ADD,ALRIB FP Equity_DX_SUPPLY_SI_QTY_ADD,ALRIB FP Equity_DX_BROKER_SI_QTY_DEC,ALRIB FP Equity_DX_SUPPLY_SI_MV,ALRIB FP Equity_DX_BROKER_SI_MV_DEC,ALRIB FP Equity_DX_SUPPLY_SI_MV_RMV,ALRIB FP Equity_DX_BROKER_SI_MV_RMV,ALRIB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALRIB FP Equity_DX_UTILIZATION_QUANTITY,ALRIB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALRIB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALRIB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALRIB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALRIB FP Equity_DX_ACTIVE_UTILIZATION_MV,ALRIB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALRIB FP Equity_DX_BROKER_SI_CON_RATIO,ALRIB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALRIB FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,2450.0,4498.89,0.02,0.01,0.01,0.01,0.0,4498.89,2067.0,2450.0,3795.6,,,,,,,,0.0,,210.0,,,,,,,,0.01,,,,69.66,69.66,900.0,1652.65,,0.0,69.66,,1.0,100.0,0.8258
2006-01-11,2450.0,4967.97,0.02,0.0,0.01,0.01,0.0,4967.97,2506.0,2450.0,5081.53,,,439.0,,,,,,,,,,,439.0,,,,0.01,,,,70.63,70.63,1042.0,2112.91,,0.0,70.63,,1.0,100.0,0.6905
2006-01-18,2450.0,4712.11,0.02,0.0,0.01,0.01,0.0,4712.11,0.0,2450.0,0.0,,,,,,,,0.01,,2506.0,,,,,,,,0.0,,,,0.0,0.0,3396.0,6531.56,,0.01,0.0,,1.0,100.0,0.7214
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2450.0,0.0,0.01,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.06,0.0,,0.0,,0.0
2006-02-08,346.0,737.73,0.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0,737.73,,,,,,,,,,,,,,,,346.0,,0.0,,,,0.88,0.88,39128.0,83427.8,,0.09,0.88,,0.0,,0.0088
2006-02-15,341.0,685.53,0.0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,685.53,,,,,,,,0.0,,5.0,,,,,,,,0.0,,,,0.59,0.59,57109.0,114808.39,,0.14,0.59,,0.0,,0.0059
2006-02-22,615.0,1348.75,0.0,0.0,0.0,0.0,0.0,0.0,615.0,0.0,1348.75,,,274.0,,,,,,,,,,,274.0,,,,0.0,,,,1.07,1.07,56931.0,124855.14,,0.15,1.07,,0.0,,0.0107
2006-03-01,584.0,1280.77,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1280.77,,,,,,,,0.0,,30.0,,,,,,,,0.0,,,,1.02,1.02,56892.0,124769.61,,0.14,1.02,,0.0,,0.0102
2006-03-08,606.0,1302.65,0.0,0.0,0.0,0.0,0.0,0.0,606.0,0.0,1302.65,,,22.0,,,,,,,,,,,22.0,,,,0.0,,,,1.01,1.01,59457.0,127807.7,,0.15,1.01,,0.0,,0.0101
2006-03-15,552.0,1196.18,0.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,1196.18,,,,,,,,0.0,,54.0,,,,,,,,0.0,,,,0.92,0.92,59170.0,128220.66,,0.15,0.92,,0.0,,0.0092
