,DBV FP Equity_DX_SI_QTY,DBV FP Equity_DX_SHORT_INTEREST_VALUE,DBV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,DBV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DBV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DBV FP Equity_DX_SI_MV,DBV FP Equity_DX_DSS,DBV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DBV FP Equity_DX_SUPPLY_SI_QTY,DBV FP Equity_DX_BROKER_SI_QTY,DBV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DBV FP Equity_DX_BROKER_SI_MV_NEW_x,DBV FP Equity_DX_SUPPLY_SI_QTY_NEW_x,DBV FP Equity_DX_SUPPLY_SI_QTY_INC_x,DBV FP Equity_DX_BROKER_SI_MV_INC_x,DBV FP Equity_DX_SUPPLY_SI_MV_NEW,DBV FP Equity_DX_BROKER_SI_QTY_ADD,DBV FP Equity_DX_BROKER_SI_QTY_NEW,DBV FP Equity_DX_SUPPLY_SI_MV_DEC,DBV FP Equity_DX_BROKER_SI_QTY_INC,DBV FP Equity_DX_SUPPLY_SI_QTY_DEC,DBV FP Equity_DX_BROKER_SI_MV_NEW_y,DBV FP Equity_DX_SUPPLY_SI_QTY_NEW_y,DBV FP Equity_DX_BROKER_SI_MV_INC_y,DBV FP Equity_DX_SUPPLY_SI_QTY_INC_y,DBV FP Equity_DX_BROKER_SI_MV_ADD,DBV FP Equity_DX_SUPPLY_SI_QTY_ADD,DBV FP Equity_DX_BROKER_SI_QTY_DEC,DBV FP Equity_DX_SUPPLY_SI_MV,DBV FP Equity_DX_BROKER_SI_MV_DEC,DBV FP Equity_DX_SUPPLY_SI_MV_RMV,DBV FP Equity_DX_BROKER_SI_MV_RMV,DBV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DBV FP Equity_DX_UTILIZATION_QUANTITY,DBV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DBV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DBV FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,DBV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DBV FP Equity_DX_ACTIVE_UTILIZATION_MV,DBV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DBV FP Equity_DX_BROKER_SI_CON_RATIO,DBV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DBV FP Equity_DX_DEMAND_SUPPLY_RATIO
2012-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,225450.0,,0.23,0.0,,0.0,,0.0
2012-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,224100.0,,0.23,0.0,,0.0,,0.0
2012-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,226800.0,,0.22,0.0,,0.0,,0.0
2012-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,222750.0,,0.22,0.0,,0.0,,0.0
2012-11-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,228150.0,,0.22,0.0,,0.0,,0.0
2012-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,233820.0,,0.23,0.0,,0.0,,0.0
2012-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,239760.0,,0.23,0.0,,0.0,,0.0
2012-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,238680.0,,0.23,0.0,,0.0,,0.0
2012-11-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,237600.0,,0.23,0.0,,0.0,,0.0
2012-11-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,237600.0,,0.23,0.0,,0.0,,0.0
2012-11-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,236250.0,,0.23,0.0,,0.0,,0.0
2012-11-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27000.0,237330.0,,0.23,0.0,,0.0,,0.0
