,FORSE FP Equity_DX_SI_QTY,FORSE FP Equity_DX_SHORT_INTEREST_VALUE,FORSE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FORSE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FORSE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FORSE FP Equity_DX_SI_MV,FORSE FP Equity_DX_DSS,FORSE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FORSE FP Equity_DX_SUPPLY_SI_QTY,FORSE FP Equity_DX_BROKER_SI_QTY,FORSE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FORSE FP Equity_DX_BROKER_SI_MV_NEW_x,FORSE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,FORSE FP Equity_DX_SUPPLY_SI_QTY_INC_x,FORSE FP Equity_DX_BROKER_SI_MV_INC_x,FORSE FP Equity_DX_SUPPLY_SI_MV_NEW,FORSE FP Equity_DX_BROKER_SI_QTY_ADD,FORSE FP Equity_DX_BROKER_SI_QTY_NEW,FORSE FP Equity_DX_SUPPLY_SI_MV_DEC,FORSE FP Equity_DX_BROKER_SI_QTY_INC,FORSE FP Equity_DX_SUPPLY_SI_QTY_DEC,FORSE FP Equity_DX_BROKER_SI_MV_NEW_y,FORSE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,FORSE FP Equity_DX_BROKER_SI_MV_INC_y,FORSE FP Equity_DX_SUPPLY_SI_QTY_INC_y,FORSE FP Equity_DX_BROKER_SI_MV_ADD,FORSE FP Equity_DX_SUPPLY_SI_QTY_ADD,FORSE FP Equity_DX_BROKER_SI_QTY_DEC,FORSE FP Equity_DX_SUPPLY_SI_MV,FORSE FP Equity_DX_BROKER_SI_MV_DEC,FORSE FP Equity_DX_SUPPLY_SI_MV_RMV,FORSE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FORSE FP Equity_DX_UTILIZATION_QUANTITY,FORSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FORSE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FORSE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,FORSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FORSE FP Equity_DX_ACTIVE_UTILIZATION_MV,FORSE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FORSE FP Equity_DX_BROKER_SI_CON_RATIO,FORSE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FORSE FP Equity_DX_DEMAND_SUPPLY_RATIO,FORSE FP Equity_PX_LAST
2021-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25
2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25
2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22
2021-11-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14999.0,105892.94,,0.11,0.0,,0.0,,0.0,7.06
2021-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,414999.0,2846893.14,,2.92,0.0,,0.0,,0.0,6.86
2021-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,414999.0,2801243.25,,2.85,0.0,,0.0,,0.0,6.75
2021-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,414999.0,2801243.25,,2.83,0.0,,0.0,,0.0,6.75
2021-11-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,414999.0,2904993.0,,2.82,0.0,,0.0,,0.0,7.0
2021-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,414999.0,2904993.0,,2.81,0.0,,0.0,,0.0,7.0
2021-11-15,5000.0,34950.0,0.01,0.09,0.01,0.04,0.0,34950.0,0.0,5000.0,0.0,,,,,,5000.0,,,,,,,,,0.04,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.012,6.99
2021-11-16,56398.0,394222.02,0.13,1.0,0.11,0.4,0.0,389329.02,10699.0,55698.0,74786.01,,,,0.21,,20698.0,,,30000.0,,,,0.21,,0.15,10699.0,,0.08,,,100.0,2.57,0.0,0.0,,0.0,100.0,19.88,0.4523,61.49,0.1354,6.99
2021-11-17,56398.0,394222.02,0.13,0.97,0.11,0.4,0.0,389329.02,10699.0,55698.0,74786.01,,,,,,,,,,,,,,,,,,0.08,,,100.0,2.57,0.0,0.0,,0.0,100.0,19.88,0.4548,61.77,0.1354,6.99
2021-11-18,56398.0,393094.06,0.13,0.95,0.11,0.4,0.0,388215.06,10699.0,55698.0,74572.03,,,,,,,,,,,,,,,,,,0.08,,,100.0,2.57,0.0,0.0,,0.0,100.0,20.03,0.4527,61.52,0.1354,6.97
2021-11-19,56398.0,394222.02,0.13,0.92,0.11,0.4,0.0,389329.02,10699.0,55698.0,74786.01,,,,,,,,,,,,,,,,,,0.07,,,100.0,2.57,0.0,0.0,,0.0,100.0,20.01,0.4532,61.59,0.1354,6.99
2021-11-22,49086.0,342129.42,0.12,0.8,0.09,0.35,0.0,337250.42,7043.0,48386.0,49089.71,,,,,,,,0.03,,3656.0,,,,,,,7312.0,0.05,0.05,,100.0,1.69,0.0,0.0,,0.0,100.0,15.7,0.5449,70.87,0.1179,6.97
2021-11-23,49086.0,343602.0,0.12,0.79,0.09,0.34,0.0,338702.0,7043.0,48386.0,49301.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,1.69,0.0,0.0,,0.0,100.0,15.69,0.5445,70.83,0.1179,7.0
2021-11-24,49086.0,341638.56,0.12,0.78,0.09,0.35,0.0,336766.56,7043.0,48386.0,49019.28,,,,,,,,,,,,,,,,,,0.05,,,100.0,1.69,0.0,0.0,,0.0,100.0,15.68,0.5451,70.88,0.1179,6.96
2021-11-25,42686.0,297094.56,0.1,0.67,0.08,0.3,0.0,297094.56,6343.0,42686.0,44147.28,,,,,,,,0.0,,700.0,,,,,,,5700.0,0.04,0.04,,100.0,1.53,0.0,0.0,,0.0,100.0,15.48,0.5326,69.78,0.1027,6.96
2021-11-26,39205.0,270906.55,0.09,0.61,0.07,0.27,0.0,270906.55,2862.0,39205.0,19776.42,,,,,,,,0.02,,3481.0,,,,,,,3481.0,0.02,0.03,,100.0,0.69,0.0,0.0,,0.0,100.0,16.13,0.6128,76.22,0.0945,6.91
2021-11-29,35724.0,242208.72,0.08,0.54,0.07,0.25,0.0,242208.72,2862.0,35724.0,19404.36,,,,,,,,,,,,,,,,,3481.0,0.02,0.02,,100.0,0.69,0.0,0.0,,0.0,100.0,8.38,0.7126,83.61,0.0861,6.78
2021-11-30,35724.0,241137.0,0.08,0.53,0.07,0.25,0.0,241137.0,2862.0,35724.0,19318.5,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.24,0.7171,83.91,0.0861,6.75
