,MLVAL FP Equity_PX_LAST
2015-07-10,11.77
2015-07-13,11.77
2015-07-14,11.76
2015-07-15,11.76
2015-07-16,11.76
2015-07-21,11.6
2015-07-28,11.77
2015-08-04,11.6
2015-08-07,11.77
2015-08-11,11.6
2015-08-21,11.6
2015-08-24,11.6
2015-09-01,11.6
2015-09-02,11.6
2015-09-04,12.48
2015-09-07,12.47
2015-09-09,12.48
2015-09-18,12.47
2015-11-03,12.7
2016-01-15,12.0
2016-01-20,12.6
2016-01-21,13.2
2016-01-25,13.15
2016-01-29,13.14
2016-02-01,14.05
2016-02-04,14.05
2016-02-05,13.9
2016-02-09,12.65
2016-02-10,12.65
2016-02-11,12.65
2016-02-15,12.65
2016-02-19,12.65
2016-02-23,12.65
2016-03-07,12.65
2016-03-10,12.66
2016-03-11,12.66
2016-03-14,12.67
2016-03-17,12.7
2016-03-22,12.65
2016-03-24,12.66
2016-03-31,13.86
2016-04-13,12.48
2016-04-14,12.38
2016-04-18,12.38
2016-04-20,12.36
2016-05-12,12.26
2016-05-24,12.22
2016-05-30,12.94
2016-06-06,12.94
2016-07-11,11.93
2016-07-15,11.93
2016-07-19,11.93
2016-07-25,11.94
2016-07-29,11.94
2016-08-19,11.93
2016-08-24,11.92
2016-08-25,11.92
2016-08-29,11.92
2016-09-13,11.98
2016-09-22,11.97
2016-09-26,11.98
2016-09-27,11.98
2016-09-28,11.98
2016-10-10,11.5
2016-10-26,11.97
2016-11-17,11.95
2016-11-18,11.95
2016-11-25,11.95
2016-11-28,11.94
2016-12-09,11.8
2016-12-15,11.85
2017-01-09,11.96
2017-01-25,11.84
2017-01-27,11.99
2017-01-30,11.99
2017-02-06,11.99
2017-02-20,11.96
2017-02-27,11.96
2017-03-02,12.9
2017-03-07,12.5
2017-03-08,12.0
2017-03-10,12.0
2017-03-13,11.98
2017-03-21,11.72
2017-03-22,12.48
2017-03-29,12.48
2017-03-30,11.5
2017-04-03,11.6
2017-05-22,12.0
2017-05-25,12.1
2017-06-14,12.99
2017-06-15,12.5
2017-06-26,12.48
2017-07-04,12.4
2017-07-11,12.5
2017-07-13,12.55
2017-07-18,12.62
2017-08-02,13.0
2017-08-11,13.0
2017-11-01,12.99
2017-11-02,12.98
2017-11-06,12.99
2017-11-08,12.98
2017-11-14,12.91
2017-11-20,12.91
2017-11-21,11.91
2017-12-08,11.95
2017-12-11,11.95
2017-12-12,11.95
2017-12-15,11.02
2017-12-18,11.94
2017-12-19,9.81
2017-12-20,11.31
2018-01-17,12.1
2018-02-16,12.0
2018-03-20,12.0
2018-04-12,5.3
2018-04-16,6.95
2018-04-17,6.95
2018-04-19,7.6
2018-04-20,9.15
2018-05-15,9.15
2018-05-28,10.0
2018-06-05,10.9
2018-06-11,10.9
2018-09-10,11.8
2018-09-14,13.0
2018-09-17,14.3
2018-09-18,14.4
2018-09-25,14.3
2022-11-28,14.3
2022-11-29,14.3
2022-11-30,14.3
2022-12-01,14.3
2022-12-02,14.3
2022-12-05,14.3
2022-12-06,14.3
2022-12-07,14.3
2022-12-08,14.3
2022-12-09,14.3
2022-12-12,14.3
2022-12-13,14.3
2022-12-14,14.3
2022-12-15,14.3
2022-12-16,14.3
2022-12-19,14.3
2022-12-20,14.3
2022-12-21,14.3
2022-12-22,14.3
2022-12-23,14.3
2022-12-27,14.3
2022-12-28,14.3
2022-12-29,14.3
2022-12-30,14.3
