,ACE32 FP Equity_PX_LAST
2024-08-27,10.1566
2024-08-28,10.1623
2024-08-29,10.1516
2024-08-30,10.1504
2024-09-02,10.1229
2024-09-03,10.1589
2024-09-04,10.1965
2024-09-05,10.2026
2024-09-06,10.2368
2024-09-09,10.2355
2024-09-10,10.2456
2024-09-11,10.2463
2024-09-12,10.219
2024-09-13,10.2505
2024-09-16,10.2585
2024-09-17,10.244
2024-09-18,10.2197
2024-09-19,10.2642
2024-09-20,10.2358
2024-09-23,10.2669
2024-09-24,10.3075
2024-09-25,10.2642
2024-09-26,10.2785
2024-09-27,10.3068
2024-09-30,10.3105
2024-10-01,10.3601
2024-10-02,10.3357
2024-10-03,10.3253
2024-10-04,10.281
2024-10-07,10.2688
2024-10-08,10.2627
2024-10-09,10.2567
2024-10-10,10.2682
2024-10-11,10.2615
2024-10-14,10.2442
2024-10-15,10.3027
2024-10-16,10.3348
2024-10-17,10.3371
2024-10-18,10.358
2024-10-21,10.2961
2024-10-22,10.2736
2024-10-23,10.2827
2024-10-24,10.321
2024-10-25,10.3047
2024-10-28,10.3153
2024-10-29,10.2726
2024-10-30,10.2192
2024-10-31,10.2093
2024-11-01,10.2154
2024-11-04,10.2148
2024-11-05,10.2078
2024-11-06,10.2758
2024-11-07,10.2389
2024-11-08,10.2842
2024-11-11,10.3327
2024-11-12,10.3057
2024-11-13,10.2832
2024-11-14,10.3259
2024-11-15,10.314
2024-11-18,10.2864
2024-11-19,10.2972
2024-11-20,10.2908
2024-11-21,10.2958
2024-11-22,10.3271
2024-11-25,10.3675
2024-11-26,10.3704
2024-11-27,10.3906
2024-11-28,10.4237
2024-11-29,10.4627
2024-12-02,10.4896
2024-12-03,10.4854
2024-12-04,10.4977
2024-12-05,10.4905
2024-12-06,10.4997
2024-12-09,10.5121
2024-12-10,10.5177
2024-12-11,10.5134
2024-12-12,10.482
2024-12-13,10.4354
2024-12-16,10.4358
2024-12-17,10.4336
2024-12-18,10.4287
2024-12-19,10.3682
2024-12-20,10.3857
2024-12-23,10.3827
2024-12-24,10.3642
2024-12-27,10.3434
2024-12-30,10.3588
2024-12-31,10.3606
2025-01-02,10.3584
2025-01-03,10.3043
2025-01-06,10.2923
2025-01-07,10.2697
2025-01-08,10.2446
2025-01-09,10.2445
2025-01-10,10.2155
2025-01-13,10.1923
2025-01-14,10.1804
2025-01-15,10.2536
2025-01-16,10.268
2025-01-17,10.2939
2025-01-20,10.3051
2025-01-21,10.3143
2025-01-22,10.3111
2025-01-23,10.2994
2025-01-24,10.2715
2025-01-27,10.3359
2025-01-28,10.2877
2025-01-29,10.294
2025-01-30,10.3426
2025-01-31,10.4064
2025-02-03,10.4293
2025-02-04,10.4439
2025-02-05,10.4593
2025-02-06,10.4532
2025-02-07,10.4337
2025-02-10,10.4569
2025-02-11,10.4079
2025-02-12,10.3831
2025-02-13,10.436
2025-02-14,10.4358
2025-02-17,10.409
2025-02-18,10.412
2025-02-19,10.3706
2025-02-20,10.3886
2025-02-21,10.4334
2025-02-24,10.4339
2025-02-25,10.4342
2025-02-26,10.4567
2025-02-27,10.4676
2025-02-28,10.4738
2025-03-03,10.4245
2025-03-04,10.4279
2025-03-05,10.2743
2025-03-06,10.1991
2025-03-07,10.2475
2025-03-10,10.2745
2025-03-11,10.2295
2025-03-12,10.213
2025-03-13,10.1926
2025-03-14,10.197
2025-03-17,10.242
2025-03-18,10.2298
2025-03-19,10.2458
2025-03-20,10.2629
2025-03-21,10.273
2025-03-24,10.2712
2025-03-25,10.2713
2025-03-26,10.2741
2025-03-27,10.2698
2025-03-28,10.293
2025-03-31,10.282
2025-04-01,10.3118
2025-04-02,10.2863
2025-04-03,10.3069
2025-04-04,10.2809
2025-04-07,10.2299
2025-04-08,10.2468
2025-04-09,10.2068
2025-04-10,10.2604
2025-04-11,10.2657
2025-04-14,10.3074
2025-04-15,10.3252
2025-04-16,10.3611
2025-04-17,10.4078
2025-04-22,10.431
2025-04-23,10.4216
2025-04-24,10.4658
2025-04-25,10.4364
2025-04-28,10.4132
2025-04-29,10.4056
2025-04-30,10.4204
2025-05-02,10.3838
2025-05-05,10.3901
2025-05-06,10.3902
2025-05-07,10.4235
2025-05-08,10.4207
2025-05-09,10.4073
2025-05-12,10.3706
2025-05-13,10.3651
2025-05-14,10.3396
2025-05-15,10.3702
2025-05-16,10.4005
2025-05-19,10.4122
2025-05-20,10.4082
2025-05-21,10.3909
2025-05-22,10.3788
2025-05-23,10.4144
2025-05-26,10.4254
2025-05-27,10.4465
2025-05-28,10.4378
2025-05-29,10.4713
2025-05-30,10.47
2025-06-02,10.47
2025-06-03,10.4918
2025-06-04,10.4777
2025-06-05,10.4293
2025-06-06,10.4527
2025-06-09,10.4635
2025-06-10,10.4907
2025-06-11,10.4942
2025-06-12,10.5164
2025-06-13,10.4719
2025-06-16,10.4858
2025-06-17,10.4823
2025-06-18,10.4957
2025-06-19,10.4811
2025-06-20,10.4894
2025-06-23,10.4952
2025-06-24,10.5065
2025-06-25,10.4957
2025-06-26,10.5015
2025-06-27,10.4883
2025-06-30,10.4872
2025-07-01,10.5252
2025-07-02,10.5225
2025-07-03,10.548
2025-07-04,10.5654
2025-07-07,10.5415
2025-07-08,10.523
2025-07-09,10.5408
2025-07-10,10.516
2025-07-11,10.5086
2025-07-14,10.5112
2025-07-15,10.5165
2025-07-16,10.5356
2025-07-17,10.5413
2025-07-18,10.5273
2025-07-21,10.5799
2025-07-22,10.5953
2025-07-23,10.6035
2025-07-24,10.5479
2025-07-25,10.5388
2025-07-28,10.5595
2025-07-29,10.5618
2025-07-30,10.5554
2025-07-31,10.5532
2025-08-01,10.5449
2025-08-04,10.5747
2025-08-05,10.5885
2025-08-06,10.5805
2025-08-07,10.5853
2025-08-08,10.5602
2025-08-11,10.5526
2025-08-12,10.5419
2025-08-13,10.587
2025-08-14,10.5759
2025-08-15,10.5409
2025-08-18,10.5429
2025-08-19,10.5576
2025-08-20,10.5682
2025-08-21,10.5371
2025-08-22,10.5598
2025-08-25,10.5379
2025-08-26,10.5568
2025-08-27,10.5709
2025-08-28,10.567
2025-08-29,10.5521
