,ALSRS FP Equity_DX_SI_QTY,ALSRS FP Equity_DX_SHORT_INTEREST_VALUE,ALSRS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALSRS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALSRS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALSRS FP Equity_DX_SI_MV,ALSRS FP Equity_DX_DSS,ALSRS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALSRS FP Equity_DX_SUPPLY_SI_QTY,ALSRS FP Equity_DX_BROKER_SI_QTY,ALSRS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALSRS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALSRS FP Equity_DX_BROKER_SI_MV_INC_x,ALSRS FP Equity_DX_BROKER_SI_QTY_ADD,ALSRS FP Equity_DX_SUPPLY_SI_MV_DEC,ALSRS FP Equity_DX_BROKER_SI_QTY_INC,ALSRS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALSRS FP Equity_DX_BROKER_SI_MV_INC_y,ALSRS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALSRS FP Equity_DX_BROKER_SI_MV_ADD,ALSRS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALSRS FP Equity_DX_BROKER_SI_QTY_DEC,ALSRS FP Equity_DX_SUPPLY_SI_MV,ALSRS FP Equity_DX_BROKER_SI_MV_DEC,ALSRS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALSRS FP Equity_DX_UTILIZATION_QUANTITY,ALSRS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALSRS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALSRS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALSRS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALSRS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALSRS FP Equity_DX_BROKER_SI_CON_RATIO,ALSRS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALSRS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALSRS FP Equity_PX_LAST
2011-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.35
2011-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.51
2011-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.46
2011-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35
2011-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2011-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2011-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2011-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.21
2011-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
2011-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2011-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2011-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2011-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2011-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2011-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
2011-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
2011-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2011-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
2011-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2011-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2011-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5
2011-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6
2011-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5
2011-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2011-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2011-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0
2011-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
