,MLUMG FP Equity_DX_SI_QTY,MLUMG FP Equity_DX_SHORT_INTEREST_VALUE,MLUMG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLUMG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLUMG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLUMG FP Equity_DX_SI_MV,MLUMG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLUMG FP Equity_DX_SUPPLY_SI_QTY,MLUMG FP Equity_DX_BROKER_SI_QTY,MLUMG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLUMG FP Equity_DX_SUPPLY_SI_MV,MLUMG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLUMG FP Equity_DX_UTILIZATION_QUANTITY,MLUMG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLUMG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLUMG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLUMG FP Equity_DX_ACTIVE_UTILIZATION_MV,MLUMG FP Equity_DX_BROKER_SI_CON_RATIO,MLUMG FP Equity_DX_DEMAND_SUPPLY_RATIO,MLUMG FP Equity_PX_LAST
2014-04-15,,,,,,,,,,,,,,,,,,,,10.4
2014-04-24,,,,,,,,,,,,,,,,,,,,9.99
2014-04-25,,,,,,,,,,,,,,,,,,,,9.99
2014-04-30,,,,,,,,,,,,,,,,,,,,9.99
2014-05-23,,,,,,,,,,,,,,,,,,,,9.0
2014-05-30,,,,,,,,,,,,,,,,,,,,6.0
2014-06-02,,,,,,,,,,,,,,,,,,,,6.1
2015-02-04,,,,,,,,,,,,,,,,,,,,6.4
2015-02-25,,,,,,,,,,,,,,,,,,,,6.4
2015-03-20,,,,,,,,,,,,,,,,,,,,6.4
2015-03-24,,,,,,,,,,,,,,,,,,,,6.4
2015-06-22,,,,,,,,,,,,,,,,,,,,6.4
2015-06-23,,,,,,,,,,,,,,,,,,,,6.55
2015-07-06,,,,,,,,,,,,,,,,,,,,6.55
2015-12-22,,,,,,,,,,,,,,,,,,,,6.56
2015-12-23,,,,,,,,,,,,,,,,,,,,6.56
2015-12-24,,,,,,,,,,,,,,,,,,,,6.67
2015-12-28,,,,,,,,,,,,,,,,,,,,6.68
2015-12-29,,,,,,,,,,,,,,,,,,,,6.71
2016-01-04,,,,,,,,,,,,,,,,,,,,7.35
2016-01-05,,,,,,,,,,,,,,,,,,,,7.35
2016-01-06,,,,,,,,,,,,,,,,,,,,7.41
2016-01-07,,,,,,,,,,,,,,,,,,,,7.41
2016-01-08,,,,,,,,,,,,,,,,,,,,7.45
2016-01-11,,,,,,,,,,,,,,,,,,,,7.45
2016-01-12,,,,,,,,,,,,,,,,,,,,7.45
2016-01-13,,,,,,,,,,,,,,,,,,,,7.45
2016-01-14,,,,,,,,,,,,,,,,,,,,7.45
2016-01-15,,,,,,,,,,,,,,,,,,,,7.5
2016-01-18,,,,,,,,,,,,,,,,,,,,7.5
2016-01-19,,,,,,,,,,,,,,,,,,,,7.7
2016-01-20,,,,,,,,,,,,,,,,,,,,7.7
2016-01-21,,,,,,,,,,,,,,,,,,,,7.8
2016-01-22,,,,,,,,,,,,,,,,,,,,7.79
2016-01-25,,,,,,,,,,,,,,,,,,,,7.79
2016-01-26,,,,,,,,,,,,,,,,,,,,7.79
2016-01-27,,,,,,,,,,,,,,,,,,,,7.85
2016-01-28,,,,,,,,,,,,,,,,,,,,7.85
2016-01-29,,,,,,,,,,,,,,,,,,,,7.85
2016-02-01,,,,,,,,,,,,,,,,,,,,7.85
2016-02-02,,,,,,,,,,,,,,,,,,,,7.88
2016-02-03,,,,,,,,,,,,,,,,,,,,7.88
2016-02-04,,,,,,,,,,,,,,,,,,,,7.65
2016-02-05,,,,,,,,,,,,,,,,,,,,7.65
2016-02-08,,,,,,,,,,,,,,,,,,,,7.65
2016-02-09,,,,,,,,,,,,,,,,,,,,7.66
2016-02-10,,,,,,,,,,,,,,,,,,,,7.66
2016-02-11,,,,,,,,,,,,,,,,,,,,7.68
2016-02-12,,,,,,,,,,,,,,,,,,,,7.68
2016-02-15,,,,,,,,,,,,,,,,,,,,7.68
2016-02-16,,,,,,,,,,,,,,,,,,,,7.68
2016-02-17,,,,,,,,,,,,,,,,,,,,7.5
2016-02-18,,,,,,,,,,,,,,,,,,,,7.55
2016-02-19,,,,,,,,,,,,,,,,,,,,7.6
2016-02-22,,,,,,,,,,,,,,,,,,,,7.65
2016-02-23,,,,,,,,,,,,,,,,,,,,7.7
2016-02-24,,,,,,,,,,,,,,,,,,,,7.7
2016-02-25,,,,,,,,,,,,,,,,,,,,7.7
2016-02-26,,,,,,,,,,,,,,,,,,,,7.7
2016-02-29,,,,,,,,,,,,,,,,,,,,7.7
2016-03-01,,,,,,,,,,,,,,,,,,,,7.7
2016-03-02,,,,,,,,,,,,,,,,,,,,7.7
2016-03-03,,,,,,,,,,,,,,,,,,,,7.7
2016-03-04,,,,,,,,,,,,,,,,,,,,7.7
2016-03-07,,,,,,,,,,,,,,,,,,,,7.75
2016-03-08,,,,,,,,,,,,,,,,,,,,7.75
2016-03-09,,,,,,,,,,,,,,,,,,,,7.75
2016-03-10,,,,,,,,,,,,,,,,,,,,7.75
2016-03-11,,,,,,,,,,,,,,,,,,,,7.75
2016-03-14,,,,,,,,,,,,,,,,,,,,7.75
2016-03-15,,,,,,,,,,,,,,,,,,,,7.75
2016-03-16,,,,,,,,,,,,,,,,,,,,7.75
2016-03-17,,,,,,,,,,,,,,,,,,,,7.75
2016-03-18,,,,,,,,,,,,,,,,,,,,7.75
2016-03-21,,,,,,,,,,,,,,,,,,,,7.75
2016-03-22,,,,,,,,,,,,,,,,,,,,7.8
2016-03-23,,,,,,,,,,,,,,,,,,,,7.8
2016-03-24,,,,,,,,,,,,,,,,,,,,7.8
2016-03-29,,,,,,,,,,,,,,,,,,,,7.8
2016-03-30,,,,,,,,,,,,,,,,,,,,7.8
2016-03-31,,,,,,,,,,,,,,,,,,,,7.8
2016-04-01,,,,,,,,,,,,,,,,,,,,7.8
2016-04-04,,,,,,,,,,,,,,,,,,,,7.8
2016-04-05,,,,,,,,,,,,,,,,,,,,7.8
2016-04-06,,,,,,,,,,,,,,,,,,,,7.8
2016-04-07,,,,,,,,,,,,,,,,,,,,7.8
2016-04-08,,,,,,,,,,,,,,,,,,,,7.8
2016-04-11,,,,,,,,,,,,,,,,,,,,7.8
2016-04-12,,,,,,,,,,,,,,,,,,,,7.8
2016-04-13,,,,,,,,,,,,,,,,,,,,7.8
2016-04-14,,,,,,,,,,,,,,,,,,,,7.8
2016-04-15,,,,,,,,,,,,,,,,,,,,7.8
2016-04-18,,,,,,,,,,,,,,,,,,,,7.8
2016-04-19,,,,,,,,,,,,,,,,,,,,7.8
2016-04-20,,,,,,,,,,,,,,,,,,,,7.8
2016-04-21,,,,,,,,,,,,,,,,,,,,7.8
2016-04-22,,,,,,,,,,,,,,,,,,,,7.8
2016-04-25,,,,,,,,,,,,,,,,,,,,7.8
2016-04-26,,,,,,,,,,,,,,,,,,,,7.8
2016-04-27,,,,,,,,,,,,,,,,,,,,7.8
2016-04-28,,,,,,,,,,,,,,,,,,,,7.8
2016-04-29,,,,,,,,,,,,,,,,,,,,7.8
2016-05-02,,,,,,,,,,,,,,,,,,,,7.8
2016-05-03,,,,,,,,,,,,,,,,,,,,7.8
2016-05-04,,,,,,,,,,,,,,,,,,,,7.8
2016-05-05,,,,,,,,,,,,,,,,,,,,7.85
2016-05-06,,,,,,,,,,,,,,,,,,,,7.85
2016-05-09,,,,,,,,,,,,,,,,,,,,7.85
2016-05-10,,,,,,,,,,,,,,,,,,,,7.85
2016-05-11,,,,,,,,,,,,,,,,,,,,7.9
2016-05-12,,,,,,,,,,,,,,,,,,,,7.9
2016-05-13,,,,,,,,,,,,,,,,,,,,7.9
2016-05-16,,,,,,,,,,,,,,,,,,,,7.9
2016-05-17,,,,,,,,,,,,,,,,,,,,7.9
2016-05-18,,,,,,,,,,,,,,,,,,,,7.9
2016-05-19,,,,,,,,,,,,,,,,,,,,7.9
2016-05-20,,,,,,,,,,,,,,,,,,,,7.9
2016-05-23,,,,,,,,,,,,,,,,,,,,7.9
2016-05-24,,,,,,,,,,,,,,,,,,,,7.9
2016-05-25,,,,,,,,,,,,,,,,,,,,7.9
2016-05-26,,,,,,,,,,,,,,,,,,,,7.9
2016-05-27,,,,,,,,,,,,,,,,,,,,7.95
2016-05-30,,,,,,,,,,,,,,,,,,,,7.95
2016-05-31,,,,,,,,,,,,,,,,,,,,7.95
2016-06-01,,,,,,,,,,,,,,,,,,,,7.95
2016-06-02,,,,,,,,,,,,,,,,,,,,7.95
2016-06-03,,,,,,,,,,,,,,,,,,,,8.05
2016-06-06,,,,,,,,,,,,,,,,,,,,8.05
2016-06-07,,,,,,,,,,,,,,,,,,,,8.05
2016-06-08,,,,,,,,,,,,,,,,,,,,8.05
2016-06-09,,,,,,,,,,,,,,,,,,,,8.05
2016-06-10,,,,,,,,,,,,,,,,,,,,7.75
2016-06-13,,,,,,,,,,,,,,,,,,,,7.85
2016-06-14,,,,,,,,,,,,,,,,,,,,7.85
2016-06-15,,,,,,,,,,,,,,,,,,,,7.85
2016-06-16,,,,,,,,,,,,,,,,,,,,7.85
2016-06-17,,,,,,,,,,,,,,,,,,,,7.85
2016-06-20,,,,,,,,,,,,,,,,,,,,8.0
2016-06-21,,,,,,,,,,,,,,,,,,,,8.0
2016-06-22,,,,,,,,,,,,,,,,,,,,8.0
2016-06-23,,,,,,,,,,,,,,,,,,,,8.0
2016-06-27,,,,,,,,,,,,,,,,,,,,8.0
2016-06-28,,,,,,,,,,,,,,,,,,,,7.99
2016-06-29,,,,,,,,,,,,,,,,,,,,7.89
2016-06-30,,,,,,,,,,,,,,,,,,,,7.69
2016-07-01,,,,,,,,,,,,,,,,,,,,7.69
2016-07-04,,,,,,,,,,,,,,,,,,,,7.53
2016-07-05,,,,,,,,,,,,,,,,,,,,7.53
2016-07-06,,,,,,,,,,,,,,,,,,,,7.49
2016-07-07,,,,,,,,,,,,,,,,,,,,7.39
2016-07-08,,,,,,,,,,,,,,,,,,,,7.3
2016-07-11,,,,,,,,,,,,,,,,,,,,7.4
2016-07-12,,,,,,,,,,,,,,,,,,,,7.5
2016-07-13,,,,,,,,,,,,,,,,,,,,7.6
2016-07-14,,,,,,,,,,,,,,,,,,,,7.6
2016-07-15,,,,,,,,,,,,,,,,,,,,7.6
2016-07-18,,,,,,,,,,,,,,,,,,,,7.6
2016-07-19,,,,,,,,,,,,,,,,,,,,7.65
2016-07-20,,,,,,,,,,,,,,,,,,,,7.65
2016-07-21,,,,,,,,,,,,,,,,,,,,7.65
2016-07-22,,,,,,,,,,,,,,,,,,,,7.65
2016-07-25,,,,,,,,,,,,,,,,,,,,7.65
2016-07-26,,,,,,,,,,,,,,,,,,,,7.7
2016-07-27,,,,,,,,,,,,,,,,,,,,7.71
2016-07-28,,,,,,,,,,,,,,,,,,,,7.71
2016-07-29,,,,,,,,,,,,,,,,,,,,7.71
2016-08-01,,,,,,,,,,,,,,,,,,,,7.71
2016-08-02,,,,,,,,,,,,,,,,,,,,7.75
2016-08-03,,,,,,,,,,,,,,,,,,,,7.75
2016-08-04,,,,,,,,,,,,,,,,,,,,7.75
2016-08-05,,,,,,,,,,,,,,,,,,,,7.75
2016-08-08,,,,,,,,,,,,,,,,,,,,7.75
2016-08-09,,,,,,,,,,,,,,,,,,,,7.75
2016-08-11,,,,,,,,,,,,,,,,,,,,6.98
2016-08-12,,,,,,,,,,,,,,,,,,,,7.05
2016-08-15,,,,,,,,,,,,,,,,,,,,7.05
2016-08-16,,,,,,,,,,,,,,,,,,,,7.1
2016-08-17,,,,,,,,,,,,,,,,,,,,7.2
2016-08-18,,,,,,,,,,,,,,,,,,,,7.2
2016-08-19,,,,,,,,,,,,,,,,,,,,7.25
2016-08-22,,,,,,,,,,,,,,,,,,,,7.3
2016-08-23,,,,,,,,,,,,,,,,,,,,7.3
2016-08-24,,,,,,,,,,,,,,,,,,,,7.3
2016-08-25,,,,,,,,,,,,,,,,,,,,7.3
2016-08-26,,,,,,,,,,,,,,,,,,,,7.3
2016-08-29,,,,,,,,,,,,,,,,,,,,7.35
2016-08-30,,,,,,,,,,,,,,,,,,,,7.4
2016-08-31,,,,,,,,,,,,,,,,,,,,7.4
2016-09-01,,,,,,,,,,,,,,,,,,,,7.4
2016-09-02,,,,,,,,,,,,,,,,,,,,7.5
2016-09-05,,,,,,,,,,,,,,,,,,,,7.5
2016-09-06,,,,,,,,,,,,,,,,,,,,7.5
2016-09-07,,,,,,,,,,,,,,,,,,,,7.5
2016-09-08,,,,,,,,,,,,,,,,,,,,7.5
2016-09-09,,,,,,,,,,,,,,,,,,,,7.5
2016-09-12,,,,,,,,,,,,,,,,,,,,7.5
2016-09-13,,,,,,,,,,,,,,,,,,,,7.5
2016-09-14,,,,,,,,,,,,,,,,,,,,7.5
2016-09-15,,,,,,,,,,,,,,,,,,,,7.5
2016-09-16,,,,,,,,,,,,,,,,,,,,7.5
2016-09-19,,,,,,,,,,,,,,,,,,,,7.5
2016-09-20,,,,,,,,,,,,,,,,,,,,7.5
2016-09-21,,,,,,,,,,,,,,,,,,,,7.5
2016-09-22,,,,,,,,,,,,,,,,,,,,7.5
2016-09-23,,,,,,,,,,,,,,,,,,,,7.5
2016-09-26,,,,,,,,,,,,,,,,,,,,7.5
2016-09-27,,,,,,,,,,,,,,,,,,,,7.5
2016-09-28,,,,,,,,,,,,,,,,,,,,7.5
2016-09-29,,,,,,,,,,,,,,,,,,,,7.5
2016-09-30,,,,,,,,,,,,,,,,,,,,7.5
2016-10-03,,,,,,,,,,,,,,,,,,,,7.5
2016-10-04,,,,,,,,,,,,,,,,,,,,7.5
2016-10-05,,,,,,,,,,,,,,,,,,,,7.49
2016-10-06,,,,,,,,,,,,,,,,,,,,7.49
2016-10-07,,,,,,,,,,,,,,,,,,,,7.49
2016-10-10,,,,,,,,,,,,,,,,,,,,7.49
2016-10-11,,,,,,,,,,,,,,,,,,,,7.49
