,ALORD FP Equity_DX_SI_QTY,ALORD FP Equity_DX_SHORT_INTEREST_VALUE,ALORD FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALORD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALORD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALORD FP Equity_DX_SI_MV,ALORD FP Equity_DX_DSS,ALORD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALORD FP Equity_DX_SUPPLY_SI_QTY,ALORD FP Equity_DX_BROKER_SI_QTY,ALORD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALORD FP Equity_DX_BROKER_SI_QTY_ADD,ALORD FP Equity_DX_SUPPLY_SI_MV_DEC,ALORD FP Equity_DX_SUPPLY_SI_QTY_DEC,ALORD FP Equity_DX_BROKER_SI_MV_ADD,ALORD FP Equity_DX_SUPPLY_SI_QTY_ADD,ALORD FP Equity_DX_BROKER_SI_QTY_DEC,ALORD FP Equity_DX_SUPPLY_SI_MV,ALORD FP Equity_DX_BROKER_SI_MV_DEC,ALORD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALORD FP Equity_DX_UTILIZATION_QUANTITY,ALORD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALORD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALORD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALORD FP Equity_DX_ACTIVE_UTILIZATION_MV,ALORD FP Equity_DX_BROKER_SI_CON_RATIO,ALORD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALORD FP Equity_DX_DEMAND_SUPPLY_RATIO,ALORD FP Equity_PX_LAST
2018-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2018-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2018-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2018-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2018-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.795
2018-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02
2018-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2018-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2018-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2018-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33
2018-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33
2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2018-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26
2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26
2018-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2018-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
2018-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27
2018-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33
2018-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
2018-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23
2018-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23
2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33
2018-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27
2018-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
