,MIVU FP Equity_DX_SI_QTY,MIVU FP Equity_DX_SHORT_INTEREST_VALUE,MIVU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MIVU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MIVU FP Equity_DX_SI_MV,MIVU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MIVU FP Equity_DX_SUPPLY_SI_QTY,MIVU FP Equity_DX_BROKER_SI_QTY,MIVU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MIVU FP Equity_DX_SUPPLY_SI_QTY_INC_x,MIVU FP Equity_DX_BROKER_SI_MV_INC_x,MIVU FP Equity_DX_BROKER_SI_QTY_ADD,MIVU FP Equity_DX_SUPPLY_SI_MV_DEC,MIVU FP Equity_DX_BROKER_SI_QTY_INC,MIVU FP Equity_DX_SUPPLY_SI_QTY_DEC,MIVU FP Equity_DX_BROKER_SI_MV_INC_y,MIVU FP Equity_DX_SUPPLY_SI_QTY_INC_y,MIVU FP Equity_DX_BROKER_SI_MV_ADD,MIVU FP Equity_DX_SUPPLY_SI_QTY_ADD,MIVU FP Equity_DX_BROKER_SI_QTY_DEC,MIVU FP Equity_DX_SUPPLY_SI_MV,MIVU FP Equity_DX_BROKER_SI_MV_DEC,MIVU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MIVU FP Equity_DX_UTILIZATION_QUANTITY,MIVU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MIVU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MIVU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MIVU FP Equity_DX_ACTIVE_UTILIZATION_MV,MIVU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MIVU FP Equity_DX_BROKER_SI_CON_RATIO,MIVU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MIVU FP Equity_DX_DEMAND_SUPPLY_RATIO,MIVU FP Equity_PX_LAST
2017-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.036
2017-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.054
2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.094
2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.19
2017-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.119
2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.748
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.787
2017-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.791
2017-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.464
2017-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.408
2017-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.848
2017-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.783
2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.944
2017-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.833
2017-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.733
2017-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.534
2017-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.907
2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.156
2017-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.394
2017-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.108
2017-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.742
2017-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.556
2017-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.947
2017-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.792
2017-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.643
2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.487
2017-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.137
2017-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.877
2017-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.374
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.651
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.762
2017-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.524
2017-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.503
2017-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.394
2017-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.194
2017-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.332
2017-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.807
2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.88
2017-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.057
2017-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.052
2017-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.727
2017-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.823
2017-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.725
2017-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.629
2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.685
2017-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.449
2017-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.856
2017-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.25
2017-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.182
2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.157
2017-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.154
2017-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.615
2017-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.584
2017-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.659
2017-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.006
2017-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.935
2017-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.891
2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.629
2017-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.562
2017-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.694
2017-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.74
2017-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.752
2017-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.995
2017-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.046
2017-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.851
2017-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.318
2017-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.602
2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.313
2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.003
2017-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.521
2017-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.162
2017-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.73
2017-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.702
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.833
2017-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.741
2017-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.003
2017-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.055
2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.182
2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.198
2017-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.934
2017-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.771
2017-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.981
2017-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.607
2017-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.376
2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.633
2017-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.424
2017-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.67
2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.916
2017-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.596
2017-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.381
2017-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.099
2017-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.234
2017-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.579
2017-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.879
2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.899
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.623
2017-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.358
2017-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.274
2017-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.242
2017-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.22
2017-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.442
2017-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.355
2017-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.882
2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.756
2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.629
2017-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.908
2017-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.893
2017-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.704
2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.265
2017-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.236
2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.232
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.258
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.029
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.874
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.577
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.703
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.789
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.994
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.347
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.743
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.184
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.958
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.869
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.502
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.676
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.789
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.734
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.944
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.045
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.198
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.77
2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.589
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.037
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.391
2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.847
2018-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.671
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.51
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.169
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.774
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.861
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.304
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.729
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.964
2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.419
2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.19
2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.398
2018-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.544
2018-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.307
2018-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.383
2018-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.423
2018-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.508
2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.264
2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.409
2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.863
2018-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.147
2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.904
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.495
2018-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.542
2018-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.067
2018-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.922
2018-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.035
2018-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.487
2018-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.922
2018-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.167
2018-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.822
2018-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.682
2018-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.876
2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.034
2018-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.515
2018-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.816
2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.807
2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.167
2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.482
2018-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.842
2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.591
2018-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.443
2018-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.99
2018-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.619
2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.68
2018-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.746
2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.236
2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.044
2018-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.227
2018-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.853
2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.161
2018-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.112
2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.301
2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.747
2018-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.751
2018-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.475
2018-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.392
2018-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.705
2018-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.682
2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.197
2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.854
2018-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.099
2018-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.299
2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.987
2018-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.543
2018-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.341
2018-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.555
2018-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.646
2018-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.681
2018-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.097
2018-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.159
2018-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.004
2018-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.013
2018-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.265
2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.295
2018-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.27
2018-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.519
2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.485
2018-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.718
2018-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.692
2018-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.121
2018-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.216
2018-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.275
2018-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.171
2018-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.092
2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.099
2018-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.224
2018-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.284
2018-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.035
2018-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.077
2018-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.331
2018-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.389
2018-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.386
2018-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.563
2018-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.047
