,ASUI FP Equity_DX_SI_QTY,ASUI FP Equity_DX_SHORT_INTEREST_VALUE,ASUI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ASUI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ASUI FP Equity_DX_SI_MV,ASUI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ASUI FP Equity_DX_SUPPLY_SI_QTY,ASUI FP Equity_DX_BROKER_SI_QTY,ASUI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ASUI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ASUI FP Equity_DX_BROKER_SI_MV_INC_x,ASUI FP Equity_DX_BROKER_SI_QTY_ADD,ASUI FP Equity_DX_SUPPLY_SI_MV_DEC,ASUI FP Equity_DX_BROKER_SI_QTY_INC,ASUI FP Equity_DX_SUPPLY_SI_QTY_DEC,ASUI FP Equity_DX_BROKER_SI_MV_INC_y,ASUI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ASUI FP Equity_DX_BROKER_SI_MV_ADD,ASUI FP Equity_DX_SUPPLY_SI_QTY_ADD,ASUI FP Equity_DX_BROKER_SI_QTY_DEC,ASUI FP Equity_DX_SUPPLY_SI_MV,ASUI FP Equity_DX_BROKER_SI_MV_DEC,ASUI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ASUI FP Equity_DX_UTILIZATION_QUANTITY,ASUI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ASUI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ASUI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ASUI FP Equity_DX_ACTIVE_UTILIZATION_MV,ASUI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ASUI FP Equity_DX_BROKER_SI_CON_RATIO,ASUI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ASUI FP Equity_DX_DEMAND_SUPPLY_RATIO,ASUI FP Equity_PX_LAST
2024-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98
2024-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.55
2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.09
2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.78
2024-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.27
2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
2024-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.27
2024-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.68
2024-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.65
2024-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.58
2024-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.19
2024-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.12
2024-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.22
2024-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.52
2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05
2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.68
2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.08
2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.46
2024-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.56
2024-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84
2024-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.48
2024-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.84
2024-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.07
2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.82
2024-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.48
2024-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
2024-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.34
2024-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.05
2024-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.55
2024-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.17
2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.13
2024-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22
2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.72
2024-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.19
2024-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.42
2024-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.42
2024-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.51
2024-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.54
2024-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.52
2024-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.82
2024-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43
2024-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.86
2024-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.28
2024-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.88
2024-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.44
2024-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.49
2024-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3
2024-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2
2024-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.35
2024-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.14
2024-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.78
2024-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.96
2024-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.56
2024-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.84
2024-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.45
2024-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.95
2024-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.58
2024-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.42
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.45
2024-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.69
2024-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.16
2024-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.51
2024-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.47
2024-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.71
2024-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.66
2024-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.08
2024-10-10,3200.0,154176.0,1.06,0.43,0.16,77088.0,1600.0,1600.0,77088.0,,,1600.0,,,,,,0.08,1600.0,,0.08,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,48.18
2024-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.23
2024-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1200.0,74712.0,0.07,0.0,,0.0,,0.0,62.26
2024-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.91
2024-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.96
2024-10-17,10600.0,599324.0,2.68,1.26,0.59,299662.0,5300.0,5300.0,299662.0,,,5300.0,,,,,,0.3,5300.0,,0.29,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,56.54
2024-10-18,5300.0,304962.0,1.33,0.63,0.31,304962.0,0.0,5300.0,0.0,,,,0.29,,5300.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.0,57.54
2024-10-21,1200.0,65376.0,0.28,0.14,0.07,32688.0,600.0,600.0,32688.0,,,,,,,,,,600.0,4700.0,0.03,0.27,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,54.48
2024-10-22,600.0,30210.0,0.14,0.07,0.03,0.0,600.0,0.0,30210.0,,,,,,,,,,,600.0,0.03,0.03,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,50.35
2024-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.45
2024-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.42
2024-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.04
2024-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.96
2024-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57
2024-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.22
2024-10-31,800.0,43672.0,0.17,0.1,0.04,21836.0,400.0,400.0,21836.0,,,400.0,,,,,,0.02,400.0,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,54.59
2024-11-01,400.0,21476.0,0.08,0.05,0.02,21476.0,0.0,400.0,0.0,,,,0.02,,400.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.0,53.69
