,RBO FP Equity_DX_SI_QTY,RBO FP Equity_DX_SHORT_INTEREST_VALUE,RBO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RBO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RBO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RBO FP Equity_DX_SI_MV,RBO FP Equity_DX_DSS,RBO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RBO FP Equity_DX_SUPPLY_SI_QTY,RBO FP Equity_DX_BROKER_SI_QTY,RBO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RBO FP Equity_DX_SUPPLY_SI_QTY_INC_x,RBO FP Equity_DX_BROKER_SI_MV_INC_x,RBO FP Equity_DX_BROKER_SI_QTY_ADD,RBO FP Equity_DX_SUPPLY_SI_MV_DEC,RBO FP Equity_DX_BROKER_SI_QTY_INC,RBO FP Equity_DX_SUPPLY_SI_QTY_DEC,RBO FP Equity_DX_BROKER_SI_MV_INC_y,RBO FP Equity_DX_SUPPLY_SI_QTY_INC_y,RBO FP Equity_DX_BROKER_SI_MV_ADD,RBO FP Equity_DX_SUPPLY_SI_QTY_ADD,RBO FP Equity_DX_BROKER_SI_QTY_DEC,RBO FP Equity_DX_SUPPLY_SI_MV,RBO FP Equity_DX_BROKER_SI_MV_DEC,RBO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RBO FP Equity_DX_UTILIZATION_QUANTITY,RBO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RBO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RBO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RBO FP Equity_DX_ACTIVE_UTILIZATION_MV,RBO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RBO FP Equity_DX_BROKER_SI_CON_RATIO,RBO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RBO FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-05-19,32.0,704.0,0.0,0.02,0.0,0.0,0.0,704.0,0.0,32.0,0.0,,,32.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-05-20,32.0,700.8,0.0,0.02,0.0,0.0,0.0,700.8,0.0,32.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-07-29,290.0,8903.0,0.03,0.1,0.0,0.01,0.0,8903.0,0.0,290.0,0.0,,,290.0,,,,,,0.01,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-07-30,290.0,8816.0,0.03,0.1,0.0,0.01,0.0,8816.0,0.0,290.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-08-02,290.0,8526.0,0.03,0.1,0.0,0.01,0.0,8526.0,0.0,290.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-08-03,290.0,8526.0,0.03,0.1,0.0,0.01,0.0,8526.0,0.0,290.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-08-04,290.0,8410.0,0.03,0.1,0.0,0.01,0.0,8410.0,0.0,290.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-09-16,50.0,1440.0,0.01,0.05,0.0,0.0,0.0,1440.0,0.0,50.0,0.0,,,50.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-09-17,50.0,1470.0,0.01,0.05,0.0,0.0,0.0,1470.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-09-20,50.0,1450.0,0.01,0.05,0.0,0.0,0.0,1450.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-09-21,50.0,1455.0,0.01,0.05,0.0,0.0,0.0,1455.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-09-22,50.0,1465.0,0.01,0.05,0.0,0.0,0.0,1465.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-09-23,50.0,1470.0,0.01,0.05,0.0,0.0,0.0,1470.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-09-24,50.0,1525.0,0.01,0.05,0.0,0.0,0.0,1525.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-09-27,50.0,1500.0,0.01,0.04,0.0,0.0,0.0,1500.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-09-28,50.0,1485.0,0.01,0.04,0.0,0.0,0.0,1485.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-09-29,50.0,1500.0,0.01,0.04,0.0,0.0,0.0,1500.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-09-30,50.0,1480.0,0.01,0.04,0.0,0.0,0.0,1480.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-01,50.0,1500.0,0.01,0.03,0.0,0.0,0.0,1500.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-04,50.0,1490.0,0.01,0.03,0.0,0.0,0.0,1490.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-05,50.0,1515.0,0.01,0.03,0.0,0.0,0.0,1515.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-06,50.0,1495.0,0.01,0.04,0.0,0.0,0.0,1495.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-07,50.0,1510.0,0.01,0.04,0.0,0.0,0.0,1510.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-08,50.0,1525.0,0.01,0.04,0.0,0.0,0.0,1525.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-11,50.0,1515.0,0.01,0.04,0.0,0.0,0.0,1515.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-12,50.0,1540.0,0.01,0.04,0.0,0.0,0.0,1540.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-13,50.0,1570.0,0.01,0.04,0.0,0.0,0.0,1570.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-14,50.0,1605.0,0.01,0.03,0.0,0.0,0.0,1605.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-15,50.0,1700.0,0.01,0.04,0.0,0.0,0.0,1700.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-18,50.0,1710.0,0.01,0.03,0.0,0.0,0.0,1710.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-19,50.0,1735.0,0.01,0.03,0.0,0.0,0.0,1735.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-20,50.0,1735.0,0.01,0.03,0.0,0.0,0.0,1735.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-21,50.0,1735.0,0.01,0.03,0.0,0.0,0.0,1735.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-22,50.0,1770.0,0.01,0.03,0.0,0.0,0.0,1770.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-10-25,50.0,1725.0,0.01,0.03,0.0,0.0,0.0,1725.0,0.0,50.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-02,100.0,3660.0,0.01,0.05,0.0,0.0,0.0,3660.0,0.0,100.0,0.0,,,100.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-03,100.0,3620.0,0.01,0.04,0.0,0.0,0.0,3620.0,0.0,100.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-04,100.0,3610.0,0.01,0.04,0.0,0.0,0.0,3610.0,0.0,100.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-05,100.0,3630.0,0.01,0.04,0.0,0.0,0.0,3630.0,0.0,100.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-08,100.0,3700.0,0.01,0.05,0.0,0.0,0.0,3700.0,0.0,100.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-09,100.0,3620.0,0.01,0.05,0.0,0.0,0.0,3620.0,0.0,100.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-10,100.0,3680.0,0.01,0.05,0.0,0.0,0.0,3680.0,0.0,100.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-11,100.0,3700.0,0.01,0.05,0.0,0.0,0.0,3700.0,0.0,100.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-12,100.0,3640.0,0.01,0.05,0.0,0.0,0.0,3640.0,0.0,100.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-15,110.0,3960.0,0.01,0.05,0.0,0.0,0.0,3960.0,0.0,110.0,0.0,,,10.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.59,0.843,91.41,0.0
2021-11-16,110.0,4037.0,0.01,0.05,0.0,0.0,0.0,4037.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.84,0.8389,91.16,0.0
2021-11-17,110.0,3971.0,0.01,0.05,0.0,0.0,0.0,3971.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.56,0.8435,91.44,0.0
2021-11-18,110.0,4070.0,0.01,0.05,0.0,0.0,0.0,4070.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.91,0.8376,91.09,0.0
2021-11-19,110.0,3993.0,0.01,0.05,0.0,0.0,0.0,3993.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.51,0.8443,91.49,0.0
2021-11-22,110.0,4136.0,0.01,0.05,0.0,0.0,0.0,4136.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.95,0.837,91.05,0.0
2021-11-23,110.0,4103.0,0.01,0.05,0.0,0.0,0.0,4103.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.65,0.842,91.35,0.0
2021-11-24,110.0,4169.0,0.01,0.05,0.0,0.0,0.0,4169.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.76,0.8402,91.24,0.0
2021-11-25,110.0,4125.0,0.01,0.05,0.0,0.0,0.0,4125.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.69,0.8414,91.31,0.0
2021-11-26,110.0,4114.0,0.01,0.05,0.0,0.0,0.0,4114.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.73,0.8407,91.27,0.0
2021-11-29,110.0,3960.0,0.01,0.05,0.0,0.0,0.0,3960.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.36,0.8467,91.64,0.0
2021-11-30,110.0,4048.0,0.01,0.05,0.0,0.0,0.0,4048.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.85,0.8387,91.15,0.0
2021-12-01,110.0,4059.0,0.01,0.05,0.0,0.0,0.0,4059.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.71,0.8409,91.29,0.0
2021-12-02,110.0,4048.0,0.01,0.05,0.0,0.0,0.0,4048.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.67,0.8416,91.33,0.0
2021-12-03,110.0,3982.0,0.01,0.05,0.0,0.0,0.0,3982.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.55,0.8436,91.45,0.0
2021-12-06,110.0,4026.0,0.01,0.05,0.0,0.0,0.0,4026.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.8403,91.25,0.0
2021-12-07,110.0,4015.0,0.01,0.06,0.0,0.0,0.0,4015.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.63,0.8424,91.37,0.0
2021-12-08,110.0,4026.0,0.01,0.06,0.0,0.0,0.0,4026.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.76,0.8401,91.24,0.0
2021-12-09,110.0,4004.0,0.01,0.06,0.0,0.0,0.0,4004.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.61,0.8426,91.39,0.0
