,RBO FP Equity_DX_SI_QTY,RBO FP Equity_DX_SHORT_INTEREST_VALUE,RBO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RBO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RBO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RBO FP Equity_DX_SI_MV,RBO FP Equity_DX_DSS,RBO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RBO FP Equity_DX_SUPPLY_SI_QTY,RBO FP Equity_DX_BROKER_SI_QTY,RBO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RBO FP Equity_DX_SUPPLY_SI_QTY_INC_x,RBO FP Equity_DX_BROKER_SI_MV_INC_x,RBO FP Equity_DX_BROKER_SI_QTY_ADD,RBO FP Equity_DX_SUPPLY_SI_MV_DEC,RBO FP Equity_DX_BROKER_SI_QTY_INC,RBO FP Equity_DX_SUPPLY_SI_QTY_DEC,RBO FP Equity_DX_BROKER_SI_MV_INC_y,RBO FP Equity_DX_SUPPLY_SI_QTY_INC_y,RBO FP Equity_DX_BROKER_SI_MV_ADD,RBO FP Equity_DX_SUPPLY_SI_QTY_ADD,RBO FP Equity_DX_BROKER_SI_QTY_DEC,RBO FP Equity_DX_SUPPLY_SI_MV,RBO FP Equity_DX_BROKER_SI_MV_DEC,RBO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RBO FP Equity_DX_UTILIZATION_QUANTITY,RBO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RBO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RBO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RBO FP Equity_DX_ACTIVE_UTILIZATION_MV,RBO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RBO FP Equity_DX_BROKER_SI_CON_RATIO,RBO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RBO FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-12-10,110.0,4290.0,0.01,0.06,0.0,0.0,0.0,4290.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.26,0.8319,90.74,0.0
2021-12-13,110.0,4400.0,0.01,0.07,0.0,0.0,0.0,4400.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.87,0.8383,91.13,0.0
2021-12-14,110.0,4444.0,0.01,0.07,0.0,0.0,0.0,4444.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.77,0.84,91.23,0.0
2021-12-15,110.0,4389.0,0.01,0.07,0.0,0.0,0.0,4389.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.59,0.8429,91.41,0.0
2021-12-16,110.0,4334.0,0.01,0.07,0.0,0.0,0.0,4334.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.61,0.8427,91.39,0.0
2021-12-17,110.0,4301.0,0.01,0.07,0.0,0.0,0.0,4301.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.59,0.8429,91.41,0.0
2021-12-20,110.0,4158.0,0.01,0.07,0.0,0.0,0.0,4158.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.46,0.845,91.54,0.0
2021-12-21,110.0,4136.0,0.01,0.07,0.0,0.0,0.0,4136.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.64,0.8421,91.36,0.0
2021-12-22,110.0,4180.0,0.01,0.07,0.0,0.0,0.0,4180.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.81,0.8394,91.19,0.0
2021-12-23,110.0,4147.0,0.01,0.07,0.0,0.0,0.0,4147.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.8411,91.3,0.0
2021-12-24,110.0,4180.0,0.01,0.07,0.0,0.0,0.0,4180.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.77,0.8399,91.23,0.0
2021-12-27,110.0,4114.0,0.01,0.08,0.0,0.0,0.0,4114.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.56,0.8434,91.44,0.0
2021-12-28,110.0,4147.0,0.01,0.08,0.0,0.0,0.0,4147.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0.8404,91.25,0.0
2021-12-29,110.0,4147.0,0.01,0.08,0.0,0.0,0.0,4147.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.72,0.8408,91.28,0.0
2021-12-30,110.0,4158.0,0.01,0.08,0.0,0.0,0.0,4158.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.8411,91.3,0.0
2021-12-31,110.0,4103.0,0.01,0.08,0.0,0.0,0.0,4103.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.62,0.8424,91.38,0.0
2022-01-03,110.0,4070.0,0.01,0.08,0.0,0.0,0.0,4070.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.63,0.8422,91.37,0.0
2022-01-04,110.0,4015.0,0.01,0.09,0.0,0.0,0.0,4015.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.8428,91.4,0.0
2022-01-05,110.0,4048.0,0.01,0.09,0.0,0.0,0.0,4048.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.8395,91.2,0.0
2022-01-06,110.0,4048.0,0.01,0.09,0.0,0.0,0.0,4048.0,0.0,110.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.69,0.8414,91.31,0.0
2022-01-07,130.0,4680.0,0.01,0.1,0.0,0.0,0.0,4320.0,10.0,120.0,360.0,,0.0,,,10.0,,0.0,,,10.0,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,22.06,0.6561,77.94,6.5
2022-01-10,130.0,4745.0,0.01,0.1,0.0,0.0,0.0,4380.0,10.0,120.0,365.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,22.33,0.6531,77.67,6.5
2022-01-11,130.0,4771.0,0.01,0.11,0.0,0.0,0.0,4404.0,10.0,120.0,367.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,22.33,0.6531,77.67,6.5
2022-01-12,130.0,4667.0,0.01,0.12,0.0,0.0,0.0,4308.0,10.0,120.0,359.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,22.07,0.656,77.93,6.5
2022-01-13,130.0,4745.0,0.01,0.1,0.0,0.0,0.0,4380.0,10.0,120.0,365.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,22.43,0.652,77.57,6.5
2022-01-14,130.0,4667.0,0.01,0.1,0.0,0.0,0.0,4308.0,10.0,120.0,359.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,22.24,0.6542,77.76,6.5
2022-01-17,130.0,4810.0,0.01,0.1,0.0,0.0,0.0,4440.0,10.0,120.0,370.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,22.6,0.6502,77.4,6.5
2022-01-18,110.0,4059.0,0.01,0.08,0.0,0.0,0.0,3690.0,10.0,100.0,369.0,,,,,,,,,,,20.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,8.64,0.8421,91.36,5.5
2022-01-19,140.0,5124.0,0.01,0.1,0.0,0.01,0.0,4392.0,20.0,120.0,732.0,10.0,,20.0,,,,,10.0,0.0,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,27.53,0.601,72.47,3.5
2022-01-20,140.0,4872.0,0.01,0.1,0.0,0.01,0.0,4176.0,20.0,120.0,696.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,27.04,0.6054,72.96,3.5
2022-01-21,140.0,4858.0,0.01,0.09,0.0,0.01,0.0,4164.0,20.0,120.0,694.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,27.63,0.6001,72.37,3.5
2022-01-24,140.0,4494.0,0.01,0.09,0.0,0.01,0.0,3852.0,20.0,120.0,642.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,27.54,0.6009,72.46,3.5
2022-01-25,140.0,4578.0,0.01,0.09,0.0,0.0,0.0,3924.0,20.0,120.0,654.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,27.73,0.5992,72.27,3.5
2022-01-26,140.0,4816.0,0.01,0.08,0.0,0.0,0.0,4128.0,20.0,120.0,688.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,28.0,0.5968,72.0,7.0
2022-01-27,140.0,5040.0,0.01,0.08,0.0,0.01,0.0,4320.0,20.0,120.0,720.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,27.88,0.5978,72.12,7.0
2022-01-28,140.0,4998.0,0.01,0.08,0.0,0.01,0.0,4284.0,20.0,120.0,714.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,27.53,0.601,72.47,7.0
2022-01-31,140.0,5082.0,0.01,0.08,0.0,0.01,0.0,4356.0,20.0,120.0,726.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,27.91,0.5976,72.09,7.0
2022-02-01,140.0,5096.0,0.01,0.08,0.0,0.01,0.0,4368.0,20.0,120.0,728.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,27.68,0.5997,72.32,7.0
2022-02-02,140.0,5236.0,0.01,0.08,0.0,0.01,0.0,4488.0,20.0,120.0,748.0,,,,,,,,,,,,0.0,,100.0,4.34,0.0,0.0,0.0,100.0,27.92,0.5975,72.08,0.3037
2022-02-03,140.0,5110.0,0.01,0.07,0.0,0.01,0.0,4380.0,20.0,120.0,730.0,,,,,,,,,,,,0.0,,100.0,4.3,0.0,0.0,0.0,100.0,27.59,0.6005,72.41,0.3011
2022-02-04,140.0,5138.0,0.01,0.07,0.0,0.01,0.0,4404.0,20.0,120.0,734.0,,,,,,,,,,,,0.0,,100.0,3.59,0.0,0.0,0.0,100.0,27.85,0.5981,72.15,0.2513
2022-02-07,140.0,5194.0,0.01,0.07,0.0,0.01,0.0,4452.0,20.0,120.0,742.0,,,,,,,,,,,,0.0,,100.0,3.59,0.0,0.0,0.0,100.0,27.69,0.5996,72.31,0.2513
2022-02-08,140.0,5152.0,0.01,0.07,0.0,0.01,0.0,4416.0,20.0,120.0,736.0,,,,,,,,,,,,0.0,,100.0,3.69,0.0,0.0,0.0,100.0,27.45,0.6017,72.55,0.2583
2022-02-09,140.0,5110.0,0.01,0.07,0.0,0.01,0.0,4380.0,20.0,120.0,730.0,,,,,,,,,,,,0.0,,100.0,3.66,0.0,0.0,0.0,100.0,27.52,0.6011,72.48,0.2564
2022-02-10,140.0,5138.0,0.01,0.07,0.0,0.01,0.0,4404.0,20.0,120.0,734.0,,,,,,,,,,,,0.0,,100.0,3.67,0.0,0.0,0.0,100.0,27.64,0.6,72.36,0.2569
2022-02-11,140.0,5138.0,0.01,0.07,0.0,0.01,0.0,4404.0,20.0,120.0,734.0,,,,,,,,,,,,0.0,,100.0,4.2,0.0,0.0,0.0,100.0,27.46,0.6016,72.54,0.2941
2022-02-14,140.0,5082.0,0.01,0.07,0.0,0.01,0.0,4356.0,20.0,120.0,726.0,,,,,,,,,,,,0.0,,100.0,4.2,0.0,0.0,0.0,100.0,27.4,0.6021,72.6,0.2941
