,AEJ FP Equity_DX_SI_QTY,AEJ FP Equity_DX_SHORT_INTEREST_VALUE,AEJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AEJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AEJ FP Equity_DX_SI_MV,AEJ FP Equity_DX_DSS,AEJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AEJ FP Equity_DX_SUPPLY_SI_QTY,AEJ FP Equity_DX_BROKER_SI_QTY,AEJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AEJ FP Equity_DX_BROKER_SI_MV_NEW_x,AEJ FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AEJ FP Equity_DX_SUPPLY_SI_QTY_INC_x,AEJ FP Equity_DX_BROKER_SI_MV_INC_x,AEJ FP Equity_DX_SUPPLY_SI_MV_NEW,AEJ FP Equity_DX_BROKER_SI_QTY_ADD,AEJ FP Equity_DX_BROKER_SI_QTY_NEW,AEJ FP Equity_DX_SUPPLY_SI_MV_DEC,AEJ FP Equity_DX_BROKER_SI_QTY_INC,AEJ FP Equity_DX_SUPPLY_SI_QTY_DEC,AEJ FP Equity_DX_BROKER_SI_MV_NEW_y,AEJ FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AEJ FP Equity_DX_BROKER_SI_MV_INC_y,AEJ FP Equity_DX_SUPPLY_SI_QTY_INC_y,AEJ FP Equity_DX_BROKER_SI_MV_ADD,AEJ FP Equity_DX_SUPPLY_SI_QTY_ADD,AEJ FP Equity_DX_BROKER_SI_QTY_DEC,AEJ FP Equity_DX_SUPPLY_SI_MV,AEJ FP Equity_DX_BROKER_SI_MV_DEC,AEJ FP Equity_DX_SUPPLY_SI_MV_RMV,AEJ FP Equity_DX_BROKER_SI_MV_RMV,AEJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AEJ FP Equity_DX_UTILIZATION_QUANTITY,AEJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AEJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AEJ FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AEJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AEJ FP Equity_DX_ACTIVE_UTILIZATION_MV,AEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AEJ FP Equity_DX_BROKER_SI_CON_RATIO,AEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AEJ FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-12-08,5600.0,145149.3,1.36,0.16,0.16,,145149.3,0.0,5600.0,0.0,,,,,,5600.0,,,,,,,,,0.16,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-12-11,5600.0,146445.27,1.36,0.16,0.16,,146445.27,0.0,5600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-12-12,5600.0,145747.44,1.36,0.16,0.17,,145747.44,0.0,5600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-12-13,5600.0,145697.6,1.33,0.16,0.16,,145697.6,0.0,5600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-12-14,5600.0,148239.7,1.33,0.16,0.16,,148239.7,0.0,5600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-12-15,5600.0,149286.45,1.32,0.16,0.17,,149286.45,0.0,5600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-01-24,10000.0,281803.54,1.23,0.29,0.31,,281803.54,0.0,10000.0,0.0,,,,,,10000.0,,,,,,,,,0.31,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-01-25,10000.0,281269.49,1.22,0.29,0.32,,281269.49,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-01-26,10000.0,279578.31,1.21,0.29,0.32,,279578.31,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-01-29,10000.0,278688.22,1.19,0.29,0.31,,278688.22,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-01-30,10000.0,279489.3,1.18,0.29,0.31,,279489.3,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
