,ALDRV FP Equity_DX_SI_QTY,ALDRV FP Equity_DX_SHORT_INTEREST_VALUE,ALDRV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALDRV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALDRV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALDRV FP Equity_DX_SI_MV,ALDRV FP Equity_DX_DSS,ALDRV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALDRV FP Equity_DX_SUPPLY_SI_QTY,ALDRV FP Equity_DX_BROKER_SI_QTY,ALDRV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALDRV FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALDRV FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALDRV FP Equity_DX_BROKER_SI_MV_INC_x,ALDRV FP Equity_DX_SUPPLY_SI_MV_NEW,ALDRV FP Equity_DX_BROKER_SI_QTY_ADD,ALDRV FP Equity_DX_SUPPLY_SI_MV_DEC,ALDRV FP Equity_DX_BROKER_SI_QTY_INC,ALDRV FP Equity_DX_SUPPLY_SI_QTY_DEC,ALDRV FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALDRV FP Equity_DX_BROKER_SI_MV_INC_y,ALDRV FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALDRV FP Equity_DX_BROKER_SI_MV_ADD,ALDRV FP Equity_DX_SUPPLY_SI_QTY_ADD,ALDRV FP Equity_DX_BROKER_SI_QTY_DEC,ALDRV FP Equity_DX_SUPPLY_SI_MV,ALDRV FP Equity_DX_BROKER_SI_MV_DEC,ALDRV FP Equity_DX_SUPPLY_SI_MV_RMV,ALDRV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALDRV FP Equity_DX_UTILIZATION_QUANTITY,ALDRV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALDRV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALDRV FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALDRV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALDRV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALDRV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALDRV FP Equity_DX_BROKER_SI_CON_RATIO,ALDRV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALDRV FP Equity_DX_DEMAND_SUPPLY_RATIO,ALDRV FP Equity_PX_LAST
2015-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2015-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92
2015-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92
2015-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92
2015-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2015-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85
2015-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2015-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79
2015-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45
2015-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47
2015-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47
2015-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39
2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46
2015-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.64
2015-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2015-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2015-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.64
2015-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2015-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99
2015-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.64
2015-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2015-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2015-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45
2015-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
2015-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2015-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06
2015-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09
2015-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2015-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95
2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14
2015-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2015-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2015-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95
2015-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2015-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2015-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2015-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2015-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15
2015-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15
2015-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2015-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2015-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2015-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2015-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2015-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2015-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2015-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21
2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21
2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2015-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.69
2015-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2015-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2015-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.07
2015-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2015-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2015-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.01
2015-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.03
2015-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
2015-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.49
2015-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.59
2015-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2015-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.46
2015-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25
