,SP5 FP Equity_PX_LAST
2010-06-10,8.92
2010-06-11,8.98
2010-06-14,9.02
2010-06-15,8.95
2010-06-16,9.04
2010-06-17,8.99
2010-06-18,9.05
2010-06-21,9.12
2010-06-22,9.06
2010-06-23,8.95
2010-06-24,8.8
2010-06-25,8.68
2010-06-28,8.74
2010-06-29,8.62
2010-06-30,8.5
2010-07-01,8.18
2010-07-02,8.13
2010-07-05,8.15
2010-07-06,8.22
2010-07-07,8.28
2010-07-08,8.42
2010-07-09,8.49
2010-07-12,8.57
2010-07-13,8.64
2010-07-14,8.63
2010-07-15,8.44
2010-07-16,8.33
2010-07-19,8.24
2010-07-20,8.29
2010-07-21,8.44
2010-07-22,8.5
2010-07-23,8.54
2010-07-26,8.58
2010-07-27,8.58
2010-07-28,8.56
2010-07-29,8.47
2010-07-30,8.46
2010-08-02,8.54
2010-08-03,8.51
2010-08-04,8.573
2010-08-05,8.517
2010-08-06,8.367
2010-08-09,8.528
2010-08-10,8.553
2010-08-11,8.497
2010-08-12,8.457
2010-08-13,8.484
2010-08-16,8.426
2010-08-17,8.531
2010-08-18,8.507
2010-08-19,8.386
2010-08-20,8.439
2010-08-23,8.478
2010-08-24,8.359
2010-08-25,8.311
2010-08-26,8.334
2010-08-27,8.328
2010-08-30,8.377
2010-08-31,8.313
2010-09-01,8.454
2010-09-02,8.485
2010-09-03,8.562
2010-09-06,8.59
2010-09-07,8.645
2010-09-08,8.672
2010-09-09,8.754
2010-09-10,8.736
2010-09-13,8.752
2010-09-14,8.694
2010-09-15,8.649
2010-09-16,8.61
2010-09-17,8.667
2010-09-20,8.741
2010-09-21,8.722
2010-09-22,8.508
2010-09-23,8.548
2010-09-24,8.535
2010-09-27,8.53
2010-09-28,8.474
2010-09-29,8.438
2010-09-30,8.434
2010-10-01,8.341
2010-10-04,8.34
2010-10-05,8.387
2010-10-06,8.386
2010-10-07,8.359
2010-10-08,8.402
2010-10-11,8.44
2010-10-12,8.454
2010-10-13,8.489
2010-10-14,8.395
2010-10-15,8.419
2010-10-18,8.483
2010-10-19,8.552
2010-10-20,8.487
2010-10-21,8.521
2010-10-22,8.534
2010-10-25,8.557
2010-10-26,8.591
2010-10-27,8.56
2010-10-28,8.533
2010-10-29,8.538
2010-11-01,8.605
2010-11-02,8.542
2010-11-03,8.539
2010-11-04,8.596
2010-11-05,8.749
2010-11-08,8.825
2010-11-09,8.859
2010-11-10,8.876
2010-11-11,8.895
2010-11-12,8.818
2010-11-15,8.899
2010-11-16,8.778
2010-11-17,8.785
2010-11-18,8.867
2010-11-19,8.819
2010-11-22,8.819
2010-11-23,8.85
2010-11-24,8.996
2010-11-25,9.042
2010-11-26,9.056
2010-11-29,9.049
2010-11-30,9.11
2010-12-01,9.25
2010-12-02,9.264
2010-12-03,9.159
2010-12-06,9.264
2010-12-07,9.283
2010-12-08,9.31
2010-12-09,9.377
2010-12-10,9.398
2010-12-13,9.356
2010-12-14,9.365
2010-12-15,9.379
2010-12-16,9.465
2010-12-17,9.508
2010-12-20,9.536
2010-12-21,9.601
2010-12-22,9.662
2010-12-23,9.651
2010-12-24,9.64
2010-12-27,9.598
2010-12-28,9.656
2010-12-29,9.649
2010-12-30,9.53
2010-12-31,9.455
2011-01-03,9.596
2011-01-04,9.585
2011-01-05,9.751
2011-01-06,9.855
2011-01-07,9.861
2011-01-10,9.844
2011-01-11,9.909
2011-01-12,9.92
2011-01-13,9.689
2011-01-14,9.722
2011-01-17,9.79
2011-01-18,9.726
2011-01-19,9.606
2011-01-20,9.551
2011-01-21,9.543
2011-01-24,9.498
2011-01-25,9.495
2011-01-26,9.542
2011-01-27,9.518
2011-01-28,9.499
2011-01-31,9.433
2011-02-01,9.518
2011-02-02,9.534
2011-02-03,9.609
2011-02-04,9.693
2011-02-07,9.829
2011-02-08,9.731
2011-02-09,9.717
2011-02-10,9.773
2011-02-11,9.872
2011-02-14,9.953
2011-02-15,9.924
2011-02-16,9.935
2011-02-17,9.92
2011-02-18,9.918
2011-02-21,9.819
2011-02-22,9.802
2011-02-23,9.596
2011-02-24,9.564
2011-02-25,9.657
2011-02-28,9.694
2011-03-01,9.645
2011-03-02,9.526
2011-03-03,9.606
2011-03-04,9.562
2011-03-07,9.469
2011-03-08,9.605
2011-03-09,9.554
2011-03-10,9.523
2011-03-11,9.463
2011-03-14,9.308
2011-03-15,9.226
2011-03-16,9.178
2011-03-17,9.182
2011-03-18,9.154
2011-03-21,9.239
2011-03-22,9.216
2011-03-23,9.246
2011-03-24,9.298
2011-03-25,9.453
2011-03-28,9.424
2011-03-29,9.435
2011-03-30,9.515
2011-03-31,9.443
2011-04-01,9.529
2011-04-04,9.478
2011-04-05,9.485
2011-04-06,9.396
2011-04-07,9.391
2011-04-08,9.335
2011-04-11,9.311
2011-04-12,9.173
2011-04-13,9.182
2011-04-14,9.147
2011-04-15,9.226
2011-04-18,9.235
2011-04-19,9.212
2011-04-20,9.27
2011-04-21,9.26
2011-04-26,9.315
2011-04-27,9.28
2011-04-28,9.262
2011-04-29,9.276
2011-05-02,9.279
2011-05-03,9.235
2011-05-04,9.141
2011-05-05,9.28
2011-05-06,9.431
2011-05-09,9.501
2011-05-10,9.518
2011-05-11,9.556
2011-05-12,9.522
2011-05-13,9.571
2011-05-16,9.535
2011-05-17,9.438
2011-05-18,9.464
2011-05-19,9.492
2011-05-20,9.528
2011-05-23,9.496
2011-05-24,9.451
2011-05-25,9.469
2011-05-26,9.458
2011-05-27,9.455
2011-05-30,9.445
2011-05-31,9.426
2011-06-01,9.321
2011-06-02,9.188
2011-06-03,9.053
2011-06-06,8.975
2011-06-07,8.912
2011-06-08,8.911
2011-06-09,8.989
2011-06-10,8.968
2011-06-13,8.971
2011-06-14,9.005
2011-06-15,9.063
2011-06-16,9.105
2011-06-17,9.028
2011-06-20,9.039
2011-06-21,9.115
2011-06-22,9.106
2011-06-23,9.076
2011-06-24,9.092
2011-06-27,9.059
2011-06-28,9.103
2011-06-29,9.173
2011-06-30,9.212
2011-07-01,9.301
2011-07-04,9.31
2011-07-05,9.364
2011-07-06,9.449
2011-07-07,9.54
2011-07-08,9.509
2011-07-11,9.557
2011-07-12,9.57
2011-07-13,9.521
2011-07-14,9.432
2011-07-15,9.405
2011-07-18,9.385
2011-07-19,9.424
2011-07-20,9.476
2011-07-21,9.451
2011-07-22,9.473
2011-07-25,9.454
2011-07-26,9.34
2011-07-27,9.3
2011-07-28,9.321
2011-07-29,9.165
2011-08-01,9.136
2011-08-02,9.08
2011-08-03,8.855
2011-08-04,8.783
2011-08-05,8.508
2011-08-08,8.277
2011-08-09,8.169
2011-08-10,8.097
2011-08-11,8.2
2011-08-12,8.408
2011-08-15,8.348
2011-08-16,8.426
2011-08-17,8.428
2011-08-18,8.117
2011-08-19,8.025
2011-08-22,7.964
