,SRIJ FP Equity_DX_SI_QTY,SRIJ FP Equity_DX_SHORT_INTEREST_VALUE,SRIJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIJ FP Equity_DX_SI_MV,SRIJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIJ FP Equity_DX_SUPPLY_SI_QTY,SRIJ FP Equity_DX_BROKER_SI_QTY,SRIJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIJ FP Equity_DX_SUPPLY_SI_QTY_INC_x,SRIJ FP Equity_DX_BROKER_SI_MV_INC_x,SRIJ FP Equity_DX_BROKER_SI_QTY_ADD,SRIJ FP Equity_DX_SUPPLY_SI_MV_DEC,SRIJ FP Equity_DX_BROKER_SI_QTY_INC,SRIJ FP Equity_DX_SUPPLY_SI_QTY_DEC,SRIJ FP Equity_DX_BROKER_SI_MV_INC_y,SRIJ FP Equity_DX_SUPPLY_SI_QTY_INC_y,SRIJ FP Equity_DX_BROKER_SI_MV_ADD,SRIJ FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIJ FP Equity_DX_BROKER_SI_QTY_DEC,SRIJ FP Equity_DX_SUPPLY_SI_MV,SRIJ FP Equity_DX_BROKER_SI_MV_DEC,SRIJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIJ FP Equity_DX_UTILIZATION_QUANTITY,SRIJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIJ FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIJ FP Equity_DX_BROKER_SI_CON_RATIO,SRIJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIJ FP Equity_DX_DEMAND_SUPPLY_RATIO,SRIJ FP Equity_PX_LAST
2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1703
2018-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2309
2018-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2448
2018-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3262
2018-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3529
2018-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3588
2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.384
2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5339
2018-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6463
2018-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7775
2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5254
2018-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4138
2018-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6789
2018-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7554
2018-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9038
2018-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5934
2018-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6628
2018-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8023
2018-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8932
2018-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9141
2018-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0646
2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1056
2018-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1348
