,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_y,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity
,DX_SI_QTY,DX_SHORT_INTEREST_VALUE,DX_SHORT_INTEREST_PCT_FREE_FLOAT,DX_SHORT_INT_RATIO_DAYS_TO_COVER,DX_SHORT_INTEREST_PCT_SHARES_OUT,DX_SI_MV,DX_DSS,DX_BROKER_SHORT_INTEREST_VALUE,DX_SUPPLY_SI_QTY,DX_BROKER_SI_QTY,DX_SUPPLY_SIDE_SHORT_INT_VAL,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_MV_NEW,DX_BROKER_SI_QTY_ADD,DX_BROKER_SI_QTY_NEW,DX_SUPPLY_SI_MV_DEC,DX_BROKER_SI_QTY_INC,DX_SUPPLY_SI_QTY_DEC,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_ADD,DX_SUPPLY_SI_QTY_ADD,DX_BROKER_SI_QTY_DEC,DX_SUPPLY_SI_MV,DX_BROKER_SI_MV_DEC,DX_SUPPLY_SI_MV_RMV,DX_BROKER_SI_MV_RMV,DX_ACTIVE_UTILIZATION_QUANTITY,DX_UTILIZATION_QUANTITY,DX_ACTIVE_AVAIL_SUPPLY_QTY,DX_ACTIVE_AVAILABILITY_VALUE,DX_SUPPLY_SI_QTY_MV_RMV,DX_ACTIVE_AVAIL_SUPPLY_MV,DX_ACTIVE_UTILIZATION_MV,DX_BROKER_SI_MARKET_SHARE_2,DX_BROKER_SI_CON_RATIO,DX_BROKER_SI_MARKET_SHARE_1,DX_DEMAND_SUPPLY_RATIO
2006-01-04,6796459.0,449296743.03,5.64,18.46,5.64,630.54,2.0,264208704.16,4385940.0,3996654.0,289943418.65,,,44064.0,0.1,,42307.0,,7.84,549.0,97965.0,,,0.1,44064.0,4.02,73840.0,48144.0,409.82,2.71,,,48.7,48.7,4620077.0,305421624.51,,432.62,48.65,16.53,0.1308,18.39,0.7547
2006-01-11,6936415.0,475747491.75,5.76,16.91,5.76,661.72,2.0,280080606.64,4545361.0,4083585.0,311752410.27,,,141081.0,42.31,,,,7.96,399691.0,89273.0,,,42.31,141081.0,,107612.0,312760.0,437.72,27.25,,,49.22,49.22,4689988.0,321671933.89,,453.75,49.1,14.84,0.1284,21.64,0.7511
2006-01-18,7174346.0,480290930.41,10.43,16.96,5.96,673.77,2.0,296532475.97,4499830.0,4429454.0,301243839.84,,15138.0,122709.0,52.54,1.42,22014.0,,29.09,581217.0,258619.0,,15138.0,52.54,122709.0,2.07,75241.0,257362.0,424.95,24.83,,,45.44,45.44,5403227.0,361722298.18,,511.23,45.39,15.57,0.1213,17.44,0.7245
2006-01-25,5908181.0,388717994.31,8.59,13.03,4.91,558.62,1.0,203648368.62,4540181.0,3095281.0,298712929.1,,376148.0,179304.0,3.61,35.26,,,12.7,51722.0,144024.0,,376148.0,3.61,179304.0,,24410.0,1385894.0,428.04,124.52,37.18,,47.99,47.99,4921467.0,323798946.13,395487.0,463.68,48.0,16.81,0.1314,19.49,0.6244
2006-02-01,6024961.0,405448697.68,8.78,11.93,5.01,583.31,2.0,222350312.62,4407352.0,3304122.0,296591982.69,,,30225.0,38.3,,17453.0,,16.54,345798.0,194559.0,,,38.3,30225.0,1.74,59119.0,154411.0,425.63,13.02,2.61,,46.51,46.51,5068056.0,341053942.92,27615.0,489.17,46.53,18.84,0.1359,20.72,0.6359
2006-02-08,6829974.0,450796784.61,9.95,13.52,5.68,642.3,2.0,273442556.02,4301447.0,4142899.0,283907153.49,,,98980.0,0.0,,1269964.0,,21.31,27229.0,212117.0,,,0.0,98980.0,116.07,7232.0,458417.0,405.84,46.42,,,44.98,44.98,5262059.0,347310147.54,,496.61,44.97,16.51,0.1253,19.73,0.7142
2006-02-15,6482152.0,426481369.52,9.44,12.85,5.39,609.19,2.0,247849935.1,4342836.0,3767107.0,285728974.71,,41521.0,19305.0,35.34,3.9,,,4.13,379199.0,41189.0,,41521.0,35.34,19305.0,,21752.0,657991.0,408.77,61.17,,9.19,45.59,45.59,5182919.0,341000703.66,,487.89,45.59,14.1,0.1248,19.15,0.6805
2006-02-22,6342194.0,419044948.4,9.24,14.16,5.27,594.13,2.0,240530653.63,4294360.0,3640402.0,283739328.16,,,61405.0,2.58,,,,7.3,28112.0,71995.0,,,2.58,61405.0,,3635.0,154817.0,403.19,15.5,3.9,,45.36,45.36,5173908.0,341853309.89,41521.0,486.24,45.33,13.94,0.1236,19.62,0.6698
2006-03-01,6309750.0,426596669.34,9.18,13.82,5.24,605.5,2.0,240905776.7,4389989.0,3563214.0,296803310.09,,62609.0,57408.0,9.17,6.01,,,9.19,68211.0,104288.0,,62609.0,9.17,57408.0,,80000.0,145398.0,422.88,8.98,0.01,,46.51,46.51,5048287.0,341310261.12,100.0,486.65,46.49,14.12,0.1194,18.31,0.6685
