,RI FP Equity_DX_SI_QTY,RI FP Equity_DX_SHORT_INTEREST_VALUE,RI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RI FP Equity_DX_SI_MV,RI FP Equity_DX_DSS,RI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RI FP Equity_DX_SUPPLY_SI_QTY,RI FP Equity_DX_BROKER_SI_QTY,RI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RI FP Equity_DX_BROKER_SI_MV_NEW_x,RI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RI FP Equity_DX_SUPPLY_SI_QTY_INC_x,RI FP Equity_DX_BROKER_SI_MV_INC_x,RI FP Equity_DX_SUPPLY_SI_MV_NEW,RI FP Equity_DX_BROKER_SI_QTY_ADD,RI FP Equity_DX_BROKER_SI_QTY_NEW,RI FP Equity_DX_SUPPLY_SI_MV_DEC,RI FP Equity_DX_BROKER_SI_QTY_INC,RI FP Equity_DX_SUPPLY_SI_QTY_DEC,RI FP Equity_DX_BROKER_SI_MV_NEW_y,RI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RI FP Equity_DX_BROKER_SI_MV_INC_y,RI FP Equity_DX_SUPPLY_SI_QTY_INC_y,RI FP Equity_DX_BROKER_SI_MV_ADD,RI FP Equity_DX_SUPPLY_SI_QTY_ADD,RI FP Equity_DX_BROKER_SI_QTY_DEC,RI FP Equity_DX_SUPPLY_SI_MV,RI FP Equity_DX_BROKER_SI_MV_DEC,RI FP Equity_DX_SUPPLY_SI_MV_RMV,RI FP Equity_DX_BROKER_SI_MV_RMV,RI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RI FP Equity_DX_UTILIZATION_QUANTITY,RI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RI FP Equity_DX_ACTIVE_UTILIZATION_MV,RI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RI FP Equity_DX_BROKER_SI_CON_RATIO,RI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RI FP Equity_DX_DEMAND_SUPPLY_RATIO,RI FP Equity_PX_LAST
1989-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.1182
1989-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.9966
1989-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.4539
1989-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.2343
1989-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.5211
1989-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.6735
1989-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.9729
1989-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.198
1989-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.9603
1989-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.2597
1989-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.8133
1989-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.9113
1989-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.619
1989-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.2288
1989-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.5701
1989-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.247
1989-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.4539
1989-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.2833
1989-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.4649
1989-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.7335
1989-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.3252
1989-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.3923
