,ANRJ FP Equity_DX_SI_QTY,ANRJ FP Equity_DX_SHORT_INTEREST_VALUE,ANRJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ANRJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ANRJ FP Equity_DX_SI_MV,ANRJ FP Equity_DX_DSS,ANRJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ANRJ FP Equity_DX_SUPPLY_SI_QTY,ANRJ FP Equity_DX_BROKER_SI_QTY,ANRJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ANRJ FP Equity_DX_BROKER_SI_MV_NEW_x,ANRJ FP Equity_DX_SUPPLY_SI_QTY_INC_x,ANRJ FP Equity_DX_BROKER_SI_MV_INC_x,ANRJ FP Equity_DX_BROKER_SI_QTY_ADD,ANRJ FP Equity_DX_BROKER_SI_QTY_NEW,ANRJ FP Equity_DX_SUPPLY_SI_MV_DEC,ANRJ FP Equity_DX_BROKER_SI_QTY_INC,ANRJ FP Equity_DX_SUPPLY_SI_QTY_DEC,ANRJ FP Equity_DX_BROKER_SI_MV_NEW_y,ANRJ FP Equity_DX_BROKER_SI_MV_INC_y,ANRJ FP Equity_DX_SUPPLY_SI_QTY_INC_y,ANRJ FP Equity_DX_BROKER_SI_MV_ADD,ANRJ FP Equity_DX_SUPPLY_SI_QTY_ADD,ANRJ FP Equity_DX_BROKER_SI_QTY_DEC,ANRJ FP Equity_DX_SUPPLY_SI_MV,ANRJ FP Equity_DX_BROKER_SI_MV_DEC,ANRJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ANRJ FP Equity_DX_UTILIZATION_QUANTITY,ANRJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ANRJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ANRJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ANRJ FP Equity_DX_ACTIVE_UTILIZATION_MV,ANRJ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ANRJ FP Equity_DX_BROKER_SI_CON_RATIO,ANRJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ANRJ FP Equity_DX_DEMAND_SUPPLY_RATIO,ANRJ FP Equity_PX_LAST
2010-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.05
2010-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4
2010-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.63
2010-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.43
2010-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.69
2010-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.86
2010-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.46
2010-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.97
2010-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.01
2010-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.43
2010-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.19
2010-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.07
2010-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.61
2010-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.53
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.44
2010-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.06
2010-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.37
2010-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.14
2010-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.09
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.96
2010-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.01
2010-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.11
2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.86
2010-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.63
2010-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.56
2010-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.85
2010-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.16
2010-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.67
2010-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.18
2010-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.32
2010-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.83
2010-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.04
2010-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.72
2010-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.99
2010-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.49
2010-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.52
2010-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.95
2010-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.02
2010-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.73
2010-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.58
2010-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.42
2010-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.7
2010-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.2
2010-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.64
2010-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.57
2010-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.75
2010-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.73
2010-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.22
2010-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.57
2010-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.5
2010-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.09
2010-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.67
2010-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.88
2010-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.83
2010-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.16
2010-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.76
2010-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.82
2010-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.13
2010-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.16
2010-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.34
2010-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.57
2010-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.39
2011-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.99
2011-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.83
2011-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.15
2011-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.57
2011-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.21
2011-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.86
2011-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.22
2011-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.62
2011-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.88
2011-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.82
2011-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.77
2011-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.09
2011-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.7
2011-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.8
2011-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.25
2011-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.37
2011-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.33
2011-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.98
2011-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.04
2011-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.92
2011-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.9
2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.94
2011-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.42
2011-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.06
2011-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.35
2011-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.17
2011-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.12
2011-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.79
2011-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.49
2011-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.19
2011-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.2
2011-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.32
2011-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.03
2011-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.12
2011-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.58
