,ALVIA FP Equity_PX_LAST
2006-05-09,28.25
2006-05-15,40.0
2006-05-16,40.0
2006-05-17,40.0
2006-05-18,40.0
2006-05-19,40.0
2006-05-22,40.0
2006-05-24,40.0
2006-05-25,40.0
2006-05-26,40.01
2006-05-29,40.0
2006-06-01,40.0
2006-06-08,40.0
2006-06-09,40.0
2006-06-12,40.0
2006-06-13,40.0
2006-06-14,40.0
2006-06-20,40.0
2006-06-23,40.0
2006-06-26,40.0
2006-07-03,40.01
2006-07-28,39.99
2006-08-02,36.95
2006-08-22,36.95
2006-10-04,36.95
2006-10-05,35.99
2006-10-06,35.99
2006-10-10,32.4
2006-10-11,35.99
2006-10-12,35.99
2006-10-13,35.99
2006-10-20,35.99
2006-10-24,35.99
2006-10-25,35.99
2006-10-26,35.99
2006-10-27,35.99
2006-10-30,35.99
2006-11-01,35.99
2006-11-02,36.01
2006-11-03,36.01
2006-11-06,36.01
2006-11-07,36.01
2006-11-08,36.01
2006-11-10,36.01
2006-11-13,36.01
2006-11-15,36.01
2006-11-16,36.01
2006-11-17,36.01
2006-11-21,36.01
2006-11-22,36.01
2006-11-23,36.01
2006-11-24,36.01
2006-11-27,33.69
2006-11-28,33.7
2006-11-29,33.7
2006-11-30,33.69
2006-12-01,33.7
2006-12-04,33.69
2006-12-06,33.7
2006-12-07,33.7
2006-12-08,33.7
2006-12-11,33.7
2006-12-12,33.7
2006-12-13,33.7
2006-12-14,33.7
2006-12-15,33.7
2006-12-18,33.49
2006-12-19,33.49
2006-12-20,33.49
2006-12-21,33.49
2006-12-22,33.49
2006-12-27,33.49
2006-12-28,33.49
2006-12-29,33.49
2007-01-02,33.49
2007-01-03,33.49
2007-01-04,33.49
2007-01-05,33.49
2007-01-08,33.49
2007-01-10,33.49
2007-01-11,33.49
2007-01-12,33.49
2007-01-15,33.49
2007-01-17,33.01
2007-01-18,31.0
2007-01-19,31.01
2007-01-22,31.0
2007-01-24,30.0
2007-01-25,30.01
2007-01-26,30.01
2007-01-29,30.01
2007-01-30,30.01
2007-01-31,30.01
2007-02-01,30.0
2007-02-02,30.01
2007-02-05,30.01
2007-02-06,30.01
2007-02-07,30.01
2007-02-08,30.01
2007-02-09,30.01
2007-02-12,30.01
2007-02-13,30.01
2007-02-14,30.01
2007-02-15,30.01
2007-02-16,30.01
2007-02-19,30.01
2007-02-20,30.01
2007-02-21,30.01
2007-02-22,30.01
2007-02-23,30.01
2007-02-27,30.01
2007-02-28,30.01
2007-03-01,30.01
2007-03-02,30.01
2007-03-05,30.01
2007-03-06,30.01
2007-03-07,30.01
2007-03-08,30.01
2007-03-09,30.01
2007-03-21,30.01
2007-03-22,30.01
2007-03-23,30.01
2007-03-26,30.01
2007-03-27,30.01
2007-03-28,30.01
2007-03-29,30.01
2007-03-30,30.01
2007-04-02,30.01
2007-04-03,30.01
2007-04-04,30.01
2007-04-05,30.01
2007-04-10,30.01
2007-04-11,30.01
2007-04-12,30.01
2007-04-13,30.01
2007-04-16,30.01
2007-04-17,30.01
2007-04-18,30.01
2007-04-19,30.01
2007-04-20,30.01
2007-04-23,30.01
2007-04-24,30.01
2007-04-25,30.01
2007-04-26,30.01
2007-04-27,30.01
2007-04-30,30.01
2007-05-08,30.01
2007-05-14,29.99
2007-05-15,29.99
2007-05-17,29.99
2007-05-18,29.99
2007-05-24,29.99
2007-05-28,29.99
2007-05-29,29.99
2007-05-30,29.99
2007-05-31,29.99
2007-06-01,29.99
2007-06-05,29.99
2007-06-06,29.99
2007-06-07,29.99
2007-06-08,29.99
2007-06-11,29.99
2007-06-12,29.99
2007-06-13,29.99
2007-06-14,29.99
2007-06-15,29.99
2007-06-18,29.99
2007-06-19,29.99
2007-06-20,29.99
2007-06-21,29.99
2007-06-22,29.99
2007-06-25,29.99
2007-06-26,29.99
2007-06-27,29.99
2007-06-28,29.99
2007-06-29,29.99
2007-07-03,29.99
2007-07-04,29.99
2007-07-05,29.99
2007-07-06,29.99
2007-07-09,29.99
2007-07-10,29.99
2007-07-11,29.99
2007-10-15,29.99
2007-10-22,29.99
2007-10-23,29.99
2007-10-24,29.99
2007-10-25,29.99
2007-10-26,29.99
2007-10-29,29.99
2007-10-30,29.99
2007-10-31,29.99
2007-11-01,29.99
2007-11-02,29.99
2007-11-05,29.99
2007-11-06,29.99
2007-11-07,29.99
2007-11-08,29.99
2007-11-09,29.99
2007-11-12,29.99
2007-11-13,29.99
2007-11-14,29.99
2007-11-15,29.99
2007-11-16,29.99
2007-11-19,29.99
2007-11-20,29.99
2007-11-21,29.99
2007-11-22,29.99
2007-11-23,29.99
2007-11-26,29.99
2007-11-27,29.99
2007-11-28,29.99
2007-11-29,29.99
2007-11-30,29.99
2007-12-03,29.99
2007-12-04,29.99
2007-12-05,29.99
2007-12-06,29.99
2007-12-07,29.99
2007-12-10,29.99
2007-12-11,29.99
2007-12-12,29.99
2007-12-13,29.99
2007-12-14,29.99
2007-12-18,29.99
2007-12-19,29.99
2007-12-20,29.99
2007-12-21,29.99
2007-12-27,29.99
2007-12-28,29.99
2007-12-31,29.99
2008-01-03,29.99
2008-01-04,29.99
2008-01-07,29.99
2008-01-08,29.99
2008-01-09,29.99
2008-01-10,29.99
2008-01-11,29.99
2008-03-11,20.0
2008-05-02,19.99
2008-08-01,10.0
2008-08-05,10.0
