,ALBKK FP Equity_DX_SI_QTY,ALBKK FP Equity_DX_SHORT_INTEREST_VALUE,ALBKK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBKK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBKK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBKK FP Equity_DX_SI_MV,ALBKK FP Equity_DX_DSS,ALBKK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBKK FP Equity_DX_SUPPLY_SI_QTY,ALBKK FP Equity_DX_BROKER_SI_QTY,ALBKK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBKK FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBKK FP Equity_DX_BROKER_SI_MV_INC_x,ALBKK FP Equity_DX_BROKER_SI_QTY_ADD,ALBKK FP Equity_DX_SUPPLY_SI_MV_DEC,ALBKK FP Equity_DX_BROKER_SI_QTY_INC,ALBKK FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBKK FP Equity_DX_BROKER_SI_MV_INC_y,ALBKK FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBKK FP Equity_DX_BROKER_SI_MV_ADD,ALBKK FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBKK FP Equity_DX_BROKER_SI_QTY_DEC,ALBKK FP Equity_DX_SUPPLY_SI_MV,ALBKK FP Equity_DX_BROKER_SI_MV_DEC,ALBKK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBKK FP Equity_DX_UTILIZATION_QUANTITY,ALBKK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBKK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBKK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBKK FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBKK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBKK FP Equity_DX_BROKER_SI_CON_RATIO,ALBKK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBKK FP Equity_DX_DEMAND_SUPPLY_RATIO
2018-12-31,26.0,358.8,0.0,0.39,0.0,0.0,0.0,0.0,26.0,0.0,358.8,,,,,,,,,,26.0,,0.0,,0.25,0.25,10469.0,144472.2,0.14,0.25,,1.0,100.0,0.0025
2019-01-01,26.0,358.8,0.0,0.23,0.0,0.0,0.0,0.0,26.0,0.0,358.8,,,,,,,,,,,,0.0,,0.25,0.25,10469.0,144472.2,0.14,0.25,,1.0,100.0,0.0025
2019-01-02,26.0,364.0,0.0,0.23,0.0,0.0,0.0,364.0,26.0,26.0,364.0,,,26.0,,,,,,0.0,,,0.0,,0.06,0.06,42250.0,591500.0,0.58,0.06,,1.0,100.0,0.0006
2019-01-03,26.0,364.05,0.0,0.17,0.0,0.0,0.0,364.05,26.0,26.0,364.05,,,,,,,,,,,,0.0,,0.06,0.06,42250.0,591584.5,0.59,0.06,,1.0,100.0,0.0006
2019-01-04,26.0,352.3,0.0,0.14,0.0,0.0,0.0,352.3,26.0,26.0,352.3,,,,,,,,,,,,0.0,,0.05,0.05,48760.0,660698.0,0.68,0.05,,1.0,100.0,0.0005
2019-01-07,26.0,332.8,0.0,0.06,0.0,0.0,0.0,332.8,26.0,26.0,332.8,,,,,,,,,,,,0.0,,0.05,0.05,48760.0,624128.0,0.66,0.06,,1.0,100.0,0.0005
2019-01-08,26.0,338.0,0.0,0.05,0.0,0.0,0.0,338.0,26.0,26.0,338.0,,,,,,,,,,,,0.0,,0.05,0.05,48760.0,633880.0,0.63,0.05,,1.0,100.0,0.0005
2019-01-09,26.0,364.0,0.0,0.04,0.0,0.0,0.0,364.0,26.0,26.0,364.0,,,,,,,,,,,,0.0,,0.05,0.05,48760.0,682640.0,0.64,0.05,,1.0,100.0,0.0005
2019-01-10,26.0,370.4,0.0,0.03,0.0,0.0,0.0,370.4,26.0,26.0,370.4,,,,,,,,,,,,0.0,,0.05,0.05,48718.0,694036.63,0.68,0.05,,1.0,100.0,0.0005
2019-01-11,26.0,371.8,0.0,0.03,0.0,0.0,0.0,371.8,26.0,26.0,371.8,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,687229.4,0.69,0.05,,1.0,100.0,0.0005
