,MLPET FP Equity_DX_SI_QTY,MLPET FP Equity_DX_SHORT_INTEREST_VALUE,MLPET FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLPET FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLPET FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLPET FP Equity_DX_SI_MV,MLPET FP Equity_DX_DSS,MLPET FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLPET FP Equity_DX_SUPPLY_SI_QTY,MLPET FP Equity_DX_BROKER_SI_QTY,MLPET FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLPET FP Equity_DX_SUPPLY_SI_QTY_ADD,MLPET FP Equity_DX_SUPPLY_SI_MV,MLPET FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLPET FP Equity_DX_UTILIZATION_QUANTITY,MLPET FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLPET FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLPET FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLPET FP Equity_DX_ACTIVE_UTILIZATION_MV,MLPET FP Equity_DX_BROKER_SI_CON_RATIO,MLPET FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MLPET FP Equity_DX_DEMAND_SUPPLY_RATIO,MLPET FP Equity_PX_LAST
2023-07-10,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-11,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-12,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-13,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-14,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-17,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-18,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-19,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-20,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-21,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-24,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-25,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-26,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-27,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-28,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-07-31,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-01,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-02,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-03,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-04,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-07,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-08,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-09,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-10,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-11,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-14,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-15,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-16,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-17,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-18,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-22,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-23,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-24,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-25,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-29,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-30,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-08-31,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-01,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-04,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-05,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-06,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-07,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-08,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-11,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-12,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-13,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-14,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-15,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-18,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-19,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-20,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-21,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-22,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-25,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-26,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-27,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-28,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-09-29,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-10-02,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-10-03,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-10-04,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-10-05,,,,,,,,,,,,,,,,,,,,,,,5.0
2023-10-06,,,,,,,,,,,,,,,,,,,,,,,5.0
